week,core_demand,remote_demand,core_shipments,remote_shipments,core_backlog_end,remote_backlog_end,core_mode,remote_mode,dynamic_outbound_core,dynamic_outbound_remote,sddlca_outbound_core,sddlca_outbound_remote,hidden_network_outbound
1,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
2,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
3,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
4,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
5,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
6,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
7,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
8,1.8,1.2,1.8,1.2,0.0,0.0,truck,truck,2.8800000000000003,2.64,2.8800000000000003,2.64,0.0
9,12.0,8.0,12.0,8.0,0.0,0.0,truck,truck,19.200000000000003,17.6,19.200000000000003,17.6,0.0
10,12.0,8.0,12.0,8.0,0.0,0.0,truck,truck,19.200000000000003,17.6,19.200000000000003,17.6,0.0
11,12.0,8.0,12.0,8.0,0.0,0.0,truck,truck,19.200000000000003,17.6,19.200000000000003,17.6,0.0
12,12.0,8.0,12.0,8.0,0.0,0.0,truck,truck,19.200000000000003,17.6,19.200000000000003,17.6,0.0
13,12.0,8.0,6.0,4.0,6.0,4.0,truck,truck,9.600000000000001,8.8,9.600000000000001,8.8,0.0
14,12.0,8.0,2.16,1.44,15.84,10.56,air,air,3.4560000000000004,3.168,19.44,15.84,28.656
15,12.0,8.0,2.16,1.44,25.68,17.12,air,air,3.4560000000000004,3.168,19.44,15.84,28.656
16,12.0,8.0,2.16,1.44,35.519999999999996,23.68,air,air,3.4560000000000004,3.168,19.44,15.84,28.656
17,3.6,2.4,4.320000000000001,2.879999999999999,34.8,23.2,air,air,6.912000000000003,6.3359999999999985,38.88000000000001,31.67999999999999,57.312
18,3.6,2.4,4.32,2.88,34.08,22.72,air,air,6.912000000000001,6.336,38.88,31.68,57.312
19,3.6,2.4,4.32,2.88,33.36,22.24,air,air,6.912000000000001,6.336,38.88,31.68,57.312
20,3.6,2.4,4.320000000000001,2.879999999999999,32.64,21.759999999999998,air,air,6.912000000000003,6.3359999999999985,38.88000000000001,31.67999999999999,57.312
