name,location
3M,USA
A Tech Supply APS,Danemark
ACH,France
AM SAFE,USA
ASD Textiles,France
Adhetec,France
Alcoa,USA
Alcoa (USA),USA
Altec Etirage,France
Aluminium,France
Aluminium Corporation of China,Chine
Aluminium France,France
Ampco Metal France,France
Ancra Aircraft,États-Unis
Anjou Aéro,France
Arcelor Mittal,Luxembourg
Arkema S.A.,France
Auberon Technologie,France
Aubert & Duval,France
Auger,France
Aurubis,Allemagne
Austria Metall,Autriche
BASF,Allemagne
Bayer,Allemagne
BT Electronics,France
Balterio,Belgique
Baulé - Exsto Polymère,France
BillerudKorsnäs,Suede
Butterfly Packaging,France
CEVA Logistics,France
Collins,France
Creuzet,France
Carton,France
Celso,France
Chalco,Chine
ChemChina,Chine
China Baowu,Chine
Combigo,France
Constellium,France
Continental,Allemagne
DIATEX,France
Daio Paper Corporation,Japon
Diodes Incorporated,USA
DuPont de Nemours,USA
E2IP,Canada
EPODEX,France
ESPACE,France
EUREKA SARL Derayge Services,France
Ensinger,Allemagne
Euralliage,France
Expliseat,France
Formica,France
Franklin,Pologne
Figeac Aéro,France
GATTEFIN,France
GATTEFIN SAS,France
GEODIS,France
Gascogne Papier,France
General Electric,USA
Glatfelter,USA
Group Mondi,Autriche
Groupe Sagaert,France
Gruppo Mastrotto,Italie
Henkel,Allemagne
Halcyon Hevecam,Cameroon
Halcyon PT Remco Jambi,Indonésie
Halcyon SDCI-A,Côte d’Ivoire
Hexcel Corporation,France
Hindalco,Inde
Honeywell,USA
Infineon Technologies AG,Allemagne
Innoptec,France
Intel,USA
J&C Aero,Lituanie
JAMMY Inc,USA
JV Group,France
Jamco Miyazaki,Japon
Jamco Niigata,Japon
Jamco Philippines (Clark),Philippines
KEMKO Aerospace,USA
Klabin S.A.,Brésil
Krohne,Allemagne
Kronotex GmbH & Co,Allemagne
Krupp,Allemagne
Kuehne-Nagel,Allemagne
Kvadrat,Danemark
L&P Aerospace,France
LATIM,France
LIEBHERR,Allemagne
La Filière Française du Cuir,France
Lauak Group,France
Lelièvre Paris,France
MGA Villeneuve-sur-Lot,France
MGR FOAMTEX,Angleterre
Madelec Aero,France
Maison Fichet,France
Mexichem,Mexique
Mitsubishi Chemical,Japon
NVIDIA,USA
Nordic Paper Oyj,Finlande
Nucor Corp,USA
TATA Steel,Inde
PMV,France
Palette.com,France
Paragon Textiles,Inde
Pergo,Suède
Plastiform,France
Plastiforme,France
Plastiservice,Belgique
Plastiservice,France
Plastitek,France
Polymère,France
RAJA,France
ROHM Co. Ltd,Japon
RUBAFILM,France
Racelogic,Angleterre
Rhône Poulenc,France
Rio Tinto Alma Works (site aluminium),Canada
Rio Tinto Fer et Titane (site métallurgie),Canada
S.E.L.A,France
SABIC,Arabie Saoudite
SAFRAN,France
Schneider,France
Schott,Allemagne
Sekisui SPI (Kydex),USA
SENIOR AEROSPACE,Thaïlande
SGL Carbon,Allemagne
SIKA,USA
SOMANI,Portugal
SONY,Japon
SORETRAC,France
STECO,France
Airbus Atlantic (ex-Stelia),France
SUMPAR,France
SUMPAR,Thaïlande
SURFILM PACKAGING,France
Saarstahl,Allemagne
Saint-Gobain,France
Schroth,USA
Segnere Aero SAS,France
Shandong Loyal Chemical Co.,Ltd.,Chine
Siemens,Allemagne
Silicon Engineering,Angleterre
Smurfit Kappa Group plc,Irlande
Socarbois,France
Socfin LAC Liberia,Liberia
Socfin Okomu,Nigeria
Socfin SRC Weala,Liberia
Solvay,Belgique
Storopack,France
TA Aerospace,USA
Thyssen Group,France
TELATEX,France
THALES,France
Toray,Japon
Toray Carbon Fibers Europe,France
Total,France
Transpack Group,France
Tyco Electronic,USA
UPS Supply Chain,USA
Ultrafabrics,Japon
Vaisala,Finlande
Valco Group,France
Valeo,France
Velours,France
XPO Logistics,USA
Yamazaki Velvet Co.,Japon
Zhejiang Yuxin Textile Co.,Ltd.,Chine
Zijin Mining Group,Chine
