snapshot_dt,day,sim_day,real_value_eur,day_sim,physical_stock_value_eur,mrp_target_excess_eur,physical_minus_future_need_7d_eur,useful_for_future_need_7d_eur,physical_minus_future_need_14d_eur,useful_for_future_need_14d_eur,physical_minus_future_need_21d_eur,useful_for_future_need_21d_eur,physical_minus_future_need_30d_eur,useful_for_future_need_30d_eur,physical_minus_future_need_45d_eur,useful_for_future_need_45d_eur,physical_minus_future_need_60d_eur,useful_for_future_need_60d_eur,physical_minus_future_need_90d_eur,useful_for_future_need_90d_eur,physical_minus_future_need_120d_eur,useful_for_future_need_120d_eur,physical_minus_future_need_180d_eur,useful_for_future_need_180d_eur,physical_minus_future_need_270d_eur,useful_for_future_need_270d_eur,physical_minus_future_need_365d_eur,useful_for_future_need_365d_eur,physical_minus_future_need_540d_eur,useful_for_future_need_540d_eur,physical_minus_future_need_730d_eur,useful_for_future_need_730d_eur,physical_minus_future_need_lead_only_eur,useful_for_future_need_lead_only_eur,physical_minus_future_need_safety_only_eur,useful_for_future_need_safety_only_eur,physical_minus_future_need_lead_plus_safety_eur,useful_for_future_need_lead_plus_safety_eur
2025-01-06 00:05:56,5,4,656921.88,4,720013.072068915,656527.512055595,720013.072068915,0.0,720013.072068915,0.0,699390.661198515,20622.4108704,699390.661198515,20622.4108704,699390.661198515,20622.4108704,671894.113371315,48118.9586976,671894.113371315,48118.9586976,671894.113371315,48118.9586976,671894.113371315,48118.9586976,543899.191860515,176113.88020839996,515481.400819715,204531.67124919998,461855.68273308506,258157.38933582997,421854.18388316507,298158.88818574994,689170.120654515,30842.9514144,718296.861348915,1716.21072,673968.983796915,46044.08827199999
2025-01-13 00:06:03,12,11,720134.07,11,720013.072068915,654947.2134358791,720013.072068915,0.0,699390.661198515,20622.4108704,699390.661198515,20622.4108704,699390.661198515,20622.4108704,671894.113371315,48118.9586976,671894.113371315,48118.9586976,671894.113371315,48118.9586976,671894.113371315,48118.9586976,671894.113371315,48118.9586976,543899.191860515,176113.88020839996,510841.27081051504,209171.8012584,461855.68273308506,258157.38933582997,421854.18388316507,298158.88818574994,678105.371700915,41907.700368,705866.866164915,14146.205903999999,672862.768913715,47150.303155199996
2025-01-20 00:06:36,19,18,606978.55,18,784028.8452989149,716298.7087516171,763406.434428515,20622.4108704,763406.434428515,20622.4108704,763406.434428515,20622.4108704,763406.434428515,20622.4108704,735909.886601315,48118.9586976,735909.886601315,48118.9586976,735909.886601315,48118.9586976,735909.886601315,48118.9586976,735909.886601315,48118.9586976,594417.234240515,189611.61105839998,518576.253860515,265452.5914384,458850.41718308505,325178.42811582994,419743.7423331651,364285.10296575,737358.648511715,46670.196787199995,762138.817980515,21890.0273184,736363.878713315,47664.9665856
2025-01-27 00:06:40,26,25,692705.41,25,763406.434428515,695735.8161661961,763406.434428515,0.0,763406.434428515,0.0,763406.434428515,0.0,735909.886601315,27496.547827199996,735909.886601315,27496.547827199996,735909.886601315,27496.547827199996,735909.886601315,27496.547827199996,735909.886601315,27496.547827199996,735909.886601315,27496.547827199996,591802.028020515,171604.40640799998,509998.377458915,253408.05696959997,458357.313245315,305049.1211831999,417911.710266115,345494.72416239994,736363.878713315,27042.555715199996,761976.171132515,1430.2632959999996,736284.0562013149,27122.3782272
2025-02-03 00:06:15,33,32,613334.5,32,929681.890428515,862201.0075785599,929681.8904285149,0.0,929681.8904285149,0.0,909059.479558115,20622.4108704,902185.342601315,27496.547827199996,902185.342601315,27496.547827199996,902185.342601315,27496.547827199996,902185.342601315,27496.547827199996,902185.342601315,27496.547827199996,902185.342601315,27496.547827199996,750231.865360515,179450.025068,664494.611500515,265187.27892799996,620016.6813605151,309665.20906799997,581798.315233165,347883.5751953499,902559.5122013149,27122.3782272,927822.618300515,1859.2721279999996,902559.5122013149,27122.3782272
2025-02-10 00:06:11,40,39,656472.97,39,940114.390428515,871899.952270469,940114.3904285149,0.0,919491.979558115,20622.4108704,912617.842601315,27496.547827199996,912617.842601315,27496.547827199996,912617.842601315,27496.547827199996,912617.842601315,27496.547827199996,912617.842601315,27496.547827199996,912617.842601315,27496.547827199996,912617.842601315,27496.547827199996,756741.556030515,183372.83439799998,671621.559783085,268492.83064542996,628044.968920515,312069.421508,590972.823267715,349141.5671607999,912992.0122013149,27122.3782272,935390.265372515,4724.125055999999,912617.842601315,27496.547827199996
2025-02-17 00:06:22,47,46,695644.81,46,961834.390428515,892745.1642847783,941211.979558115,20622.4108704,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,934337.842601315,27496.547827199996,778461.556030515,183372.83439799998,693341.559783085,268492.83064542996,648562.862700515,313271.52772799996,609729.932133165,352104.45829534996,934712.0122013149,27122.3782272,934887.844294115,26946.5461344,934337.842601315,27496.547827199996
2025-02-24 00:07:08,54,53,740448.32,53,969561.979558115,885428.326214115,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,962687.842601315,6874.136956799999,804562.478681315,164999.50087679998,718686.294233085,250875.68532502998,676612.576533085,292949.40302503,636180.365936515,333381.6136215999,962781.385001315,6780.5945568,962687.842601315,6874.136956799999,961737.1302653151,7824.849292799999
2025-03-03 00:06:40,61,60,715265.49,60,989057.842601315,923532.3283909104,989057.842601315,0.0,989057.842601315,0.0,989057.842601315,0.0,989057.842601315,0.0,989057.842601315,0.0,989057.842601315,0.0,989057.842601315,0.0,989057.842601315,0.0,968435.431730915,20622.4108704,822720.731150515,166337.11145079997,741149.208630515,247908.6339708,702982.576533085,286075.26606823,661334.751603715,327723.09099759994,989057.842601315,0.0,989057.842601315,0.0,986522.609705315,2535.2328960000004
2025-03-10 00:06:22,68,67,823262.17,67,1015427.842601315,950497.5550193116,1015427.842601315,0.0,1015427.842601315,0.0,1015427.842601315,0.0,1015427.842601315,0.0,1015427.842601315,0.0,1015427.842601315,0.0,1015427.842601315,0.0,1015427.842601315,0.0,960434.746946915,54993.09565439999,846475.5249305151,168952.3176708,766918.155520515,248509.6870808,726347.3109830851,289080.53161823,684488.607483165,330939.23511814995,1015427.842601315,0.0,1015427.842601315,0.0,1011624.993257315,3802.8493440000016
