Numéro article;Date de photo DMP;Sum_Valeur totale du stock
268091;06/01/2025 00:05;256910.48
268091;13/01/2025 00:06;285631.22
268091;20/01/2025 00:06;260772.84
268091;27/01/2025 00:06;254168.97
268091;03/02/2025 00:06;269288.00
268091;10/02/2025 00:06;260950.34
268091;17/02/2025 00:06;267942.61
268091;24/02/2025 00:07;338635.78
268091;03/03/2025 00:06;294372.91
268091;10/03/2025 00:06;256629.69
268091;17/03/2025 00:06;215293.31
268091;24/03/2025 00:06;276580.01
268091;31/03/2025 00:07;247053.44
268091;07/04/2025 00:06;315925.02
268091;14/04/2025 00:06;302817.02
268091;21/04/2025 00:06;391423.84
268091;28/04/2025 00:07;389285.31
268091;05/05/2025 00:06;460264.00
268091;12/05/2025 00:06;503849.08
268091;19/05/2025 00:07;485649.52
268091;26/05/2025 00:06;498638.49
268091;02/06/2025 00:06;491597.58
268091;09/06/2025 00:06;505172.83
268091;16/06/2025 00:06;499547.91
268091;23/06/2025 13:27;440942.40
268091;30/06/2025 00:06;406043.19
268091;07/07/2025 00:08;375162.41
268091;14/07/2025 00:08;409357.13
268091;21/07/2025 00:06;436302.28
268091;28/07/2025 00:07;532761.42
268091;04/08/2025 00:06;493670.35
268091;11/08/2025 00:06;475179.00
268091;18/08/2025 00:06;457890.31
268091;25/08/2025 00:08;438198.97
268091;01/09/2025 00:08;412345.91
268091;08/09/2025 00:08;529664.63
268091;15/09/2025 00:09;488795.63
268091;22/09/2025 00:06;457852.37
268091;29/09/2025 00:06;369787.48
268091;06/10/2025 00:07;477209.84
268091;13/10/2025 00:06;437169.89
268091;20/10/2025 00:07;526134.31
268091;27/10/2025 00:07;574926.91
268091;03/11/2025 00:07;531240.59
268091;10/11/2025 00:07;486468.78
268091;17/11/2025 00:07;466289.65
268091;24/11/2025 00:07;397869.05
268091;01/12/2025 00:07;350112.19
268091;08/12/2025 00:07;315634.00
268091;15/12/2025 00:07;347582.74
268091;22/12/2025 00:06;483712.36
268091;29/12/2025 00:06;496914.88
268967;06/01/2025 00:05;2472793.99
268967;13/01/2025 00:06;2390380.92
268967;20/01/2025 00:06;2323850.74
268967;27/01/2025 00:06;2261489.40
268967;03/02/2025 00:06;2182954.18
268967;10/02/2025 00:06;2121771.24
268967;17/02/2025 00:06;2012445.45
268967;24/02/2025 00:07;1943836.80
268967;03/03/2025 00:06;1839192.72
268967;10/03/2025 00:06;1774948.92
268967;17/03/2025 00:06;1676333.56
268967;24/03/2025 00:06;1725570.16
268967;31/03/2025 00:07;1767675.60
268967;07/04/2025 00:06;1704008.45
268967;14/04/2025 00:06;1616456.85
268967;21/04/2025 00:06;1715049.65
268967;28/04/2025 00:07;1812777.58
268967;05/05/2025 00:06;1807515.09
268967;12/05/2025 00:06;1727728.89
268967;19/05/2025 00:07;1602888.22
268967;26/05/2025 00:06;1611496.28
268967;02/06/2025 00:06;1680503.41
268967;09/06/2025 00:06;1617423.02
268967;16/06/2025 00:06;1506360.59
268967;23/06/2025 13:27;1128449.48
268967;30/06/2025 00:06;1153589.92
268967;07/07/2025 00:08;1340974.02
268967;14/07/2025 00:08;1312875.04
268967;21/07/2025 00:06;1233672.42
268967;28/07/2025 00:07;1166629.45
268967;04/08/2025 00:06;1224716.37
268967;11/08/2025 00:06;1300015.61
268967;18/08/2025 00:06;1286317.14
268967;25/08/2025 00:08;1232150.08
268967;01/09/2025 00:08;1055022.96
268967;08/09/2025 00:08;1046183.90
268967;15/09/2025 00:09;1008179.23
268967;22/09/2025 00:06;1242862.60
268967;29/09/2025 00:06;1250001.80
268967;06/10/2025 00:07;1214693.48
268967;13/10/2025 00:06;1156642.59
268967;20/10/2025 00:07;1228270.26
268967;27/10/2025 00:07;1234132.65
268967;03/11/2025 00:07;1346707.34
268967;10/11/2025 00:07;1456413.65
268967;17/11/2025 00:07;1415819.68
268967;24/11/2025 00:07;1443357.02
268967;01/12/2025 00:07;1378134.80
268967;08/12/2025 00:07;1388630.19
268967;15/12/2025 00:07;1311950.64
268967;22/12/2025 00:06;1195520.51
268967;29/12/2025 00:06;1154445.65
