day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,373.250659,372.887551
0,M-1430,item:042342,177028.3425,175776.246
0,M-1430,item:333362,5109.454545,5088.704545
0,M-1430,item:344135,2786.0625,2765.3125
0,M-1430,item:708073,37.62785,37.463302
0,M-1430,item:730384,2004.725,2000.326
0,M-1430,item:734545,28.64,28.474
0,M-1430,item:773474,820.65103,620.315632
0,M-1810,item:001757,21.89355,21.859852
0,M-1810,item:001848,11.917978,11.892704
0,M-1810,item:001893,74.161432,74.001366
0,M-1810,item:002612,11.616041,11.573918
0,M-1810,item:007923,2273.6,2206.204
0,M-1810,item:016332,3.947538,3.937429
0,M-1810,item:029313,0.372099,0.371257
0,M-1810,item:039668,0.229187,0.228345
0,M-1810,item:049371,36.180487,36.149316
0,M-1810,item:055703,0.586883,0.585198
0,M-1810,item:099439,11.6522,11.610077
0,M-1810,item:338928,2269.0625,2248.3125
0,M-1810,item:338929,6802.5,6781.75
0,M-1810,item:426331,52.5525,52.32425
0,M-1810,item:693055,3439.960194,3431.535694
0,SDC-1450,item:021081,3344173.796947,3344172.070683
1,M-1430,item:038005,373.535021,373.129915
1,M-1430,item:042342,175776.246,174379.3287
1,M-1430,item:333362,5134.159091,5111.009091
1,M-1430,item:344135,2765.3125,2742.1625
1,M-1430,item:708073,37.463302,37.279723
1,M-1430,item:730384,2004.566,1999.6582
1,M-1430,item:734545,28.854,28.6688
1,M-1430,item:773474,1006.504352,782.99763
1,M-1810,item:001757,21.936992,21.899396
1,M-1810,item:001848,11.953452,11.925255
1,M-1810,item:001893,74.019687,73.841108
1,M-1810,item:002612,11.573918,11.526924
1,M-1810,item:007923,2273.6,2198.4088
1,M-1810,item:016332,3.937429,3.92615
1,M-1810,item:029313,0.371257,0.370317
1,M-1810,item:039668,0.228345,0.227405
1,M-1810,item:049371,36.246208,36.211432
1,M-1810,item:055703,0.587512,0.585633
1,M-1810,item:099439,11.65829,11.611295
1,M-1810,item:338928,2248.3125,2225.1625
1,M-1810,item:338929,6805.5,6782.35
1,M-1810,item:426331,52.5855,52.33085
1,M-1810,item:693055,3431.535694,3422.136794
1,SDC-1450,item:021081,3355376.703153,3355374.976889
2,M-1430,item:038005,374.258612,373.810108
2,M-1430,item:042342,176265.0162,174718.45074
2,M-1430,item:333362,5156.463636,5130.833636
2,M-1430,item:344135,2773.4125,2747.7825
2,M-1430,item:708073,37.656398,37.453152
2,M-1430,item:730384,2004.6932,1999.25964
2,M-1430,item:734545,28.8588,28.65376
2,M-1430,item:773474,782.99763,535.547207
2,M-1810,item:001757,21.937966,21.896343
2,M-1810,item:001848,11.994681,11.963464
2,M-1810,item:001893,74.335768,74.138058
2,M-1810,item:002612,11.570315,11.518286
2,M-1810,item:007923,2273.6,2190.35376
2,M-1810,item:016332,3.92615,3.913663
2,M-1810,item:029313,0.371281,0.37024
2,M-1810,item:039668,0.227405,0.226364
2,M-1810,item:049371,36.23697,36.198468
2,M-1810,item:055703,0.586983,0.584901
2,M-1810,item:099439,11.70772,11.655692
2,M-1810,item:338928,2256.4125,2230.7825
2,M-1810,item:338929,6853.6,6827.97
2,M-1810,item:426331,52.5921,52.31017
2,M-1810,item:693055,3447.85108,3437.4453
2,SDC-1450,item:021081,3366550.408455,3366548.682192
3,M-1430,item:038005,374.107594,373.597913
3,M-1430,item:042342,174718.45074,172960.929648
3,M-1430,item:333362,5221.742727,5192.616727
3,M-1430,item:344135,2810.2825,2781.1565
3,M-1430,item:708073,37.453152,37.222183
3,M-1430,item:730384,1999.25964,1993.084928
3,M-1430,item:734545,28.65376,28.420752
3,M-1430,item:773474,728.641567,447.438251
3,M-1810,item:001757,21.973483,21.926183
3,M-1810,item:001848,11.972142,11.936667
3,M-1810,item:001893,74.266304,74.041626
3,M-1810,item:002612,11.564088,11.504962
3,M-1810,item:007923,2273.6,2178.998752
3,M-1810,item:016332,3.913663,3.899473
3,M-1810,item:029313,0.37024,0.369058
3,M-1810,item:039668,0.227328,0.226146
3,M-1810,item:049371,36.259683,36.21593
3,M-1810,item:055703,0.584901,0.582536
3,M-1810,item:099439,11.848542,11.789416
3,M-1810,item:338928,2262.0325,2232.9065
3,M-1810,item:338929,6851.72,6822.594
3,M-1810,item:426331,52.57142,52.251034
3,M-1810,item:693055,3463.159586,3451.33443
3,SDC-1450,item:021081,3383725.173638,3383723.447374
4,M-1430,item:038005,373.895399,373.408481
4,M-1430,item:042342,172960.929648,171281.90143
4,M-1430,item:333362,5283.525818,5255.700618
4,M-1430,item:344135,2874.9065,2847.0813
4,M-1430,item:708073,37.222183,37.001529
4,M-1430,item:730384,2000.769928,1994.870986
4,M-1430,item:734545,28.420752,28.19815
4,M-1430,item:773474,447.438251,178.793792
4,M-1810,item:001757,21.964753,21.919565
4,M-1810,item:001848,11.945345,11.911454
4,M-1810,item:001893,74.188192,73.973548
4,M-1810,item:002612,11.507373,11.450888
4,M-1810,item:007923,2273.6,2183.22375
4,M-1810,item:016332,3.911044,3.897487
4,M-1810,item:029313,0.369058,0.367928
4,M-1810,item:039668,0.226146,0.225016
4,M-1810,item:049371,36.267005,36.225206
4,M-1810,item:055703,0.583886,0.581627
4,M-1810,item:099439,11.885841,11.829356
4,M-1810,item:338928,2264.1565,2236.3313
4,M-1810,item:338929,6822.594,6794.7688
4,M-1810,item:426331,52.512284,52.206207
4,M-1810,item:693055,3477.048716,3465.751685
4,SDC-1450,item:021081,3400486.033688,3400484.307424
5,M-1430,item:038005,374.91164,374.587577
5,M-1430,item:042342,173167.58893,172050.1275
5,M-1430,item:333362,5255.700618,5237.181818
5,M-1430,item:344135,2847.0813,2828.5625
5,M-1430,item:708073,37.001529,36.854675
5,M-1430,item:730384,1994.870986,1990.945
5,M-1430,item:734545,28.54815,28.4
5,M-1430,item:773474,178.793792,0.0
5,M-1810,item:001757,21.919565,21.878047
5,M-1810,item:001848,11.931703,11.900565
5,M-1810,item:001893,74.120114,73.922905
5,M-1810,item:002612,11.525617,11.47372
