day,src_node_id,dst_node_id,item_id,shipped_qty,pulled_qty,lead_days,arrival_day,reliability,uom
0,SDC-VD0520132A,M-1430,item:038005,0.363108,0.363108,134,134,1.0,KG
0,SDC-VD0914690A,M-1430,item:042342,1885.6875,1885.6875,21,21,1.0,UN
0,SDC-VD0525412A,M-1430,item:333362,45.454545,45.454545,29,29,1.0,UN
0,SDC-VD0993480A,M-1430,item:344135,31.25,31.25,10,10,1.0,UN
0,SDC-VD0520115A,M-1430,item:708073,0.164547,0.164547,53,53,1.0,KG
0,SDC-VD0508918A,M-1430,item:730384,4.399,4.399,57,57,1.0,M
0,SDC-VD1095770A,M-1430,item:734545,0.166,0.166,34,34,1.0,UN
0,SDC-1450,M-1430,item:773474,200.335398,200.335398,9,9,1.0,G
0,SDC-VD0951020A,M-1810,item:001757,0.033698,0.033698,28,28,1.0,KG
0,SDC-VD0519670A,M-1810,item:001848,0.017691,0.017691,27,27,1.0,KG
0,SDC-VD0951020A,M-1810,item:001848,0.007582,0.007582,68,68,1.0,KG
0,SDC-VD0910216A,M-1810,item:001893,0.112046,0.112046,28,28,1.0,KG
0,SDC-VD1091642A,M-1810,item:001893,0.032013,0.032013,5,5,1.0,KG
0,SDC-VD0518684A,M-1810,item:001893,0.016007,0.016007,32,32,1.0,KG
0,SDC-VD0910216A,M-1810,item:002612,0.029486,0.029486,28,28,1.0,KG
0,SDC-VD0990780A,M-1810,item:002612,0.008425,0.008425,18,18,1.0,KG
0,SDC-VD1091642A,M-1810,item:002612,0.002106,0.002106,29,29,1.0,KG
0,SDC-VD0500655A,M-1810,item:002612,0.002106,0.002106,20,20,1.0,KG
0,SDC-VD0514881A,M-1810,item:016332,0.010109,0.010109,51,51,1.0,KG
0,SDC-VD0519670A,M-1810,item:029313,0.000842,0.000842,82,82,1.0,KG
0,SDC-VD1096202A,M-1810,item:039668,0.000842,0.000842,43,43,1.0,KG
0,SDC-VD0520132A,M-1810,item:049371,0.031171,0.031171,93,93,1.0,KG
0,SDC-VD0914320A,M-1810,item:055703,0.001179,0.001179,34,34,1.0,KG
0,SDC-VD0964290A,M-1810,item:055703,0.000505,0.000505,27,27,1.0,KG
0,SDC-VD0505677A,M-1810,item:099439,0.042122,0.042122,45,45,1.0,KG
0,SDC-VD0901566A,M-1810,item:338928,31.25,31.25,28,28,1.0,UN
0,SDC-VD0914360C,M-1810,item:338929,20.75,20.75,30,30,1.0,UN
0,SDC-VD0989480A,M-1810,item:426331,0.22825,0.22825,53,53,1.0,UN
0,SDC-1450,M-1810,item:693055,8.4245,8.4245,51,51,1.0,G
0,M-1430,DC-1920,item:268967,20.75,20.75,2,2,1.0,UN
0,M-1810,DC-1920,item:268091,20.75,20.75,7,7,1.0,UN
0,SDC-VD0949099A,SDC-1450,item:021081,1.434957,1.434957,157,157,1.0,KG
0,SDC-VD0960508A,SDC-1450,item:021081,0.409988,0.409988,108,108,1.0,KG
0,SDC-VD0972460A,SDC-1450,item:021081,0.102497,0.102497,108,108,1.0,KG
0,SDC-VD0975221A,SDC-1450,item:021081,0.102497,0.102497,68,68,1.0,KG
0,SDC-1450,M-1810,item:007923,67.396,67.396,1,1,1.0,G
1,SDC-VD0520132A,M-1430,item:038005,0.405106,0.405106,83,84,1.0,KG
1,SDC-VD0914690A,M-1430,item:042342,1885.6875,1885.6875,29,30,1.0,UN
1,SDC-VD0525412A,M-1430,item:333362,45.454545,45.454545,65,66,1.0,UN
1,SDC-VD0993480A,M-1430,item:344135,31.25,31.25,14,15,1.0,UN
1,SDC-VD0520115A,M-1430,item:708073,0.18358,0.18358,10,11,1.0,KG
1,SDC-VD0508918A,M-1430,item:730384,4.9078,4.9078,21,22,1.0,M
1,SDC-VD1095770A,M-1430,item:734545,0.1852,0.1852,21,22,1.0,UN
1,SDC-1450,M-1430,item:773474,223.506722,223.506722,13,14,1.0,G
1,SDC-VD0951020A,M-1810,item:001757,0.037596,0.037596,76,77,1.0,KG
1,SDC-VD0519670A,M-1810,item:001848,0.019738,0.019738,11,12,1.0,KG
1,SDC-VD0951020A,M-1810,item:001848,0.008459,0.008459,55,56,1.0,KG
1,SDC-VD0910216A,M-1810,item:001893,0.125005,0.125005,32,33,1.0,KG
1,SDC-VD1091642A,M-1810,item:001893,0.035716,0.035716,22,23,1.0,KG
1,SDC-VD0518684A,M-1810,item:001893,0.017858,0.017858,58,59,1.0,KG
1,SDC-VD0910216A,M-1810,item:002612,0.032896,0.032896,36,37,1.0,KG
1,SDC-VD0990780A,M-1810,item:002612,0.009399,0.009399,25,26,1.0,KG
1,SDC-VD1091642A,M-1810,item:002612,0.00235,0.00235,26,27,1.0,KG
1,SDC-VD0500655A,M-1810,item:002612,0.00235,0.00235,8,9,1.0,KG
1,SDC-VD0514881A,M-1810,item:016332,0.011279,0.011279,46,47,1.0,KG
1,SDC-VD0519670A,M-1810,item:029313,0.00094,0.00094,60,61,1.0,KG
1,SDC-VD1096202A,M-1810,item:039668,0.00094,0.00094,19,20,1.0,KG
1,SDC-VD0520132A,M-1810,item:049371,0.034776,0.034776,202,203,1.0,KG
1,SDC-VD0914320A,M-1810,item:055703,0.001316,0.001316,15,16,1.0,KG
1,SDC-VD0964290A,M-1810,item:055703,0.000564,0.000564,54,55,1.0,KG
1,SDC-VD0505677A,M-1810,item:099439,0.046995,0.046995,30,31,1.0,KG
1,SDC-VD0901566A,M-1810,item:338928,31.25,31.25,34,35,1.0,UN
1,SDC-VD0914360C,M-1810,item:338929,23.15,23.15,19,20,1.0,UN
1,SDC-VD0989480A,M-1810,item:426331,0.25465,0.25465,17,18,1.0,UN
1,SDC-1450,M-1810,item:693055,9.3989,9.3989,62,63,1.0,G
1,M-1430,DC-1920,item:268967,23.15,23.15,2,3,1.0,UN
1,M-1810,DC-1920,item:268091,23.15,23.15,2,3,1.0,UN
1,DC-1920,C-XXXXX,item:268091,23.75,23.75,4,5,1.0,UN
1,SDC-VD0949099A,SDC-1450,item:021081,1.398705,1.398705,65,66,1.0,KG
1,SDC-VD0960508A,SDC-1450,item:021081,0.39963,0.39963,86,87,1.0,KG
1,SDC-VD0972460A,SDC-1450,item:021081,0.099908,0.099908,240,241,1.0,KG
1,SDC-VD0975221A,SDC-1450,item:021081,0.099908,0.099908,206,207,1.0,KG
1,SDC-1450,M-1810,item:007923,75.1912,75.1912,1,2,1.0,G
2,SDC-VD0520132A,M-1430,item:038005,0.448504,0.448504,284,286,1.0,KG
2,SDC-VD0914690A,M-1430,item:042342,1885.6875,1885.6875,16,18,1.0,UN
2,SDC-VD0525412A,M-1430,item:333362,45.454545,45.454545,72,74,1.0,UN
2,SDC-VD0993480A,M-1430,item:344135,31.25,31.25,24,26,1.0,UN
2,SDC-VD0520115A,M-1430,item:708073,0.203246,0.203246,21,23,1.0,KG
2,SDC-VD0508918A,M-1430,item:730384,5.43356,5.43356,31,33,1.0,M
2,SDC-VD1095770A,M-1430,item:734545,0.20504,0.20504,24,26,1.0,UN
2,SDC-1450,M-1430,item:773474,247.450422,247.450422,9,11,1.0,G
2,SDC-VD0951020A,M-1810,item:001757,0.041623,0.041623,41,43,1.0,KG
2,SDC-VD0519670A,M-1810,item:001848,0.021852,0.021852,16,18,1.0,KG
2,SDC-VD0951020A,M-1810,item:001848,0.009365,0.009365,44,46,1.0,KG
2,SDC-VD0910216A,M-1810,item:001893,0.138397,0.138397,25,27,1.0,KG
2,SDC-VD1091642A,M-1810,item:001893,0.039542,0.039542,39,41,1.0,KG
2,SDC-VD0518684A,M-1810,item:001893,0.019771,0.019771,56,58,1.0,KG
2,SDC-VD0910216A,M-1810,item:002612,0.03642,0.03642,23,25,1.0,KG
2,SDC-VD0990780A,M-1810,item:002612,0.010406,0.010406,9,11,1.0,KG
2,SDC-VD1091642A,M-1810,item:002612,0.002601,0.002601,57,59,1.0,KG
2,SDC-VD0500655A,M-1810,item:002612,0.002601,0.002601,56,58,1.0,KG
2,SDC-VD0514881A,M-1810,item:016332,0.012487,0.012487,19,21,1.0,KG
2,SDC-VD0519670A,M-1810,item:029313,0.001041,0.001041,41,43,1.0,KG
2,SDC-VD1096202A,M-1810,item:039668,0.001041,0.001041,45,47,1.0,KG
2,SDC-VD0520132A,M-1810,item:049371,0.038501,0.038501,85,87,1.0,KG
2,SDC-VD0914320A,M-1810,item:055703,0.001457,0.001457,16,18,1.0,KG
2,SDC-VD0964290A,M-1810,item:055703,0.000624,0.000624,46,48,1.0,KG
2,SDC-VD0505677A,M-1810,item:099439,0.052029,0.052029,70,72,1.0,KG
2,SDC-VD0901566A,M-1810,item:338928,31.25,31.25,101,103,1.0,UN
2,SDC-VD0914360C,M-1810,item:338929,25.63,25.63,54,56,1.0,UN
2,SDC-VD0989480A,M-1810,item:426331,0.28193,0.28193,17,19,1.0,UN
2,SDC-1450,M-1810,item:693055,10.40578,10.40578,74,76,1.0,G
2,M-1430,DC-1920,item:268967,25.63,25.63,3,5,1.0,UN
2,M-1810,DC-1920,item:268091,25.63,25.63,8,10,1.0,UN
2,DC-1920,C-XXXXX,item:268967,20.75,20.75,2,4,1.0,UN
2,DC-1920,C-XXXXX,item:268091,23.75,23.75,2,4,1.0,UN
2,SDC-VD0949099A,SDC-1450,item:021081,1.391455,1.391455,64,66,1.0,KG
2,SDC-VD0960508A,SDC-1450,item:021081,0.397559,0.397559,133,135,1.0,KG
2,SDC-VD0972460A,SDC-1450,item:021081,0.09939,0.09939,90,92,1.0,KG
2,SDC-VD0975221A,SDC-1450,item:021081,0.09939,0.09939,103,105,1.0,KG
2,SDC-1450,M-1810,item:007923,83.24624,83.24624,1,3,1.0,G
3,SDC-VD0520132A,M-1430,item:038005,0.509681,0.509681,202,205,1.0,KG
3,SDC-VD0914690A,M-1430,item:042342,1885.6875,1885.6875,35,38,1.0,UN
3,SDC-VD0525412A,M-1430,item:333362,45.454545,45.454545,54,57,1.0,UN
3,SDC-VD0993480A,M-1430,item:344135,31.25,31.25,13,16,1.0,UN
3,SDC-VD0520115A,M-1430,item:708073,0.230969,0.230969,50,53,1.0,KG
3,SDC-VD0508918A,M-1430,item:730384,6.174712,6.174712,112,115,1.0,M
3,SDC-VD1095770A,M-1430,item:734545,0.233008,0.233008,22,25,1.0,UN
3,SDC-1450,M-1430,item:773474,281.203316,281.203316,7,10,1.0,G
3,SDC-VD0951020A,M-1810,item:001757,0.047301,0.047301,56,59,1.0,KG
