day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,373.434647,373.071539
0,M-1430,item:042342,149120.1675,147868.071
0,M-1430,item:333362,5201.022727,5180.272727
0,M-1430,item:344135,2533.75,2513.0
0,M-1430,item:708073,37.320562,37.156015
0,M-1430,item:730384,1932.91,1928.511
0,M-1430,item:734545,28.39,28.224
0,M-1430,item:773474,16787.140923,16586.805524
0,M-1810,item:001757,22.08437,22.050672
0,M-1810,item:001848,11.831195,11.805922
0,M-1810,item:001893,73.978224,73.818159
0,M-1810,item:002612,11.601577,11.559454
0,M-1810,item:007923,2273.6,2206.204
0,M-1810,item:016332,3.889683,3.879574
0,M-1810,item:029313,0.374992,0.374149
0,M-1810,item:039668,0.229187,0.228345
0,M-1810,item:049371,35.718561,35.68739
0,M-1810,item:055703,0.581676,0.579991
0,M-1810,item:099439,11.362925,11.320803
0,M-1810,item:338928,2620.0,2599.25
0,M-1810,item:338929,6778.75,6758.0
0,M-1810,item:426331,50.20125,49.973
0,M-1810,item:693055,3718.809342,3710.384842
0,SDC-1450,item:021081,3277665.339147,3277663.289209
1,M-1430,item:038005,374.165238,373.760132
1,M-1430,item:042342,147868.071,146471.1537
1,M-1430,item:333362,5225.727273,5202.577273
1,M-1430,item:344135,2544.25,2521.1
1,M-1430,item:708073,37.156015,36.972435
1,M-1430,item:730384,1928.511,1923.6032
1,M-1430,item:734545,28.224,28.0388
1,M-1430,item:773474,16816.105077,16592.598355
1,M-1810,item:001757,22.127812,22.090216
1,M-1810,item:001848,11.875348,11.847151
1,M-1810,item:001893,73.891442,73.712863
1,M-1810,item:002612,11.65829,11.611295
1,M-1810,item:007923,2206.204,2131.0128
1,M-1810,item:016332,3.891145,3.879866
1,M-1810,item:029313,0.376078,0.375138
1,M-1810,item:039668,0.228345,0.227405
1,M-1810,item:049371,35.709923,35.675147
1,M-1810,item:055703,0.581148,0.579269
1,M-1810,item:099439,11.369015,11.322021
1,M-1810,item:338928,2599.25,2576.1
1,M-1810,item:338929,6758.0,6734.85
1,M-1810,item:426331,50.4955,50.24085
1,M-1810,item:693055,3710.384842,3700.985942
1,SDC-1450,item:021081,3294425.994202,3294423.996052
2,M-1430,item:038005,374.022619,373.574116
2,M-1430,item:042342,146471.1537,144924.58824
2,M-1430,item:333362,5338.940909,5313.310909
2,M-1430,item:344135,2552.35,2526.72
2,M-1430,item:708073,37.160773,36.957527
2,M-1430,item:730384,1943.7432,1938.30964
2,M-1430,item:734545,28.4188,28.21376
2,M-1430,item:773474,17051.19746,16803.747037
2,M-1810,item:001757,22.167356,22.125733
2,M-1810,item:001848,11.8674,11.836183
2,M-1810,item:001893,73.877749,73.68004
2,M-1810,item:002612,11.616117,11.564088
2,M-1810,item:007923,2198.4088,2115.16256
2,M-1810,item:016332,3.891437,3.87895
2,M-1810,item:029313,0.375138,0.374097
2,M-1810,item:039668,0.228369,0.227328
2,M-1810,item:049371,35.69768,35.659179
2,M-1810,item:055703,0.581776,0.579695
2,M-1810,item:099439,11.370233,11.318204
2,M-1810,item:338928,2576.1,2550.47
2,M-1810,item:338929,6734.85,6709.22
2,M-1810,item:426331,50.5021,50.22017
2,M-1810,item:693055,3700.985942,3690.580162
2,SDC-1450,item:021081,3304928.842011,3304926.854218
3,M-1430,item:038005,375.08342,374.573739
3,M-1430,item:042342,144924.58824,143167.067148
3,M-1430,item:333362,5358.765455,5329.639455
3,M-1430,item:344135,2526.72,2497.594
3,M-1430,item:708073,37.334202,37.103233
3,M-1430,item:730384,1943.34464,1937.169928
3,M-1430,item:734545,28.59376,28.360752
3,M-1430,item:773474,17033.04659,16751.843273
3,M-1810,item:001757,22.164303,22.117003
3,M-1810,item:001848,11.844861,11.809386
3,M-1810,item:001893,74.085217,73.860539
3,M-1810,item:002612,11.602658,11.543532
3,M-1810,item:007923,2190.35376,2095.752512
3,M-1810,item:016332,3.902092,3.887902
3,M-1810,item:029313,0.375062,0.373879
3,M-1810,item:039668,0.229257,0.228074
3,M-1810,item:049371,35.681712,35.637958
3,M-1810,item:055703,0.581044,0.578679
3,M-1810,item:099439,11.318204,11.259078
3,M-1810,item:338928,2581.72,2552.594
3,M-1810,item:338929,6709.22,6680.094
3,M-1810,item:426331,50.22017,49.899784
3,M-1810,item:693055,3716.294448,3704.469292
3,SDC-1450,item:021081,3338453.391672,3338451.361068
4,M-1430,item:038005,375.251832,374.764914
4,M-1430,item:042342,148824.129648,147145.10143
4,M-1430,item:333362,5375.094,5347.2688
4,M-1430,item:344135,2528.844,2501.0188
4,M-1430,item:708073,37.29157,37.070917
4,M-1430,item:730384,1947.239928,1941.340986
4,M-1430,item:734545,28.740752,28.51815
4,M-1430,item:773474,17410.777777,17142.133318
4,M-1810,item:001757,22.117003,22.071815
4,M-1810,item:001848,11.809386,11.775495
4,M-1810,item:001893,74.080388,73.865745
4,M-1810,item:002612,11.625493,11.569008
4,M-1810,item:007923,2273.6,2183.22375
4,M-1810,item:016332,3.899473,3.885916
4,M-1810,item:029313,0.376772,0.375642
4,M-1810,item:039668,0.228074,0.226945
4,M-1810,item:049371,35.696169,35.65437
4,M-1810,item:055703,0.580608,0.578349
4,M-1810,item:099439,11.307291,11.250806
4,M-1810,item:338928,2583.844,2556.0188
4,M-1810,item:338929,6703.844,6676.0188
4,M-1810,item:426331,50.422284,50.116207
4,M-1810,item:693055,3781.61215,3770.315119
4,SDC-1450,item:021081,3349627.898521,3349625.762684
5,M-1430,item:038005,378.218891,377.771523
5,M-1430,item:042342,154687.85143,153145.205786
5,M-1430,item:333362,5347.2688,5321.70376
5,M-1430,item:344135,2501.0188,2475.45376
5,M-1430,item:708073,37.259254,37.056523
5,M-1430,item:730384,1941.340986,1935.921197
5,M-1430,item:734545,28.70815,28.50363
5,M-1430,item:773474,17371.43287,17124.609618
5,M-1810,item:001757,22.071815,22.030297
5,M-1810,item:001848,11.824671,11.793533
5,M-1810,item:001893,74.158877,73.961668
5,M-1810,item:002612,11.636506,11.584609
5,M-1810,item:007923,2273.6,2190.56475
5,M-1810,item:016332,3.897487,3.885032
5,M-1810,item:029313,0.376606,0.375568
5,M-1810,item:039668,0.227909,0.226871
5,M-1810,item:049371,35.748257,35.709853
5,M-1810,item:055703,0.581627,0.579551
5,M-1810,item:099439,11.299018,11.247121
5,M-1810,item:338928,2556.0188,2530.45376
5,M-1810,item:338929,6676.0188,6650.45376
5,M-1810,item:426331,50.377457,50.096241
5,M-1810,item:693055,3770.315119,3759.935713
5,SDC-1450,item:021081,3366388.672672,3366386.46262
6,M-1430,item:038005,378.865222,378.460763
6,M-1430,item:042342,155030.893286,153636.208157
6,M-1430,item:333362,5367.158305,5344.045297
6,M-1430,item:344135,2475.45376,2452.340752
6,M-1430,item:708073,37.056523,36.873237
6,M-1430,item:730384,1940.956197,1936.056239
6,M-1430,item:734545,28.50363,28.318726
6,M-1430,item:773474,17577.415893,17354.266318
6,M-1810,item:001757,22.107437,22.069901
6,M-1810,item:001848,11.822461,11.794309
6,M-1810,item:001893,74.181517,74.003223
6,M-1810,item:002612,11.632821,11.585902
6,M-1810,item:007923,2273.6,2198.52895
6,M-1810,item:016332,3.885032,3.873771
6,M-1810,item:029313,0.375568,0.37463
6,M-1810,item:039668,0.226871,0.225933
6,M-1810,item:049371,35.732386,35.697666
6,M-1810,item:055703,0.582058,0.580181
6,M-1810,item:099439,11.247121,11.200202
6,M-1810,item:338928,2561.70376,2538.590752
6,M-1810,item:338929,6674.20376,6651.090752
6,M-1810,item:426331,51.663741,51.409498
6,M-1810,item:693055,3785.649999,3776.266117
6,SDC-1450,item:021081,3391642.949121,3391640.724916
7,M-1430,item:038005,382.330346,381.969467
7,M-1430,item:042342,155521.895657,154277.486631
7,M-1430,item:333362,5389.499843,5368.877241
7,M-1430,item:344135,2452.340752,2431.71815
7,M-1430,item:708073,37.249912,37.086375
7,M-1430,item:730384,1941.091239,1936.719248
7,M-1430,item:734545,28.698726,28.533745
7,M-1430,item:773474,17831.016293,17631.91089
7,M-1810,item:001757,22.069901,22.03641
7,M-1810,item:001848,11.843486,11.818367
7,M-1810,item:001893,74.223072,74.06399
7,M-1810,item:002612,11.634114,11.59225
7,M-1810,item:007923,2273.6,2206.61779
7,M-1810,item:016332,3.873771,3.863724
7,M-1810,item:029313,0.377523,0.376686
7,M-1810,item:039668,0.22979,0.228952
7,M-1810,item:049371,35.720199,35.68922
7,M-1810,item:055703,0.58211,0.580435
7,M-1810,item:099439,11.248414,11.20655
7,M-1810,item:338928,2601.090752,2580.46815
7,M-1810,item:338929,6698.590752,6677.96815
7,M-1810,item:426331,51.670748,51.4439
7,M-1810,item:693055,3776.266117,3767.893341
7,SDC-1450,item:021081,3402815.827413,3402813.646227
8,M-1430,item:038005,382.231955,381.839565
8,M-1430,item:042342,154277.486631,152924.416822
8,M-1430,item:333362,5368.877241,5346.453891
8,M-1430,item:344135,2494.21815,2471.7948
8,M-1430,item:708073,37.274712,37.096895
8,M-1430,item:730384,1936.719248,1931.965498
8,M-1430,item:734545,28.533745,28.354358
8,M-1430,item:773474,18090.509995,17874.01887
8,M-1810,item:001757,22.11355,22.075996
8,M-1810,item:001848,11.835724,11.807558
8,M-1810,item:001893,74.100631,73.922249
8,M-1810,item:002612,11.611535,11.564593
8,M-1810,item:007923,2273.6,2198.491558
8,M-1810,item:016332,3.898437,3.887171
8,M-1810,item:029313,0.378614,0.377675
8,M-1810,item:039668,0.229917,0.228978
8,M-1810,item:049371,35.74743,35.712692
8,M-1810,item:055703,0.583135,0.581258
8,M-1810,item:099439,11.3994,11.352458
8,M-1810,item:338928,2580.46815,2557.34363
8,M-1810,item:338929,6701.71815,6678.59363
8,M-1810,item:426331,51.70515,51.45078
8,M-1810,item:693055,3767.893341,3758.504786
8,SDC-1450,item:021081,3408401.248724,3408399.156378
9,M-1430,item:038005,382.102052,381.656092
9,M-1430,item:042342,156695.791822,155157.99586
9,M-1430,item:333362,5346.453891,5320.969221
9,M-1430,item:344135,2503.0448,2477.56013
9,M-1430,item:708073,37.285233,37.083139
9,M-1430,item:730384,1931.965498,1926.562748
9,M-1430,item:734545,28.544358,28.340481
9,M-1430,item:773474,17874.01887,17627.971567
9,M-1810,item:001757,22.075996,22.034381
9,M-1810,item:001848,11.807558,11.776347
9,M-1810,item:001893,74.087135,73.889465
9,M-1810,item:002612,11.571824,11.519806
9,M-1810,item:007923,2198.491558,2115.26187
9,M-1810,item:016332,3.910313,3.897828
9,M-1810,item:029313,0.377675,0.376635
9,M-1810,item:039668,0.230906,0.229866
9,M-1810,item:049371,35.815969,35.777475
9,M-1810,item:055703,0.581836,0.579755
9,M-1810,item:099439,11.40067,11.348652
9,M-1810,item:338928,2557.34363,2531.718726
9,M-1810,item:338929,6797.34363,6771.718726
