day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,3939.824
0,SDC-1450,item:021081,3689273.498598
0,SDC-1450,item:693055,925.883
0,SDC-1450,item:773474,2201.275704
0,SDC-VD0500655A,item:002612,302.021863
0,SDC-VD0505677A,item:099439,488.823843
0,SDC-VD0508918A,item:730384,483.466
0,SDC-VD0514881A,item:016332,296.971016
0,SDC-VD0518684A,item:001893,281.184942
0,SDC-VD0519670A,item:001848,284.574663
0,SDC-VD0519670A,item:029313,302.570637
0,SDC-VD0520115A,item:708073,224.128772
0,SDC-VD0520132A,item:038005,170.909178
0,SDC-VD0520132A,item:049371,265.338072
0,SDC-VD0525412A,item:333362,1514.545455
0,SDC-VD0901566A,item:338928,1741.25
0,SDC-VD0910216A,item:001893,245.20693
0,SDC-VD0910216A,item:002612,287.74611
0,SDC-VD0914320A,item:055703,296.546126
0,SDC-VD0914360C,item:338929,2280.5
0,SDC-VD0914690A,item:042342,101676.27
0,SDC-VD0949099A,item:021081,125128.430955
0,SDC-VD0951020A,item:001757,275.347872
0,SDC-VD0951020A,item:001848,468.156885
0,SDC-VD0960508A,item:021081,125150.980273
0,SDC-VD0964290A,item:055703,302.815277
0,SDC-VD0972460A,item:021081,125157.745068
0,SDC-VD0975221A,item:021081,125157.745068
0,SDC-VD0989480A,item:426331,193.54831
0,SDC-VD0990780A,item:002612,298.727458
0,SDC-VD0993480A,item:344135,1741.25
0,SDC-VD1091642A,item:001893,269.124428
0,SDC-VD1091642A,item:002612,302.021863
0,SDC-VD1095770A,item:734545,224.848641
0,SDC-VD1096202A,item:039668,302.681475
1,SDC-1450,item:007923,3941.7728
1,SDC-1450,item:021081,3689275.190336
1,SDC-1450,item:693055,926.1266
1,SDC-1450,item:773474,2201.275704
1,SDC-VD0500655A,item:002612,302.019513
1,SDC-VD0505677A,item:099439,488.776849
1,SDC-VD0508918A,item:730384,483.5932
1,SDC-VD0514881A,item:016332,296.959738
1,SDC-VD0518684A,item:001893,281.167084
1,SDC-VD0519670A,item:001848,284.554925
1,SDC-VD0519670A,item:029313,302.569697
1,SDC-VD0520115A,item:708073,223.945193
1,SDC-VD0520132A,item:038005,170.919678
1,SDC-VD0520132A,item:049371,265.303296
1,SDC-VD0525412A,item:333362,1514.545455
1,SDC-VD0901566A,item:338928,1741.25
1,SDC-VD0910216A,item:001893,245.081924
1,SDC-VD0910216A,item:002612,287.713214
1,SDC-VD0914320A,item:055703,296.54481
1,SDC-VD0914360C,item:338929,2281.1
1,SDC-VD0914690A,item:042342,101676.27
1,SDC-VD0949099A,item:021081,125128.467206
1,SDC-VD0951020A,item:001757,275.310277
1,SDC-VD0951020A,item:001848,468.148426
1,SDC-VD0960508A,item:021081,125150.99063
1,SDC-VD0964290A,item:055703,302.814713
1,SDC-VD0972460A,item:021081,125157.747658
1,SDC-VD0975221A,item:021081,125157.747658
1,SDC-VD0989480A,item:426331,193.29366
1,SDC-VD0990780A,item:002612,298.71806
1,SDC-VD0993480A,item:344135,1741.25
1,SDC-VD1091642A,item:001893,269.088712
1,SDC-VD1091642A,item:002612,302.019513
1,SDC-VD1095770A,item:734545,224.663441
1,SDC-VD1096202A,item:039668,302.680535
2,SDC-1450,item:007923,3935.66656
2,SDC-1450,item:021081,3699832.085301
2,SDC-1450,item:693055,925.36332
2,SDC-1450,item:773474,2176.173437
2,SDC-VD0500655A,item:002612,302.016912
2,SDC-VD0505677A,item:099439,488.72482
2,SDC-VD0508918A,item:730384,483.19464
2,SDC-VD0514881A,item:016332,296.947251
2,SDC-VD0518684A,item:001893,281.147313
2,SDC-VD0519670A,item:001848,284.533073
2,SDC-VD0519670A,item:029313,302.568656
2,SDC-VD0520115A,item:708073,223.741947
2,SDC-VD0520132A,item:038005,170.886779
2,SDC-VD0520132A,item:049371,265.264794
2,SDC-VD0525412A,item:333362,1514.545455
2,SDC-VD0901566A,item:338928,1741.25
2,SDC-VD0910216A,item:001893,244.943527
2,SDC-VD0910216A,item:002612,287.676794
2,SDC-VD0914320A,item:055703,296.543353
2,SDC-VD0914360C,item:338929,2279.22
2,SDC-VD0914690A,item:042342,101676.27
2,SDC-VD0949099A,item:021081,125128.510708
2,SDC-VD0951020A,item:001757,275.268654
2,SDC-VD0951020A,item:001848,468.139061
2,SDC-VD0960508A,item:021081,125151.003059
2,SDC-VD0964290A,item:055703,302.814089
2,SDC-VD0972460A,item:021081,125157.750765
2,SDC-VD0975221A,item:021081,125157.750765
2,SDC-VD0989480A,item:426331,193.01173
2,SDC-VD0990780A,item:002612,298.707654
2,SDC-VD0993480A,item:344135,1741.25
2,SDC-VD1091642A,item:001893,269.04917
2,SDC-VD1091642A,item:002612,302.016912
2,SDC-VD1095770A,item:734545,224.458401
2,SDC-VD1096202A,item:039668,302.679494
3,SDC-1450,item:007923,3918.205312
3,SDC-1450,item:021081,3711005.259691
3,SDC-1450,item:693055,923.180664
3,SDC-1450,item:773474,2122.107016
3,SDC-VD0500655A,item:002612,302.013956
3,SDC-VD0505677A,item:099439,488.665694
3,SDC-VD0508918A,item:730384,482.054928
3,SDC-VD0514881A,item:016332,296.93306
3,SDC-VD0518684A,item:001893,281.124846
3,SDC-VD0519670A,item:001848,284.50824
3,SDC-VD0519670A,item:029313,302.567474
3,SDC-VD0520115A,item:708073,223.510978
3,SDC-VD0520132A,item:038005,170.792704
3,SDC-VD0520132A,item:049371,265.221041
3,SDC-VD0525412A,item:333362,1514.545455
3,SDC-VD0901566A,item:338928,1741.25
3,SDC-VD0910216A,item:001893,244.786253
3,SDC-VD0910216A,item:002612,287.635406
3,SDC-VD0914320A,item:055703,296.541698
3,SDC-VD0914360C,item:338929,2273.844
3,SDC-VD0914690A,item:042342,101676.27
3,SDC-VD0949099A,item:021081,125128.524242
3,SDC-VD0951020A,item:001757,275.221353
3,SDC-VD0951020A,item:001848,468.128418
3,SDC-VD0960508A,item:021081,125151.006926
3,SDC-VD0964290A,item:055703,302.813379
3,SDC-VD0972460A,item:021081,125157.751732
3,SDC-VD0975221A,item:021081,125157.751732
3,SDC-VD0989480A,item:426331,192.691344
3,SDC-VD0990780A,item:002612,298.695829
3,SDC-VD0993480A,item:344135,1741.25
3,SDC-VD1091642A,item:001893,269.004234
3,SDC-VD1091642A,item:002612,302.013956
3,SDC-VD1095770A,item:734545,224.225393
3,SDC-VD1096202A,item:039668,302.678312
4,SDC-1450,item:007923,3904.969062
4,SDC-1450,item:021081,3723797.314102
4,SDC-1450,item:693055,921.526133
4,SDC-1450,item:773474,2092.370485
4,SDC-VD0500655A,item:002612,302.011131
4,SDC-VD0505677A,item:099439,488.609209
4,SDC-VD0508918A,item:730384,481.190986
4,SDC-VD0514881A,item:016332,296.919504
4,SDC-VD0518684A,item:001893,281.103381
4,SDC-VD0519670A,item:001848,284.484516
4,SDC-VD0519670A,item:029313,302.566344
4,SDC-VD0520115A,item:708073,223.290324
4,SDC-VD0520132A,item:038005,170.721391
4,SDC-VD0520132A,item:049371,265.179242
4,SDC-VD0525412A,item:333362,1514.545455
4,SDC-VD0901566A,item:338928,1741.25
4,SDC-VD0910216A,item:001893,244.636002
4,SDC-VD0910216A,item:002612,287.595866
4,SDC-VD0914320A,item:055703,296.540116
4,SDC-VD0914360C,item:338929,2269.7688
4,SDC-VD0914690A,item:042342,101676.27
4,SDC-VD0949099A,item:021081,125128.464113
4,SDC-VD0951020A,item:001757,275.176165
4,SDC-VD0951020A,item:001848,468.118251
4,SDC-VD0960508A,item:021081,125150.989747
4,SDC-VD0964290A,item:055703,302.812701
4,SDC-VD0972460A,item:021081,125157.747437
4,SDC-VD0975221A,item:021081,125157.747437
4,SDC-VD0989480A,item:426331,192.385267
4,SDC-VD0990780A,item:002612,298.684532
4,SDC-VD0993480A,item:344135,1741.25
4,SDC-VD1091642A,item:001893,268.961306
4,SDC-VD1091642A,item:002612,302.011131
4,SDC-VD1095770A,item:734545,224.002791
4,SDC-VD1096202A,item:039668,302.677182
5,SDC-1450,item:007923,3899.073812
5,SDC-1450,item:021081,3734353.474322
5,SDC-1450,item:693055,920.789227
5,SDC-1450,item:773474,2092.756674
5,SDC-VD0500655A,item:002612,302.008536
5,SDC-VD0505677A,item:099439,488.557312
5,SDC-VD0508918A,item:730384,480.806197
5,SDC-VD0514881A,item:016332,296.907049
