day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,3939.824
0,SDC-1450,item:021081,3689273.498598
0,SDC-1450,item:693055,925.883
0,SDC-1450,item:773474,2973.653144
0,SDC-VD0500655A,item:002612,332.801862
0,SDC-VD0505677A,item:099439,571.511343
0,SDC-VD0508918A,item:730384,483.466
0,SDC-VD0514881A,item:016332,327.751016
0,SDC-VD0518684A,item:001893,311.964942
0,SDC-VD0519670A,item:001848,313.888948
0,SDC-VD0519670A,item:029313,333.350636
0,SDC-VD0520115A,item:708073,254.908772
0,SDC-VD0520132A,item:038005,170.909178
0,SDC-VD0520132A,item:049371,296.118071
0,SDC-VD0525412A,item:333362,1800.0
0,SDC-VD0901566A,item:338928,2112.5
0,SDC-VD0910216A,item:001893,275.986929
0,SDC-VD0910216A,item:002612,318.526109
0,SDC-VD0914320A,item:055703,325.860411
0,SDC-VD0914360C,item:338929,2280.5
0,SDC-VD0914690A,item:042342,123323.9625
0,SDC-VD0949099A,item:021081,125128.430955
0,SDC-VD0951020A,item:001757,306.127872
0,SDC-VD0951020A,item:001848,541.554943
0,SDC-VD0960508A,item:021081,125150.980273
0,SDC-VD0964290A,item:055703,333.595277
0,SDC-VD0972460A,item:021081,125157.745068
0,SDC-VD0975221A,item:021081,125157.745068
0,SDC-VD0989480A,item:426331,224.32831
0,SDC-VD0990780A,item:002612,329.507458
0,SDC-VD0993480A,item:344135,2112.5
0,SDC-VD1091642A,item:001893,299.904427
0,SDC-VD1091642A,item:002612,332.801862
0,SDC-VD1095770A,item:734545,254.162926
0,SDC-VD1096202A,item:039668,333.461474
1,SDC-1450,item:007923,3941.7728
1,SDC-1450,item:021081,3689275.190336
1,SDC-1450,item:693055,926.1266
1,SDC-1450,item:773474,2973.653144
1,SDC-VD0500655A,item:002612,332.799513
1,SDC-VD0505677A,item:099439,571.464349
1,SDC-VD0508918A,item:730384,483.5932
1,SDC-VD0514881A,item:016332,327.739737
1,SDC-VD0518684A,item:001893,311.947084
1,SDC-VD0519670A,item:001848,313.86921
1,SDC-VD0519670A,item:029313,333.349696
1,SDC-VD0520115A,item:708073,254.725192
1,SDC-VD0520132A,item:038005,170.919678
1,SDC-VD0520132A,item:049371,296.083295
1,SDC-VD0525412A,item:333362,1800.0
1,SDC-VD0901566A,item:338928,2112.5
1,SDC-VD0910216A,item:001893,275.861924
1,SDC-VD0910216A,item:002612,318.493213
1,SDC-VD0914320A,item:055703,325.859095
1,SDC-VD0914360C,item:338929,2281.1
1,SDC-VD0914690A,item:042342,123323.9625
1,SDC-VD0949099A,item:021081,125128.467206
1,SDC-VD0951020A,item:001757,306.090276
1,SDC-VD0951020A,item:001848,541.546484
1,SDC-VD0960508A,item:021081,125150.99063
1,SDC-VD0964290A,item:055703,333.594713
1,SDC-VD0972460A,item:021081,125157.747658
1,SDC-VD0975221A,item:021081,125157.747658
1,SDC-VD0989480A,item:426331,224.07366
1,SDC-VD0990780A,item:002612,329.498059
1,SDC-VD0993480A,item:344135,2112.5
1,SDC-VD1091642A,item:001893,299.868711
1,SDC-VD1091642A,item:002612,332.799513
1,SDC-VD1095770A,item:734545,253.977726
1,SDC-VD1096202A,item:039668,333.460534
2,SDC-1450,item:007923,3935.66656
2,SDC-1450,item:021081,3699832.085301
2,SDC-1450,item:693055,925.36332
2,SDC-1450,item:773474,2948.550877
2,SDC-VD0500655A,item:002612,332.796911
2,SDC-VD0505677A,item:099439,571.41232
2,SDC-VD0508918A,item:730384,483.19464
2,SDC-VD0514881A,item:016332,327.72725
2,SDC-VD0518684A,item:001893,311.927313
2,SDC-VD0519670A,item:001848,313.847358
2,SDC-VD0519670A,item:029313,333.348656
2,SDC-VD0520115A,item:708073,254.521946
2,SDC-VD0520132A,item:038005,170.886779
2,SDC-VD0520132A,item:049371,296.044794
2,SDC-VD0525412A,item:333362,1800.0
2,SDC-VD0901566A,item:338928,2112.5
2,SDC-VD0910216A,item:001893,275.723527
2,SDC-VD0910216A,item:002612,318.456793
2,SDC-VD0914320A,item:055703,325.857638
2,SDC-VD0914360C,item:338929,2279.22
2,SDC-VD0914690A,item:042342,123323.9625
2,SDC-VD0949099A,item:021081,125128.510708
2,SDC-VD0951020A,item:001757,306.048653
2,SDC-VD0951020A,item:001848,541.537119
2,SDC-VD0960508A,item:021081,125151.003059
2,SDC-VD0964290A,item:055703,333.594088
2,SDC-VD0972460A,item:021081,125157.750765
2,SDC-VD0975221A,item:021081,125157.750765
2,SDC-VD0989480A,item:426331,223.79173
2,SDC-VD0990780A,item:002612,329.487653
2,SDC-VD0993480A,item:344135,2112.5
2,SDC-VD1091642A,item:001893,299.829169
2,SDC-VD1091642A,item:002612,332.796911
2,SDC-VD1095770A,item:734545,253.772686
2,SDC-VD1096202A,item:039668,333.459494
3,SDC-1450,item:007923,3918.205312
3,SDC-1450,item:021081,3711005.259691
3,SDC-1450,item:693055,923.180664
3,SDC-1450,item:773474,2894.484456
3,SDC-VD0500655A,item:002612,332.793955
3,SDC-VD0505677A,item:099439,571.353194
3,SDC-VD0508918A,item:730384,482.054928
3,SDC-VD0514881A,item:016332,327.71306
3,SDC-VD0518684A,item:001893,311.904845
3,SDC-VD0519670A,item:001848,313.822525
3,SDC-VD0519670A,item:029313,333.347473
3,SDC-VD0520115A,item:708073,254.290977
3,SDC-VD0520132A,item:038005,170.792704
3,SDC-VD0520132A,item:049371,296.001041
3,SDC-VD0525412A,item:333362,1800.0
3,SDC-VD0901566A,item:338928,2112.5
3,SDC-VD0910216A,item:001893,275.566252
3,SDC-VD0910216A,item:002612,318.415405
3,SDC-VD0914320A,item:055703,325.855983
3,SDC-VD0914360C,item:338929,2273.844
3,SDC-VD0914690A,item:042342,123323.9625
3,SDC-VD0949099A,item:021081,125128.524242
3,SDC-VD0951020A,item:001757,306.001352
3,SDC-VD0951020A,item:001848,541.526477
3,SDC-VD0960508A,item:021081,125151.006926
3,SDC-VD0964290A,item:055703,333.593379
3,SDC-VD0972460A,item:021081,125157.751732
3,SDC-VD0975221A,item:021081,125157.751732
3,SDC-VD0989480A,item:426331,223.471344
3,SDC-VD0990780A,item:002612,329.475828
3,SDC-VD0993480A,item:344135,2112.5
3,SDC-VD1091642A,item:001893,299.784234
3,SDC-VD1091642A,item:002612,332.793955
3,SDC-VD1095770A,item:734545,253.539678
3,SDC-VD1096202A,item:039668,333.458311
4,SDC-1450,item:007923,3904.969062
4,SDC-1450,item:021081,3723797.314102
4,SDC-1450,item:693055,921.526133
4,SDC-1450,item:773474,2864.747925
4,SDC-VD0500655A,item:002612,332.791131
4,SDC-VD0505677A,item:099439,571.296709
4,SDC-VD0508918A,item:730384,481.190986
4,SDC-VD0514881A,item:016332,327.699503
4,SDC-VD0518684A,item:001893,311.883381
4,SDC-VD0519670A,item:001848,313.798801
4,SDC-VD0519670A,item:029313,333.346343
4,SDC-VD0520115A,item:708073,254.070323
4,SDC-VD0520132A,item:038005,170.721391
4,SDC-VD0520132A,item:049371,295.959242
4,SDC-VD0525412A,item:333362,1800.0
4,SDC-VD0901566A,item:338928,2112.5
4,SDC-VD0910216A,item:001893,275.416002
4,SDC-VD0910216A,item:002612,318.375865
4,SDC-VD0914320A,item:055703,325.854401
4,SDC-VD0914360C,item:338929,2269.7688
4,SDC-VD0914690A,item:042342,123323.9625
4,SDC-VD0949099A,item:021081,125128.464113
4,SDC-VD0951020A,item:001757,305.956164
4,SDC-VD0951020A,item:001848,541.516309
4,SDC-VD0960508A,item:021081,125150.989747
4,SDC-VD0964290A,item:055703,333.592701
4,SDC-VD0972460A,item:021081,125157.747437
4,SDC-VD0975221A,item:021081,125157.747437
4,SDC-VD0989480A,item:426331,223.165267
4,SDC-VD0990780A,item:002612,329.464531
4,SDC-VD0993480A,item:344135,2112.5
4,SDC-VD1091642A,item:001893,299.741305
4,SDC-VD1091642A,item:002612,332.791131
4,SDC-VD1095770A,item:734545,253.317076
4,SDC-VD1096202A,item:039668,333.457181
5,SDC-1450,item:007923,3899.073812
5,SDC-1450,item:021081,3734353.474322
5,SDC-1450,item:693055,920.789227
5,SDC-1450,item:773474,2865.134114
5,SDC-VD0500655A,item:002612,332.788536
5,SDC-VD0505677A,item:099439,571.244812
5,SDC-VD0508918A,item:730384,480.806197
5,SDC-VD0514881A,item:016332,327.687048
