day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,3939.824
0,SDC-1450,item:021081,1946934.444825
0,SDC-1450,item:693055,0.0
0,SDC-1450,item:773474,2973.653144
0,SDC-VD0500655A,item:002612,179.947271
0,SDC-VD0505677A,item:099439,178.945415
0,SDC-VD0508918A,item:730384,483.466
0,SDC-VD0514881A,item:016332,179.7469
0,SDC-VD0518684A,item:001893,179.599258
0,SDC-VD0519670A,item:001848,179.577324
0,SDC-VD0519670A,item:029313,179.978908
0,SDC-VD0520115A,item:708073,175.880365
0,SDC-VD0520132A,item:038005,170.909178
0,SDC-VD0520132A,item:049371,179.219607
0,SDC-VD0525412A,item:333362,0.0
0,SDC-VD0901566A,item:338928,0.0
0,SDC-VD0910216A,item:001893,177.194804
0,SDC-VD0910216A,item:002612,179.26179
0,SDC-VD0914320A,item:055703,179.971822
0,SDC-VD0914360C,item:338929,673.5479
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0949099A,item:021081,125128.430955
0,SDC-VD0951020A,item:001757,179.156332
0,SDC-VD0951020A,item:001848,179.810175
0,SDC-VD0960508A,item:021081,125150.980273
0,SDC-VD0964290A,item:055703,179.987345
0,SDC-VD0972460A,item:021081,125157.745068
0,SDC-VD0975221A,item:021081,125157.745068
0,SDC-VD0989480A,item:426331,174.2855
0,SDC-VD0990780A,item:002612,179.789083
0,SDC-VD0993480A,item:344135,0.0
0,SDC-VD1091642A,item:001893,179.198515
0,SDC-VD1091642A,item:002612,179.947271
0,SDC-VD1095770A,item:734545,176.034
0,SDC-VD1096202A,item:039668,179.978908
1,SDC-1450,item:007923,3941.7728
1,SDC-1450,item:021081,1956990.356662
1,SDC-1450,item:693055,0.0
1,SDC-1450,item:773474,2973.653144
1,SDC-VD0500655A,item:002612,179.947332
1,SDC-VD0505677A,item:099439,178.946633
1,SDC-VD0508918A,item:730384,483.5932
1,SDC-VD0514881A,item:016332,179.747192
1,SDC-VD0518684A,item:001893,179.599721
