day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,247.61334,247.263357
0,M-1430,item:042342,120684.0,119477.16
0,M-1430,item:333362,5550.0,5530.0
0,M-1430,item:344135,3250.0,3230.0
0,M-1430,item:708073,21.0145,20.8559
0,M-1430,item:730384,1102.4,1098.16
0,M-1430,item:734545,16.0,15.84
0,M-1430,item:773474,9654.718,9461.62364
0,M-1810,item:001757,12.586,12.55352
0,M-1810,item:001848,6.3336,6.30924
0,M-1810,item:001893,40.1128,39.95852
0,M-1810,item:002612,6.5975,6.5569
0,M-1810,item:007923,1136.8,1071.84
0,M-1810,item:016332,2.21676,2.207016
0,M-1810,item:029313,0.21112,0.210308
0,M-1810,item:039668,0.13195,0.131138
0,M-1810,item:049371,20.2797,20.249656
0,M-1810,item:055703,0.31668,0.315056
0,M-1810,item:099439,6.5975,6.5569
0,M-1810,item:338928,6450.0,6430.0
0,M-1810,item:338929,3900.0,3880.0
0,M-1810,item:426331,29.15,28.93
0,M-1810,item:693055,2618.7,2610.58
0,SDC-1450,item:021081,983400.0,983400.0
1,M-1430,item:038005,247.263357,246.860876
1,M-1430,item:042342,119477.16,118089.294
1,M-1430,item:333362,5530.0,5507.0
1,M-1430,item:344135,3230.0,3207.0
1,M-1430,item:708073,20.8559,20.67351
1,M-1430,item:730384,1098.16,1093.284
1,M-1430,item:734545,15.84,15.656
1,M-1430,item:773474,9461.62364,9239.565126
1,M-1810,item:001757,12.55352,12.516168
1,M-1810,item:001848,6.30924,6.281226
1,M-1810,item:001893,39.95852,39.781098
1,M-1810,item:002612,6.5569,6.51021
1,M-1810,item:007923,1071.84,997.136
1,M-1810,item:016332,2.207016,2.19581
1,M-1810,item:029313,0.210308,0.209374
1,M-1810,item:039668,0.131138,0.130204
1,M-1810,item:049371,20.249656,20.215105
1,M-1810,item:055703,0.315056,0.313188
1,M-1810,item:099439,6.5569,6.51021
1,M-1810,item:338928,6430.0,6407.0
1,M-1810,item:338929,3880.0,3857.0
1,M-1810,item:426331,28.93,28.677
1,M-1810,item:693055,2610.58,2601.242
1,SDC-1450,item:021081,983400.0,983399.67816
2,M-1430,item:038005,246.860876,246.412897
2,M-1430,item:042342,118089.294,116544.5388
2,M-1430,item:333362,5507.0,5481.4
2,M-1430,item:344135,3207.0,3181.4
2,M-1430,item:708073,20.67351,20.470502
2,M-1430,item:730384,1093.284,1087.8568
2,M-1430,item:734545,15.656,15.4512
2,M-1430,item:773474,9239.565126,8992.404345
2,M-1810,item:001757,12.516168,12.474594
2,M-1810,item:001848,6.281226,6.250045
2,M-1810,item:001893,39.781098,39.58362
2,M-1810,item:002612,6.51021,6.458242
2,M-1810,item:007923,1136.8,1053.6512
2,M-1810,item:016332,2.19581,2.183338
2,M-1810,item:029313,0.209374,0.208335
2,M-1810,item:039668,0.130204,0.129165
2,M-1810,item:049371,20.215105,20.176649
2,M-1810,item:055703,0.313188,0.31111
2,M-1810,item:099439,6.51021,6.458242
2,M-1810,item:338928,6407.0,6381.4
2,M-1810,item:338929,3857.0,3831.4
2,M-1810,item:426331,28.677,28.3954
2,M-1810,item:693055,2601.242,2590.8484
2,SDC-1450,item:021081,983399.67816,983399.291952
3,M-1430,item:038005,246.412897,245.903321
3,M-1430,item:042342,116544.5388,114787.37976
3,M-1430,item:333362,5481.4,5452.28
3,M-1430,item:344135,3181.4,3152.28
3,M-1430,item:708073,20.470502,20.23958
3,M-1430,item:730384,1087.8568,1081.68336
3,M-1430,item:734545,15.4512,15.21824
3,M-1430,item:773474,8992.404345,8711.258957
3,M-1810,item:001757,12.474594,12.427303
3,M-1810,item:001848,6.250045,6.214577
3,M-1810,item:001893,39.58362,39.358988
3,M-1810,item:002612,6.458242,6.399128
3,M-1810,item:007923,1136.8,1042.21824
3,M-1810,item:016332,2.183338,2.169151
3,M-1810,item:029313,0.208335,0.207153
3,M-1810,item:039668,0.129165,0.127983
3,M-1810,item:049371,20.176649,20.132905
3,M-1810,item:055703,0.31111,0.308745
3,M-1810,item:099439,6.458242,6.399128
3,M-1810,item:338928,6381.4,6352.28
3,M-1810,item:338929,3831.4,3802.28
3,M-1810,item:426331,28.3954,28.07508
