day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,20.0,20.0,25.0,400.0,none,,0.0
0,M-1810,item:268091,24.0,17.5,17.5,215.517241,capacity,,6.5
1,M-1430,item:268967,21.6,21.6,25.0,380.0,none,,0.0
1,M-1810,item:268091,22.4,17.5,17.5,215.517241,capacity,,4.9
2,M-1430,item:268967,23.52,23.52,25.0,358.4,none,,0.0
2,M-1810,item:268091,20.48,17.5,17.5,198.017241,capacity,,2.98
3,M-1430,item:268967,25.504,25.0,25.0,334.88,capacity,,0.504
3,M-1810,item:268091,21.696,17.5,17.5,215.517241,capacity,,4.196
4,M-1430,item:268967,27.5008,25.0,25.0,309.88,capacity,,2.5008
4,M-1810,item:268091,23.5392,17.5,17.5,198.017241,capacity,,6.0392
5,M-1430,item:268967,29.50016,25.0,25.0,284.88,capacity,,4.50016
5,M-1810,item:268091,25.50784,17.5,17.5,192.5,capacity,,8.00784
6,M-1430,item:268967,28.300032,25.0,25.0,259.88,capacity,,3.300032
6,M-1810,item:268091,27.501568,17.5,17.5,175.0,capacity,,10.001568
7,M-1430,item:268967,26.460006,25.0,25.0,237.862997,capacity,,1.460006
7,M-1810,item:268091,29.500314,17.5,17.5,157.5,capacity,,12.000314
8,M-1430,item:268967,24.492001,24.492001,25.0,212.862997,none,,0.0
8,M-1810,item:268091,28.300063,17.5,17.5,140.0,capacity,,10.800063
9,M-1430,item:268967,22.4984,22.4984,25.0,188.370996,none,,0.0
9,M-1810,item:268091,26.460013,17.5,17.5,122.5,capacity,,8.960013
10,M-1430,item:268967,20.49968,20.49968,25.0,165.872595,none,,0.0
10,M-1810,item:268091,24.492003,17.5,17.5,140.0,capacity,,6.992003
11,M-1430,item:268967,21.699936,21.699936,25.0,185.346184,none,,0.0
11,M-1810,item:268091,22.498401,17.5,17.5,140.0,capacity,,4.998401
12,M-1430,item:268967,23.539987,23.539987,25.0,164.209982,none,,0.0
12,M-1810,item:268091,20.49968,17.5,17.5,140.0,capacity,,2.99968
13,M-1430,item:268967,25.507997,25.0,25.0,163.749995,capacity,,0.507997
13,M-1810,item:268091,21.699936,17.5,17.5,122.5,capacity,,4.199936
14,M-1430,item:268967,27.501599,25.0,25.0,138.749995,capacity,,2.501599
14,M-1810,item:268091,23.539987,17.5,17.5,105.0,capacity,,6.039987
15,M-1430,item:268967,29.50032,25.0,25.0,161.248395,capacity,,4.50032
15,M-1810,item:268091,25.507997,17.5,17.5,105.0,capacity,,8.007997
16,M-1430,item:268967,28.300064,25.0,25.0,136.248395,capacity,,3.300064
16,M-1810,item:268091,27.501599,17.5,17.5,105.0,capacity,,10.001599
17,M-1430,item:268967,26.460013,25.0,25.0,162.269995,capacity,,1.460013
17,M-1810,item:268091,29.50032,17.5,17.5,87.5,capacity,,12.00032
18,M-1430,item:268967,24.492003,24.492003,25.0,137.269995,none,,0.0
18,M-1810,item:268091,28.300064,17.5,17.5,105.0,capacity,,10.800064
19,M-1430,item:268967,22.498401,22.498401,25.0,112.777993,none,,0.0
19,M-1810,item:268091,26.460013,17.5,17.5,87.5,capacity,,8.960013
20,M-1430,item:268967,20.49968,20.49968,25.0,115.279592,none,,0.0
20,M-1810,item:268091,24.492003,17.5,17.5,70.0,capacity,,6.992003
21,M-1430,item:268967,21.699936,21.699936,25.0,119.271913,none,,0.0
21,M-1810,item:268091,22.498401,17.5,17.5,87.5,capacity,,4.998401
22,M-1430,item:268967,23.539987,23.539987,25.0,162.269994,none,,0.0
22,M-1810,item:268091,20.49968,17.5,17.5,105.0,capacity,,2.99968
23,M-1430,item:268967,25.507997,25.0,25.0,138.730006,capacity,,0.507997
23,M-1810,item:268091,21.699936,17.5,17.5,105.0,capacity,,4.199936
24,M-1430,item:268967,27.501599,25.0,25.0,113.730006,capacity,,2.501599
24,M-1810,item:268091,23.539987,17.5,17.5,87.5,capacity,,6.039987
25,M-1430,item:268967,29.50032,25.0,25.0,127.149994,capacity,,4.50032
25,M-1810,item:268091,25.507997,17.5,17.5,105.0,capacity,,8.007997
26,M-1430,item:268967,28.300064,25.0,25.0,132.769674,capacity,,3.300064
26,M-1810,item:268091,27.501599,17.5,17.5,105.0,capacity,,10.001599
27,M-1430,item:268967,26.460013,25.0,25.0,132.261676,capacity,,1.460013
27,M-1810,item:268091,29.50032,17.5,17.5,105.0,capacity,,12.00032
28,M-1430,item:268967,24.492003,24.492003,25.0,158.461932,none,,0.0
28,M-1810,item:268091,28.300064,17.5,17.5,105.0,capacity,,10.800064
29,M-1430,item:268967,22.498401,22.498401,25.0,143.841689,none,,0.0
29,M-1810,item:268091,26.460013,17.5,17.5,105.0,capacity,,8.960013
