day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,558.5439,1067628.4675,42318.4276,269.8735,42.6193,1026.84,0.0,0.0
1,47.5,0.0,87.5,64.96,82.0,264.6474,1065718.2082,42255.0115,180.8992,73.8033,2414.706,0.0,0.0
2,52.5,0.0,140.0,20.0,93.2,311.7661,1063571.158,42186.0753,228.5825,88.7503,3017.1,0.0,906.156
3,60.0,0.0,200.0,178.904,94.64,316.219,1061579.9861,42117.1442,231.4983,88.9505,3017.1,0.0,2414.706
4,55.0,0.0,255.0,149.2,94.928,1388.3496,1059514.1049,42048.21,740.5538,99.7029,3017.1,1026.84,2896.416
5,50.0,43.0,262.0,174.2,94.9856,2758.2737,1057448.2228,41979.2757,1373.5609,113.4084,3017.1,2414.706,1990.26
6,45.0,43.0,264.0,199.2,91.223,3366.9463,1055544.3449,41915.5425,1665.916,117.9398,3017.1,3017.1,367.8422
7,40.0,0.0,304.0,205.002,86.2446,3261.6961,1053983.6001,41859.8985,1556.8766,91.3908,1642.7808,3017.1,0.0
8,47.5,75.0,276.5,141.9822,91.2489,3185.1937,1052171.3821,41800.4077,1452.7332,80.3196,127.9306,3017.1,0.0
9,52.5,25.0,304.0,223.2923,95.0,1744.9452,1051788.3291,41796.0302,794.1447,92.1744,210.6,3017.1,22.6306
10,60.0,25.0,339.0,218.8827,95.0,1809.3149,1051336.4967,41791.6579,838.9267,92.8181,210.6,3017.1,127.9306
11,55.0,187.4827,206.5173,257.4798,95.0,1752.3624,1049443.4121,41731.0822,790.4624,96.2924,210.6,1642.7808,202.7005
12,50.0,23.113,233.4044,222.2318,95.0,1872.8874,1046044.0739,41607.0258,847.6179,111.3809,210.6,127.9306,180.0699
13,45.0,0.0,278.4044,1158.0682,91.226,1832.7823,1043869.7281,41532.4739,829.4295,122.6477,210.6,210.6,66.8218
14,40.0,0.0,318.4044,307.4554,86.2452,600.9002,1042265.7324,41471.0132,287.5264,113.3694,1171.0575,210.6,0.0
15,47.5,98.1245,267.7799,3430.3976,91.249,461.2629,1043636.2362,41538.8312,286.5561,105.908,2453.2513,210.6,0.0
16,52.5,73.113,247.1669,168.8978,95.0,354.7031,1041734.4178,41476.7029,247.5994,95.4527,3017.1,210.6,904.203
17,60.0,45.6226,261.5443,240.8566,95.0,362.3178,1039924.4338,41416.2064,263.5238,89.4504,3017.1,210.6,2412.753
18,55.0,0.0,316.5443,93.5221,95.0,1357.5571,1037977.9561,41353.4309,723.338,99.4707,3020.4984,1171.0575,2903.9298
19,50.0,68.7356,297.8087,299.4435,95.0,2744.3098,1036064.1054,41286.9276,1370.5014,113.5413,3030.6484,2453.2513,1999.7267
20,45.0,25.0,317.8087,163.3995,91.226,3330.6902,1034178.6829,41223.206,1646.7413,117.9836,3037.4,3017.1,379.9437
21,40.0,25.0,332.8087,3293.6262,86.2452,3278.3376,1035664.9208,41288.2567,1574.3103,92.1524,1672.5369,3017.1,11.0051
22,47.5,48.1245,332.1841,161.4124,91.249,3211.7863,1033875.8143,41228.3983,1473.2045,80.9913,148.2171,3020.4984,16.9952
23,52.5,48.1245,336.5596,188.3253,95.0,1773.3437,1033419.8196,41224.0221,812.8169,92.8644,230.9,3030.6484,36.2138
24,60.0,0.0,396.5596,356.9421,93.4746,1633.984,1033435.3488,41227.156,733.5496,91.3007,230.9,3037.4,127.9897
25,55.0,93.7356,357.824,249.3726,70.0,271.8602,1034919.216,41290.1611,106.9687,78.9714,224.1968,1672.5369,144.0263
26,50.0,75.0,332.824,120.2209,74.6594,586.4888,1034121.77,41265.1583,232.82,94.2194,203.9339,148.2171,86.5289
27,45.0,23.113,354.711,224.2468,72.7739,725.2784,1033432.8585,41240.4333,313.1399,81.582,102.1189,230.9,32.7549
28,40.0,0.0,394.711,3144.4628,74.9445,861.825,1035230.3339,41314.2987,382.2581,62.8716,74.0001,230.9,0.0
29,47.5,43.7471,398.4639,219.0478,68.1245,286.1108,1035280.0547,41316.8208,112.0325,34.4274,20.2491,224.1968,0.0
