day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,25.0,25.0
0,M-1810,item:268091,25.0,25.0
0,SDC-1450,item:773474,0.0,0.0
1,M-1430,item:268967,25.0,50.0
1,M-1810,item:268091,25.0,50.0
1,SDC-1450,item:773474,102.6,102.6
2,M-1430,item:268967,25.0,75.0
2,M-1810,item:268091,25.0,75.0
2,SDC-1450,item:773474,107.73,210.33
3,M-1430,item:268967,25.0,100.0
3,M-1810,item:268091,25.0,100.0
3,SDC-1450,item:773474,107.9865,318.3165
4,M-1430,item:268967,25.0,125.0
4,M-1810,item:268091,25.0,125.0
4,SDC-1450,item:773474,107.999325,426.315825
5,M-1430,item:268967,25.0,150.0
5,M-1810,item:268091,25.0,150.0
5,SDC-1450,item:773474,107.999966,534.315791
6,M-1430,item:268967,25.0,175.0
6,M-1810,item:268091,25.0,175.0
6,SDC-1450,item:773474,107.999998,642.31579
7,M-1430,item:268967,25.0,200.0
7,M-1810,item:268091,25.0,200.0
7,SDC-1450,item:773474,108.0,750.315789
8,M-1430,item:268967,25.0,225.0
8,M-1810,item:268091,25.0,225.0
8,SDC-1450,item:773474,108.0,858.315789
9,M-1430,item:268967,25.0,250.0
9,M-1810,item:268091,25.0,250.0
9,SDC-1450,item:773474,108.0,966.315789
10,M-1430,item:268967,25.0,275.0
10,M-1810,item:268091,25.0,275.0
10,SDC-1450,item:773474,108.0,1074.315789
11,M-1430,item:268967,25.0,300.0
11,M-1810,item:268091,25.0,300.0
11,SDC-1450,item:773474,108.0,1182.315789
12,M-1430,item:268967,25.0,325.0
12,M-1810,item:268091,25.0,325.0
12,SDC-1450,item:773474,108.0,1290.315789
13,M-1430,item:268967,25.0,350.0
13,M-1810,item:268091,25.0,350.0
13,SDC-1450,item:773474,108.0,1398.315789
14,M-1430,item:268967,25.0,375.0
14,M-1810,item:268091,25.0,375.0
14,SDC-1450,item:773474,108.0,1506.315789
15,M-1430,item:268967,25.0,400.0
15,M-1810,item:268091,25.0,400.0
15,SDC-1450,item:773474,108.0,1614.315789
16,M-1430,item:268967,25.0,425.0
16,M-1810,item:268091,25.0,425.0
16,SDC-1450,item:773474,108.0,1722.315789
17,M-1430,item:268967,25.0,450.0
17,M-1810,item:268091,25.0,450.0
17,SDC-1450,item:773474,108.0,1830.315789
18,M-1430,item:268967,25.0,475.0
18,M-1810,item:268091,25.0,475.0
18,SDC-1450,item:773474,108.0,1938.315789
19,M-1430,item:268967,25.0,500.0
19,M-1810,item:268091,25.0,500.0
19,SDC-1450,item:773474,108.0,2046.315789
20,M-1430,item:268967,25.0,525.0
20,M-1810,item:268091,25.0,525.0
20,SDC-1450,item:773474,108.0,2154.315789
21,M-1430,item:268967,25.0,550.0
21,M-1810,item:268091,25.0,550.0
21,SDC-1450,item:773474,108.0,2262.315789
22,M-1430,item:268967,25.0,575.0
22,M-1810,item:268091,25.0,575.0
22,SDC-1450,item:773474,108.0,2370.315789
23,M-1430,item:268967,25.0,600.0
23,M-1810,item:268091,25.0,600.0
23,SDC-1450,item:773474,108.0,2478.315789
24,M-1430,item:268967,25.0,625.0
24,M-1810,item:268091,25.0,625.0
24,SDC-1450,item:773474,108.0,2586.315789
25,M-1430,item:268967,25.0,650.0
25,M-1810,item:268091,25.0,650.0
25,SDC-1450,item:773474,108.0,2694.315789
26,M-1430,item:268967,25.0,675.0
26,M-1810,item:268091,25.0,675.0
26,SDC-1450,item:773474,108.0,2802.315789
27,M-1430,item:268967,25.0,700.0
27,M-1810,item:268091,25.0,700.0
27,SDC-1450,item:773474,108.0,2910.315789
28,M-1430,item:268967,25.0,725.0
28,M-1810,item:268091,25.0,725.0
28,SDC-1450,item:773474,108.0,3018.315789
29,M-1430,item:268967,5.593559,730.593559
29,M-1810,item:268091,25.0,750.0
29,SDC-1450,item:773474,108.0,3126.315789
