day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,44.0,44.0,0.0,0.0,50.0,608.1799,36760.0882,1167.0184,76.2351,54.5015,1389.9179,0.0,0.0
1,44.0,44.0,0.0,81.2,50.0,248.1799,34651.0104,1096.3563,134.3994,85.8999,3139.8359,0.0,0.0
2,44.0,44.0,0.0,0.0,50.0,248.1799,32460.7326,1025.691,148.7994,93.0999,3499.8359,0.0,1389.9179
3,48.0,48.0,0.0,167.702,50.0,248.1799,30434.1568,955.0842,148.7994,93.0999,3499.8359,0.0,3139.8359
4,52.0,52.0,0.0,100.2304,50.0,1663.0979,28311.1094,887.1081,194.1375,107.2491,3499.8359,1389.9179,3499.8359
5,56.0,56.0,0.0,361.4297,50.0,3438.0158,26420.2613,817.9823,251.3081,124.9983,3499.8359,3139.8359,2109.9179
6,56.0,56.0,0.0,337.5296,50.0,3823.0158,24480.5131,754.0934,264.351,128.8483,3499.8359,3499.8359,360.0
7,56.0,56.0,0.0,253.5862,50.0,3693.0158,22586.8215,688.3964,207.1869,113.3573,2189.9179,3499.8359,0.0
8,52.0,52.0,0.0,170.8962,50.0,3673.0158,20634.4399,626.8413,140.6035,107.1756,540.0,3499.8359,0.0
9,48.0,27.0,21.0,256.7159,50.0,2333.0979,20132.7959,618.0243,85.2966,92.9801,200.0,3499.8359,80.0
10,44.0,65.0,0.0,441.4607,50.0,1948.0979,20162.8968,617.1817,72.2537,89.1301,200.0,3499.8359,180.0
11,44.0,31.0,13.0,3456.9237,50.0,1978.0979,21902.5427,681.1784,72.1795,101.4375,200.0,2189.9179,200.0
12,44.0,57.0,0.0,3825.6119,50.0,2178.0979,22134.9588,689.7717,79.9543,118.4468,200.0,540.0,120.0
13,48.0,35.0,13.0,3594.2312,50.0,2123.0979,21872.9943,680.1043,76.9097,120.8986,200.0,200.0,20.0
14,52.0,24.0,41.0,1460.6819,50.0,733.1799,20878.3984,660.4031,85.1787,109.183,1509.918,200.0,0.0
15,56.0,97.0,0.0,3229.384,50.0,373.1799,21939.5046,719.7931,139.343,108.5628,3159.8359,200.0,0.0
16,56.0,56.0,0.0,2052.7503,50.0,368.1799,21869.9771,720.6623,154.2276,97.3017,3499.8359,200.0,1389.918
17,56.0,39.0,17.0,707.8703,50.0,270.4799,20570.2696,659.3267,150.0638,93.3769,3502.5359,200.0,3139.8359
18,52.0,24.0,45.0,5013.0653,50.0,1677.9479,23493.2071,789.5396,195.6589,107.6546,3512.6859,1509.918,3499.8359
19,48.0,72.0,21.0,297.0045,50.0,3452.8658,21527.0838,726.6236,253.1275,125.5528,3520.1359,3159.8359,2112.6179
20,44.0,20.0,45.0,272.6812,50.0,3762.8658,19618.6373,663.5812,262.5392,128.6528,3520.1359,3499.8359,372.85
21,44.0,22.0,67.0,289.6276,50.0,3735.5658,17755.1371,600.7142,210.2707,114.1888,2210.2179,3502.5359,20.3
22,44.0,24.0,87.0,628.4729,50.0,3700.7158,16273.4822,541.5559,142.6799,107.8586,560.3,3512.6859,17.6
23,48.0,101.0,34.0,2745.1646,50.0,2343.2479,18196.4369,593.9817,86.3116,93.4876,220.3,3520.1359,87.45
24,52.0,70.0,16.0,688.6407,50.0,1958.2479,18478.8678,592.0915,73.1607,89.5836,217.6,3520.1359,180.0
25,56.0,72.0,0.0,371.3194,50.0,2088.2479,17002.0594,538.2027,77.5221,102.688,207.45,2210.2179,200.0
26,56.0,32.0,24.0,3814.7287,50.0,2085.5479,17361.4424,545.6829,75.2617,117.5213,200.0,560.3,120.0
27,56.0,30.0,50.0,243.4918,50.0,2173.0979,13724.0384,422.7216,79.3305,121.3986,200.0,220.3,20.0
28,52.0,102.0,0.0,2206.4065,50.0,733.1799,13414.7671,419.5715,85.1787,109.183,1509.918,217.6,0.0
29,48.0,48.0,0.0,3169.9644,50.0,373.1799,14472.9037,476.0928,139.343,108.5628,3159.8359,207.45,0.0
