day,src_node_id,dst_node_id,item_id,shipped_qty,pulled_qty,lead_days,arrival_day,reliability,uom
0,SDC-VD0520132A,M-1430,item:038005,0.437479,0.437479,192,192,1.0,KG
0,SDC-VD0914690A,M-1430,item:042342,180.0,180.0,15,15,1.0,UN
0,SDC-VD0525412A,M-1430,item:333362,25.0,25.0,89,89,1.0,UN
0,SDC-VD0993480A,M-1430,item:344135,25.0,25.0,32,32,1.0,UN
0,SDC-VD0520115A,M-1430,item:708073,0.19825,0.19825,18,18,1.0,KG
0,SDC-VD0508918A,M-1430,item:730384,5.3,5.3,15,15,1.0,M
0,SDC-VD1095770A,M-1430,item:734545,0.2,0.2,27,27,1.0,UN
0,SDC-1450,M-1430,item:773474,180.0,180.0,7,7,1.0,G
0,SDC-VD0951020A,M-1810,item:001757,0.0406,0.0406,144,144,1.0,KG
0,SDC-VD0519670A,M-1810,item:001848,0.03045,0.03045,17,17,1.0,KG
0,SDC-VD0910216A,M-1810,item:001893,0.19285,0.19285,12,12,1.0,KG
0,SDC-VD0910216A,M-1810,item:002612,0.05075,0.05075,67,67,1.0,KG
0,SDC-VD0514881A,M-1810,item:016332,0.01218,0.01218,85,85,1.0,KG
0,SDC-VD0519670A,M-1810,item:029313,0.001015,0.001015,60,60,1.0,KG
0,SDC-VD1096202A,M-1810,item:039668,0.001015,0.001015,30,30,1.0,KG
0,SDC-VD0520132A,M-1810,item:049371,0.037555,0.037555,268,268,1.0,KG
0,SDC-VD0914320A,M-1810,item:055703,0.00203,0.00203,42,42,1.0,KG
0,SDC-VD0505677A,M-1810,item:099439,0.05075,0.05075,23,23,1.0,KG
0,SDC-VD0901566A,M-1810,item:338928,25.0,25.0,28,28,1.0,UN
0,SDC-VD0914360C,M-1810,item:338929,25.0,25.0,19,19,1.0,UN
0,SDC-VD0989480A,M-1810,item:426331,0.275,0.275,35,35,1.0,UN
0,SDC-1450,M-1810,item:693055,10.15,10.15,58,58,1.0,G
0,M-1430,DC-1920,item:268967,25.0,25.0,2,2,1.0,UN
0,M-1810,DC-1920,item:268091,25.0,25.0,4,4,1.0,UN
0,SDC-1450,M-1810,item:007923,81.2,81.2,1,1,1.0,G
1,SDC-VD0520132A,M-1430,item:038005,0.437479,0.437479,84,85,1.0,KG
1,SDC-VD0525412A,M-1430,item:333362,25.0,25.0,66,67,1.0,UN
1,SDC-VD0993480A,M-1430,item:344135,25.0,25.0,67,68,1.0,UN
1,SDC-VD0520115A,M-1430,item:708073,0.19825,0.19825,18,19,1.0,KG
1,SDC-VD0508918A,M-1430,item:730384,5.3,5.3,42,43,1.0,M
1,SDC-VD1095770A,M-1430,item:734545,0.2,0.2,13,14,1.0,UN
1,SDC-1450,M-1430,item:773474,25.2,25.2,13,14,1.0,G
1,SDC-VD0951020A,M-1810,item:001757,0.0406,0.0406,58,59,1.0,KG
1,SDC-VD0519670A,M-1810,item:001848,0.03045,0.03045,24,25,1.0,KG
1,SDC-VD0910216A,M-1810,item:001893,0.19285,0.19285,32,33,1.0,KG
1,SDC-VD0910216A,M-1810,item:002612,0.05075,0.05075,30,31,1.0,KG
1,SDC-VD0514881A,M-1810,item:016332,0.01218,0.01218,23,24,1.0,KG
1,SDC-VD0519670A,M-1810,item:029313,0.001015,0.001015,93,94,1.0,KG
1,SDC-VD1096202A,M-1810,item:039668,0.001015,0.001015,13,14,1.0,KG
1,SDC-VD0520132A,M-1810,item:049371,0.037555,0.037555,28,29,1.0,KG
1,SDC-VD0914320A,M-1810,item:055703,0.00203,0.00203,29,30,1.0,KG
1,SDC-VD0505677A,M-1810,item:099439,0.05075,0.05075,24,25,1.0,KG
1,SDC-VD0901566A,M-1810,item:338928,25.0,25.0,32,33,1.0,UN
1,SDC-VD0914360C,M-1810,item:338929,25.0,25.0,40,41,1.0,UN
1,SDC-VD0989480A,M-1810,item:426331,0.275,0.275,29,30,1.0,UN
1,SDC-1450,M-1810,item:693055,10.15,10.15,140,141,1.0,G
1,M-1430,DC-1920,item:268967,25.0,25.0,2,3,1.0,UN
1,M-1810,DC-1920,item:268091,25.0,25.0,3,4,1.0,UN
1,SDC-VD0949099A,SDC-1450,item:021081,0.225288,0.225288,187,188,1.0,KG
1,SDC-1450,M-1810,item:007923,81.2,81.2,2,3,1.0,G
2,SDC-VD0520132A,M-1430,item:038005,0.437479,0.437479,36,38,1.0,KG
2,SDC-VD0525412A,M-1430,item:333362,25.0,25.0,120,122,1.0,UN
2,SDC-VD0993480A,M-1430,item:344135,25.0,25.0,26,28,1.0,UN
2,SDC-VD0520115A,M-1430,item:708073,0.19825,0.19825,56,58,1.0,KG
2,SDC-VD0508918A,M-1430,item:730384,5.3,5.3,23,25,1.0,M
2,SDC-VD1095770A,M-1430,item:734545,0.2,0.2,8,10,1.0,UN
2,SDC-1450,M-1430,item:773474,32.76,32.76,16,18,1.0,G
2,SDC-VD0951020A,M-1810,item:001757,0.0406,0.0406,81,83,1.0,KG
2,SDC-VD0519670A,M-1810,item:001848,0.03045,0.03045,15,17,1.0,KG
2,SDC-VD0910216A,M-1810,item:001893,0.19285,0.19285,25,27,1.0,KG
2,SDC-VD0910216A,M-1810,item:002612,0.05075,0.05075,38,40,1.0,KG
2,SDC-VD0514881A,M-1810,item:016332,0.01218,0.01218,30,32,1.0,KG
2,SDC-VD0519670A,M-1810,item:029313,0.001015,0.001015,51,53,1.0,KG
2,SDC-VD1096202A,M-1810,item:039668,0.001015,0.001015,17,19,1.0,KG
2,SDC-VD0520132A,M-1810,item:049371,0.037555,0.037555,115,117,1.0,KG
2,SDC-VD0914320A,M-1810,item:055703,0.00203,0.00203,14,16,1.0,KG
2,SDC-VD0505677A,M-1810,item:099439,0.05075,0.05075,14,16,1.0,KG
2,SDC-VD0901566A,M-1810,item:338928,25.0,25.0,45,47,1.0,UN
2,SDC-VD0914360C,M-1810,item:338929,25.0,25.0,28,30,1.0,UN
2,SDC-VD0989480A,M-1810,item:426331,0.275,0.275,18,20,1.0,UN
2,SDC-1450,M-1810,item:693055,10.15,10.15,68,70,1.0,G
2,M-1430,DC-1920,item:268967,25.0,25.0,2,4,1.0,UN
2,M-1810,DC-1920,item:268091,25.0,25.0,3,5,1.0,UN
2,DC-1920,C-XXXXX,item:268967,25.0,25.0,3,5,1.0,UN
2,SDC-VD0949099A,SDC-1450,item:021081,0.292874,0.292874,104,106,1.0,KG
2,SDC-1450,M-1810,item:007923,81.2,81.2,1,3,1.0,G
3,SDC-VD0520132A,M-1430,item:038005,0.437479,0.437479,137,140,1.0,KG
3,SDC-VD0525412A,M-1430,item:333362,25.0,25.0,40,43,1.0,UN
3,SDC-VD0993480A,M-1430,item:344135,25.0,25.0,33,36,1.0,UN
3,SDC-VD0520115A,M-1430,item:708073,0.19825,0.19825,31,34,1.0,KG
3,SDC-VD0508918A,M-1430,item:730384,5.3,5.3,55,58,1.0,M
3,SDC-VD1095770A,M-1430,item:734545,0.2,0.2,19,22,1.0,UN
3,SDC-1450,M-1430,item:773474,35.028,35.028,9,12,1.0,G
3,SDC-VD0951020A,M-1810,item:001757,0.0406,0.0406,58,61,1.0,KG
3,SDC-VD0519670A,M-1810,item:001848,0.03045,0.03045,20,23,1.0,KG
3,SDC-VD0910216A,M-1810,item:001893,0.19285,0.19285,56,59,1.0,KG
3,SDC-VD0910216A,M-1810,item:002612,0.05075,0.05075,39,42,1.0,KG
3,SDC-VD0514881A,M-1810,item:016332,0.01218,0.01218,26,29,1.0,KG
3,SDC-VD0519670A,M-1810,item:029313,0.001015,0.001015,60,63,1.0,KG
3,SDC-VD1096202A,M-1810,item:039668,0.001015,0.001015,13,16,1.0,KG
3,SDC-VD0520132A,M-1810,item:049371,0.037555,0.037555,148,151,1.0,KG
3,SDC-VD0914320A,M-1810,item:055703,0.00203,0.00203,12,15,1.0,KG
3,SDC-VD0505677A,M-1810,item:099439,0.05075,0.05075,14,17,1.0,KG
3,SDC-VD0901566A,M-1810,item:338928,25.0,25.0,81,84,1.0,UN
3,SDC-VD0914360C,M-1810,item:338929,25.0,25.0,27,30,1.0,UN
3,SDC-VD0989480A,M-1810,item:426331,0.275,0.275,33,36,1.0,UN
3,SDC-1450,M-1810,item:693055,10.15,10.15,62,65,1.0,G
3,M-1430,DC-1920,item:268967,25.0,25.0,3,6,1.0,UN
3,M-1810,DC-1920,item:268091,25.0,25.0,2,5,1.0,UN
3,DC-1920,C-XXXXX,item:268967,25.0,25.0,2,5,1.0,UN
3,SDC-VD0949099A,SDC-1450,item:021081,0.31315,0.31315,158,161,1.0,KG
3,SDC-1450,M-1810,item:007923,81.2,81.2,1,4,1.0,G
4,SDC-VD0520132A,M-1430,item:038005,0.437479,0.437479,59,63,1.0,KG
4,SDC-VD0914690A,M-1430,item:042342,1328.55,1328.55,9,13,1.0,UN
4,SDC-VD0525412A,M-1430,item:333362,25.0,25.0,41,45,1.0,UN
4,SDC-VD0993480A,M-1430,item:344135,25.0,25.0,70,74,1.0,UN
4,SDC-VD0520115A,M-1430,item:708073,0.19825,0.19825,23,27,1.0,KG
4,SDC-VD0508918A,M-1430,item:730384,5.3,5.3,104,108,1.0,M
4,SDC-VD1095770A,M-1430,item:734545,0.2,0.2,25,29,1.0,UN
4,SDC-1450,M-1430,item:773474,35.7084,35.7084,18,22,1.0,G
4,SDC-VD0951020A,M-1810,item:001757,0.0406,0.0406,109,113,1.0,KG
4,SDC-VD0519670A,M-1810,item:001848,0.03045,0.03045,11,15,1.0,KG
4,SDC-VD0910216A,M-1810,item:001893,0.19285,0.19285,13,17,1.0,KG
4,SDC-VD0910216A,M-1810,item:002612,0.05075,0.05075,25,29,1.0,KG
4,SDC-VD0514881A,M-1810,item:016332,0.01218,0.01218,70,74,1.0,KG
4,SDC-VD0519670A,M-1810,item:029313,0.001015,0.001015,69,73,1.0,KG
4,SDC-VD1096202A,M-1810,item:039668,0.001015,0.001015,35,39,1.0,KG
4,SDC-VD0520132A,M-1810,item:049371,0.037555,0.037555,131,135,1.0,KG
4,SDC-VD0914320A,M-1810,item:055703,0.00203,0.00203,3,7,1.0,KG
4,SDC-VD0505677A,M-1810,item:099439,0.05075,0.05075,44,48,1.0,KG
4,SDC-VD0901566A,M-1810,item:338928,25.0,25.0,105,109,1.0,UN
4,SDC-VD0914360C,M-1810,item:338929,25.0,25.0,38,42,1.0,UN
4,SDC-VD0989480A,M-1810,item:426331,0.275,0.275,11,15,1.0,UN
4,SDC-1450,M-1810,item:693055,10.15,10.15,130,134,1.0,G
4,M-1430,DC-1920,item:268967,25.0,25.0,2,6,1.0,UN
4,M-1810,DC-1920,item:268091,25.0,25.0,2,6,1.0,UN
4,DC-1920,C-XXXXX,item:268967,25.0,25.0,4,8,1.0,UN
4,DC-1920,C-XXXXX,item:268091,50.0,50.0,2,6,1.0,UN
4,SDC-VD0949099A,SDC-1450,item:021081,0.319233,0.319233,194,198,1.0,KG
4,SDC-1450,M-1810,item:007923,81.2,81.2,1,5,1.0,G
