day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,5142.4783,40.0,30253.9301,2298677.6552,4848.1917,6233.3893,2770.3953,13851.9763,1564039.3515,288319.866,0.0,0.0,0.0,0.0,5097.2688,0.0,3446511.4025
1,47.5,0.0,87.5,5142.4783,1003.4718,25794.2898,2282637.3986,4814.8669,6190.5432,2751.3525,13756.7627,1546293.8006,287282.0745,0.0,0.0,0.0,0.0,5097.2688,0.0,3415499.5736
2,52.5,70.0,70.0,5867.8703,1208.1662,25791.9812,2267005.852,4782.1849,6148.5235,2732.6771,13663.3855,1546810.2322,287147.2836,0.0,0.0,0.0,46.352,5097.2688,0.0,3384730.2646
3,60.0,130.0,0.0,5388.0687,1255.105,25930.6136,2250418.3016,4748.9342,6105.7725,2713.6767,13568.3834,1547429.4519,287149.2742,0.0,0.0,0.0,80.5504,5097.2688,0.0,3353960.9901
4,55.0,55.0,0.0,5171.5804,1260.4928,25854.1566,2233862.0536,4715.6473,6062.9751,2694.6556,13473.2781,1547017.4527,287148.34,0.0,0.0,0.0,94.0621,5097.2688,0.0,3323191.7225
5,50.0,45.5,4.5,7146.2342,1257.5704,25889.6419,2219425.5889,4682.4361,6020.275,2675.6778,13378.3888,1547261.6551,287148.3704,0.0,0.0,0.0,20062.7507,5097.2688,0.0,3292422.4563
6,45.0,49.5,0.0,5228.492,1252.9859,25804.6619,2203338.4326,4649.2893,5977.6577,2656.7367,13283.6837,1546915.7786,287062.4333,0.0,0.0,0.0,24577.1946,5097.2688,0.0,3261671.772
7,40.0,40.0,0.0,9926.067,1248.069,25483.3709,2192382.9899,4620.2431,5940.3126,2640.1389,13200.6947,1545736.7591,287014.229,0.0,0.0,0.0,24550.6661,5011.5545,0.0,3230930.8749
8,47.5,47.5,0.0,5292.9584,1187.6151,24864.0321,2177151.433,4587.804,5898.6051,2621.6023,13108.0114,1543268.3841,287008.3991,0.0,0.0,0.0,24532.7935,5011.5545,0.0,3200189.9193
9,52.5,35.46,17.04,6358.3846,995.9031,24946.1526,2162576.7774,4556.0415,5857.7677,2603.4523,13017.2615,1543632.3982,287009.5835,0.0,0.0,0.0,24540.9204,5057.9065,0.0,3169448.7878
10,60.0,7.76,69.28,5216.1667,824.1103,24972.665,2146452.3551,4523.1887,5815.5283,2584.6793,12923.3963,1543649.7239,287010.357,0.0,0.0,0.0,24549.0418,5092.1049,0.0,3138707.4965
11,55.0,73.4701,50.8099,5218.3899,688.8183,24957.0683,2130260.7484,4490.2135,5773.1316,2565.8363,12829.1813,1543611.2889,287010.0122,0.0,0.0,0.0,24560.4101,5105.6166,0.0,3107966.0866
12,50.0,26.0699,74.74,7843.6752,584.8548,24896.6666,2116871.4685,4459.433,5733.5567,2548.2474,12741.237,1543359.2074,287009.0799,0.0,0.0,0.0,24556.1878,5101.8229,0.0,3077224.5878
13,45.0,50.292,69.448,5175.6047,502.6817,24840.3937,2100948.5013,4426.4317,5691.1265,2529.3896,12646.9478,1543137.2488,287008.161,0.0,0.0,0.0,24548.8473,5094.5682,0.0,3046483.0199
14,40.0,109.448,0.0,10869.2208,435.5858,24799.6111,2090820.351,4406.4628,5665.4522,2517.9787,12589.8937,1543002.9326,287007.3915,0.0,0.0,0.0,24540.8832,5086.6213,0.0,3015741.3965
15,47.5,47.5,0.0,7170.1363,389.1196,24839.2659,2076766.3586,4373.4512,5623.0087,2499.115,12495.5749,1543130.5433,287008.1514,0.0,0.0,0.0,24532.7944,5078.5359,0.0,2984999.727
16,52.5,15.6881,36.8119,7106.8647,359.9044,24925.3156,2062379.2346,4340.2977,5580.3827,2480.1701,12400.8505,1543516.4274,287009.3751,0.0,0.0,0.0,24540.9206,5086.6628,0.0,2954258.027
17,60.0,74.5307,22.2812,9892.3473,347.8107,24947.3638,2050420.161,4309.33,5540.5671,2462.4743,12312.3713,1543508.9072,287010.104,0.0,0.0,0.0,24549.0419,5094.7842,0.0,2923516.3099
18,55.0,27.5,49.7812,5189.3171,339.7185,24881.6961,2033975.3807,4276.1469,5497.9032,2443.5125,12217.5626,1543191.7974,287009.2585,0.0,0.0,0.0,24560.4101,5106.1525,0.0,2892774.5879
19,50.0,78.39,21.3912,5221.6125,331.0148,24943.9124,2017613.0088,4242.8525,5455.096,2424.4871,12122.4356,1543622.1583,287009.5524,0.0,0.0,0.0,24556.1878,5101.9301,0.0,2862032.8621
20,45.0,45.613,20.7782,7489.3079,318.6617,24916.9082,2003357.7613,4209.9623,5412.8087,2405.6927,12028.4637,1543563.098,287008.9262,0.0,0.0,0.0,24548.8473,4702.795,0.0,2830913.9922
21,40.0,22.9689,37.8094,5000.5895,302.3339,24820.3439,1982283.115,4166.1118,5356.4294,2380.6353,11903.1765,1543146.4706,286975.2584,0.0,0.0,0.0,24540.8832,75.071,0.0,2793045.5056
22,47.5,41.4037,43.9056,7250.7232,292.6716,24850.5962,1963197.336,4122.4976,5300.354,2355.7129,11778.5645,1543221.7508,286975.9243,0.0,0.0,0.0,24525.7022,66.9822,0.0,2755177.006
23,52.5,11.9863,84.4194,5000.031,290.1068,24887.958,1941663.7099,4078.5511,5243.8514,2330.6006,11653.003,1543336.657,286976.6611,0.0,0.0,0.0,24533.8284,75.1084,0.0,2717308.4995
24,60.0,25.6249,118.7945,5064.4747,297.3027,24937.7812,1919873.6412,4034.552,5187.2811,2305.4583,11527.2914,1543483.7218,286977.6677,0.0,0.0,0.0,24541.9497,83.2297,0.0,2679439.9933
25,55.0,71.7637,102.0307,6334.6888,303.17,24874.6039,1901374.9724,3991.6444,5132.1142,2280.9397,11404.6983,1543180.4726,286976.8471,0.0,0.0,0.0,24553.3179,1980.2854,0.0,2643457.1821
26,50.0,130.6395,21.3912,7561.8941,304.568,24949.5687,1902229.6936,3989.7471,5129.6748,2279.8555,11399.2774,1543569.1964,287106.6302,0.0,0.0,0.0,24549.0956,20062.8579,0.0,2634472.8022
27,45.0,66.2471,0.1441,7503.0638,299.5245,24947.5254,1907792.4056,3998.215,5140.5622,2284.6943,11423.4715,1543620.9114,287138.594,0.0,0.0,0.0,24570.1239,24577.2161,0.0,2632238.0286
28,40.0,20.0,20.1441,11827.3015,288.486,24800.0439,1918029.6156,4007.3655,5152.327,2289.9231,11449.6156,1543003.6236,287009.3692,0.0,0.0,0.0,24569.252,24550.6704,0.0,2630003.2497
29,47.5,67.6441,0.0,9728.0035,282.6513,24827.8663,1925873.4877,4016.2545,5163.7558,2295.0026,11475.0128,1543093.6395,286977.5422,0.0,0.0,0.0,24533.2271,24532.7944,0.0,2627768.461
