day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,6.299703,5.94972
0,M-1430,item:042342,21723.12,20516.28
0,M-1430,item:333362,360.0,340.0
0,M-1430,item:344135,360.0,340.0
0,M-1430,item:708073,2.8548,2.6962
0,M-1430,item:730384,76.32,72.08
0,M-1430,item:734545,2.88,2.72
0,M-1430,item:773474,3475.69848,3282.60412
0,M-1810,item:001757,0.58464,0.55216
0,M-1810,item:001848,0.43848,0.41412
0,M-1810,item:001893,2.77704,2.62276
0,M-1810,item:002612,0.7308,0.6902
0,M-1810,item:007923,1169.28,1104.32
0,M-1810,item:016332,0.175392,0.165648
0,M-1810,item:029313,0.014616,0.013804
0,M-1810,item:039668,0.014616,0.013804
0,M-1810,item:049371,0.540792,0.510748
0,M-1810,item:055703,0.029232,0.027608
0,M-1810,item:099439,0.7308,0.6902
0,M-1810,item:338928,360.0,340.0
0,M-1810,item:338929,360.0,340.0
0,M-1810,item:426331,3.96,3.74
0,M-1810,item:693055,146.16,138.04
0,SDC-1450,item:021081,64368.0,64368.0
1,M-1430,item:038005,6.99967,6.667186
1,M-1430,item:042342,24136.8,22990.302
1,M-1430,item:333362,400.0,381.0
1,M-1430,item:344135,400.0,381.0
1,M-1430,item:708073,3.172,3.02133
1,M-1430,item:730384,84.8,80.772
1,M-1430,item:734545,3.2,3.048
1,M-1430,item:773474,3861.8872,3678.447558
1,M-1810,item:001757,0.6496,0.618744
1,M-1810,item:001848,0.4872,0.464058
1,M-1810,item:001893,3.0856,2.939034
1,M-1810,item:002612,0.812,0.77343
1,M-1810,item:007923,1727.771429,1666.059429
1,M-1810,item:016332,0.19488,0.185623
1,M-1810,item:029313,0.01624,0.015469
1,M-1810,item:039668,0.01624,0.015469
1,M-1810,item:049371,0.60088,0.572338
1,M-1810,item:055703,0.03248,0.030937
1,M-1810,item:099439,0.812,0.77343
1,M-1810,item:338928,400.0,381.0
1,M-1810,item:338929,400.0,381.0
1,M-1810,item:426331,4.4,4.191
1,M-1810,item:693055,162.4,154.686
1,SDC-1450,item:021081,75096.0,75089.094946
2,M-1430,item:038005,7.717137,7.283157
2,M-1430,item:042342,26610.822,25114.3404
2,M-1430,item:333362,441.0,416.2
2,M-1430,item:344135,441.0,416.2
2,M-1430,item:708073,3.49713,3.300466
2,M-1430,item:730384,93.492,88.2344
2,M-1430,item:734545,3.528,3.3296
2,M-1430,item:773474,4257.730638,4018.293632
2,M-1810,item:001757,0.716184,0.675909
2,M-1810,item:001848,0.537138,0.506932
2,M-1810,item:001893,3.401874,3.210567
2,M-1810,item:002612,0.89523,0.844886
2,M-1810,item:007923,2094.630858,2014.080458
2,M-1810,item:016332,0.214855,0.202773
2,M-1810,item:029313,0.017905,0.016898
2,M-1810,item:039668,0.017905,0.016898
2,M-1810,item:049371,0.66247,0.625216
2,M-1810,item:055703,0.035809,0.033795
2,M-1810,item:099439,0.89523,0.844886
2,M-1810,item:338928,441.0,416.2
2,M-1810,item:338929,441.0,416.2
2,M-1810,item:426331,4.851,4.5782
2,M-1810,item:693055,179.046,168.9772
2,SDC-1450,item:021081,85817.094946,85808.808881
3,M-1430,item:038005,8.333108,7.826331
3,M-1430,item:042342,28734.8604,26987.35608
3,M-1430,item:333362,476.2,447.24
