day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,4479.542857
0,SDC-1450,item:021081,100128.0
0,SDC-1450,item:693055,1126.514286
0,SDC-1450,item:773474,1158.56616
0,SDC-VD0500655A,item:002612,194.432219
0,SDC-VD0505677A,item:099439,214.9496
0,SDC-VD0508918A,item:730384,583.828572
0,SDC-VD0514881A,item:016332,193.088359
0,SDC-VD0518684A,item:001893,189.879091
0,SDC-VD0519670A,item:001848,189.17663
0,SDC-VD0519670A,item:029313,194.505299
0,SDC-VD0520115A,item:708073,181.176143
0,SDC-VD0520132A,item:038005,165.815603
0,SDC-VD0520132A,item:049371,179.064307
0,SDC-VD0525412A,item:333362,2781.818182
0,SDC-VD0901566A,item:338928,2787.5
0,SDC-VD0910216A,item:001893,170.228572
0,SDC-VD0910216A,item:002612,191.508207
0,SDC-VD0914320A,item:055703,194.412958
0,SDC-VD0914360C,item:338929,2774.025974
0,SDC-VD0914690A,item:042342,162169.125
0,SDC-VD0949099A,item:021081,498405.0
0,SDC-VD0951020A,item:001757,185.270423
0,SDC-VD0951020A,item:001848,212.602665
0,SDC-VD0960508A,item:021081,498405.0
0,SDC-VD0964290A,item:055703,194.552492
0,SDC-VD0972460A,item:021081,498405.0
0,SDC-VD0975221A,item:021081,498405.0
0,SDC-VD0989480A,item:426331,175.957143
0,SDC-VD0990780A,item:002612,193.757447
0,SDC-VD0993480A,item:344135,2787.5
0,SDC-VD1091642A,item:001893,176.083249
0,SDC-VD1091642A,item:002612,194.432219
0,SDC-VD1095770A,item:734545,185.217143
0,SDC-VD1096202A,item:039668,194.568635
1,SDC-1450,item:007923,4674.973715
1,SDC-1450,item:021081,110849.440198
1,SDC-1450,item:693055,1116.228571
1,SDC-1450,item:773474,1708.885086
1,SDC-VD0500655A,item:002612,209.087433
1,SDC-VD0505677A,item:099439,254.28603
1,SDC-VD0508918A,item:730384,574.057143
1,SDC-VD0514881A,item:016332,207.736244
1,SDC-VD0518684A,item:001893,204.521577
1,SDC-VD0519670A,item:001848,203.817573
1,SDC-VD0519670A,item:029313,209.16167
1,SDC-VD0520115A,item:708073,195.682615
1,SDC-VD0520132A,item:038005,151.631206
1,SDC-VD0520132A,item:049371,193.692907
1,SDC-VD0525412A,item:333362,2763.636364
1,SDC-VD0901566A,item:338928,2775.0
1,SDC-VD0910216A,item:001893,184.783118
1,SDC-VD0910216A,item:002612,206.13835
1,SDC-VD0914320A,item:055703,209.069021
1,SDC-VD0914360C,item:338929,2748.051948
1,SDC-VD0914690A,item:042342,161414.85
1,SDC-VD0949099A,item:021081,496170.0
1,SDC-VD0951020A,item:001757,199.896709
1,SDC-VD0951020A,item:001848,247.547179
1,SDC-VD0960508A,item:021081,496170.0
1,SDC-VD0964290A,item:055703,209.209172
1,SDC-VD0972460A,item:021081,496170.0
1,SDC-VD0975221A,item:021081,496170.0
1,SDC-VD0989480A,item:426331,190.405285
1,SDC-VD0990780A,item:002612,208.406875
1,SDC-VD0993480A,item:344135,2775.0
1,SDC-VD1091642A,item:001893,190.711079
1,SDC-VD1091642A,item:002612,209.087433
1,SDC-VD1095770A,item:734545,199.722285
1,SDC-VD1096202A,item:039668,209.225006
2,SDC-1450,item:007923,4851.566172
2,SDC-1450,item:021081,121570.552407
2,SDC-1450,item:693055,1105.942857
2,SDC-1450,item:773474,2239.894576
2,SDC-VD0500655A,item:002612,223.742058
2,SDC-VD0505677A,item:099439,293.610686
2,SDC-VD0508918A,item:730384,564.285715
2,SDC-VD0514881A,item:016332,222.381304
2,SDC-VD0518684A,item:001893,219.159589
2,SDC-VD0519670A,item:001848,218.453571
2,SDC-VD0519670A,item:029313,223.817806
2,SDC-VD0520115A,item:708073,210.143094
2,SDC-VD0520132A,item:038005,137.446808
2,SDC-VD0520132A,item:049371,208.312795
2,SDC-VD0525412A,item:333362,2745.454545
2,SDC-VD0901566A,item:338928,2762.5
2,SDC-VD0910216A,item:001893,199.306346
2,SDC-VD0910216A,item:002612,220.760252
2,SDC-VD0914320A,item:055703,223.724754
2,SDC-VD0914360C,item:338929,2722.077922
2,SDC-VD0914690A,item:042342,160660.575
2,SDC-VD0949099A,item:021081,493935.0
2,SDC-VD0951020A,item:001757,214.513577
2,SDC-VD0951020A,item:001848,282.489573
2,SDC-VD0960508A,item:021081,493935.0
2,SDC-VD0964290A,item:055703,223.86571
2,SDC-VD0972460A,item:021081,493935.0
2,SDC-VD0975221A,item:021081,493935.0
2,SDC-VD0989480A,item:426331,204.789628
2,SDC-VD0990780A,item:002612,223.053949
2,SDC-VD0993480A,item:344135,2762.5
2,SDC-VD1091642A,item:001893,205.32996
2,SDC-VD1091642A,item:002612,223.742058
2,SDC-VD1095770A,item:734545,214.181028
2,SDC-VD1096202A,item:039668,223.881142
3,SDC-1450,item:007923,5014.64695
3,SDC-1450,item:021081,132292.548462
3,SDC-1450,item:693055,1095.657142
3,SDC-1450,item:773474,2631.876127
3,SDC-VD0500655A,item:002612,238.396261
3,SDC-VD0505677A,item:099439,332.926897
3,SDC-VD0508918A,item:730384,554.514286
3,SDC-VD0514881A,item:016332,237.024338
3,SDC-VD0518684A,item:001893,233.794392
3,SDC-VD0519670A,item:001848,233.086022
3,SDC-VD0519670A,item:029313,238.473772
3,SDC-VD0520115A,item:708073,224.570584
3,SDC-VD0520132A,item:038005,123.262411
3,SDC-VD0520132A,item:049371,222.926434
3,SDC-VD0525412A,item:333362,2727.272727
3,SDC-VD0901566A,item:338928,2750.0
3,SDC-VD0910216A,item:001893,213.80711
3,SDC-VD0910216A,item:002612,235.376242
3,SDC-VD0914320A,item:055703,238.38025
3,SDC-VD0914360C,item:338929,2696.103896
3,SDC-VD0914690A,item:042342,159906.3
3,SDC-VD0949099A,item:021081,491700.0
3,SDC-VD0951020A,item:001757,229.123688
3,SDC-VD0951020A,item:001848,317.430448
3,SDC-VD0960508A,item:021081,491700.0
3,SDC-VD0964290A,item:055703,238.522147
3,SDC-VD0972460A,item:021081,491700.0
3,SDC-VD0975221A,item:021081,491700.0
3,SDC-VD0989480A,item:426331,219.12821
3,SDC-VD0990780A,item:002612,237.699334
3,SDC-VD0993480A,item:344135,2750.0
3,SDC-VD1091642A,item:001893,219.942423
3,SDC-VD1091642A,item:002612,238.396261
3,SDC-VD1095770A,item:734545,228.60649
3,SDC-VD1096202A,item:039668,238.537108
4,SDC-1450,item:007923,5181.521391
4,SDC-1450,item:021081,143015.42215
4,SDC-1450,item:693055,1085.371428
4,SDC-1450,item:773474,2936.965216
4,SDC-VD0500655A,item:002612,253.050583
4,SDC-VD0505677A,item:099439,372.245479
4,SDC-VD0508918A,item:730384,544.742858
4,SDC-VD0514881A,item:016332,251.66794
4,SDC-VD0518684A,item:001893,248.430096
4,SDC-VD0519670A,item:001848,247.71947
4,SDC-VD0519670A,item:029313,253.129787
4,SDC-VD0520115A,item:708073,239.007336
4,SDC-VD0520132A,item:038005,109.078014
4,SDC-VD0520132A,item:049371,237.541828
4,SDC-VD0525412A,item:333362,2709.090909
4,SDC-VD0901566A,item:338928,2737.5
4,SDC-VD0910216A,item:001893,228.314181
4,SDC-VD0910216A,item:002612,249.993893
4,SDC-VD0914320A,item:055703,253.035813
4,SDC-VD0914360C,item:338929,2670.12987
4,SDC-VD0914690A,item:042342,159152.025
4,SDC-VD0949099A,item:021081,489465.0
4,SDC-VD0951020A,item:001757,243.735697
4,SDC-VD0951020A,item:001848,352.371749
4,SDC-VD0960508A,item:021081,489465.0
4,SDC-VD0964290A,item:055703,253.178613
4,SDC-VD0972460A,item:021081,489465.0
4,SDC-VD0975221A,item:021081,489465.0
4,SDC-VD0989480A,item:426331,233.479641
4,SDC-VD0990780A,item:002612,252.345193
4,SDC-VD0993480A,item:344135,2737.5
4,SDC-VD1091642A,item:001893,234.556688
4,SDC-VD1091642A,item:002612,253.050583
4,SDC-VD1095770A,item:734545,243.041297
4,SDC-VD1096202A,item:039668,253.193123
5,SDC-1450,item:007923,5355.650565
5,SDC-1450,item:021081,153739.016863
5,SDC-1450,item:693055,1075.085714
5,SDC-1450,item:773474,3182.96743
5,SDC-VD0500655A,item:002612,267.705131
5,SDC-VD0505677A,item:099439,411.568596
5,SDC-VD0508918A,item:730384,534.97143
5,SDC-VD0514881A,item:016332,266.312631
5,SDC-VD0518684A,item:001893,263.067522
5,SDC-VD0519670A,item:001848,262.354821
5,SDC-VD0519670A,item:029313,267.785892
5,SDC-VD0520115A,item:708073,253.4618
5,SDC-VD0520132A,item:038005,114.711728
5,SDC-VD0520132A,item:049371,252.160577
5,SDC-VD0525412A,item:333362,2690.909091
5,SDC-VD0901566A,item:338928,2725.0
5,SDC-VD0910216A,item:001893,242.833314
5,SDC-VD0910216A,item:002612,264.614717
