day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,7.262158,6.912175
0,M-1430,item:042342,25041.93,23835.09
0,M-1430,item:333362,415.0,395.0
0,M-1430,item:344135,415.0,395.0
0,M-1430,item:708073,3.29095,3.13235
0,M-1430,item:730384,87.98,83.74
0,M-1430,item:734545,3.32,3.16
0,M-1430,item:773474,4006.70797,3813.61361
0,M-1810,item:001757,0.67396,0.64148
0,M-1810,item:001848,0.50547,0.48111
0,M-1810,item:001893,3.20131,3.04703
0,M-1810,item:002612,0.84245,0.80185
0,M-1810,item:007923,1347.92,1282.96
0,M-1810,item:016332,0.202188,0.192444
0,M-1810,item:029313,0.016849,0.016037
0,M-1810,item:039668,0.016849,0.016037
0,M-1810,item:049371,0.623413,0.593369
0,M-1810,item:055703,0.033698,0.032074
0,M-1810,item:099439,0.84245,0.80185
0,M-1810,item:338928,415.0,395.0
0,M-1810,item:338929,415.0,395.0
0,M-1810,item:426331,4.565,4.345
0,M-1810,item:693055,168.49,160.37
0,SDC-1450,item:021081,74202.0,74202.0
1,M-1430,item:038005,8.049621,7.717137
1,M-1430,item:042342,27757.32,26610.822
1,M-1430,item:333362,460.0,441.0
1,M-1430,item:344135,460.0,441.0
1,M-1430,item:708073,3.6478,3.49713
1,M-1430,item:730384,97.52,93.492
1,M-1430,item:734545,3.68,3.528
1,M-1430,item:773474,4441.17028,4257.730638
1,M-1810,item:001757,0.74704,0.716184
1,M-1810,item:001848,0.56028,0.537138
1,M-1810,item:001893,3.54844,3.401874
1,M-1810,item:002612,0.9338,0.89523
1,M-1810,item:007923,1922.651429,1860.939429
1,M-1810,item:016332,0.224112,0.214855
1,M-1810,item:029313,0.018676,0.017905
1,M-1810,item:039668,0.018676,0.017905
1,M-1810,item:049371,0.691012,0.66247
1,M-1810,item:055703,0.037352,0.035809
1,M-1810,item:099439,0.9338,0.89523
1,M-1810,item:338928,460.0,441.0
1,M-1810,item:338929,460.0,441.0
1,M-1810,item:426331,5.06,4.851
1,M-1810,item:693055,186.76,179.046
1,SDC-1450,item:021081,85824.0,85817.958077
2,M-1430,item:038005,8.854583,8.420603
2,M-1430,item:042342,30533.052,29036.5704
2,M-1430,item:333362,506.0,481.2
2,M-1430,item:344135,506.0,481.2
2,M-1430,item:708073,4.01258,3.815916
2,M-1430,item:730384,107.272,102.0144
2,M-1430,item:734545,4.048,3.8496
2,M-1430,item:773474,4885.287308,4645.850302
2,M-1810,item:001757,0.821744,0.781469
2,M-1810,item:001848,0.616308,0.586102
2,M-1810,item:001893,3.903284,3.711977
2,M-1810,item:002612,1.02718,0.976836
2,M-1810,item:007923,2273.6,2193.0496
2,M-1810,item:016332,0.246523,0.234441
2,M-1810,item:029313,0.020544,0.019537
2,M-1810,item:039668,0.020544,0.019537
2,M-1810,item:049371,0.760113,0.722859
2,M-1810,item:055703,0.041087,0.039073
2,M-1810,item:099439,1.02718,0.976836
2,M-1810,item:338928,506.0,481.2
2,M-1810,item:338929,506.0,481.2
2,M-1810,item:426331,5.566,5.2932
2,M-1810,item:693055,205.436,195.3672
2,SDC-1450,item:021081,97439.958077,97432.70777
3,M-1430,item:038005,9.55805,9.051274
3,M-1430,item:042342,32958.8004,31211.29608
3,M-1430,item:333362,546.2,517.24
3,M-1430,item:344135,546.2,517.24
3,M-1430,item:708073,4.331366,4.101713
3,M-1430,item:730384,115.7944,109.65488
3,M-1430,item:734545,4.3696,4.13792
3,M-1430,item:773474,5273.406972,4993.806338
3,M-1810,item:001757,0.887029,0.839998
3,M-1810,item:001848,0.665272,0.629998
3,M-1810,item:001893,4.213387,3.989989
3,M-1810,item:002612,1.108786,1.049997
3,M-1810,item:007923,2273.6,2179.53792
3,M-1810,item:016332,0.266109,0.251999
3,M-1810,item:029313,0.022176,0.021
3,M-1810,item:039668,0.022176,0.021
3,M-1810,item:049371,0.820502,0.776998
3,M-1810,item:055703,0.044351,0.042
3,M-1810,item:099439,1.108786,1.049997
3,M-1810,item:338928,546.2,517.24
3,M-1810,item:338929,546.2,517.24
3,M-1810,item:426331,6.0082,5.68964
3,M-1810,item:693055,221.7572,209.99944
3,SDC-1450,item:021081,109054.70777,109047.650805
4,M-1430,item:038005,10.18872,9.702383
4,M-1430,item:042342,35133.52608,33456.501216
4,M-1430,item:333362,582.24,554.448
4,M-1430,item:344135,582.24,554.448
4,M-1430,item:708073,4.617163,4.396773
4,M-1430,item:730384,123.43488,117.542976
4,M-1430,item:734545,4.65792,4.435584
4,M-1430,item:773474,5621.363008,5353.039086
4,M-1810,item:001757,0.945558,0.900424
4,M-1810,item:001848,0.709168,0.675318
4,M-1810,item:001893,4.491399,4.277012
4,M-1810,item:002612,1.181947,1.125529
4,M-1810,item:007923,2273.6,2183.331584
4,M-1810,item:016332,0.283667,0.270127
4,M-1810,item:029313,0.023639,0.022511
4,M-1810,item:039668,0.023639,0.022511
4,M-1810,item:049371,0.874641,0.832892
4,M-1810,item:055703,0.047278,0.045021
4,M-1810,item:099439,1.181947,1.125529
4,M-1810,item:338928,582.24,554.448
4,M-1810,item:338929,582.24,554.448
4,M-1810,item:426331,6.40464,6.098928
4,M-1810,item:693055,236.38944,225.105888
4,SDC-1450,item:021081,120669.650805,120663.543975
5,M-1430,item:038005,10.83983,10.392579
5,M-1430,item:042342,37378.731216,35836.486243
