day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,2805.12
0,SDC-1450,item:021081,103704.0
0,SDC-1450,item:693055,154.285714
0,SDC-1450,item:773474,4827.359
0,SDC-VD0500655A,item:002612,179.903778
0,SDC-VD0505677A,item:099439,178.173
0,SDC-VD0508918A,item:730384,155.571429
0,SDC-VD0514881A,item:016332,179.308176
0,SDC-VD0518684A,item:001893,176.180027
0,SDC-VD0519670A,item:001848,175.511914
0,SDC-VD0519670A,item:029313,179.931792
0,SDC-VD0520115A,item:708073,174.7662
0,SDC-VD0520132A,item:038005,144.539007
0,SDC-VD0520132A,item:049371,172.489
0,SDC-VD0525412A,item:333362,134.545455
0,SDC-VD0901566A,item:338928,148.75
0,SDC-VD0910216A,item:001893,155.571429
0,SDC-VD0910216A,item:002612,178.652892
0,SDC-VD0914320A,item:055703,179.81311
0,SDC-VD0914360C,item:338929,115.064935
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0949099A,item:021081,0.0
0,SDC-VD0951020A,item:001757,175.6152
0,SDC-VD0951020A,item:001848,178.076534
0,SDC-VD0960508A,item:021081,0.0
0,SDC-VD0964290A,item:055703,179.919904
0,SDC-VD0972460A,item:021081,0.0
0,SDC-VD0975221A,item:021081,0.0
0,SDC-VD0989480A,item:426331,172.74
0,SDC-VD0990780A,item:002612,179.615112
0,SDC-VD0993480A,item:344135,148.75
0,SDC-VD1091642A,item:001893,170.048816
0,SDC-VD1091642A,item:002612,179.903778
0,SDC-VD1095770A,item:734545,176.8
0,SDC-VD1096202A,item:039668,179.96346
1,SDC-1450,item:007923,2743.408
1,SDC-1450,item:021081,118008.0
1,SDC-1450,item:693055,128.571428
1,SDC-1450,item:773474,4643.919358
1,SDC-VD0500655A,item:002612,179.901849
1,SDC-VD0505677A,item:099439,178.13443
1,SDC-VD0508918A,item:730384,131.142858
1,SDC-VD0514881A,item:016332,179.298919
1,SDC-VD0518684A,item:001893,176.165371
1,SDC-VD0519670A,item:001848,175.495714
1,SDC-VD0519670A,item:029313,179.931021
1,SDC-VD0520115A,item:708073,174.61553
1,SDC-VD0520132A,item:038005,109.078014
1,SDC-VD0520132A,item:049371,172.460458
1,SDC-VD0525412A,item:333362,89.090909
1,SDC-VD0901566A,item:338928,117.5
1,SDC-VD0910216A,item:001893,155.468833
1,SDC-VD0910216A,item:002612,178.625893
1,SDC-VD0914320A,item:055703,179.81203
1,SDC-VD0914360C,item:338929,50.12987
1,SDC-VD0914690A,item:042342,0.0
1,SDC-VD0949099A,item:021081,0.0
1,SDC-VD0951020A,item:001757,175.584344
1,SDC-VD0951020A,item:001848,178.069592
1,SDC-VD0960508A,item:021081,0.0
1,SDC-VD0964290A,item:055703,179.919441
1,SDC-VD0972460A,item:021081,0.0
1,SDC-VD0975221A,item:021081,0.0
1,SDC-VD0989480A,item:426331,172.531
1,SDC-VD0990780A,item:002612,179.607398
1,SDC-VD0993480A,item:344135,117.5
1,SDC-VD1091642A,item:001893,170.019503
1,SDC-VD1091642A,item:002612,179.901849
1,SDC-VD1095770A,item:734545,176.648
1,SDC-VD1096202A,item:039668,179.962689
2,SDC-1450,item:007923,2662.8576
2,SDC-1450,item:021081,132311.67201
2,SDC-1450,item:693055,102.857142
2,SDC-1450,item:773474,4441.17028
2,SDC-VD0500655A,item:002612,179.899332
2,SDC-VD0505677A,item:099439,178.084086
2,SDC-VD0508918A,item:730384,106.714287
2,SDC-VD0514881A,item:016332,179.286837
2,SDC-VD0518684A,item:001893,176.14624
2,SDC-VD0519670A,item:001848,175.47457
2,SDC-VD0519670A,item:029313,179.930014
2,SDC-VD0520115A,item:708073,174.418866
2,SDC-VD0520132A,item:038005,87.18787
2,SDC-VD0520132A,item:049371,172.423204
2,SDC-VD0525412A,item:333362,43.636364
2,SDC-VD0901566A,item:338928,86.25
2,SDC-VD0910216A,item:001893,155.334918
2,SDC-VD0910216A,item:002612,178.590652
2,SDC-VD0914320A,item:055703,179.81062
2,SDC-VD0914360C,item:338929,0.0
2,SDC-VD0914690A,item:042342,0.0
2,SDC-VD0949099A,item:021081,0.0
2,SDC-VD0951020A,item:001757,175.544069
2,SDC-VD0951020A,item:001848,178.06053
2,SDC-VD0960508A,item:021081,0.0
2,SDC-VD0964290A,item:055703,179.918837
2,SDC-VD0972460A,item:021081,0.0
2,SDC-VD0975221A,item:021081,0.0
2,SDC-VD0989480A,item:426331,172.2582
2,SDC-VD0990780A,item:002612,179.597329
2,SDC-VD0993480A,item:344135,86.25
2,SDC-VD1091642A,item:001893,169.981241
2,SDC-VD1091642A,item:002612,179.899332
2,SDC-VD1095770A,item:734545,176.4496
2,SDC-VD1096202A,item:039668,179.961682
3,SDC-1450,item:007923,2568.79552
3,SDC-1450,item:021081,146614.915906
3,SDC-1450,item:693055,77.142856
3,SDC-1450,item:773474,4246.144976
3,SDC-VD0500655A,item:002612,179.896393
3,SDC-VD0505677A,item:099439,178.025297
3,SDC-VD0508918A,item:730384,82.285716
3,SDC-VD0514881A,item:016332,179.272727
3,SDC-VD0518684A,item:001893,176.1239
3,SDC-VD0519670A,item:001848,175.449878
3,SDC-VD0519670A,item:029313,179.928838
3,SDC-VD0520115A,item:708073,174.189213
3,SDC-VD0520132A,item:038005,86.681094
3,SDC-VD0520132A,item:049371,172.3797
3,SDC-VD0525412A,item:333362,0.0
3,SDC-VD0901566A,item:338928,55.0
3,SDC-VD0910216A,item:001893,155.17854
3,SDC-VD0910216A,item:002612,178.5495
3,SDC-VD0914320A,item:055703,179.808974
3,SDC-VD0914360C,item:338929,0.0
3,SDC-VD0914690A,item:042342,0.0
3,SDC-VD0949099A,item:021081,0.0
3,SDC-VD0951020A,item:001757,175.497038
3,SDC-VD0951020A,item:001848,178.049948
3,SDC-VD0960508A,item:021081,0.0
3,SDC-VD0964290A,item:055703,179.918132
3,SDC-VD0972460A,item:021081,0.0
3,SDC-VD0975221A,item:021081,0.0
3,SDC-VD0989480A,item:426331,171.93964
3,SDC-VD0990780A,item:002612,179.585571
3,SDC-VD0993480A,item:344135,55.0
3,SDC-VD1091642A,item:001893,169.936562
3,SDC-VD1091642A,item:002612,179.896393
3,SDC-VD1095770A,item:734545,176.21792
3,SDC-VD1096202A,item:039668,179.960506
4,SDC-1450,item:007923,2478.527104
4,SDC-1450,item:021081,160917.725475
4,SDC-1450,item:693055,51.42857
4,SDC-1450,item:773474,4110.978924
4,SDC-VD0500655A,item:002612,179.893572
4,SDC-VD0505677A,item:099439,177.968879
4,SDC-VD0508918A,item:730384,57.857145
4,SDC-VD0514881A,item:016332,179.259187
4,SDC-VD0518684A,item:001893,176.102461
4,SDC-VD0519670A,item:001848,175.426183
4,SDC-VD0519670A,item:029313,179.92771
4,SDC-VD0520115A,item:708073,173.968823
4,SDC-VD0520132A,item:038005,86.194757
4,SDC-VD0520132A,item:049371,172.337951
4,SDC-VD0525412A,item:333362,0.0
4,SDC-VD0901566A,item:338928,23.75
4,SDC-VD0910216A,item:001893,155.028468
4,SDC-VD0910216A,item:002612,178.510008
4,SDC-VD0914320A,item:055703,179.807395
4,SDC-VD0914360C,item:338929,0.0
