day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,9.97453,34394.94,570.0,570.0,4.5201,120.84,4.56,5503.18926,0.92568,0.69426,4.39698,1.1571,1851.36,0.277704,0.023142,0.023142,0.856254,0.046284,1.1571,570.0,570.0,6.27,231.42,105492.0
1,11.216972,38679.222,641.0,641.0,5.08313,135.892,5.128,6188.674238,1.040984,0.780738,4.944674,1.30123,2081.968,0.312295,0.026025,0.026025,0.96291,0.052049,1.30123,641.0,641.0,7.051,260.246,121584.0
2,12.357918,42613.5204,706.2,706.2,5.600166,149.7144,5.6496,6818.161852,1.146869,0.860152,5.447627,1.433586,2193.0496,0.344061,0.028672,0.028672,1.060854,0.057343,1.433586,706.2,706.2,7.7682,286.7172,137676.0
3,13.426068,46296.79608,767.24,767.24,6.084213,162.65488,6.13792,7407.485838,1.245998,0.934498,5.918489,1.557497,2179.53792,0.373799,0.03115,0.03115,1.152548,0.0623,1.557497,767.24,767.24,8.43964,311.49944,153768.0
4,14.514657,50050.551216,829.448,829.448,6.577523,175.842976,6.635584,8008.086536,1.347024,1.010268,6.398362,1.683779,2183.331584,0.404107,0.033676,0.033676,1.245997,0.067351,1.683779,829.448,829.448,9.123928,336.755888,169860.0
5,15.642331,53939.086243,893.8896,893.8896,7.088545,189.504595,7.151117,8630.252011,1.451677,1.088758,6.895464,1.814596,2190.586317,0.435503,0.036292,0.036292,1.342801,0.072584,1.814596,893.8896,893.8896,9.832786,362.919178,185952.0
6,16.812822,57975.261249,960.77792,960.77792,7.618969,203.684919,7.686223,9276.039878,1.560303,1.170228,7.411441,1.950379,2198.533263,0.468091,0.039008,0.039008,1.443281,0.078015,1.950379,960.77792,960.77792,10.568557,390.075836,202044.0
7,18.026874,62161.64825,1030.155584,1030.155584,8.169134,218.392984,8.241245,9945.86166,1.672973,1.25473,7.94662,2.091216,2131.551916,0.501892,0.041824,0.041824,1.5475,0.083649,2.091216,1030.155584,1030.155584,11.331711,418.243167,218136.0
8,19.197141,66197.05165,1097.031117,1097.031117,8.699457,232.570597,8.776249,10591.52607,1.781579,1.336184,8.462498,2.228902,2198.491731,0.534474,0.044539,0.044539,1.64796,0.089079,2.226973,1097.031117,1097.031117,12.067342,445.394633,234228.0
9,20.323652,70081.57433,1161.406223,1161.406223,9.209951,246.218119,9.29125,11213.04957,1.886124,1.414593,8.959088,2.359583,2115.262077,0.565837,0.047153,0.047153,1.744664,0.095386,2.357655,1161.406223,1161.406223,12.775468,471.530927,250319.948749
10,21.388915,73754.894866,1222.281245,1222.281245,9.69269,259.123624,9.77825,11800.780734,1.984985,1.488739,9.428678,2.483159,2103.8938,0.595495,0.049625,0.049625,1.836111,0.100329,2.481231,1222.281245,1222.281245,13.445094,496.246185,266411.455145
11,22.476926,77506.658973,1284.456249,1284.456249,10.185738,272.304725,10.27565,12401.062867,2.085957,1.580667,9.908296,2.609375,2088.626483,0.625787,0.052149,0.052149,1.92951,0.105378,2.607446,1284.456249,1284.456249,14.129019,521.489237,282502.469018
12,23.604485,81394.795795,1348.89125,1348.89125,10.847378,310.393516,10.79113,13023.164629,2.190599,1.678865,33.791881,2.740178,2100.189297,0.65718,0.054765,0.054765,2.026304,0.11061,2.738249,1348.89125,1348.89125,14.837804,547.649847,298593.101278
13,24.774953,85430.891159,1415.77825,1415.77825,11.377792,324.57356,11.326226,13916.340874,2.299224,1.760333,34.307847,2.875958,2198.528977,0.689767,0.057481,0.057481,2.126782,0.116041,2.87403,1415.77825,1415.77825,15.573561,574.805969,314683.489445
14,25.989,89617.262232,1485.15565,1485.15565,12.321142,339.281569,12.085712,14586.160107,2.411893,1.844835,34.843024,3.016794,2206.617795,0.723568,0.060297,0.060297,2.231001,0.123084,3.014866,1485.15565,1485.15565,16.863741,602.973194,330773.752168
15,27.159266,93832.662446,1552.03113,1552.03113,12.851465,377.887742,12.620716,15231.824007,2.520499,1.926289,35.358902,3.152552,2131.509354,0.75615,0.063012,0.063012,2.331461,0.128515,3.200967,1552.03113,1552.03113,17.599371,630.124639,346863.981257
16,28.285777,97717.184489,1616.406226,1616.406226,13.361959,391.535262,13.135717,15882.011135,2.625044,2.004698,35.855491,3.283233,2115.261871,0.787513,0.065626,0.076182,2.428165,0.133742,3.331649,1616.406226,1616.406226,18.307497,656.260928,362954.158612
17,29.35104,101390.504898,1677.281245,1677.281245,13.844698,404.440766,13.622717,16469.742279,2.723905,2.078844,36.325081,3.406809,2179.002062,0.817171,0.068098,0.078654,2.519612,0.138685,3.455225,1677.281245,1677.281245,18.977122,680.976186,379044.247795
18,30.439051,105142.26898,1739.456249,1739.456249,15.447946,442.050438,14.556796,17070.024408,2.824877,2.154573,36.804699,3.535619,2183.224412,0.847463,0.070622,0.081178,2.65476,0.301976,3.58144,1739.456249,1739.456249,19.661047,706.219237,395134.198734
19,31.56661,109030.405796,1803.89125,1803.89125,15.958916,455.710658,15.305276,16823.20155,2.929519,2.233055,37.301751,3.67818,2100.189295,0.878856,0.073238,0.083794,2.751555,0.307208,3.712243,1803.89125,1803.89125,20.369832,732.379847,411224.051503
20,32.737078,113066.501159,1870.77825,1870.77825,16.489329,469.890702,15.840372,16600.052054,3.038144,2.332106,37.817717,3.818874,2198.528976,0.911443,0.075954,0.08651,2.852032,0.312639,3.848024,1870.77825,1870.77825,21.105589,759.535969,427313.872765
21,33.951125,117252.872232,1940.15565,1940.15565,17.039492,484.598711,17.001123,16624.207386,3.150813,2.462444,38.477762,4.003457,2131.546772,0.945244,0.07877,0.089326,2.999755,0.318273,3.98886,1940.15565,1940.15565,21.868741,787.703194,443403.724482
22,35.121391,121288.272446,2007.03113,2007.03113,17.569815,498.776313,17.536127,16400.946667,3.259419,2.543898,39.281721,4.139215,2198.491559,0.977826,0.081485,0.092041,3.100215,0.323703,4.124617,2007.03113,2007.03113,22.604371,814.854639,459493.655946
23,36.247902,125172.794489,2071.406226,2071.406226,18.080309,512.423833,18.051128,16376.69494,3.363964,2.622307,40.152519,4.302756,2190.370312,1.009189,0.110489,0.095838,3.196919,0.32893,4.297162,2071.406226,2136.341291,23.312497,840.990928,475583.617877
24,37.313165,128846.114898,2132.281245,2163.531245,18.563048,525.329337,18.538128,16095.501464,3.462825,2.696452,40.622109,4.426332,2179.002062,1.038847,0.112961,0.098309,3.288366,0.335188,4.420738,2132.281245,2197.21631,23.982122,865.706186,491673.551161
25,38.401176,132597.87898,2194.456249,2225.706249,19.259301,562.939009,19.035528,16321.083052,3.601351,2.791887,41.101727,4.555148,2183.224412,1.069139,0.115485,0.100833,3.381765,0.340236,4.546954,2194.456249,2309.521184,24.971759,890.949237,507763.389285
26,39.528736,136486.015796,2258.89125,2290.14125,19.953648,576.599229,19.735912,16823.201549,3.705994,2.935656,41.598778,4.724787,2190.564882,1.100532,0.118101,0.103449,3.478559,0.346782,4.677757,2258.89125,2373.956185,25.680544,917.109847,523853.16042
27,40.699203,140522.111159,2325.77825,2357.02825,20.484062,615.207844,20.351008,16846.874911,3.814618,3.027766,42.248659,4.860568,2198.528976,1.133119,0.120817,0.106165,3.579037,0.353793,4.813537,2325.77825,2440.843185,26.416301,944.265969,539942.92261
28,41.91325,144708.482232,2395.15565,2426.40565,21.034225,629.915853,21.091023,16647.769524,3.927287,3.155698,42.783837,5.045112,2206.617795,1.16692,0.123633,0.11011,3.683256,0.359427,4.954373,2395.15565,2510.220585,27.739897,972.433194,556032.731583
29,43.083516,148743.882446,2507.485675,2493.28113,21.944498,644.093455,22.035067,16928.851756,4.035893,3.261984,43.299714,5.180869,2198.491559,1.199502,0.126348,0.113863,3.783716,0.436807,5.090131,2462.03113,2577.096065,28.475527,999.584639,572122.632117
