node_id,item_id,item_label,safety_time_days,review_period_days,first_arrival_day,first_need_day,first_planned_receipt_day,first_actual_arrival_day,min_delta_need_minus_arrival_days,is_safety_respected,order_count,initial_stock_source_qty,day0_stock_before_production_qty,day0_arrivals_qty,max_bn_qty,max_target_stock_qty,max_target_with_backlog_qty,comment
M-1430,item:038005,038005,20.0,1,1757,1777,1757,130,20.0,1,2,37598.5325,37598.5325,0.0,0.0,347638.630416,347638.630416,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:042342,042342,5.0,1,195,200,195,20,5.0,1,23,78749996.0,78749996.0,0.0,21373136.400002,176560692.0,176560692.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:333362,333362,10.0,1,725,735,725,1,10.0,1,49,142250.0,142250.0,0.0,90200.0,7854000.0,7854000.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:344135,344135,10.0,1,558,568,558,1,10.0,1,50,0.0,0.0,0.0,385000.0,4620000.0,4620000.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:708073,708073,10.0,1,494,504,494,37,10.0,1,11,10326.88,10326.88,0.0,1365.418,30530.5,30530.5,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:730384,730384,10.0,1,711,721,711,60,10.0,1,7,68387.0,68387.0,0.0,51590.4,1567104.0,1567104.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:734545,734545,10.0,1,422,432,422,25,10.0,1,26,1641.0,1641.0,0.0,3080.0,23408.0,23408.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:773474,773474,20.0,1,686,706,686,1,20.0,1,46,14593000.0,14593000.0,0.0,0.0,14868265.72,14868265.72,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001757,001757,20.0,1,734,754,734,1,20.0,1,222,8499.654,8499.654,0.0,187.0848,23470.1292,23470.1292,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001848,001848,20.0,1,9,29,9,9,20.0,1,147,10262.646,10262.646,0.0,3549.74805,20577.6837,20577.6837,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001893,001893,15.0,1,33,48,33,33,15.0,1,177,9783.5,9783.5,0.0,8184.1683,119334.0372,119334.0372,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:002612,002612,20.0,1,9,29,9,9,20.0,1,194,153521.636719,153521.636719,0.0,175.392,153521.636719,153521.636719,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:007923,007923,15.0,1,5,20,5,5,15.0,1,2410,55018.98,55018.98,0.0,322.872594,55018.98,55018.98,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:016332,016332,7.0,1,325,332,325,51,7.0,1,178,883.02,883.02,0.0,56.12544,4165.12152,4165.12152,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:029313,029313,7.0,1,419,426,419,62,7.0,1,171,226.83,226.83,0.0,4.67712,396.67824,396.67824,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:039668,039668,7.0,1,45,52,45,45,7.0,1,220,459.695,459.695,0.0,4.67712,459.695,459.695,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:049371,049371,40.0,1,1604,1644,1604,153,40.0,1,5,4138.93,4138.93,0.0,0.0,37610.05563,37610.05563,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:055703,055703,30.0,1,14,44,14,14,30.0,1,139,569.805001,569.805001,0.0,8.18496,942.11082,942.11082,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:099439,099439,7.0,1,284,291,284,39,7.0,1,182,4972.616,4972.616,0.0,233.856,12396.195,12396.195,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:338928,338928,10.0,1,475,485,475,1,10.0,1,519,404065.0,404065.0,0.0,115200.0,12009450.0,12009450.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:338929,338929,10.0,1,352,362,352,1,10.0,1,855,354000.0,354000.0,0.0,115200.0,7327800.0,7327800.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:426331,426331,7.0,1,247,254,247,32,7.0,1,195,24159.0,24159.0,0.0,1267.2,55976.25,55976.25,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:693055,693055,20.0,1,671,691,671,1,20.0,1,677,1010000.0,1010000.0,0.0,46771.2,4875836.7,4875836.7,conforme: reception planifiee avant le jour de besoin de couverture
SDC-1450,item:021081,021081,0.0,1,48,48,48,48,0.0,1,173,1142100.0,1142100.0,0.0,526.0,1142100.0,1142100.0,conforme: reception planifiee avant le jour de besoin de couverture
