acceptable_levels,baseline_fill_rate,baseline_total_cost,cost_warning_level,ending_backlog_cross_threshold_at,ending_backlog_monotonicity,fill_rate_cross_service_threshold_at,fill_rate_max,fill_rate_min,fill_rate_monotonicity,first_unacceptable_level,levels,max_external_procured_qty_delta,max_fill_rate_drop,max_total_cost_increase,parameter_group,parameter_key,parameter_label,safe_band_high,safe_band_low,safe_direction,total_cost_cross_threshold_at,total_cost_monotonicity
"[0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",421150.3177999854,0.0,109983.88199999928,supplier_capacity_node,supplier_capacity_node::SDC-VD0951020A,Capacite fournisseur SDC-VD0951020A,1.0,0.05,lower_is_riskier,,non_monotonic
"[0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",915875.9219999909,0.0,179621.12210000306,supplier_capacity_node,supplier_capacity_node::SDC-VD0956464A,Capacite fournisseur SDC-VD0956464A,1.0,0.05,lower_is_riskier,,non_monotonic
"[0.25, 0.5, 0.75, 0.9, 1.0]",1.0,61416154.1416,0.01,,flat,0.01,1.0,1.0,flat,0.01,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",174831795.10570002,0.0,22801160.5001,supplier_stock_global,supplier_stock_scale,Stock fournisseur global,1.0,0.25,lower_is_riskier,0.01,non_monotonic
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0500655A,Capacite fournisseur SDC-VD0500655A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0505677A,Capacite fournisseur SDC-VD0505677A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",251019.58329999447,0.0,82141.93699999899,supplier_capacity_node,supplier_capacity_node::SDC-VD0508918A,Capacite fournisseur SDC-VD0508918A,1.0,0.01,lower_is_riskier,,decreasing
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,0.0,supplier_capacity_node,supplier_capacity_node::SDC-VD0514881A,Capacite fournisseur SDC-VD0514881A,1.0,0.01,lower_is_riskier,,flat
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,193.91350000351667,supplier_capacity_node,supplier_capacity_node::SDC-VD0518684A,Capacite fournisseur SDC-VD0518684A,1.0,0.01,lower_is_riskier,,non_monotonic
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",0.0,0.0,52.23700000345707,supplier_capacity_node,supplier_capacity_node::SDC-VD0519670A,Capacite fournisseur SDC-VD0519670A,1.0,0.01,lower_is_riskier,,decreasing
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,61416154.1416,,,flat,,1.0,1.0,flat,,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",466703.0406999588,0.0,77350.97150000185,supplier_capacity_node,supplier_capacity_node::SDC-VD0520115A,Capacite fournisseur SDC-VD0520115A,1.0,0.01,lower_is_riskier,,non_monotonic
