day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,1172545.8226,46286.9324,268.8359,42.7672,1035.84,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,1170371.833,46223.3385,273.3424,76.1484,2413.68,0.0,16.866,0.0
2,52.5,0.0,140.0,158.864,136.4902,506.7531,1168190.4482,46154.1908,304.8196,83.4389,2413.68,0.0,1525.416,0.0
3,60.0,0.0,200.0,122.48,178.7296,528.3275,1165992.0679,46085.0116,322.8065,88.2758,2413.68,0.0,3033.966,0.0
4,55.0,18.432,236.568,40.512,211.7165,510.1904,1163744.8725,46015.8064,312.5138,91.7033,2413.68,0.0,4542.516,0.0
5,50.0,39.6288,246.9392,448.0873,236.2556,1506.6594,1161906.2267,45946.5996,778.177,104.3527,2413.68,1035.84,5015.226,0.0
6,45.0,21.1968,270.7424,174.3968,250.4232,2324.1407,1160499.6722,45904.0288,1173.5992,113.1323,2417.9652,2413.68,4037.6618,527.9925
7,40.0,23.04,287.7024,291.2266,254.6807,2131.8578,1159606.6331,45871.4543,1078.4949,126.4972,2503.9822,2413.68,2943.8178,1055.985
8,47.5,46.08,289.1224,137.8802,260.3254,2258.7739,1158215.6824,45832.3702,1157.2008,150.7158,2573.68,2413.68,2023.7452,1583.9775
9,52.5,23.04,318.5824,233.5075,267.9019,2265.3977,1156797.8966,45788.4183,1152.7662,151.6226,2573.68,2413.68,1294.0427,2111.97
10,60.0,42.0458,336.5366,42.0458,275.3716,2199.8227,1155245.3535,45744.4555,1107.6723,151.7841,2573.68,2413.68,564.3402,2639.9625
11,55.0,46.08,345.4566,112.0772,282.0762,2267.3537,1153699.3927,45700.4881,1134.5203,144.0471,2085.5175,2417.9652,318.5151,3167.955
12,50.0,44.3409,351.1157,358.1404,287.2869,2354.0109,1152402.1475,45656.5268,1140.3188,141.2837,1255.815,2503.9822,328.3843,3695.9475
13,45.0,88.6925,307.4233,112.6925,287.3826,2330.5517,1151056.3407,45618.1538,1081.421,131.1162,312.2471,2573.68,264.4484,4241.44
14,40.0,0.0,347.4233,322.5679,281.4339,2268.8971,1150261.4471,45586.2622,1044.7354,126.7883,160.0,2573.68,192.6388,4082.6703
15,47.5,86.3973,308.5259,499.734,279.6867,2353.7013,1149272.3383,45547.8801,1090.835,127.4608,160.0,2573.68,130.8369,3668.0035
16,52.5,0.0,361.0259,324.8391,281.9126,2381.0221,1147534.205,45485.2748,1100.4222,127.9893,160.0,2085.5175,76.5369,3371.2222
17,60.0,46.08,374.9459,254.2027,285.5101,2378.3107,1144856.0423,45395.8634,1099.0415,128.3566,160.0442,1255.815,22.2369,3074.441
18,55.0,0.0,429.9459,634.3738,289.4125,2411.2565,1141630.112,45262.1747,1126.7911,119.649,138.5353,312.2471,0.0,2777.6597
19,50.0,0.0,479.9459,184.6375,292.5955,2347.9382,1137871.3094,45122.3613,1132.1331,127.7663,1367.7382,160.0,4.5084,1033.2545
20,45.0,126.7041,398.2418,378.9415,291.224,1385.2665,1135328.5391,45026.6486,730.2993,121.0095,2441.7089,160.0,348.1857,140.0
21,40.0,44.3409,393.9009,3585.0149,284.2136,495.3988,1137188.2204,45087.8355,332.2225,101.0951,2429.92,160.0,1637.3976,132.4892
22,47.5,21.3116,420.0893,2144.2859,281.6981,501.8231,1137426.1465,45102.0287,326.5156,99.3658,2429.92,160.0442,3042.1217,118.1653
23,52.5,90.4209,382.1684,2263.8081,283.368,543.9996,1137504.5866,45109.9169,339.8882,100.8617,2429.92,138.5353,4550.2251,107.7486
24,60.0,0.0,442.1684,627.2536,286.5632,1799.2415,1135961.7189,45043.2545,927.4748,113.7636,2429.92,1367.7382,4775.2478,97.332
25,55.0,23.04,474.1284,350.6143,290.1746,2397.7586,1134573.2664,44995.1962,1209.5596,120.1439,2429.92,2441.7089,3915.7918,614.9078
26,50.0,44.3516,479.7768,440.187,293.1469,2324.5254,1133320.5166,44949.2026,1174.7261,135.7763,2511.9113,2429.92,3080.6489,1081.3663
27,45.0,90.4209,434.3559,2295.9685,291.623,2270.4422,1134079.314,44981.5639,1160.3016,156.181,2589.92,2429.92,2148.3605,1583.9775
28,40.0,86.3973,387.9586,849.8447,284.5023,2139.3421,1133719.5338,44949.0043,1085.2133,152.4756,2589.92,2429.92,1130.805,2111.97
29,47.5,0.0,435.4586,176.5479,281.907,2200.083,1132512.0957,44910.3311,1114.8787,152.7145,2584.91,2429.92,279.2385,2639.9625
30,47.5,88.1258,394.8328,2016.177,280.769,2224.8843,1132990.2154,44942.3756,1096.294,136.1826,1751.9816,2429.92,287.9893,3167.955
31,47.5,23.04,419.2928,339.2425,281.3567,2326.3446,1131825.5758,44901.7487,1110.0396,130.0992,840.1106,2511.9113,300.8979,3695.9475
32,47.5,63.3467,403.446,481.9857,282.4133,2337.5004,1130829.2486,44861.8506,1077.3968,127.6286,161.3793,2589.92,239.1576,4241.44
33,47.5,0.0,450.946,1884.8925,283.4006,2334.0619,1131303.4234,44896.5284,1076.995,127.8058,166.5603,2589.92,179.8535,3885.8836
34,47.5,62.0794,436.3666,2236.9558,284.1863,2356.0789,1132040.3538,44929.1593,1092.4404,128.1504,168.48,2584.91,123.668,3510.5195
35,47.5,64.9713,418.8953,2781.255,284.7764,2377.3576,1132464.1703,44929.5256,1107.2847,128.4277,168.48,1751.9816,69.4028,3135.1654
36,47.5,0.0,466.3953,3988.0214,285.2098,2333.0591,1133294.4247,44966.2491,1077.1699,128.0481,169.2753,840.1106,15.1378,2759.8133
37,47.5,21.8649,492.0303,106.6158,285.5253,2303.6538,1129573.6199,44831.1204,1098.0517,114.9717,387.8035,161.3793,16.8409,1994.7234
38,47.5,0.0,539.5303,3943.4233,285.754,2297.5037,1129723.3016,44840.8452,1173.9796,127.9167,1921.0175,166.5603,19.565,126.5359
39,47.5,86.9477,500.0826,661.0139,285.9197,488.9712,1128389.5981,44780.1726,358.6925,108.6998,2568.32,168.48,921.0598,139.3178
40,47.5,109.4342,438.1484,210.0347,286.0396,416.0143,1126658.5445,44720.4912,317.4795,102.048,2568.32,168.48,2438.0205,126.2969
41,47.5,65.664,419.9844,832.5235,286.1264,438.6666,1125571.0351,44662.3834,332.8187,102.284,2568.32,169.2753,3954.0244,113.2761
42,47.5,43.776,423.7084,117.3569,286.1893,681.6197,1123755.7612,44602.4097,420.5961,104.7204,2568.32,387.8035,5194.1845,100.2553
43,47.5,0.0,471.2084,628.2312,286.2347,2254.2096,1122390.2824,44540.4625,1129.0951,120.4466,2568.085,1921.0175,4853.1006,87.2344
44,47.5,21.888,496.8204,5625.3678,286.2676,2379.1449,1126517.2463,44713.1177,1180.2779,124.5599,2581.477,2568.32,3887.933,587.9826
45,47.5,65.664,478.6564,544.0267,286.2914,2338.5687,1125561.3836,44673.3696,1169.3639,146.5587,2677.4615,2568.32,2929.2719,1055.985
46,47.5,21.888,504.2684,574.4766,286.3086,2280.2452,1124740.5175,44634.8417,1141.4061,156.7002,2719.84,2568.32,2023.5984,1583.9775
47,47.5,87.552,464.2164,4124.2626,286.3211,2277.8726,1127406.2572,44740.1978,1140.9287,156.6779,2719.84,2568.32,1159.9373,2111.97
48,47.5,65.664,446.0524,616.0022,286.3301,2277.8727,1126585.3982,44700.8644,1139.8008,156.1145,2691.6243,2568.085,324.4919,2639.9625
49,47.5,0.0,493.5524,2222.2362,286.3366,2271.8226,1127456.138,44733.854,1096.4269,140.8067,1814.4675,2581.477,321.4899,3167.955
50,47.5,65.664,475.3884,4022.6592,286.3413,2388.8374,1130035.7355,44840.5067,1114.6098,137.0152,856.1585,2677.4615,301.5618,3695.9475
51,47.5,0.0,522.8884,753.6741,286.3448,2332.5943,1129512.9804,44802.402,1063.446,128.0091,161.3528,2719.84,241.1853,4241.44
52,47.5,21.888,548.5004,346.1109,286.3472,2399.8828,1128490.6844,44767.7682,1122.9883,128.7859,166.535,2719.84,181.8853,3891.2752
53,47.5,43.776,552.2244,1304.0571,286.349,2334.2188,1128444.6327,44777.0506,1077.3838,128.1684,168.48,2691.6243,125.6753,3515.9237
54,47.5,87.552,512.1724,5511.1518,286.3503,2377.9948,1131639.144,44887.9293,1107.8388,128.6063,168.48,1814.4675,71.4103,3140.5721
55,47.5,21.888,537.7844,1965.0663,286.3512,2377.1195,1130395.8375,44853.9547,1107.7388,128.6078,168.99,856.1585,17.1453,2765.2205
56,47.5,21.888,563.3964,550.2817,286.3519,2309.2206,1127113.6695,44720.6664,1113.1581,116.3539,403.623,161.3528,16.8423,2002.8409
57,47.5,43.776,567.1204,195.0895,286.3524,2253.71,1123517.4275,44585.6972,1143.877,128.6192,1928.7811,166.535,26.967,134.6534
58,47.5,65.664,548.9564,170.38,286.3528,498.7006,1121704.6682,44525.8175,363.0348,109.2977,2568.32,168.48,934.1917,139.4219
59,47.5,21.888,574.5684,2620.4771,286.353,394.1291,1122494.7108,44542.1864,302.2761,101.8634,2568.32,168.48,2451.477,126.4011
60,47.5,109.44,512.6284,389.4238,286.3532,438.3947,1120920.5483,44482.6878,332.7985,102.3061,2568.32,168.99,3967.7662,113.3803
61,47.5,21.888,538.2404,109.6136,286.3533,694.8565,1119121.613,44423.361,420.0812,104.8707,2568.32,403.623,5194.1281,100.3594
62,47.5,0.0,585.7404,2253.2757,286.3534,2281.6003,1119360.528,44434.094,1143.4416,120.7339,2568.1096,1928.7811,4847.8403,87.3386
63,47.5,43.776,589.4644,1099.3111,286.3535,2380.9237,1118937.7793,44393.1634,1180.8372,124.0836,2579.5493,2568.32,3882.9019,588.1826
64,47.5,21.888,615.0764,817.0691,286.3536,2360.6492,1118275.7961,44355.3822,1184.6204,145.9147,2675.6079,2568.32,2924.2408,1055.985
65,47.5,21.888,640.6884,3864.8037,286.3536,2280.2701,1120745.2757,44461.8081,1141.4145,156.7054,2719.84,2568.32,2016.6973,1583.9775
66,47.5,109.44,578.7484,2153.1427,286.3536,2255.9849,1121440.8394,44497.2773,1125.7038,156.4625,2719.84,2568.32,1153.0362,2111.97
67,47.5,21.888,604.3604,2058.3665,286.3536,2277.8729,1122106.1684,44531.5372,1139.4807,155.9561,2683.5762,2568.1096,325.6389,2639.9625
68,47.5,43.776,608.0844,4231.8036,286.3537,2313.7247,1124897.1408,44645.8388,1126.0028,140.7036,1809.4364,2579.5493,321.572,3167.955
69,47.5,65.664,589.9204,1977.8339,286.3537,2387.0345,1125431.9497,44679.8618,1113.7451,136.486,850.8645,2675.6079,303.4439,3695.9475
70,47.5,109.44,527.9804,2326.6396,286.3537,2368.3683,1126335.4643,44716.4251,1093.5296,128.3669,161.3047,2719.84,242.9923,4241.44
71,47.5,21.888,553.5924,681.066,286.3537,2334.2188,1125716.5298,44679.9522,1077.3045,128.1291,166.4889,2719.84,183.6923,3894.418
72,47.5,43.776,557.3164,657.81,286.3537,2334.2188,1125016.1874,44642.3819,1077.3841,128.1689,168.48,2683.5762,127.4362,3519.0665
73,47.5,21.888,582.9284,3818.7115,286.3537,2377.9948,1126578.8947,44718.8808,1107.8391,128.6067,168.48,1809.4364,73.1712,3143.7149
74,47.5,21.888,608.5404,3955.4344,286.3537,2399.2494,1127297.6129,44751.484,1122.9897,128.8244,168.738,850.8645,18.9062,2768.3633
75,47.5,131.328,524.7124,3974.8614,286.3537,2249.7737,1127392.4621,44755.7084,1082.5057,116.8699,418.4468,161.3047,16.8442,2008.8751
76,47.5,0.0,572.2124,648.7098,286.3537,2275.5537,1124270.8177,44622.0652,1159.0473,129.6274,1927.5709,166.4889,42.396,140.6876
77,47.5,43.776,575.9364,2088.5991,286.3537,484.3124,1124413.1541,44640.3459,351.1064,109.5543,2568.32,168.48,946.6018,139.5261
