day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,111.119768,110.769784
0,M-1430,item:042342,54307.8,53100.96
0,M-1430,item:333362,2500.0,2480.0
0,M-1430,item:344135,1475.0,1455.0
0,M-1430,item:708073,9.31775,9.15915
0,M-1430,item:730384,492.9,488.66
0,M-1430,item:734545,7.2,7.04
0,M-1430,item:773474,4344.6231,4151.52874
0,M-1810,item:001757,5.6434,5.61092
0,M-1810,item:001848,2.83185,2.80749
0,M-1810,item:001893,17.93505,17.78077
0,M-1810,item:002612,2.99425,2.95365
0,M-1810,item:007923,700.0,635.04
0,M-1810,item:016332,0.99876,0.989016
0,M-1810,item:029313,0.094395,0.093583
0,M-1810,item:039668,0.059885,0.059073
0,M-1810,item:049371,9.125865,9.095821
0,M-1810,item:055703,0.1421,0.140476
0,M-1810,item:099439,2.99425,2.95365
0,M-1810,item:338928,2900.0,2880.0
0,M-1810,item:338929,1750.0,1730.0
0,M-1810,item:426331,12.925,12.705
0,M-1810,item:693055,1177.4,1169.28
0,SDC-1450,item:021081,889530.0,889530.0
1,M-1430,item:038005,110.769784,110.367303
1,M-1430,item:042342,53100.96,51713.094
1,M-1430,item:333362,2480.0,2457.0
1,M-1430,item:344135,1455.0,1432.0
1,M-1430,item:708073,9.15915,8.97676
1,M-1430,item:730384,488.66,483.784
1,M-1430,item:734545,7.04,6.856
1,M-1430,item:773474,4151.52874,3929.470226
1,M-1810,item:001757,5.61092,5.573568
1,M-1810,item:001848,2.80749,2.779476
1,M-1810,item:001893,17.78077,17.603348
1,M-1810,item:002612,2.95365,2.90696
1,M-1810,item:007923,635.04,560.336
1,M-1810,item:016332,0.989016,0.97781
1,M-1810,item:029313,0.093583,0.092649
1,M-1810,item:039668,0.059073,0.058139
1,M-1810,item:049371,9.095821,9.06127
1,M-1810,item:055703,0.140476,0.138608
1,M-1810,item:099439,2.95365,2.90696
1,M-1810,item:338928,2880.0,2857.0
1,M-1810,item:338929,1730.0,1707.0
1,M-1810,item:426331,12.705,12.452
1,M-1810,item:693055,1169.28,1159.942
1,SDC-1450,item:021081,889530.0,889529.640362
2,M-1430,item:038005,110.367303,109.929824
2,M-1430,item:042342,51713.094,50204.544
2,M-1430,item:333362,2457.0,2432.0
2,M-1430,item:344135,1432.0,1407.0
2,M-1430,item:708073,8.97676,8.77851
2,M-1430,item:730384,483.784,478.484
2,M-1430,item:734545,6.856,6.656
2,M-1430,item:773474,3929.470226,3688.102276
2,M-1810,item:001757,5.573568,5.532968
2,M-1810,item:001848,2.779476,2.749026
2,M-1810,item:001893,17.603348,17.410498
2,M-1810,item:002612,2.90696,2.85621
2,M-1810,item:007923,700.0,618.8
2,M-1810,item:016332,0.97781,0.96563
2,M-1810,item:029313,0.092649,0.091634
2,M-1810,item:039668,0.058139,0.057124
2,M-1810,item:049371,9.06127,9.023715
2,M-1810,item:055703,0.138608,0.136578
2,M-1810,item:099439,2.90696,2.85621
2,M-1810,item:338928,2857.0,2832.0
2,M-1810,item:338929,1707.0,1682.0
2,M-1810,item:426331,12.452,12.177
2,M-1810,item:693055,1159.942,1149.792
2,SDC-1450,item:021081,889529.640362,889528.86714
3,M-1430,item:038005,109.929824,109.492344
3,M-1430,item:042342,50204.544,48695.994
3,M-1430,item:333362,2432.0,2407.0
3,M-1430,item:344135,1407.0,1382.0
3,M-1430,item:708073,8.77851,8.58026
3,M-1430,item:730384,478.484,473.184
3,M-1430,item:734545,6.656,6.456
3,M-1430,item:773474,3688.102276,3446.734326
3,M-1810,item:001757,5.532968,5.492368
3,M-1810,item:001848,2.749026,2.718576
3,M-1810,item:001893,17.410498,17.217648
3,M-1810,item:002612,2.85621,2.80546
3,M-1810,item:007923,700.0,618.8
3,M-1810,item:016332,0.96563,0.95345
3,M-1810,item:029313,0.091634,0.090619
3,M-1810,item:039668,0.057124,0.056109
3,M-1810,item:049371,9.023715,8.98616
3,M-1810,item:055703,0.136578,0.134548
3,M-1810,item:099439,2.85621,2.80546
3,M-1810,item:338928,2832.0,2807.0
3,M-1810,item:338929,1682.0,1657.0
3,M-1810,item:426331,12.177,11.902
3,M-1810,item:693055,1149.792,1139.642
3,SDC-1450,item:021081,889528.86714,889527.716297
4,M-1430,item:038005,109.492344,109.054865
4,M-1430,item:042342,48695.994,47187.444
4,M-1430,item:333362,2407.0,2382.0
4,M-1430,item:344135,1382.0,1357.0
4,M-1430,item:708073,8.58026,8.38201
4,M-1430,item:730384,473.184,467.884
4,M-1430,item:734545,6.456,6.256
4,M-1430,item:773474,3446.734326,3205.366376
4,M-1810,item:001757,5.492368,5.451768
4,M-1810,item:001848,2.718576,2.688126
4,M-1810,item:001893,17.217648,17.024798
4,M-1810,item:002612,2.80546,2.75471
4,M-1810,item:007923,700.0,618.8
4,M-1810,item:016332,0.95345,0.94127
4,M-1810,item:029313,0.090619,0.089604
4,M-1810,item:039668,0.056109,0.055094
4,M-1810,item:049371,8.98616,8.948605
4,M-1810,item:055703,0.134548,0.132518
4,M-1810,item:099439,2.80546,2.75471
4,M-1810,item:338928,2807.0,2782.0
4,M-1810,item:338929,1657.0,1632.0
4,M-1810,item:426331,11.902,11.627
4,M-1810,item:693055,1139.642,1129.492
4,SDC-1450,item:021081,889527.716297,889526.270551
5,M-1430,item:038005,109.054865,108.617385
5,M-1430,item:042342,47187.444,45678.894
5,M-1430,item:333362,2382.0,2357.0
5,M-1430,item:344135,1357.0,1332.0
5,M-1430,item:708073,8.38201,8.18376
5,M-1430,item:730384,467.884,462.584
5,M-1430,item:734545,6.256,6.056
5,M-1430,item:773474,3427.42489,3186.05694
5,M-1810,item:001757,5.451768,5.411168
5,M-1810,item:001848,2.688126,2.657676
5,M-1810,item:001893,17.024798,16.831948
5,M-1810,item:002612,2.75471,2.70396
5,M-1810,item:007923,618.8,537.6
5,M-1810,item:016332,0.94127,0.92909
5,M-1810,item:029313,0.089604,0.088589
5,M-1810,item:039668,0.055094,0.054079
5,M-1810,item:049371,8.948605,8.91105
5,M-1810,item:055703,0.132518,0.130488
5,M-1810,item:099439,2.75471,2.70396
5,M-1810,item:338928,2782.0,2757.0
5,M-1810,item:338929,1632.0,1607.0
5,M-1810,item:426331,11.627,11.352
5,M-1810,item:693055,1129.492,1119.342
5,SDC-1450,item:021081,889526.270551,889524.605426
6,M-1430,item:038005,108.617385,108.212928
