day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,25826.0269,40.0,333.5036,856737.9897,1409.4534,1812.1544,805.402,4027.0098,1831.5258,63.7661,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
1,47.5,43.75,43.75,25986.0269,38.0,178.1697,906545.8866,1505.3654,1935.4698,860.2088,4301.044,790.6744,2.5492,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
2,52.5,26.25,70.0,25436.2669,49.6,137.3215,955422.0129,1600.8056,2058.1786,914.746,4573.7302,636.2944,2.375,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
3,60.0,130.0,0.0,25646.2669,57.92,170.6787,1004055.1886,1696.2862,2180.9394,969.3064,4846.5319,800.479,2.8766,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
4,55.0,55.0,0.0,25543.8169,55.584,75.8322,1052844.4399,1791.7048,2303.6204,1023.8313,5119.1565,278.6292,1.881,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
5,50.0,50.0,0.0,25637.8189,51.1168,66.3451,1101911.7639,1887.2487,2426.4627,1078.4278,5392.1392,237.3542,1.6959,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
6,45.0,45.0,0.0,25509.0169,46.2234,56.4298,1151050.9659,1982.7534,2549.2544,1133.002,5665.0098,194.7961,1.4979,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
7,40.0,40.0,0.0,25425.2269,41.2447,46.4289,1199881.808,2077.8763,2671.5552,1187.3579,5936.7894,151.9814,1.2973,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
8,47.5,47.5,0.0,25472.7929,46.2489,146.4555,1248462.718,2172.9687,2793.8169,1241.6964,6208.4819,695.7771,2.3986,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
9,52.5,52.5,0.0,25475.5593,51.2498,138.9787,1296859.029,2268.0327,2916.042,1296.0187,6480.0933,641.2605,2.4249,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
10,60.0,60.0,0.0,25552.4497,58.25,261.0406,1344936.9284,2363.0569,3038.2161,1350.3182,6751.5912,837.4844,3.7869,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
11,55.0,55.0,0.0,25463.1413,55.65,166.2747,1393123.985,2458.0472,3160.3464,1404.5984,7022.992,314.9799,2.8045,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
12,50.0,50.0,0.0,25641.0472,51.13,149.3955,1441682.4146,2553.1939,3282.6779,1458.968,7294.8398,270.6142,2.5868,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
13,45.0,45.0,0.0,25680.6175,46.226,131.5053,1490489.47,2648.4119,3405.101,1513.3782,7566.891,224.8381,2.3031,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
14,40.0,40.0,0.0,25509.2968,41.2452,113.4133,1539337.3777,2743.5497,3527.4211,1567.7427,7838.7135,178.7809,2.0157,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
15,47.5,47.5,0.0,25472.4857,46.249,221.5659,1587842.8661,2838.5987,3649.6269,1622.0564,8110.2821,725.8264,3.2042,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
16,52.5,52.5,0.0,25582.0931,51.2498,222.2105,1636262.4783,2933.703,3771.9039,1676.4017,8382.0086,674.5587,3.3175,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
17,60.0,60.0,0.0,25638.0961,58.25,265.6104,1684421.4542,3028.7923,3894.1615,1730.7384,8653.6922,839.3185,3.9012,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
18,55.0,55.0,0.0,25491.514,55.65,166.2764,1732636.8818,3123.7869,4016.2974,1785.0211,8925.1053,314.9849,2.8522,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
19,50.0,50.0,0.0,24554.6489,51.13,149.3955,1780108.913,3218.0168,4137.4502,1838.8667,9194.3337,270.6142,2.5868,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
20,45.0,45.0,0.0,24903.8966,46.226,131.5053,1826180.2743,3312.3919,4258.7896,1892.7954,9463.977,224.8381,2.3031,0.0,0.0,0.0,0.0,23098.7995,0.0,0.0
21,40.0,40.0,0.0,24572.2536,41.2452,113.4133,1849033.366,3353.8018,4312.0309,1916.4582,9582.2908,178.7809,2.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,47.5,47.5,0.0,24487.0481,46.249,221.5659,1871495.6442,3395.1001,4365.1287,1940.0572,9700.2861,725.8264,3.2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,52.5,52.5,0.0,24575.4883,51.2498,222.2105,1893850.879,3436.4724,4418.3216,1963.6985,9818.4925,674.5587,3.3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,60.0,60.0,0.0,24561.3832,58.25,265.6104,1915875.3692,3477.7164,4471.3496,1987.2665,9936.3325,839.3185,3.9012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
