day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,29288.3915,40.0,331.2827,964073.5145,1665.3092,2141.1118,951.6053,4758.0263,1823.2166,53.8067,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
1,47.5,43.75,43.75,29448.3915,38.0,178.1697,1017343.776,1769.4745,2275.0387,1011.1283,5055.6415,790.6744,2.5492,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
2,52.5,26.25,70.0,28963.5915,49.6,137.3215,1069747.227,1873.2216,2408.4278,1070.4124,5352.0618,636.2944,2.375,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
3,60.0,130.0,0.0,29173.5915,57.92,170.6787,1121907.7273,1977.0092,2541.8689,1129.7195,5648.5976,800.479,2.8766,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
4,55.0,55.0,0.0,29071.1415,55.584,75.8322,1174224.3032,2080.7347,2675.2303,1188.9912,5944.9562,278.6292,1.881,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
5,50.0,50.0,0.0,29165.1435,51.1168,66.3451,1226818.9519,2184.5856,2808.7529,1248.3346,6241.673,237.3542,1.6959,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
6,45.0,45.0,0.0,29036.3415,46.2234,56.4298,1279485.4785,2288.3972,2942.225,1307.6555,6538.2777,194.7961,1.4979,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
7,40.0,40.0,0.0,28952.5515,41.2447,46.4289,1331843.6453,2391.8269,3075.2061,1366.7583,6833.7913,151.9814,1.2973,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
8,47.5,47.5,0.0,29000.1175,46.2489,188.5784,1383909.757,2495.1915,3208.1034,1425.8237,7129.1186,712.6263,2.8199,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
9,52.5,52.5,0.0,29002.8839,51.2498,222.2083,1435750.163,2598.4938,3340.9206,1484.8536,7424.268,674.5524,3.2572,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
10,60.0,60.0,0.0,29205.127,58.25,265.6103,1487476.17,2701.9246,3473.903,1543.9569,7719.7845,839.3181,3.8978,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
11,55.0,55.0,0.0,29085.0639,55.65,166.2764,1539285.1475,2805.2998,3606.814,1603.0284,8015.1422,314.9849,2.8522,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
12,50.0,50.0,0.0,29188.717,51.13,149.3955,1591391.2468,2908.7702,3739.8474,1662.1544,8310.772,270.6142,2.5868,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
13,45.0,45.0,0.0,29117.5666,46.226,131.5053,1643635.2513,3012.2205,3872.855,1721.2689,8606.3443,224.8381,2.3031,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
14,40.0,40.0,0.0,28954.3384,41.2452,113.4133,1695928.2005,3115.6013,4005.7731,1780.3436,8901.7181,178.7809,2.0157,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
15,47.5,47.5,0.0,29002.6354,46.249,221.5659,1747963.8386,3218.9366,4138.6328,1839.3924,9196.9618,725.8264,3.2042,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
16,52.5,52.5,0.0,29103.4697,51.2498,222.2105,1799904.8275,3322.3561,4271.6007,1898.4892,9492.4459,674.5587,3.3175,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
17,60.0,60.0,0.0,29173.2197,58.25,265.6104,1851598.9269,3425.7476,4404.5326,1957.5701,9787.8503,839.3185,3.9012,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
18,55.0,55.0,0.0,29240.2937,55.65,166.2764,1903563.1343,3529.2276,4537.5784,2016.7015,10083.5075,314.9849,2.8522,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
19,50.0,50.0,0.0,27983.7936,51.13,149.3955,1954464.3102,3631.7284,4669.3651,2075.2734,10376.3669,270.6142,2.5868,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
20,45.0,45.0,0.0,28068.5366,46.226,131.5053,2003700.3115,3734.1795,4801.0879,2133.8168,10669.0842,224.8381,2.3031,0.0,0.0,0.0,0.0,23098.7995,0.0,0.0
21,40.0,40.0,0.0,28316.378,41.2452,113.4133,2030297.5276,3784.0091,4865.1545,2162.2909,10811.4544,178.7809,2.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,47.5,47.5,0.0,28093.5853,46.249,221.5659,2056366.343,3833.6567,4928.9872,2190.661,10953.3049,725.8264,3.2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,52.5,52.5,0.0,28160.0605,51.2498,222.2105,2082306.15,3883.3421,4992.8684,2219.0526,11095.263,674.5587,3.3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,60.0,60.0,0.0,28124.9954,58.25,265.6104,2107894.2524,3932.9651,5056.6695,2247.4087,11237.0433,839.3185,3.9012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,55.0,55.0,0.0,28087.6397,55.65,166.2764,2133648.0331,3982.5628,5120.4379,2275.7502,11378.7508,314.9849,2.8522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,50.0,50.0,0.0,28297.8431,51.13,149.3955,2159805.4859,4032.3605,5184.4635,2304.206,11521.03,270.6142,2.5868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,45.0,45.0,0.0,28153.5437,46.226,131.5053,2186027.6948,4082.0774,5248.3852,2332.6157,11663.0783,224.8381,2.3031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,40.0,40.0,0.0,27996.1243,41.2452,113.4133,2212304.6573,4131.7261,5312.2193,2360.9863,11804.9317,178.7809,2.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,47.5,47.5,0.0,28191.7436,46.249,221.5659,2238471.6309,4181.4567,5376.1586,2389.4038,11947.0191,725.8264,3.2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,47.5,47.5,0.0,28042.4388,47.2498,171.6964,2264501.1781,4231.0591,5439.9331,2417.748,12088.7402,437.2951,2.7269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,47.5,47.5,0.0,28111.5042,47.45,172.2225,2290591.6664,4280.7571,5503.8306,2446.1469,12230.7346,438.0277,2.7364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,47.5,47.5,0.0,28155.4028,47.49,172.3278,2316724.4284,4330.4715,5567.7491,2474.5552,12372.7759,438.1742,2.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,47.5,47.5,0.0,28127.2276,47.498,172.3488,2342828.6902,4380.1648,5631.6404,2502.9513,12514.7565,438.2035,2.7387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,47.5,47.5,0.0,28212.5172,47.4996,172.353,2369018.1766,4429.9453,5695.6439,2531.3973,12656.9865,438.2093,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,47.5,47.5,0.0,28030.3714,47.4999,172.3539,2395025.5042,4479.5364,5759.404,2559.7351,12798.6755,438.2105,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,47.5,47.5,0.0,28106.5653,47.5,172.354,2421109.0231,4529.2295,5823.2951,2588.1311,12940.6557,438.2107,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,47.5,47.5,0.0,28231.237,47.5,172.3541,2447317.2132,4578.9863,5887.2681,2616.5636,13082.8179,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
