day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,25712.3915,40.0,331.2827,853222.4002,1407.5351,1809.6879,804.3058,4021.5288,1823.2166,53.8067,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
1,47.5,43.75,43.75,25872.3915,38.0,178.1697,902921.5474,1503.389,1932.9287,859.0794,4295.3971,790.6744,2.5492,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
2,52.5,26.25,70.0,25387.5915,49.6,137.3215,951753.8841,1598.8247,2055.6318,913.6141,4568.0706,636.2944,2.375,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
3,60.0,130.0,0.0,25597.5915,57.92,170.6787,1000343.2702,1694.3008,2178.3868,968.1719,4840.8595,800.479,2.8766,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
4,55.0,55.0,0.0,25495.1415,55.584,75.8322,1049088.7318,1789.715,2301.0621,1022.6943,5113.4713,278.6292,1.881,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
5,50.0,50.0,0.0,25589.1435,51.1168,66.3451,1098112.2662,1885.2544,2423.8986,1077.2883,5386.4413,237.3542,1.6959,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
6,45.0,45.0,0.0,25460.3415,46.2234,56.4298,1147207.6785,1980.7547,2546.6846,1131.8598,5659.2991,194.7961,1.4979,0.0,0.0,0.0,0.0,25491.2298,0.0,0.0
7,40.0,40.0,0.0,25376.5515,41.2447,46.4289,1195994.731,2075.873,2668.9796,1186.2132,5931.0658,151.9814,1.2973,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
8,47.5,47.5,0.0,25424.1175,46.2489,188.5784,1244489.7284,2170.9262,2791.1908,1240.5293,6202.6463,712.6263,2.8199,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
9,52.5,52.5,0.0,25426.8839,51.2498,222.2083,1292759.0202,2265.9171,2913.322,1294.8098,6474.0489,674.5524,3.2572,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
10,60.0,60.0,0.0,25629.127,58.25,265.6103,1340913.9128,2361.0365,3035.6183,1349.1637,6745.8185,839.3181,3.8978,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
11,55.0,55.0,0.0,25509.0639,55.65,166.2764,1389151.7761,2456.1003,3157.8432,1403.4859,7017.4294,314.9849,2.8522,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
12,50.0,50.0,0.0,25612.717,51.13,149.3955,1437686.7611,2551.2593,3280.1906,1457.8625,7289.3123,270.6142,2.5868,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
13,45.0,45.0,0.0,25541.5666,46.226,131.5053,1486359.6513,2646.3982,3402.512,1512.2276,7561.1378,224.8381,2.3031,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
14,40.0,40.0,0.0,25378.3384,41.2452,113.4133,1535081.4863,2741.4677,3524.7441,1566.5529,7832.7647,178.7809,2.0157,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
15,47.5,47.5,0.0,25426.6354,46.249,221.5659,1583546.01,2836.4916,3646.9177,1620.8523,8104.2616,725.8264,3.2042,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
16,52.5,52.5,0.0,25527.4697,51.2498,222.2105,1631915.8846,2931.5996,3769.1995,1675.1998,8375.9989,674.5587,3.3175,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
17,60.0,60.0,0.0,25597.2197,58.25,265.6104,1680038.8698,3026.6797,3891.4454,1729.5313,8647.6564,839.3185,3.9012,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
18,55.0,55.0,0.0,25664.2937,55.65,166.2764,1728431.9629,3121.8484,4013.8051,1783.9134,8919.5668,314.9849,2.8522,0.0,0.0,0.0,0.0,25062.6584,0.0,0.0
