day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,25712.3915,40.0,331.2827,853217.5145,1407.531,1809.6828,804.3035,4021.5173,1823.2166,53.8067,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
1,47.5,43.75,43.75,25872.3915,38.0,125.6697,902964.276,1503.3809,1932.9183,859.0748,4295.3741,498.4804,2.0242,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
2,52.5,26.25,70.0,25387.5915,49.6,102.3215,951826.727,1598.8126,2055.6162,913.6072,4568.036,441.4984,2.025,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
3,60.0,130.0,0.0,25571.3415,57.92,138.1787,1000417.4773,1694.2631,2178.3382,968.1503,4840.7516,619.597,2.5516,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
4,55.0,55.0,0.0,25477.6415,55.584,90.8322,1049125.5532,1789.6587,2300.9898,1022.6621,5113.3107,362.1132,2.031,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
5,50.0,50.0,0.0,25536.6435,51.1168,101.3451,1098056.7019,1885.1509,2423.7654,1077.2291,5386.1454,432.1502,2.0459,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
6,45.0,45.0,0.0,25469.0915,46.2234,91.4298,1147120.9785,1980.6543,2546.5555,1131.8025,5659.0123,389.5921,1.8479,0.0,0.0,0.0,0.0,25486.3441,0.0,0.0
7,40.0,40.0,0.0,25376.5515,41.2447,81.4289,1195868.1453,2075.7687,2668.8454,1186.1535,5930.7676,346.7774,1.6473,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
8,47.5,47.5,0.0,25441.6175,46.2489,136.0784,1244428.257,2170.8322,2791.07,1240.4756,6202.3778,420.4323,2.2949,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
9,52.5,52.5,0.0,25479.3839,51.2498,187.2083,1292780.163,2265.8624,2913.2516,1294.7785,6473.8925,479.7564,2.9072,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
10,60.0,60.0,0.0,25594.127,58.25,233.1103,1340927.67,2360.9489,3035.5057,1349.1136,6745.5682,658.4361,3.5728,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
11,55.0,55.0,0.0,25491.5639,55.65,181.2764,1389128.1475,2455.9942,3157.7069,1403.4253,7017.1263,398.4689,3.0022,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
12,50.0,50.0,0.0,25593.967,51.13,184.3955,1437604.4968,2551.1338,3280.0291,1457.7907,7288.9536,465.4102,2.9368,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
13,45.0,45.0,0.0,25525.3166,46.226,166.5053,1486221.2513,2646.2552,3402.3282,1512.1459,7560.7293,419.6341,2.6531,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
14,40.0,40.0,0.0,25395.8384,41.2452,148.4133,1534920.7005,2741.3351,3524.5737,1566.4772,7832.3859,373.5769,2.3657,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
15,47.5,47.5,0.0,25444.1354,46.249,169.0659,1583450.3386,2836.3694,3646.7606,1620.7825,8103.9125,433.6324,2.6792,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
16,52.5,52.5,0.0,25562.4697,51.2498,187.2105,1631885.3275,2931.5022,3769.0743,1675.1441,8375.7207,479.7627,2.9675,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
17,60.0,60.0,0.0,25579.7197,58.25,233.1104,1680018.4269,3026.5639,3891.2965,1729.4651,8647.3255,658.4365,3.5762,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
18,55.0,55.0,0.0,25629.2937,55.65,181.2764,1728356.6343,3121.6997,4013.6139,1783.8284,8919.1419,398.4689,3.0022,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
19,50.0,50.0,0.0,24407.7936,51.13,184.3955,1775646.8102,3215.885,4134.7093,1837.6486,9188.243,465.4102,2.9368,0.0,0.0,0.0,0.0,25057.7727,0.0,0.0
20,45.0,45.0,0.0,24507.5366,46.226,166.5053,1821286.8115,3310.033,4255.7568,1891.4474,9457.2372,419.6341,2.6531,0.0,0.0,0.0,0.0,23098.7995,0.0,0.0
21,40.0,40.0,0.0,24759.128,41.2452,148.4133,1844291.7776,3351.5626,4309.152,1915.1787,9575.8933,373.5769,2.3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,47.5,47.5,0.0,24518.8353,46.249,169.0659,1866838.343,3392.8959,4362.2947,1938.7977,9693.9883,433.6324,2.6792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,52.5,52.5,0.0,24619.0605,51.2498,187.2105,1889272.15,3434.2947,4415.5217,1962.4541,9812.2705,479.7627,2.9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,60.0,60.0,0.0,24478.9954,58.25,233.1104,1911246.7524,3475.5446,4468.5574,1986.0255,9930.1275,658.4365,3.5762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,55.0,55.0,0.0,24529.1397,55.65,181.2764,1933427.0331,3516.8413,4521.6531,2009.6236,10048.1179,398.4689,3.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,50.0,50.0,0.0,24688.0931,51.13,184.3955,1955939.7359,3558.2958,4574.9517,2033.3119,10166.5593,465.4102,2.9368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,45.0,45.0,0.0,24561.2937,46.226,166.5053,1978534.6948,3599.6838,4628.1649,2056.9622,10284.8109,419.6341,2.6531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,40.0,40.0,0.0,24427.6243,41.2452,148.4133,2001208.1573,3641.0233,4681.3156,2080.5847,10402.9236,373.5769,2.3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,47.5,47.5,0.0,24640.7436,46.249,169.0659,2023876.6309,3682.4591,4734.5902,2104.2623,10521.3116,433.6324,2.6792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,47.5,47.5,0.0,24518.9388,47.2498,171.6964,2046382.6781,3723.7893,4787.7291,2127.8796,10639.398,437.2951,2.7269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,47.5,47.5,0.0,24526.7542,47.45,172.2225,2068888.4164,3765.1647,4840.926,2151.5227,10757.6134,438.0277,2.7364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,47.5,47.5,0.0,24553.1528,47.49,172.3278,2091418.9284,3806.5421,4894.1255,2175.1669,10875.8345,438.1742,2.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,47.5,47.5,0.0,24551.2276,47.498,172.3488,2113947.1902,3847.9199,4947.3256,2198.8114,10994.0568,438.2035,2.7387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,47.5,47.5,0.0,24654.0172,47.4996,172.353,2136578.1766,3889.3994,5000.6564,2222.5139,11112.5697,438.2093,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,47.5,47.5,0.0,24454.3714,47.4999,172.3539,2159009.5042,3930.6751,5053.7251,2246.1001,11230.5003,438.2105,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,47.5,47.5,0.0,24530.5653,47.5,172.354,2181517.0231,3972.0528,5106.925,2269.7444,11348.7222,438.2107,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,47.5,47.5,0.0,24655.237,47.5,172.3541,2204149.2132,4013.4941,5160.2067,2293.4252,11467.126,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,47.5,47.5,0.0,24579.946,47.5,172.3541,2226706.1122,4054.893,5213.4339,2317.0817,11585.4086,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,47.5,47.5,0.0,18543.4984,47.5,172.3541,2243226.5636,4096.2878,5266.6558,2340.7359,11703.6795,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,47.5,47.5,0.0,18519.3707,47.5,172.3541,2259722.8873,4137.6629,5319.8523,2364.3788,11821.894,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,47.5,47.5,0.0,18495.4982,47.5,172.3541,2276195.3384,4178.9987,5372.9983,2387.9993,11939.9963,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,47.5,47.5,0.0,18401.2238,47.5,172.3541,2292573.5152,4220.3159,5426.1205,2411.6091,12058.0456,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,47.5,47.5,0.0,18572.7305,47.5,172.3541,2309123.1987,4261.7546,5479.3988,2435.2884,12176.4418,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,47.5,47.5,0.0,18489.5519,47.5,172.3541,2325589.7035,4303.0659,5532.5133,2458.8948,12294.4741,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,47.5,47.5,0.0,18519.5226,47.5,172.3541,2342086.1791,4344.4412,5585.7101,2482.5378,12412.689,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,47.5,47.5,0.0,18448.0991,47.5,172.3541,2358511.2311,4385.777,5638.8562,2506.1583,12530.7916,438.2108,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47.5,47.5,0.0,18667.6725,47.5,172.3541,2375155.8565,4427.2744,5692.21,2529.8711,12649.3555,438.2108,2.7388,0.0,0.0,0.0,58.195,0.0,0.0,0.0
48,47.5,47.5,0.0,18495.5699,47.5,172.3541,2391628.3794,4468.6495,5745.4065,2553.514,12767.5699,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
49,47.5,47.5,0.0,18489.6053,47.5,172.3541,2408094.9376,4509.9608,5798.5211,2577.1205,12885.6024,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
50,47.5,47.5,0.0,18691.4141,47.5,172.3541,2424763.3047,4551.4386,5851.8497,2600.8221,13004.1103,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
51,47.5,47.5,0.0,18448.0889,47.5,172.3541,2441188.3466,4592.7745,5904.9958,2624.4426,13122.2128,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
52,47.5,47.5,0.0,18469.7275,47.5,172.3541,2457635.027,4634.1487,5958.1912,2648.085,13240.4249,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
53,47.5,47.5,0.0,18469.5446,47.5,172.3541,2474081.5246,4675.5032,6011.3612,2671.7161,13358.5805,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
54,47.5,47.5,0.0,18540.4953,47.5,172.3541,2490657.1679,4716.9249,6064.6178,2695.3857,13476.9284,438.2108,2.7388,0.0,0.0,0.0,77.14,58.195,0.0,0.0
55,47.5,47.5,0.0,18516.8757,47.5,172.3541,2507228.1366,4758.3233,6117.8442,2719.0419,13595.2094,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
