day,node_id,item_id,stock_end_of_day
0,DC-1920,item:268091,260.0
0,DC-1920,item:268967,260.0
1,DC-1920,item:268091,230.0
1,DC-1920,item:268967,230.0
2,DC-1920,item:268091,206.25
2,DC-1920,item:268967,206.25
3,DC-1920,item:268091,170.0
3,DC-1920,item:268967,170.0
4,DC-1920,item:268091,243.8
4,DC-1920,item:268967,180.0
5,DC-1920,item:268091,236.3
5,DC-1920,item:268967,254.052
6,DC-1920,item:268091,231.3
6,DC-1920,item:268967,288.052
7,DC-1920,item:268091,257.76
7,DC-1920,item:268967,285.552
8,DC-1920,item:268091,258.66368
8,DC-1920,item:268967,256.174336
9,DC-1920,item:268091,235.536016
9,DC-1920,item:268967,261.094416
10,DC-1920,item:268091,204.844416
10,DC-1920,item:268967,227.968883
11,DC-1920,item:268091,217.968883
11,DC-1920,item:268967,217.968883
12,DC-1920,item:268091,210.468883
12,DC-1920,item:268967,236.093777
13,DC-1920,item:268091,260.158861
13,DC-1920,item:268967,260.218755
14,DC-1920,item:268091,257.658861
14,DC-1920,item:268967,285.543751
15,DC-1920,item:268091,207.658861
15,DC-1920,item:268967,261.10875
16,DC-1920,item:268091,214.846857
16,DC-1920,item:268967,217.35875
17,DC-1920,item:268091,158.596857
17,DC-1920,item:268967,181.73135
18,DC-1920,item:268091,197.34627
18,DC-1920,item:268967,194.84435
19,DC-1920,item:268091,265.218755
19,DC-1920,item:268967,210.46887
20,DC-1920,item:268091,288.043751
20,DC-1920,item:268967,231.093774
21,DC-1920,item:268091,285.543751
21,DC-1920,item:268967,285.543751
22,DC-1920,item:268091,235.543751
22,DC-1920,item:268967,261.10875
23,DC-1920,item:268091,214.906751
23,DC-1920,item:268967,237.98135
24,DC-1920,item:268091,204.84435
24,DC-1920,item:268967,204.84435
25,DC-1920,item:268091,217.96887
25,DC-1920,item:268967,194.84435
26,DC-1920,item:268091,236.093774
26,DC-1920,item:268967,212.969254
27,DC-1920,item:268091,260.218755
27,DC-1920,item:268967,260.218755
28,DC-1920,item:268091,257.718755
28,DC-1920,item:268967,257.718755
29,DC-1920,item:268091,228.341355
29,DC-1920,item:268967,261.10875
30,DC-1920,item:268091,230.156354
30,DC-1920,item:268967,260.47175
31,DC-1920,item:268091,257.34435
31,DC-1920,item:268967,236.72175
32,DC-1920,item:268091,256.71887
32,DC-1920,item:268967,256.71887
33,DC-1920,item:268091,232.96887
33,DC-1920,item:268967,232.96887
34,DC-1920,item:268091,280.317754
34,DC-1920,item:268967,232.943851
35,DC-1920,item:268091,280.31275
35,DC-1920,item:268967,232.818755
36,DC-1920,item:268091,280.31255
36,DC-1920,item:268967,256.563551
37,DC-1920,item:268091,256.56255
37,DC-1920,item:268967,256.56255
38,DC-1920,item:268091,232.81255
38,DC-1920,item:268967,256.56251
39,DC-1920,item:268091,232.81251
39,DC-1920,item:268967,256.562508
40,DC-1920,item:268091,209.06251
40,DC-1920,item:268967,280.312508
41,DC-1920,item:268091,256.562502
41,DC-1920,item:268967,280.3125
42,DC-1920,item:268091,256.5625
42,DC-1920,item:268967,256.5625
43,DC-1920,item:268091,232.8125
43,DC-1920,item:268967,280.3125
44,DC-1920,item:268091,256.5625
44,DC-1920,item:268967,256.5625
45,DC-1920,item:268091,232.8125
45,DC-1920,item:268967,256.5625
46,DC-1920,item:268091,232.8125
46,DC-1920,item:268967,256.5625
47,DC-1920,item:268091,256.5625
47,DC-1920,item:268967,232.8125
48,DC-1920,item:268091,256.5625
48,DC-1920,item:268967,256.5625
49,DC-1920,item:268091,232.8125
49,DC-1920,item:268967,256.5625
50,DC-1920,item:268091,256.5625
50,DC-1920,item:268967,280.3125
51,DC-1920,item:268091,232.8125
51,DC-1920,item:268967,256.5625
52,DC-1920,item:268091,232.8125
52,DC-1920,item:268967,232.8125
53,DC-1920,item:268091,209.0625
53,DC-1920,item:268967,256.5625
54,DC-1920,item:268091,209.0625
54,DC-1920,item:268967,304.0625
55,DC-1920,item:268091,232.8125
55,DC-1920,item:268967,280.3125
56,DC-1920,item:268091,209.0625
56,DC-1920,item:268967,280.3125
57,DC-1920,item:268091,280.3125
57,DC-1920,item:268967,280.3125
58,DC-1920,item:268091,256.5625
58,DC-1920,item:268967,280.3125
59,DC-1920,item:268091,256.5625
59,DC-1920,item:268967,256.5625
60,DC-1920,item:268091,280.3125
60,DC-1920,item:268967,280.3125
61,DC-1920,item:268091,280.3125
61,DC-1920,item:268967,280.3125
62,DC-1920,item:268091,256.5625
62,DC-1920,item:268967,256.5625
63,DC-1920,item:268091,256.5625
63,DC-1920,item:268967,256.5625
64,DC-1920,item:268091,256.5625
64,DC-1920,item:268967,256.5625
65,DC-1920,item:268091,280.3125
65,DC-1920,item:268967,232.8125
66,DC-1920,item:268091,256.5625
66,DC-1920,item:268967,256.5625
67,DC-1920,item:268091,256.5625
67,DC-1920,item:268967,280.3125
68,DC-1920,item:268091,256.5625
68,DC-1920,item:268967,256.5625
69,DC-1920,item:268091,256.5625
69,DC-1920,item:268967,232.8125
70,DC-1920,item:268091,280.3125
70,DC-1920,item:268967,280.3125
71,DC-1920,item:268091,280.3125
71,DC-1920,item:268967,280.3125
72,DC-1920,item:268091,280.3125
72,DC-1920,item:268967,256.5625
73,DC-1920,item:268091,280.3125
73,DC-1920,item:268967,256.5625
74,DC-1920,item:268091,256.5625
74,DC-1920,item:268967,256.5625
75,DC-1920,item:268091,232.8125
75,DC-1920,item:268967,256.5625
76,DC-1920,item:268091,256.5625
76,DC-1920,item:268967,280.3125
77,DC-1920,item:268091,256.5625
77,DC-1920,item:268967,280.3125
78,DC-1920,item:268091,280.3125
78,DC-1920,item:268967,256.5625
79,DC-1920,item:268091,280.3125
79,DC-1920,item:268967,232.8125
80,DC-1920,item:268091,256.5625
80,DC-1920,item:268967,256.5625
81,DC-1920,item:268091,280.3125
81,DC-1920,item:268967,280.3125
82,DC-1920,item:268091,256.5625
82,DC-1920,item:268967,280.3125
83,DC-1920,item:268091,256.5625
83,DC-1920,item:268967,280.3125
84,DC-1920,item:268091,256.5625
84,DC-1920,item:268967,256.5625
85,DC-1920,item:268091,256.5625
85,DC-1920,item:268967,232.8125
86,DC-1920,item:268091,256.5625
86,DC-1920,item:268967,280.3125
87,DC-1920,item:268091,232.8125
87,DC-1920,item:268967,256.5625
88,DC-1920,item:268091,209.0625
88,DC-1920,item:268967,256.5625
89,DC-1920,item:268091,232.8125
89,DC-1920,item:268967,256.5625
90,DC-1920,item:268091,232.8125
90,DC-1920,item:268967,256.5625
91,DC-1920,item:268091,256.5625
91,DC-1920,item:268967,256.5625
92,DC-1920,item:268091,232.8125
92,DC-1920,item:268967,280.3125
93,DC-1920,item:268091,256.5625
93,DC-1920,item:268967,256.5625
94,DC-1920,item:268091,280.3125
94,DC-1920,item:268967,232.8125
95,DC-1920,item:268091,304.0625
95,DC-1920,item:268967,256.5625
96,DC-1920,item:268091,280.3125
96,DC-1920,item:268967,280.3125
97,DC-1920,item:268091,280.3125
97,DC-1920,item:268967,280.3125
98,DC-1920,item:268091,256.5625
98,DC-1920,item:268967,256.5625
99,DC-1920,item:268091,280.3125
99,DC-1920,item:268967,232.8125
100,DC-1920,item:268091,256.5625
100,DC-1920,item:268967,280.3125
101,DC-1920,item:268091,256.5625
101,DC-1920,item:268967,256.5625
102,DC-1920,item:268091,280.3125
102,DC-1920,item:268967,280.3125
103,DC-1920,item:268091,280.3125
103,DC-1920,item:268967,256.5625
104,DC-1920,item:268091,256.5625
104,DC-1920,item:268967,232.8125
105,DC-1920,item:268091,232.8125
105,DC-1920,item:268967,256.5625
106,DC-1920,item:268091,209.0625
106,DC-1920,item:268967,256.5625
107,DC-1920,item:268091,256.5625
107,DC-1920,item:268967,256.5625
108,DC-1920,item:268091,256.5625
108,DC-1920,item:268967,232.8125
109,DC-1920,item:268091,256.5625
109,DC-1920,item:268967,209.0625
110,DC-1920,item:268091,280.3125
110,DC-1920,item:268967,232.8125
111,DC-1920,item:268091,280.3125
111,DC-1920,item:268967,280.3125
112,DC-1920,item:268091,280.3125
112,DC-1920,item:268967,256.5625
113,DC-1920,item:268091,256.5625
113,DC-1920,item:268967,256.5625
114,DC-1920,item:268091,232.8125
114,DC-1920,item:268967,232.8125
115,DC-1920,item:268091,232.8125
115,DC-1920,item:268967,256.5625
116,DC-1920,item:268091,209.0625
116,DC-1920,item:268967,304.0625
117,DC-1920,item:268091,209.0625
117,DC-1920,item:268967,304.0625
118,DC-1920,item:268091,185.3125
118,DC-1920,item:268967,280.3125
119,DC-1920,item:268091,161.5625
119,DC-1920,item:268967,280.3125
120,DC-1920,item:268091,232.8125
120,DC-1920,item:268967,256.5625
121,DC-1920,item:268091,232.8125
121,DC-1920,item:268967,256.5625
122,DC-1920,item:268091,256.5625
122,DC-1920,item:268967,232.8125
123,DC-1920,item:268091,232.8125
123,DC-1920,item:268967,280.3125
124,DC-1920,item:268091,256.5625
124,DC-1920,item:268967,280.3125
125,DC-1920,item:268091,280.3125
125,DC-1920,item:268967,256.5625
126,DC-1920,item:268091,280.3125
126,DC-1920,item:268967,232.8125
127,DC-1920,item:268091,256.5625
127,DC-1920,item:268967,256.5625
128,DC-1920,item:268091,256.5625
128,DC-1920,item:268967,256.5625
129,DC-1920,item:268091,304.0625
129,DC-1920,item:268967,256.5625
130,DC-1920,item:268091,280.3125
130,DC-1920,item:268967,256.5625
131,DC-1920,item:268091,256.5625
131,DC-1920,item:268967,280.3125
132,DC-1920,item:268091,232.8125
132,DC-1920,item:268967,256.5625
