day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,2734.66159,2734.66159
0,M-1810,item:268091,3155.014486,3155.014486
0,SDC-1450,item:773474,28174.097862,28174.097862
1,M-1430,item:268967,2597.218032,5331.879622
1,M-1810,item:268091,1368.0,4523.014486
1,SDC-1450,item:773474,28111.21533,56285.313192
2,M-1430,item:268967,2569.729321,7901.608943
2,M-1810,item:268091,736.997103,5260.011589
2,SDC-1450,item:773474,27491.477295,83776.790487
3,M-1430,item:268967,2564.231579,10465.840521
3,M-1810,item:268091,463.397103,5723.408691
3,SDC-1450,item:773474,26831.236615,110608.027101
4,M-1430,item:268967,2563.13203,13028.972551
4,M-1810,item:268091,315.997682,6039.406374
4,SDC-1450,item:773474,26284.327711,136892.354812
5,M-1430,item:268967,2562.91212,15591.884672
5,M-1810,item:268091,223.318262,6262.724635
5,SDC-1450,item:773474,25867.343778,162759.69859
6,M-1430,item:268967,2562.868138,18154.75281
6,M-1810,item:268091,160.118725,6422.843361
6,SDC-1450,item:773474,25559.316992,188319.015582
7,M-1430,item:268967,5200.0,23354.75281
7,M-1810,item:268091,2421.409359,8844.252719
7,SDC-1450,item:773474,25334.602066,213653.617648
8,M-1430,item:268967,5200.0,28554.75281
8,M-1810,item:268091,3637.881823,12482.134542
8,SDC-1450,item:773474,30263.645388,243917.263035
9,M-1430,item:268967,5200.0,33754.75281
9,M-1810,item:268091,4401.53065,16883.665193
9,SDC-1450,item:773474,35237.631694,279154.89473
10,M-1430,item:268967,5200.0,38954.75281
10,M-1810,item:268091,4554.260416,21437.925608
10,SDC-1450,item:773474,39225.809337,318380.704067
11,M-1430,item:268967,5200.0,44154.75281
11,M-1810,item:268091,4584.806369,26022.731977
11,SDC-1450,item:773474,42219.189718,360599.893784
12,M-1430,item:268967,5200.0,49354.75281
12,M-1810,item:268091,4590.915559,30613.647536
12,SDC-1450,item:773474,44414.934571,405014.828355
13,M-1430,item:268967,5200.0,54554.75281
13,M-1810,item:268091,4592.137397,35205.784934
13,SDC-1450,item:773474,46012.003347,451026.831702
14,M-1430,item:268967,4587.219115,59141.971926
14,M-1810,item:268091,6221.844623,41427.629557
14,SDC-1450,item:773474,47169.923153,498196.754855
15,M-1430,item:268967,4253.329537,63395.301463
15,M-1810,item:268091,6547.786068,47975.415624
15,SDC-1450,item:773474,46825.183876,545021.938731
16,M-1430,item:268967,3583.668264,66978.969727
16,M-1810,item:268091,6612.974357,54588.389981
16,SDC-1450,item:773474,45604.138695,590626.077426
17,M-1430,item:268967,4052.619367,71031.589094
17,M-1810,item:268091,6626.012015,61214.401996
17,SDC-1450,item:773474,43158.963218,633785.040644
18,M-1430,item:268967,4146.409588,75177.998682
18,M-1810,item:268091,6628.619546,67843.021542
18,SDC-1450,item:773474,41863.514909,675648.555553
19,M-1430,item:268967,4165.167632,79343.166314
19,M-1810,item:268091,6629.141052,74472.162594
19,SDC-1450,item:773474,41238.205322,716886.760875
20,M-1430,item:268967,4168.919241,83512.085555
20,M-1810,item:268091,6629.245354,81101.407948
20,SDC-1450,item:773474,40908.206122,757794.966997
21,M-1430,item:268967,3960.640991,87472.726546
21,M-1810,item:268091,9729.483356,90830.891304
21,SDC-1450,item:773474,40710.512985,798505.479982
22,M-1430,item:268967,3918.985341,91391.711888
22,M-1810,item:268091,10349.530957,101180.422261
22,SDC-1450,item:773474,40176.646134,838682.126117
23,M-1430,item:268967,3910.654211,95302.366099
23,M-1810,item:268091,10473.540477,111653.962738
23,SDC-1450,item:773474,39601.883201,878284.009318
