day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,2562.857143,2562.857143,0.0,2562.857143,0.0
0,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,9090.837064
1,C-XXXXX,item:268967,2562.857143,5125.714286,0.0,5125.714286,0.0
1,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,7190.837064
2,C-XXXXX,item:268967,2562.857143,7688.571429,0.0,7688.571429,0.0
2,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,11400.0
3,C-XXXXX,item:268967,2562.857143,10251.428572,6451.847677,3799.580895,6451.847677
3,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,9500.0
4,C-XXXXX,item:268967,2562.857143,6362.438038,6362.438038,0.0,8793.710643
4,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,9500.0
5,C-XXXXX,item:268967,2562.857143,2562.857143,2431.272604,131.584539,2431.272604
5,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,9500.0
6,C-XXXXX,item:268967,2562.857143,2694.441682,2694.441682,0.0,7731.178932
6,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,9500.0
7,C-XXXXX,item:268967,6256.714286,6256.714286,5036.73725,1219.977036,5036.73725
7,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,11400.0
8,C-XXXXX,item:268967,6256.714286,7476.691322,2563.13203,4913.559292,2563.13203
8,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,6297.285714
9,C-XXXXX,item:268967,6256.714286,11170.273578,2562.91212,8607.361458,2562.91212
9,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,22783.86748
10,C-XXXXX,item:268967,6256.714286,14864.075744,0.0,14864.075744,0.0
10,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,17681.153194
11,C-XXXXX,item:268967,6256.714286,21120.79003,5200.0,15920.79003,5200.0
11,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,12578.438908
12,C-XXXXX,item:268967,6256.714286,22177.504316,0.0,22177.504316,0.0
12,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,7475.724622
13,C-XXXXX,item:268967,6256.714286,28434.218602,2562.868138,25871.350463,2562.868138
13,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,21826.444108
14,C-XXXXX,item:268967,4169.857143,30041.207606,0.0,30041.207606,0.0
14,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,16723.729822
15,C-XXXXX,item:268967,4169.857143,34211.064749,0.0,34211.064749,0.0
15,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,9357.872679
16,C-XXXXX,item:268967,4169.857143,38380.921892,20800.0,17580.921892,20800.0
16,C-XXXXX,item:268091,7365.857143,7365.857143,1992.015536,5373.841607,1992.015536
17,C-XXXXX,item:268967,4169.857143,21750.779035,5200.0,16550.779035,5200.0
17,C-XXXXX,item:268091,7365.857143,12739.69875,12739.69875,0.0,15284.213244
18,C-XXXXX,item:268967,4169.857143,20720.636178,0.0,20720.636178,0.0
18,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,21835.597344
19,C-XXXXX,item:268967,4169.857143,24890.493321,17200.296313,7690.197008,17200.296313
19,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,14469.740201
20,C-XXXXX,item:268967,4169.857143,11860.054151,5200.0,6660.054151,5200.0
20,C-XXXXX,item:268091,7365.857143,7365.857143,7103.883058,261.974085,7103.883058
21,C-XXXXX,item:268967,3908.571429,10568.62558,0.0,10568.62558,0.0
21,C-XXXXX,item:268091,11671.714286,11933.688371,0.0,11933.688371,0.0
22,C-XXXXX,item:268967,3908.571429,14477.197009,0.0,14477.197009,0.0
22,C-XXXXX,item:268091,11671.714286,23605.402657,22075.11952,1530.283137,22075.11952
23,C-XXXXX,item:268967,3908.571429,18385.768438,0.0,18385.768438,0.0
23,C-XXXXX,item:268091,11671.714286,13201.997423,7365.712292,5836.285131,7365.712292
24,C-XXXXX,item:268967,3908.571429,22294.339867,12301.24269,9993.097176,12301.24269
24,C-XXXXX,item:268091,11671.714286,17507.999417,0.0,17507.999417,0.0
25,C-XXXXX,item:268967,3908.571429,13901.668605,4169.990699,9731.677906,4169.990699
25,C-XXXXX,item:268091,11671.714286,29179.713703,7365.828173,21813.88553,7365.828173
26,C-XXXXX,item:268967,3908.571429,13640.249335,0.0,13640.249335,0.0
26,C-XXXXX,item:268091,11671.714286,33485.599816,0.0,33485.599816,0.0
27,C-XXXXX,item:268967,3908.571429,17548.820764,11738.675383,5810.145381,11738.675383
27,C-XXXXX,item:268091,11671.714286,45157.314102,10810.537063,34346.777039,10810.537063
28,C-XXXXX,item:268967,4922.285714,10732.431095,0.0,10732.431095,0.0
28,C-XXXXX,item:268091,10335.428571,44682.20561,34801.570907,9880.634703,34801.570907
29,C-XXXXX,item:268967,4922.285714,15654.716809,0.0,15654.716809,0.0
29,C-XXXXX,item:268091,10335.428571,20216.063274,20216.063274,0.0,23341.775112
30,C-XXXXX,item:268967,4922.285714,20577.002523,3908.588153,16668.41437,3908.588153
30,C-XXXXX,item:268091,10335.428571,10335.428571,3125.711838,7209.716733,3125.711838
31,C-XXXXX,item:268967,4922.285714,21590.700084,0.0,21590.700084,0.0
31,C-XXXXX,item:268091,10335.428571,17545.145304,0.0,17545.145304,0.0
32,C-XXXXX,item:268967,4922.285714,26512.985798,0.0,26512.985798,0.0
32,C-XXXXX,item:268091,10335.428571,27880.573875,0.0,27880.573875,0.0
33,C-XXXXX,item:268967,4922.285714,31435.271512,18424.111878,13011.159634,18424.111878
33,C-XXXXX,item:268091,10335.428571,38216.002446,11671.659171,26544.343276,11671.659171
34,C-XXXXX,item:268967,4922.285714,17933.445348,3908.574774,14024.870574,3908.574774
34,C-XXXXX,item:268091,10335.428571,36879.771847,10602.674691,26277.097156,10602.674691
35,C-XXXXX,item:268967,3834.857143,17859.727717,4921.961326,12937.766391,4921.961326
35,C-XXXXX,item:268091,9444.571429,35721.668585,10346.118416,25375.550169,10346.118416
36,C-XXXXX,item:268967,3834.857143,16772.623534,4920.663776,11851.959757,4920.663776
36,C-XXXXX,item:268091,9444.571429,34820.121598,10335.856165,24484.265433,10335.856165
37,C-XXXXX,item:268967,3834.857143,15686.8169,0.0,15686.8169,0.0
37,C-XXXXX,item:268091,9444.571429,33928.836862,20724.391885,13204.444977,20724.391885
38,C-XXXXX,item:268967,3834.857143,19521.674043,0.0,19521.674043,0.0
38,C-XXXXX,item:268091,9444.571429,22649.016406,0.0,22649.016406,0.0
39,C-XXXXX,item:268967,3834.857143,23356.531186,4922.220836,18434.31035,4922.220836
39,C-XXXXX,item:268091,9444.571429,32093.587835,20673.012215,11420.575621,20673.012215
40,C-XXXXX,item:268967,3834.857143,22269.167493,0.0,22269.167493,0.0
40,C-XXXXX,item:268091,9444.571429,20865.14705,19074.444701,1790.702349,19074.444701
41,C-XXXXX,item:268967,3834.857143,26104.024636,0.0,26104.024636,0.0
41,C-XXXXX,item:268091,9444.571429,11235.273778,9480.206399,1755.067379,9480.206399
42,C-XXXXX,item:268967,6852.142857,32956.167493,8974.613001,23981.554492,8974.613001
42,C-XXXXX,item:268091,7060.285714,8815.353093,0.0,8815.353093,0.0
43,C-XXXXX,item:268967,6852.142857,30833.697349,3878.353767,26955.343583,3878.353767
43,C-XXXXX,item:268091,7060.285714,15875.638807,15875.638807,0.0,18890.625273
44,C-XXXXX,item:268967,6852.142857,33807.48644,11515.080213,22292.406226,11515.080213
44,C-XXXXX,item:268091,7060.285714,7060.285714,3014.986466,4045.299248,3014.986466
45,C-XXXXX,item:268967,6852.142857,29144.549083,12870.076178,16274.472905,12870.076178
45,C-XXXXX,item:268091,7060.285714,11105.584962,0.0,11105.584962,0.0
46,C-XXXXX,item:268967,6852.142857,23126.615762,0.0,23126.615762,0.0
46,C-XXXXX,item:268091,7060.285714,18165.870676,0.0,18165.870676,0.0
47,C-XXXXX,item:268967,6852.142857,29978.758619,5200.0,24778.758619,5200.0
47,C-XXXXX,item:268091,7060.285714,25226.15639,16982.001646,8244.154744,16982.001646
48,C-XXXXX,item:268967,6852.142857,31630.901476,0.0,31630.901476,0.0
48,C-XXXXX,item:268091,7060.285714,15304.440458,14235.01769,1069.422768,14235.01769
49,C-XXXXX,item:268967,4479.857143,36110.758619,5200.0,30910.758619,5200.0
49,C-XXXXX,item:268091,14242.0,15311.422768,0.0,15311.422768,0.0
50,C-XXXXX,item:268967,4479.857143,35390.615762,0.0,35390.615762,0.0
