day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.66159,0.0,5200.0,0.0,input_shortage,item:038005,2734.66159
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,83300.0,none,,0.0
0,SDC-1450,item:773474,74.418751,74.418751,2000000.0,300298608.059509,none,,0.0
1,M-1430,item:268967,2597.218032,0.0,5200.0,0.0,input_shortage,item:038005,2597.218032
1,M-1810,item:268091,1520.0,1520.0,11900.0,83300.0,none,,0.0
1,SDC-1450,item:773474,53.849914,53.849914,2000000.0,314314243.911827,none,,0.0
2,M-1430,item:268967,2569.729321,0.0,5200.0,0.0,input_shortage,item:038005,2569.729321
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,38.966164,38.966164,2000000.0,314314190.061913,none,,0.0
3,M-1430,item:268967,2564.231579,0.0,5200.0,0.0,input_shortage,item:038005,2564.231579
3,M-1810,item:268091,514.88567,514.88567,11900.0,82481.11433,none,,0.0
3,SDC-1450,item:773474,28.196181,28.196181,2000000.0,314323133.432141,none,,0.0
4,M-1430,item:268967,2563.13203,0.0,5200.0,0.0,input_shortage,item:038005,2563.13203
4,M-1810,item:268091,351.108536,351.108536,11900.0,83300.0,none,,0.0
4,SDC-1450,item:773474,20.402948,20.402948,2000000.0,314342239.98384,none,,0.0
5,M-1430,item:268967,2562.91212,0.0,5200.0,0.0,input_shortage,item:038005,2562.91212
5,M-1810,item:268091,248.131402,248.131402,11900.0,83300.0,none,,0.0
5,SDC-1450,item:773474,14.763712,14.763712,2000000.0,314344644.710061,none,,0.0
6,M-1430,item:268967,2562.868138,0.0,5200.0,0.0,input_shortage,item:038005,2562.868138
6,M-1810,item:268091,177.909695,177.909695,11900.0,83300.0,none,,0.0
6,SDC-1450,item:773474,10.683122,10.683122,2000000.0,314344629.946349,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,104000.0,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,83300.0,none,,0.0
7,SDC-1450,item:773474,7.73038,7.73038,2000000.0,339772588.918449,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,98800.0,capacity,,908.96044
8,M-1810,item:268091,4620.262397,4620.262397,11900.0,83300.0,none,,0.0
8,SDC-1450,item:773474,10046.500476,10046.500476,2000000.0,339772581.188069,none,,0.0
9,M-1430,item:268967,6227.163517,5200.0,5200.0,93600.0,capacity,,1027.163517
9,M-1810,item:268091,5006.223908,5006.223908,11900.0,78679.737603,none,,0.0
9,SDC-1450,item:773474,20085.86112,20085.86112,2000000.0,348180897.70459,none,,0.0
10,M-1430,item:268967,6250.804132,5200.0,5200.0,88400.0,capacity,,1050.804132
10,M-1810,item:268091,5083.41621,5083.41621,11900.0,83300.0,none,,0.0
10,SDC-1450,item:773474,28117.467744,28117.467744,2000000.0,348226518.986512,none,,0.0
11,M-1430,item:268967,6255.532255,5200.0,5200.0,83200.0,capacity,,1055.532255
11,M-1810,item:268091,5098.854671,5098.854671,11900.0,83300.0,none,,0.0
11,SDC-1450,item:773474,34141.202241,34141.202241,2000000.0,359089268.735249,none,,0.0
12,M-1430,item:268967,6256.47788,5200.0,5200.0,78000.0,capacity,,1056.47788
12,M-1810,item:268091,5101.942363,5101.942363,11900.0,83300.0,none,,0.0
12,SDC-1450,item:773474,38558.615412,38558.615412,2000000.0,359097790.170838,none,,0.0
13,M-1430,item:268967,6256.667005,5200.0,5200.0,78000.0,capacity,,1056.667005
13,M-1810,item:268091,5102.559901,5102.559901,11900.0,78198.057637,none,,0.0
13,SDC-1450,item:773474,41771.281684,41771.281684,2000000.0,359059231.555426,none,,0.0
14,M-1430,item:268967,4587.219115,4587.219115,5200.0,78000.0,none,,0.0
14,M-1810,item:268091,6913.197695,6913.197695,11900.0,83300.0,none,,0.0
14,SDC-1450,item:773474,44100.465321,44100.465321,2000000.0,359029343.259719,none,,0.0
15,M-1430,item:268967,4253.329537,4253.329537,5200.0,73412.780885,none,,0.0
15,M-1810,item:268091,7275.325253,7275.325253,11900.0,83300.0,none,,0.0
15,SDC-1450,item:773474,44603.870377,44603.870377,2000000.0,359005945.484118,none,,0.0
16,M-1430,item:268967,4186.551622,4186.551622,5200.0,69159.451347,none,,0.0
16,M-1810,item:268091,7347.750765,7347.750765,11900.0,83300.0,none,,0.0
16,SDC-1450,item:773474,43996.716762,43996.716762,2000000.0,358963517.798654,none,,0.0
17,M-1430,item:268967,4173.196039,4173.196039,5200.0,64972.899725,none,,0.0
17,M-1810,item:268091,7362.235867,7362.235867,11900.0,83300.0,none,,0.0
