day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,2562.857143,2562.857143,0.0,2562.857143,0.0
0,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,14558.668084
1,C-XXXXX,item:268967,2562.857143,5125.714286,3029.841535,2095.872751,3029.841535
1,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,13038.668084
2,C-XXXXX,item:268967,2562.857143,4658.729894,0.0,4658.729894,0.0
2,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,18790.893444
3,C-XXXXX,item:268967,2562.857143,7221.587037,6059.175985,1162.411052,6059.175985
3,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,17270.893444
4,C-XXXXX,item:268967,2562.857143,3725.268195,0.0,3725.268195,0.0
4,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,15750.893444
5,C-XXXXX,item:268967,2562.857143,6288.125338,2597.218032,3690.907306,2597.218032
5,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,14230.893444
6,C-XXXXX,item:268967,2562.857143,6253.764449,0.0,6253.764449,0.0
6,C-XXXXX,item:268091,1520.0,1520.0,1520.0,0.0,12710.893444
7,C-XXXXX,item:268967,6256.714286,12510.478735,3421.879376,9088.599359,3421.879376
7,C-XXXXX,item:268091,4082.171429,4082.171429,4082.171429,0.0,11190.893444
8,C-XXXXX,item:268967,6256.714286,15345.313645,2569.729321,12775.584324,2569.729321
8,C-XXXXX,item:268091,4082.171429,4082.171429,4082.171429,0.0,7108.722015
9,C-XXXXX,item:268967,6256.714286,19032.29861,7861.761307,11170.537303,7861.761307
9,C-XXXXX,item:268091,4082.171429,4082.171429,3026.550586,1055.620843,3026.550586
10,C-XXXXX,item:268967,6256.714286,17427.251589,2563.13203,14864.119559,2563.13203
10,C-XXXXX,item:268091,4082.171429,5137.792272,1020.063844,4117.728429,1020.063844
11,C-XXXXX,item:268967,6256.714286,21120.833845,0.0,21120.833845,0.0
11,C-XXXXX,item:268091,4082.171429,8199.899858,8199.899858,0.0,27555.136159
12,C-XXXXX,item:268967,6256.714286,27377.548131,7762.91212,19614.636011,7762.91212
12,C-XXXXX,item:268091,4082.171429,4082.171429,4082.171429,0.0,19355.236302
13,C-XXXXX,item:268967,6256.714286,25871.350297,0.0,25871.350297,0.0
13,C-XXXXX,item:268091,4082.171429,4082.171429,4082.171429,0.0,15273.064873
14,C-XXXXX,item:268967,4169.857143,30041.20744,10400.0,19641.20744,10400.0
14,C-XXXXX,item:268091,5892.685714,5892.685714,5892.685714,0.0,11190.893444
15,C-XXXXX,item:268967,4169.857143,23811.064583,10400.0,13411.064583,10400.0
15,C-XXXXX,item:268091,5892.685714,5892.685714,5892.685714,0.0,14465.28726
16,C-XXXXX,item:268967,4169.857143,17580.921726,10400.0,7180.921726,10400.0
16,C-XXXXX,item:268091,5892.685714,5892.685714,5892.685714,0.0,8572.601546
17,C-XXXXX,item:268967,4169.857143,11350.778869,0.0,11350.778869,0.0
17,C-XXXXX,item:268091,5892.685714,5892.685714,5892.685714,0.0,10690.226064
18,C-XXXXX,item:268967,4169.857143,15520.636012,0.0,15520.636012,0.0
18,C-XXXXX,item:268091,5892.685714,5892.685714,4797.54035,1095.145364,4797.54035
19,C-XXXXX,item:268967,4169.857143,19690.493155,4587.219115,15103.274039,4587.219115
19,C-XXXXX,item:268091,5892.685714,6987.831078,4081.934456,2905.896623,4081.934456
20,C-XXXXX,item:268967,4169.857143,19273.131182,4253.329537,15019.801645,4253.329537
20,C-XXXXX,item:268091,5892.685714,8798.582337,4080.986563,4717.595774,4080.986563
21,C-XXXXX,item:268967,3908.571429,18928.373074,12530.272583,6398.100491,12530.272583
21,C-XXXXX,item:268091,9337.371429,14054.967203,0.0,14054.967203,0.0
22,C-XXXXX,item:268967,3908.571429,10306.67192,0.0,10306.67192,0.0
22,C-XXXXX,item:268091,9337.371429,23392.338632,23392.338632,0.0,29010.885616
23,C-XXXXX,item:268967,3908.571429,14215.243349,8339.874553,5875.368796,8339.874553
23,C-XXXXX,item:268091,9337.371429,9337.371429,5618.546983,3718.824446,5618.546983
24,C-XXXXX,item:268967,3908.571429,9783.940225,0.0,9783.940225,0.0
24,C-XXXXX,item:268091,9337.371429,13056.195875,5892.662536,7163.533338,5892.662536
25,C-XXXXX,item:268967,3908.571429,13692.511654,3960.833914,9731.67774,3960.833914
25,C-XXXXX,item:268091,9337.371429,16500.904767,14540.999476,1959.905291,14540.999476
26,C-XXXXX,item:268967,3908.571429,13640.249169,0.0,13640.249169,0.0
26,C-XXXXX,item:268091,9337.371429,11297.27672,0.0,11297.27672,0.0
27,C-XXXXX,item:268967,3908.571429,17548.820598,3908.655049,13640.165549,3908.655049
27,C-XXXXX,item:268091,9337.371429,20634.648149,0.0,20634.648149,0.0
28,C-XXXXX,item:268967,4922.285714,18562.451263,0.0,18562.451263,0.0
28,C-XXXXX,item:268091,8268.342857,28902.991006,0.0,28902.991006,0.0
29,C-XXXXX,item:268967,4922.285714,23484.736977,3919.023926,19565.713051,3919.023926
29,C-XXXXX,item:268091,8268.342857,37171.333863,37171.333863,0.0,37177.525848
30,C-XXXXX,item:268967,4922.285714,24487.998765,7819.651457,16668.347308,7819.651457
30,C-XXXXX,item:268091,8268.342857,8268.342857,6.191985,8262.150872,6.191985
31,C-XXXXX,item:268967,4922.285714,21590.633022,0.0,21590.633022,0.0
31,C-XXXXX,item:268091,8268.342857,16530.493729,0.0,16530.493729,0.0
32,C-XXXXX,item:268967,4922.285714,26512.918736,3908.574774,22604.343962,3908.574774
32,C-XXXXX,item:268091,8268.342857,24798.836586,0.0,24798.836586,0.0
33,C-XXXXX,item:268967,4922.285714,27526.629676,13509.868955,14016.760721,13509.868955
33,C-XXXXX,item:268091,8268.342857,33067.179443,9337.327337,23729.852106,9337.327337
34,C-XXXXX,item:268967,4922.285714,18939.046435,0.0,18939.046435,0.0
34,C-XXXXX,item:268091,8268.342857,31998.194963,17819.290721,14178.904242,17819.290721
35,C-XXXXX,item:268967,3834.857143,22773.903578,14756.801129,8017.102448,14756.801129
35,C-XXXXX,item:268091,7555.657143,21734.561385,0.0,21734.561385,0.0
36,C-XXXXX,item:268967,3834.857143,11851.959591,0.0,11851.959591,0.0
36,C-XXXXX,item:268091,7555.657143,29290.218528,0.0,29290.218528,0.0
37,C-XXXXX,item:268967,3834.857143,15686.816734,4922.220836,10764.595898,4922.220836
37,C-XXXXX,item:268091,7555.657143,36845.875671,36845.875671,0.0,41394.818013
38,C-XXXXX,item:268967,3834.857143,14599.453041,4922.272738,9677.180302,4922.272738
38,C-XXXXX,item:268091,7555.657143,7555.657143,7555.657143,0.0,20515.824296
39,C-XXXXX,item:268967,3834.857143,13512.037445,4052.340262,9459.697183,4052.340262
39,C-XXXXX,item:268091,7555.657143,7555.657143,7555.657143,0.0,12960.167153
40,C-XXXXX,item:268967,3834.857143,13294.554326,3878.353767,9416.200559,3878.353767
40,C-XXXXX,item:268091,7555.657143,7555.657143,7555.657143,0.0,28106.831329
41,C-XXXXX,item:268967,3834.857143,13251.057702,7678.761584,5572.296119,7678.761584
41,C-XXXXX,item:268091,7555.657143,7555.657143,7555.657143,0.0,20551.174186
42,C-XXXXX,item:268967,6852.142857,12424.438976,0.0,12424.438976,0.0
42,C-XXXXX,item:268091,5648.228571,5648.228571,5648.228571,0.0,12995.517043
43,C-XXXXX,item:268967,6852.142857,19276.581833,0.0,19276.581833,0.0
43,C-XXXXX,item:268091,5648.228571,5648.228571,5648.228571,0.0,7347.288472
44,C-XXXXX,item:268967,6852.142857,26128.72469,7671.523746,18457.200944,7671.523746
44,C-XXXXX,item:268091,5648.228571,5648.228571,5648.228571,0.0,9254.945108
45,C-XXXXX,item:268967,6852.142857,25309.343801,0.0,25309.343801,0.0
45,C-XXXXX,item:268091,5648.228571,5648.228571,3606.716537,2041.512034,3606.716537
46,C-XXXXX,item:268967,6852.142857,32161.486658,0.0,32161.486658,0.0
46,C-XXXXX,item:268091,5648.228571,7689.740605,0.0,7689.740605,0.0
47,C-XXXXX,item:268967,6852.142857,39013.629515,14234.871062,24778.758453,14234.871062
47,C-XXXXX,item:268091,5648.228571,13337.969176,13337.969176,0.0,21141.085131
48,C-XXXXX,item:268967,6852.142857,31630.90131,0.0,31630.90131,0.0
48,C-XXXXX,item:268091,5648.228571,5648.228571,5648.228571,0.0,7803.115955
49,C-XXXXX,item:268967,4479.857143,36110.758453,5200.0,30910.758453,5200.0
49,C-XXXXX,item:268091,11393.6,11393.6,7879.413463,3514.186537,7879.413463
50,C-XXXXX,item:268967,4479.857143,35390.615596,10400.0,24990.615596,10400.0
50,C-XXXXX,item:268091,11393.6,14907.786537,0.0,14907.786537,0.0
51,C-XXXXX,item:268967,4479.857143,29470.472739,5200.0,24270.472739,5200.0
51,C-XXXXX,item:268091,11393.6,26301.386537,5648.350647,20653.03589,5648.350647
52,C-XXXXX,item:268967,4479.857143,28750.329882,0.0,28750.329882,0.0
52,C-XXXXX,item:268091,11393.6,32046.63589,11314.768544,20731.867346,11314.768544
53,C-XXXXX,item:268967,4479.857143,33230.187025,10154.306562,23075.880463,10154.306562
53,C-XXXXX,item:268091,11393.6,32125.467346,15892.783583,16232.683763,15892.783583
54,C-XXXXX,item:268967,4479.857143,27555.737606,0.0,27555.737606,0.0
54,C-XXXXX,item:268091,11393.6,27626.283763,11163.786119,16462.497643,11163.786119
55,C-XXXXX,item:268967,4479.857143,32035.594749,4498.83512,27536.75963,4498.83512
55,C-XXXXX,item:268091,11393.6,27856.097643,5648.838951,22207.258692,5648.838951
56,C-XXXXX,item:268967,6558.714286,34095.473916,4574.747027,29520.726889,4574.747027
56,C-XXXXX,item:268091,10874.742857,33082.001549,11347.637224,21734.364325,11347.637224
57,C-XXXXX,item:268967,6558.714286,36079.441175,0.0,36079.441175,0.0
57,C-XXXXX,item:268091,10874.742857,32609.107182,22777.639743,9831.46744,22777.639743
58,C-XXXXX,item:268967,6558.714286,42638.155461,0.0,42638.155461,0.0
58,C-XXXXX,item:268091,10874.742857,20706.210297,0.0,20706.210297,0.0
59,C-XXXXX,item:268967,6558.714286,49196.869747,4480.616262,44716.253485,4480.616262
59,C-XXXXX,item:268091,10874.742857,31580.953154,22785.287949,8795.665205,22785.287949
60,C-XXXXX,item:268967,6558.714286,51274.967771,8963.661705,42311.306066,8963.661705
60,C-XXXXX,item:268091,10874.742857,19670.408062,0.0,19670.408062,0.0
61,C-XXXXX,item:268967,6558.714286,48870.020352,0.0,48870.020352,0.0
61,C-XXXXX,item:268091,10874.742857,30545.150919,10978.499578,19566.651342,10978.499578
62,C-XXXXX,item:268967,6558.714286,55428.734638,9679.887508,45748.84713,9679.887508
62,C-XXXXX,item:268091,10874.742857,30441.394199,10895.494201,19545.899997,10895.494201
63,C-XXXXX,item:268967,4026.0,49774.84713,10400.0,39374.84713,10400.0
63,C-XXXXX,item:268091,9060.8,28606.699997,0.0,28606.699997,0.0
64,C-XXXXX,item:268967,4026.0,43400.84713,0.0,43400.84713,0.0
64,C-XXXXX,item:268091,9060.8,37667.499997,10875.572911,26791.927087,10875.572911
65,C-XXXXX,item:268967,4026.0,47426.84713,10400.0,37026.84713,10400.0
65,C-XXXXX,item:268091,9060.8,35852.727087,32624.434424,3228.292662,32624.434424
66,C-XXXXX,item:268967,4026.0,41052.84713,10400.0,30652.84713,10400.0
66,C-XXXXX,item:268091,9060.8,12289.092662,12289.092662,0.0,20302.483025
67,C-XXXXX,item:268967,4026.0,34678.84713,4532.537535,30146.309595,4532.537535
67,C-XXXXX,item:268091,9060.8,9060.8,8013.390363,1047.409637,8013.390363
68,C-XXXXX,item:268967,4026.0,34172.309595,0.0,34172.309595,0.0
68,C-XXXXX,item:268091,9060.8,10108.209637,9133.35798,974.851657,9133.35798
69,C-XXXXX,item:268967,4026.0,38198.309595,8157.359807,30040.949787,8157.359807
69,C-XXXXX,item:268091,9060.8,10035.651657,0.0,10035.651657,0.0
70,C-XXXXX,item:268967,6180.857143,36221.80693,0.0,36221.80693,0.0
70,C-XXXXX,item:268091,7645.714286,17681.365943,0.0,17681.365943,0.0
71,C-XXXXX,item:268967,6180.857143,42402.664073,0.0,42402.664073,0.0
71,C-XXXXX,item:268091,7645.714286,25327.080229,0.0,25327.080229,0.0
72,C-XXXXX,item:268967,6180.857143,48583.521216,12099.234053,36484.287163,12099.234053
72,C-XXXXX,item:268091,7645.714286,32972.794515,27199.930008,5772.864507,27199.930008
73,C-XXXXX,item:268967,6180.857143,42665.144306,0.0,42665.144306,0.0
73,C-XXXXX,item:268091,7645.714286,13418.578793,13418.578793,0.0,18122.203682
74,C-XXXXX,item:268967,6180.857143,48846.001449,0.0,48846.001449,0.0
74,C-XXXXX,item:268091,7645.714286,7645.714286,4703.624889,2942.089397,4703.624889
75,C-XXXXX,item:268967,6180.857143,55026.858592,0.0,55026.858592,0.0
75,C-XXXXX,item:268091,7645.714286,10587.803683,10587.803683,0.0,15631.054716
76,C-XXXXX,item:268967,6180.857143,61207.715735,19626.032418,41581.683316,19626.032418
76,C-XXXXX,item:268091,7645.714286,7645.714286,5043.251033,2602.463253,5043.251033
77,C-XXXXX,item:268967,4676.428571,46258.111887,5200.0,41058.111887,5200.0
77,C-XXXXX,item:268091,9269.485714,11871.948967,0.0,11871.948967,0.0
78,C-XXXXX,item:268967,4676.428571,45734.540458,0.0,45734.540458,0.0
78,C-XXXXX,item:268091,9269.485714,21141.434681,7647.97846,13493.456221,7647.97846
79,C-XXXXX,item:268967,4676.428571,50410.969029,10400.0,40010.969029,10400.0
79,C-XXXXX,item:268091,9269.485714,22762.941935,7657.035157,15105.906777,7657.035157
80,C-XXXXX,item:268967,4676.428571,44687.3976,5200.0,39487.3976,5200.0
80,C-XXXXX,item:268091,9269.485714,24375.392491,15291.971974,9083.420517,15291.971974
81,C-XXXXX,item:268967,4676.428571,44163.826171,0.0,44163.826171,0.0
81,C-XXXXX,item:268091,9269.485714,18352.906231,7645.732399,10707.173832,7645.732399
82,C-XXXXX,item:268967,4676.428571,48840.254742,0.0,48840.254742,0.0
82,C-XXXXX,item:268091,9269.485714,19976.659546,0.0,19976.659546,0.0
