day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,657.287314,657.287314,5200.0,28951.132335,none,,0.0
0,M-1810,item:268091,3505.491126,0.0,11900.0,0.0,input_shortage,item:338928,3505.491126
0,SDC-1450,item:773474,7149.380007,7149.380007,2000000.0,254769997.910296,none,,0.0
1,M-1430,item:268967,2181.743177,2181.743177,5200.0,38293.84502,none,,0.0
1,M-1810,item:268091,2221.098225,0.0,11900.0,0.0,input_shortage,item:338928,2221.098225
1,SDC-1450,item:773474,23390.423124,23390.423124,2000000.0,265809652.259449,none,,0.0
2,M-1430,item:268967,2050.285714,2050.285714,5200.0,36112.101843,none,,0.0
2,M-1810,item:268091,1964.219645,0.0,11900.0,0.0,input_shortage,item:338928,1964.219645
2,SDC-1450,item:773474,21960.547123,21960.547123,2000000.0,265786261.836325,none,,0.0
3,M-1430,item:268967,1613.937079,1613.937079,5200.0,34061.816129,none,,0.0
3,M-1810,item:268091,1912.843929,0.0,11900.0,0.0,input_shortage,item:338928,1912.843929
3,SDC-1450,item:773474,17282.462498,17282.462498,2000000.0,265826222.402798,none,,0.0
4,M-1430,item:268967,1203.879936,1203.879936,5200.0,32447.87905,none,,0.0
4,M-1810,item:268091,1902.568786,0.0,11900.0,0.0,input_shortage,item:338928,1902.568786
4,SDC-1450,item:773474,12890.353073,12890.353073,2000000.0,268531639.756301,none,,0.0
5,M-1430,item:268967,881.09252,881.09252,5200.0,31243.999114,none,,0.0
5,M-1810,item:268091,1900.513757,1900.513757,11900.0,10000.0,none,,0.0
5,SDC-1450,item:773474,9433.860574,9433.860574,2000000.0,277027050.231806,none,,0.0
6,M-1430,item:268967,2226.504218,2226.504218,5200.0,40362.906593,none,,0.0
6,M-1810,item:268091,1900.102751,1900.102751,11900.0,8099.486243,none,,0.0
6,SDC-1450,item:773474,22169.984757,22169.984757,2000000.0,277022039.307918,none,,0.0
7,M-1430,item:268967,5005.371429,5005.371429,5200.0,38136.402375,none,,0.0
