day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,2562.857143,2562.857143,2562.857143,0.0,3488.192112
0,C-XXXXX,item:268091,1900.0,1900.0,0.0,1900.0,0.0
1,C-XXXXX,item:268967,2562.857143,2562.857143,2562.857143,0.0,3951.373356
1,C-XXXXX,item:268091,1900.0,3800.0,3800.0,0.0,27291.948998
2,C-XXXXX,item:268967,2562.857143,2562.857143,1388.516213,1174.34093,1388.516213
2,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,23491.948998
3,C-XXXXX,item:268967,2562.857143,3737.198073,3029.207677,707.990395,3029.207677
3,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,21591.948998
4,C-XXXXX,item:268967,2562.857143,3270.847538,3270.847538,0.0,6451.847683
4,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,19691.948998
5,C-XXXXX,item:268967,2562.857143,2562.857143,2562.857143,0.0,3181.000145
5,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,17791.948998
6,C-XXXXX,item:268967,2562.857143,2562.857143,2562.857143,0.0,14113.825059
6,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,15891.948998
7,C-XXXXX,item:268967,6256.714286,6256.714286,6256.714286,0.0,11550.967916
7,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,13991.948998
8,C-XXXXX,item:268967,6256.714286,6256.714286,5294.25363,962.460656,5294.25363
8,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,9622.285714
9,C-XXXXX,item:268967,6256.714286,7219.174942,0.0,7219.174942,0.0
9,C-XXXXX,item:268091,5102.714286,5102.714286,4519.571428,583.142858,4519.571428
10,C-XXXXX,item:268967,6256.714286,13475.889228,5126.000169,8349.88906,5126.000169
10,C-XXXXX,item:268091,5102.714286,5685.857144,3338.943697,2346.913447,3338.943697
11,C-XXXXX,item:268967,6256.714286,14606.603346,0.0,14606.603346,0.0
11,C-XXXXX,item:268091,5102.714286,7449.627733,7449.627733,0.0,41892.949163
12,C-XXXXX,item:268967,6256.714286,20863.317632,7762.91212,13100.405511,7762.91212
12,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,34443.32143
13,C-XXXXX,item:268967,6256.714286,19357.119797,0.0,19357.119797,0.0
13,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,34346.831053
14,C-XXXXX,item:268967,4169.857143,23526.97694,0.0,23526.97694,0.0
14,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,39546.035716
15,C-XXXXX,item:268967,4169.857143,27696.834083,5200.0,22496.834083,5200.0
15,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,37282.892859
16,C-XXXXX,item:268967,4169.857143,26666.691226,15600.0,11066.691226,15600.0
16,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,35019.595618
17,C-XXXXX,item:268967,4169.857143,15236.548369,0.0,15236.548369,0.0
17,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,33214.043472
18,C-XXXXX,item:268967,4169.857143,19406.405512,5200.0,14206.405512,5200.0
18,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,25848.186329
19,C-XXXXX,item:268967,4169.857143,18376.262655,0.0,18376.262655,0.0
19,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,18482.329186
20,C-XXXXX,item:268967,4169.857143,22546.119798,8439.881159,14106.238639,8439.881159
20,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,32652.745756
21,C-XXXXX,item:268967,3908.571429,18014.810068,9787.219115,8227.590953,9787.219115
21,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,25286.888613
22,C-XXXXX,item:268967,3908.571429,12136.162382,0.0,12136.162382,0.0
22,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,20980.307215
23,C-XXXXX,item:268967,3908.571429,16044.733811,0.0,16044.733811,0.0
23,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,16670.828797
24,C-XXXXX,item:268967,3908.571429,19953.30524,4170.524922,15782.780318,4170.524922
24,C-XXXXX,item:268091,11671.714286,11671.714286,4999.114511,6672.599775,4999.114511
25,C-XXXXX,item:268967,3908.571429,19691.351747,12304.020652,7387.331095,12304.020652
25,C-XXXXX,item:268091,11671.714286,18344.314061,18344.314061,0.0,37041.55637
26,C-XXXXX,item:268967,3908.571429,11295.902524,0.0,11295.902524,0.0
26,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,18697.242308
27,C-XXXXX,item:268967,3908.571429,15204.473953,0.0,15204.473953,0.0
27,C-XXXXX,item:268091,11671.714286,11671.714286,7025.528022,4646.186264,7025.528022
28,C-XXXXX,item:268967,4922.285714,20126.759667,7819.651457,12307.10821,7819.651457
28,C-XXXXX,item:268091,10335.428571,14981.614835,11637.267197,3344.347638,11637.267197
29,C-XXXXX,item:268967,4922.285714,17229.393924,8088.90778,9140.486143,8088.90778
29,C-XXXXX,item:268091,10335.428571,13679.776209,11664.824868,2014.95134,11664.824868
30,C-XXXXX,item:268967,4922.285714,14062.771857,0.0,14062.771857,0.0
30,C-XXXXX,item:268091,10335.428571,12350.379911,11671.438709,678.941202,11671.438709
31,C-XXXXX,item:268967,4922.285714,18985.057571,8628.198575,10356.858997,8628.198575
31,C-XXXXX,item:268091,10335.428571,11014.369773,11014.369773,0.0,11670.336402
32,C-XXXXX,item:268967,4922.285714,15279.144711,0.0,15279.144711,0.0
32,C-XXXXX,item:268091,10335.428571,10335.428571,10335.428571,0.0,12327.6258
33,C-XXXXX,item:268967,4922.285714,20201.430425,3908.588153,16292.842272,3908.588153
33,C-XXXXX,item:268091,10335.428571,10335.428571,1992.197229,8343.231342,1992.197229
34,C-XXXXX,item:268967,4922.285714,21215.127986,3908.574774,17306.553212,3908.574774
34,C-XXXXX,item:268091,10335.428571,18678.659913,18678.659913,0.0,20726.444335
35,C-XXXXX,item:268967,3834.857143,21141.410355,0.0,21141.410355,0.0
35,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,12650.459113
36,C-XXXXX,item:268967,3834.857143,24976.267498,0.0,24976.267498,0.0
36,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,13552.0061
37,C-XXXXX,item:268967,3834.857143,28811.124641,0.0,28811.124641,0.0
37,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,14443.290836
38,C-XXXXX,item:268967,3834.857143,32645.981784,4914.176026,27731.805757,4914.176026
38,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,25669.679171
39,C-XXXXX,item:268967,3834.857143,31566.6629,14724.362379,16842.300521,14724.362379
39,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,16225.107742
40,C-XXXXX,item:268967,3834.857143,20677.157664,13896.833837,6780.323827,13896.833837
40,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,16403.282591
41,C-XXXXX,item:268967,3834.857143,10615.18097,0.0,10615.18097,0.0
41,C-XXXXX,item:268091,9444.571429,9444.571429,6958.711162,2485.860267,6958.711162
42,C-XXXXX,item:268967,6852.142857,17467.323827,7671.802124,9795.521703,7671.802124
42,C-XXXXX,item:268091,7060.285714,9546.145981,9546.145981,0.0,18931.904822
43,C-XXXXX,item:268967,6852.142857,16647.66456,7721.910235,8925.754325,7721.910235
43,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,9385.758841
44,C-XXXXX,item:268967,6852.142857,15777.897182,7669.7978,8108.099383,7669.7978
44,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,30660.681232
45,C-XXXXX,item:268967,6852.142857,14960.24224,0.0,14960.24224,0.0
45,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,23600.395518
46,C-XXXXX,item:268967,6852.142857,21812.385097,0.0,21812.385097,0.0
46,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,24077.254942
47,C-XXXXX,item:268967,6852.142857,28664.527954,0.0,28664.527954,0.0
47,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,17016.969228
48,C-XXXXX,item:268967,6852.142857,35516.670811,5200.0,30316.670811,5200.0
48,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,9956.683514
49,C-XXXXX,item:268967,4479.857143,34796.527954,5200.0,29596.527954,5200.0
49,C-XXXXX,item:268091,14242.0,14242.0,14242.0,0.0,19420.614399
