day,src_node_id,dst_node_id,item_id,shipped_qty,pulled_qty,lead_days,arrival_day,reliability,uom
0,SDC-VD0951020A,M-1810,item:001757,5.693048,5.693048,40,40,1.0,KG
0,SDC-VD0519670A,M-1810,item:001848,2.98885,2.98885,26,26,1.0,KG
0,SDC-VD0951020A,M-1810,item:001848,1.280936,1.280936,22,22,1.0,KG
0,SDC-VD0910216A,M-1810,item:001893,18.929386,18.929386,56,56,1.0,KG
0,SDC-VD1091642A,M-1810,item:001893,5.408396,5.408396,53,53,1.0,KG
0,SDC-VD0518684A,M-1810,item:001893,2.704198,2.704198,67,67,1.0,KG
0,SDC-VD0910216A,M-1810,item:002612,4.981417,4.981417,53,53,1.0,KG
0,SDC-VD0990780A,M-1810,item:002612,1.423262,1.423262,42,42,1.0,KG
0,SDC-VD1091642A,M-1810,item:002612,0.355816,0.355816,37,37,1.0,KG
0,SDC-VD0500655A,M-1810,item:002612,0.355816,0.355816,15,15,1.0,KG
0,SDC-VD0514881A,M-1810,item:016332,1.707915,1.707915,28,28,1.0,KG
0,SDC-VD0519670A,M-1810,item:029313,0.142326,0.142326,46,46,1.0,KG
0,SDC-VD1096202A,M-1810,item:039668,0.142326,0.142326,33,33,1.0,KG
0,SDC-VD0914320A,M-1810,item:055703,0.199257,0.199257,23,23,1.0,KG
0,SDC-VD0964290A,M-1810,item:055703,0.085396,0.085396,37,37,1.0,KG
0,SDC-VD0505677A,M-1810,item:099439,7.11631,7.11631,28,28,1.0,KG
0,SDC-VD0901566A,M-1810,item:338928,10000.0,10000.0,63,63,1.0,UN
0,SDC-VD0914360C,M-1810,item:338929,3505.571651,3505.571651,62,62,1.0,UN
0,SDC-VD0989480A,M-1810,item:426331,38.561288,38.561288,24,24,1.0,UN
0,SDC-1450,M-1810,item:693055,1423.26209,1423.26209,54,54,1.0,G
0,DC-1920,C-XXXXX,item:268091,6109.162936,6109.162936,3,3,1.0,UN
0,SDC-VD0949099A,SDC-1450,item:021081,28.641864,28.641864,74,74,1.0,KG
0,SDC-VD0960508A,SDC-1450,item:021081,8.18339,8.18339,71,71,1.0,KG
0,SDC-VD0972460A,SDC-1450,item:021081,2.045847,2.045847,155,155,1.0,KG
0,SDC-VD0975221A,SDC-1450,item:021081,2.045847,2.045847,188,188,1.0,KG
0,SDC-1450,M-1810,item:007923,11386.096721,11386.096721,2,2,1.0,G
1,SDC-VD0951020A,M-1810,item:001757,2.46848,2.46848,43,44,1.0,KG
1,SDC-VD0519670A,M-1810,item:001848,1.295952,1.295952,27,28,1.0,KG
1,SDC-VD0951020A,M-1810,item:001848,0.555408,0.555408,103,104,1.0,KG
1,SDC-VD0910216A,M-1810,item:001893,8.207696,8.207696,34,35,1.0,KG
1,SDC-VD1091642A,M-1810,item:001893,2.345056,2.345056,26,27,1.0,KG
1,SDC-VD0518684A,M-1810,item:001893,1.172528,1.172528,30,31,1.0,KG
1,SDC-VD0910216A,M-1810,item:002612,2.15992,2.15992,36,37,1.0,KG
1,SDC-VD0990780A,M-1810,item:002612,0.61712,0.61712,33,34,1.0,KG
1,SDC-VD1091642A,M-1810,item:002612,0.15428,0.15428,30,31,1.0,KG
1,SDC-VD0500655A,M-1810,item:002612,0.15428,0.15428,20,21,1.0,KG
1,SDC-VD0514881A,M-1810,item:016332,0.740544,0.740544,54,55,1.0,KG
1,SDC-VD0519670A,M-1810,item:029313,0.061712,0.061712,49,50,1.0,KG
1,SDC-VD1096202A,M-1810,item:039668,0.061712,0.061712,21,22,1.0,KG
1,SDC-VD0914320A,M-1810,item:055703,0.086397,0.086397,21,22,1.0,KG
1,SDC-VD0964290A,M-1810,item:055703,0.037027,0.037027,21,22,1.0,KG
1,SDC-VD0505677A,M-1810,item:099439,3.0856,3.0856,27,28,1.0,KG
1,SDC-VD0901566A,M-1810,item:338928,10000.0,10000.0,84,85,1.0,UN
1,SDC-VD0914360C,M-1810,item:338929,1520.0,1520.0,84,85,1.0,UN
1,SDC-VD0989480A,M-1810,item:426331,16.72,16.72,5,6,1.0,UN
1,SDC-1450,M-1810,item:693055,617.12,617.12,24,25,1.0,G
1,DC-1920,C-XXXXX,item:268091,1900.0,1900.0,2,3,1.0,UN
1,SDC-VD0949099A,SDC-1450,item:021081,20.74416,20.74416,72,73,1.0,KG
1,SDC-VD0960508A,SDC-1450,item:021081,5.926903,5.926903,74,75,1.0,KG
1,SDC-VD0972460A,SDC-1450,item:021081,1.481726,1.481726,98,99,1.0,KG
1,SDC-VD0975221A,SDC-1450,item:021081,1.481726,1.481726,137,138,1.0,KG
1,SDC-1450,M-1810,item:007923,4936.96,4936.96,1,2,1.0,G
2,SDC-VD0951020A,M-1810,item:001757,1.32987,1.32987,60,62,1.0,KG
2,SDC-VD0519670A,M-1810,item:001848,0.698182,0.698182,24,26,1.0,KG
2,SDC-VD0951020A,M-1810,item:001848,0.299221,0.299221,30,32,1.0,KG
2,SDC-VD0910216A,M-1810,item:001893,4.421819,4.421819,30,32,1.0,KG
2,SDC-VD1091642A,M-1810,item:001893,1.263377,1.263377,23,25,1.0,KG
2,SDC-VD0518684A,M-1810,item:001893,0.631688,0.631688,54,56,1.0,KG
2,SDC-VD0910216A,M-1810,item:002612,1.163637,1.163637,48,50,1.0,KG
2,SDC-VD0990780A,M-1810,item:002612,0.332468,0.332468,18,20,1.0,KG
2,SDC-VD1091642A,M-1810,item:002612,0.083117,0.083117,54,56,1.0,KG
2,SDC-VD0500655A,M-1810,item:002612,0.083117,0.083117,24,26,1.0,KG
2,SDC-VD0514881A,M-1810,item:016332,0.398961,0.398961,67,69,1.0,KG
2,SDC-VD0519670A,M-1810,item:029313,0.033247,0.033247,32,34,1.0,KG
2,SDC-VD1096202A,M-1810,item:039668,0.033247,0.033247,39,41,1.0,KG
2,SDC-VD0914320A,M-1810,item:055703,0.046545,0.046545,8,10,1.0,KG
2,SDC-VD0964290A,M-1810,item:055703,0.019948,0.019948,31,33,1.0,KG
2,SDC-VD0505677A,M-1810,item:099439,1.662338,1.662338,19,21,1.0,KG
2,SDC-VD0901566A,M-1810,item:338928,10000.0,10000.0,116,118,1.0,UN
2,SDC-VD0914360C,M-1810,item:338929,818.88567,818.88567,60,62,1.0,UN
2,SDC-VD0989480A,M-1810,item:426331,9.007742,9.007742,12,14,1.0,UN
2,SDC-1450,M-1810,item:693055,332.467582,332.467582,39,41,1.0,G
2,DC-1920,C-XXXXX,item:268091,1900.0,1900.0,2,4,1.0,UN
2,SDC-VD0949099A,SDC-1450,item:021081,15.015787,15.015787,124,126,1.0,KG
2,SDC-VD0960508A,SDC-1450,item:021081,4.290225,4.290225,119,121,1.0,KG
2,SDC-VD0972460A,SDC-1450,item:021081,1.072556,1.072556,41,43,1.0,KG
2,SDC-VD0975221A,SDC-1450,item:021081,1.072556,1.072556,89,91,1.0,KG
2,SDC-1450,M-1810,item:007923,2659.740656,2659.740656,1,3,1.0,G
3,SDC-VD0520132A,M-1430,item:038005,2277.880026,2277.880026,234,237,1.0,KG
3,SDC-VD0951020A,M-1810,item:001757,0.836174,0.836174,79,82,1.0,KG
3,SDC-VD0519670A,M-1810,item:001848,0.438992,0.438992,23,26,1.0,KG
3,SDC-VD0951020A,M-1810,item:001848,0.188139,0.188139,47,50,1.0,KG
3,SDC-VD0910216A,M-1810,item:001893,2.78028,2.78028,24,27,1.0,KG
3,SDC-VD1091642A,M-1810,item:001893,0.794366,0.794366,56,59,1.0,KG
3,SDC-VD0518684A,M-1810,item:001893,0.397183,0.397183,44,47,1.0,KG
3,SDC-VD0910216A,M-1810,item:002612,0.731653,0.731653,69,72,1.0,KG
3,SDC-VD0990780A,M-1810,item:002612,0.209044,0.209044,31,34,1.0,KG
3,SDC-VD1091642A,M-1810,item:002612,0.052261,0.052261,38,41,1.0,KG
3,SDC-VD0500655A,M-1810,item:002612,0.052261,0.052261,20,23,1.0,KG
3,SDC-VD0514881A,M-1810,item:016332,0.250852,0.250852,64,67,1.0,KG
3,SDC-VD0519670A,M-1810,item:029313,0.020904,0.020904,57,60,1.0,KG
3,SDC-VD1096202A,M-1810,item:039668,0.020904,0.020904,61,64,1.0,KG
3,SDC-VD0520132A,M-1810,item:049371,230.53304,230.53304,66,69,1.0,KG
3,SDC-VD0914320A,M-1810,item:055703,0.029266,0.029266,18,21,1.0,KG
3,SDC-VD0964290A,M-1810,item:055703,0.012543,0.012543,72,75,1.0,KG
3,SDC-VD0505677A,M-1810,item:099439,1.045218,1.045218,7,10,1.0,KG
3,SDC-VD0901566A,M-1810,item:338928,10000.0,10000.0,140,143,1.0,UN
3,SDC-VD0914360C,M-1810,item:338929,514.88567,514.88567,23,26,1.0,UN
3,SDC-VD0989480A,M-1810,item:426331,5.663742,5.663742,56,59,1.0,UN
3,SDC-1450,M-1810,item:693055,209.043582,209.043582,140,143,1.0,G
3,DC-1920,C-XXXXX,item:268091,1900.0,1900.0,1,4,1.0,UN
3,SDC-VD0949099A,SDC-1450,item:021081,10.866955,10.866955,167,170,1.0,KG
3,SDC-VD0960508A,SDC-1450,item:021081,3.104844,3.104844,51,54,1.0,KG
3,SDC-VD0972460A,SDC-1450,item:021081,0.776211,0.776211,15,18,1.0,KG
3,SDC-VD0975221A,SDC-1450,item:021081,0.776211,0.776211,77,80,1.0,KG
3,SDC-1450,M-1810,item:007923,1672.348656,1672.348656,1,4,1.0,G
4,SDC-VD0520132A,M-1430,item:038005,270.0,270.0,161,165,1.0,KG
4,SDC-VD0951020A,M-1810,item:001757,0.5702,0.5702,50,54,1.0,KG
4,SDC-VD0519670A,M-1810,item:001848,0.299355,0.299355,25,29,1.0,KG
4,SDC-VD0951020A,M-1810,item:001848,0.128295,0.128295,40,44,1.0,KG
4,SDC-VD0910216A,M-1810,item:001893,1.895916,1.895916,16,20,1.0,KG
4,SDC-VD1091642A,M-1810,item:001893,0.54169,0.54169,22,26,1.0,KG
4,SDC-VD0518684A,M-1810,item:001893,0.270845,0.270845,78,82,1.0,KG
4,SDC-VD0910216A,M-1810,item:002612,0.498925,0.498925,21,25,1.0,KG
4,SDC-VD0990780A,M-1810,item:002612,0.14255,0.14255,44,48,1.0,KG
4,SDC-VD1091642A,M-1810,item:002612,0.035638,0.035638,41,45,1.0,KG
4,SDC-VD0500655A,M-1810,item:002612,0.035638,0.035638,20,24,1.0,KG
4,SDC-VD0514881A,M-1810,item:016332,0.17106,0.17106,88,92,1.0,KG
4,SDC-VD0519670A,M-1810,item:029313,0.014255,0.014255,59,63,1.0,KG
4,SDC-VD1096202A,M-1810,item:039668,0.014255,0.014255,13,17,1.0,KG
4,SDC-VD0520132A,M-1810,item:049371,270.0,270.0,216,220,1.0,KG
4,SDC-VD0914320A,M-1810,item:055703,0.019957,0.019957,33,37,1.0,KG
4,SDC-VD0964290A,M-1810,item:055703,0.008553,0.008553,8,12,1.0,KG
4,SDC-VD0505677A,M-1810,item:099439,0.71275,0.71275,15,19,1.0,KG
