day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,1840.876188,1793.021864
0,M-1430,item:042342,9601393.64338,9436378.693743
0,M-1430,item:333362,388749.19508,386014.53349
0,M-1430,item:344135,221537.331047,218802.669457
0,M-1430,item:708073,1530.166789,1508.480923
0,M-1430,item:730384,84119.330895,83539.582638
0,M-1430,item:734545,1289.053481,1267.176189
0,M-1430,item:773474,783529.695773,757127.3093
0,M-1810,item:001757,1945.485111,1939.792062
0,M-1810,item:001848,1193.386405,1189.116619
0,M-1810,item:001893,7438.619693,7411.577714
0,M-1810,item:002612,1056.731625,1049.615314
0,M-1810,item:007923,270558.4,259172.303279
0,M-1810,item:016332,342.327125,340.61921
0,M-1810,item:029313,32.670036,32.52771
0,M-1810,item:039668,19.426487,19.284161
0,M-1810,item:049371,1211.055587,1205.789517
0,M-1810,item:055703,56.83841,56.553757
0,M-1810,item:099439,1048.003239,1040.886928
0,M-1810,item:338928,363792.239993,360286.668343
0,M-1810,item:338929,583777.892009,580272.320359
0,M-1810,item:426331,4387.083104,4348.521816
0,M-1810,item:693055,388584.907997,387161.645907
0,SDC-1450,item:021081,2462290.819589,2462038.943149
1,M-1430,item:038005,1793.021864,1747.572688
1,M-1430,item:042342,9801966.26199,9645244.931484
1,M-1430,item:333362,387209.203013,384611.984981
1,M-1430,item:344135,220291.121825,217693.903793
1,M-1430,item:708073,1522.612481,1502.016542
1,M-1430,item:730384,86115.60531,85564.995087
1,M-1430,item:734545,1328.343032,1307.565288
1,M-1430,item:773474,763289.328899,738213.921213
1,M-1810,item:001757,1939.792062,1937.323582
1,M-1810,item:001848,1204.543527,1202.692167
1,M-1810,item:001893,7422.691272,7410.965992
1,M-1810,item:002612,1069.221534,1066.135934
1,M-1810,item:007923,270558.4,265621.44
1,M-1810,item:016332,345.751184,345.01064
1,M-1810,item:029313,32.52771,32.465998
1,M-1810,item:039668,19.284161,19.222449
1,M-1810,item:049371,1205.789517,1203.506173
1,M-1810,item:055703,56.683135,56.559711
1,M-1810,item:099439,1115.392976,1112.307376
1,M-1810,item:338928,360286.668343,358766.668343
1,M-1810,item:338929,580272.320359,578752.320359
1,M-1810,item:426331,4530.464159,4513.744159
1,M-1810,item:693055,391034.082939,390416.962939
1,SDC-1450,item:021081,2462151.311684,2461899.997415
2,M-1430,item:038005,1747.572688,1702.604543
2,M-1430,item:042342,9678706.513469,9523643.906789
2,M-1430,item:333362,384611.984981,382042.25566
2,M-1430,item:344135,217693.903793,215124.174472
2,M-1430,item:708073,1555.860314,1535.48236
2,M-1430,item:730384,85564.995087,85020.212471
2,M-1430,item:734545,1307.565288,1287.007454
2,M-1430,item:773474,738213.921213,713403.909284
2,M-1810,item:001757,1937.323582,1935.993712
2,M-1810,item:001848,1210.872107,1209.874704
2,M-1810,item:001893,7410.965992,7404.649108
2,M-1810,item:002612,1067.104043,1065.441705
2,M-1810,item:007923,265621.44,262961.699344
2,M-1810,item:016332,345.01064,344.611679
2,M-1810,item:029313,32.949138,32.915891
2,M-1810,item:039668,19.222449,19.189202
2,M-1810,item:049371,1203.506173,1202.276043
2,M-1810,item:055703,57.323374,57.25688
2,M-1810,item:099439,1136.464376,1134.802038
2,M-1810,item:338928,358766.668343,357947.782673
2,M-1810,item:338929,582726.123719,581907.238049
2,M-1810,item:426331,4622.364277,4613.356534
2,M-1810,item:693055,406546.569335,406214.101753
2,SDC-1450,item:021081,2461941.029448,2461695.255639
3,M-1430,item:038005,1702.604543,1657.732603
3,M-1430,item:042342,9523643.906789,9368913.044875
3,M-1430,item:333362,387762.446044,385198.214466
3,M-1430,item:344135,215124.174472,212559.942893
3,M-1430,item:708073,1535.48236,1515.148004
3,M-1430,item:730384,85020.212471,84476.595377
3,M-1430,item:734545,1287.007454,1266.493601
3,M-1430,item:773474,742619.456572,717862.523794
3,M-1810,item:001757,1979.275504,1978.43933
3,M-1810,item:001848,1213.718841,1213.09171
3,M-1810,item:001893,7474.610739,7470.638911
3,M-1810,item:002612,1077.423782,1076.378564
3,M-1810,item:007923,270558.4,268886.051344
3,M-1810,item:016332,347.199238,346.948385
3,M-1810,item:029313,32.915891,32.894987
3,M-1810,item:039668,19.189202,19.168298
3,M-1810,item:049371,1202.276043,1201.502582
3,M-1810,item:055703,57.798231,57.756422
3,M-1810,item:099439,1134.802038,1133.75682
3,M-1810,item:338928,367947.782673,367432.897003
3,M-1810,item:338929,587026.726567,586511.840897
3,M-1810,item:426331,4613.356534,4607.692792
3,M-1810,item:693055,411045.501753,410836.458171
3,SDC-1450,item:021081,2586828.964837,2586589.093579
4,M-1430,item:038005,1657.732603,1612.879904
4,M-1430,item:042342,9716315.963908,9561651.450947
4,M-1430,item:333362,385198.214466,382635.082435
4,M-1430,item:344135,212559.942893,209996.810863
4,M-1430,item:708073,1515.148004,1494.822367
4,M-1430,item:730384,86681.395377,86138.011386
4,M-1430,item:734545,1308.093601,1287.588545
4,M-1430,item:773474,717862.523794,693116.206846
4,M-1810,item:001757,1978.43933,1977.869129
4,M-1810,item:001848,1213.09171,1212.66406
4,M-1810,item:001893,7505.234989,7502.526538
4,M-1810,item:002612,1085.948845,1085.236094
4,M-1810,item:007923,270558.4,269417.999475
4,M-1810,item:016332,352.2339,352.06284
4,M-1810,item:029313,33.27023,33.255975
4,M-1810,item:039668,19.595962,19.581707
4,M-1810,item:049371,1201.502582,1200.975147
4,M-1810,item:055703,58.23764,58.20913
4,M-1810,item:099439,1144.1501,1143.437349
4,M-1810,item:338928,367432.897003,367081.788467
4,M-1810,item:338929,600686.480403,600335.371867
4,M-1810,item:426331,4707.684669,4703.822475
4,M-1810,item:693055,417299.625156,417157.075091
4,SDC-1450,item:021081,2586698.868532,2586463.886641
5,M-1430,item:038005,1612.879904,1568.031054
5,M-1430,item:042342,9561651.450947,9407000.207776
5,M-1430,item:333362,384345.762699,381782.850579
5,M-1430,item:344135,216068.340495,213505.428375
5,M-1430,item:708073,1536.058367,1515.734474
5,M-1430,item:730384,86138.011386,85594.674017
5,M-1430,item:734545,1287.588545,1267.085248
5,M-1430,item:773474,698626.478388,673882.284607
5,M-1810,item:001757,1977.869129,1977.466164
5,M-1810,item:001848,1212.66406,1212.361836
5,M-1810,item:001893,7530.172663,7528.258577
5,M-1810,item:002612,1092.705647,1092.201941
5,M-1810,item:007923,270558.4,269752.469207
5,M-1810,item:016332,365.21196,365.091071
5,M-1810,item:029313,33.255975,33.245901
5,M-1810,item:039668,19.797029,19.786955
5,M-1810,item:049371,1200.975147,1200.602404
5,M-1810,item:055703,59.014216,58.994067
5,M-1810,item:099439,1143.437349,1142.933643
5,M-1810,item:338928,397081.788467,396833.657065
5,M-1810,item:338929,600335.371867,600087.240465
5,M-1810,item:426331,4703.822475,4701.09303
5,M-1810,item:693055,422141.99607,422041.254721
5,SDC-1450,item:021081,2586463.886641,2586232.632587
6,M-1430,item:038005,1568.031054,1523.182973
6,M-1430,item:042342,9407000.207776,9252351.618564
6,M-1430,item:333362,389649.530731,387086.662593
6,M-1430,item:344135,219914.401142,217351.533004
6,M-1430,item:708073,1598.206474,1577.882929
6,M-1430,item:730384,85914.545954,85371.217908
6,M-1430,item:734545,1313.251116,1292.748171
6,M-1430,item:773474,730106.073141,705362.303992
6,M-1810,item:001757,1977.466164,1977.177239
6,M-1810,item:001848,1224.403728,1224.187034
6,M-1810,item:001893,7555.315689,7553.943293
6,M-1810,item:002612,1109.620843,1109.259687
6,M-1810,item:007923,270558.4,269980.549311
6,M-1810,item:016332,370.888751,370.802073
6,M-1810,item:029313,34.315292,34.308068
6,M-1810,item:039668,20.654245,20.647022
6,M-1810,item:049371,1200.602404,1200.335148
6,M-1810,item:055703,60.462644,60.448198
6,M-1810,item:099439,1142.933643,1142.572486
6,M-1810,item:338928,406833.657065,406655.74737
6,M-1810,item:338929,600087.240465,599909.330771
6,M-1810,item:426331,4803.174977,4801.21797
6,M-1810,item:693055,430269.826241,430197.594905
6,SDC-1450,item:021081,2586285.393605,2586056.89331
7,M-1430,item:038005,1523.182973,1432.187258
7,M-1430,item:042342,9252351.618564,8938573.218564
7,M-1430,item:333362,392286.662593,387086.662593
7,M-1430,item:344135,221300.681981,216100.681981
7,M-1430,item:708073,1607.593865,1566.357865
7,M-1430,item:730384,85371.217908,84268.817908
7,M-1430,item:734545,1292.748171,1251.148171
7,M-1430,item:773474,705362.303992,655157.770392
7,M-1810,item:001757,1977.177239,1972.80794
7,M-1810,item:001848,1227.871623,1224.594649
7,M-1810,item:001893,7605.001709,7584.24754
7,M-1810,item:002612,1128.068621,1122.606997
7,M-1810,item:007923,269980.549311,261241.951981
7,M-1810,item:016332,370.802073,369.491284
7,M-1810,item:029313,34.791208,34.681976
7,M-1810,item:039668,21.104847,20.995615
7,M-1810,item:049371,1200.335148,1196.293546
7,M-1810,item:055703,60.448198,60.229733
7,M-1810,item:099439,1168.925966,1163.464343
7,M-1810,item:338928,416655.74737,413965.292527
7,M-1810,item:338929,605182.213536,602491.758693
7,M-1810,item:426331,4925.262559,4895.667555
7,M-1810,item:693055,430197.594905,429105.270238
7,SDC-1450,item:021081,2586138.008619,2585911.517276
8,M-1430,item:038005,1432.187258,1341.191543
8,M-1430,item:042342,9006441.417412,8692663.017412
8,M-1430,item:333362,387086.662593,381886.662593
8,M-1430,item:344135,216100.681981,210900.681981
8,M-1430,item:708073,1612.012718,1570.776718
8,M-1430,item:730384,84268.817908,83166.417908
8,M-1430,item:734545,1258.016776,1216.416776
8,M-1430,item:773474,655157.770392,604953.236792
8,M-1810,item:001757,1973.793283,1966.289977
8,M-1810,item:001848,1234.509083,1228.881603
8,M-1810,item:001893,7741.297707,7705.657003
8,M-1810,item:002612,1148.464554,1139.085422
8,M-1810,item:007923,270558.4,255551.787733
8,M-1810,item:016332,376.397764,374.146773
8,M-1810,item:029313,34.681976,34.494393
8,M-1810,item:039668,21.203478,21.015895
8,M-1810,item:049371,1196.293546,1189.352988
8,M-1810,item:055703,61.330617,60.955451
8,M-1810,item:099439,1163.464343,1154.08521
8,M-1810,item:338928,413965.292527,409345.03013
8,M-1810,item:338929,627164.097164,622543.834766
8,M-1810,item:426331,4895.667555,4844.844669
8,M-1810,item:693055,429105.270238,427229.443705
8,SDC-1450,item:021081,2585919.149059,2585648.592069
9,M-1430,item:038005,1341.191543,1250.195828
9,M-1430,item:042342,8692663.017412,8378884.617412
9,M-1430,item:333362,381886.662593,376686.662593
9,M-1430,item:344135,210900.681981,205700.681981
9,M-1430,item:708073,1575.174158,1533.938158
9,M-1430,item:730384,84268.817908,83166.417908
9,M-1430,item:734545,1216.416776,1174.816776
9,M-1430,item:773474,629763.248722,579558.715122
9,M-1810,item:001757,1966.289977,1958.15987
9,M-1810,item:001848,1247.296742,1241.199161
9,M-1810,item:001893,7737.512587,7698.894576
9,M-1810,item:002612,1152.220315,1142.05768
9,M-1810,item:007923,270558.4,254298.184746
9,M-1810,item:016332,374.146773,371.70774
9,M-1810,item:029313,34.709715,34.506462
9,M-1810,item:039668,21.473348,21.270095
9,M-1810,item:049371,1189.352988,1181.832639
9,M-1810,item:055703,62.848696,62.44219
9,M-1810,item:099439,1154.79796,1144.635326
9,M-1810,item:338928,449345.03013,444338.806222
9,M-1810,item:338929,643314.684315,638308.460406
9,M-1810,item:426331,4901.061726,4845.993263
9,M-1810,item:693055,431096.415426,429063.888519
9,SDC-1450,item:021081,2585669.587883,2585354.563456
10,M-1430,item:038005,1250.195828,1159.200113
10,M-1430,item:042342,8915182.439006,8601404.039006
10,M-1430,item:333362,376686.662593,371486.662593
10,M-1430,item:344135,209122.561357,203922.561357
10,M-1430,item:708073,1582.911994,1541.675994
10,M-1430,item:730384,83166.417908,82064.017908
10,M-1430,item:734545,1179.274635,1137.674635
10,M-1430,item:773474,683760.932057,633556.398457
10,M-1810,item:001757,1958.15987,1949.904402
10,M-1810,item:001848,1248.947867,1242.756266
10,M-1810,item:001893,7784.732946,7745.519474
10,M-1810,item:002612,1154.605278,1144.285943
10,M-1810,item:007923,270558.4,254047.464148
10,M-1810,item:016332,373.640996,371.164356
10,M-1810,item:029313,34.713954,34.507568
10,M-1810,item:039668,21.270095,21.063709
10,M-1810,item:049371,1181.832639,1174.196331
10,M-1810,item:055703,63.131907,62.719134
10,M-1810,item:099439,1144.635326,1134.315991
10,M-1810,item:338928,454338.806222,449255.390011
10,M-1810,item:338929,638308.460406,633225.044196
10,M-1810,item:426331,4950.788112,4894.870533
10,M-1810,item:693055,430675.321352,428611.454371
10,SDC-1450,item:021081,2585354.563456,2585003.88472
11,M-1430,item:038005,1159.200113,1068.204397
11,M-1430,item:042342,8915182.439006,8601404.039006
11,M-1430,item:333362,373355.338412,368155.338412
11,M-1430,item:344135,215181.153519,209981.153519
11,M-1430,item:708073,1541.675994,1500.439994
11,M-1430,item:730384,82064.017908,80961.617908
11,M-1430,item:734545,1203.482942,1161.882942
11,M-1430,item:773474,633556.398457,583351.864857
11,M-1810,item:001757,2101.635284,2093.354744
11,M-1810,item:001848,1260.377619,1254.167214
11,M-1810,item:001893,7841.381368,7802.048803
11,M-1810,item:002612,1160.183157,1149.832482
11,M-1810,item:007923,270558.4,253997.320029
11,M-1810,item:016332,377.167314,374.683152
11,M-1810,item:029313,34.990708,34.783694
11,M-1810,item:039668,21.432909,21.225896
11,M-1810,item:049371,1174.196331,1166.536831
11,M-1810,item:055703,62.964773,62.550746
11,M-1810,item:099439,1153.655404,1143.304729
11,M-1810,item:338928,449255.390011,444156.53534
11,M-1810,item:338929,633225.044196,628126.189525
11,M-1810,item:426331,4999.640703,4943.553302
11,M-1810,item:693055,428611.454371,426541.319375
11,SDC-1450,item:021081,2585026.175968,2584648.736411
12,M-1430,item:038005,1068.204397,977.208682
12,M-1430,item:042342,8923140.319149,8609361.919149
12,M-1430,item:333362,381585.179947,376385.179947
12,M-1430,item:344135,209981.153519,204781.153519
12,M-1430,item:708073,1500.439994,1459.203994
12,M-1430,item:730384,83166.417908,82064.017908
12,M-1430,item:734545,1161.882942,1120.282942
12,M-1430,item:773474,612604.130467,562399.596867
12,M-1810,item:001757,2105.269223,2096.983669
12,M-1810,item:001848,1271.534762,1265.320596
12,M-1810,item:001893,7829.103879,7789.747496
12,M-1810,item:002612,1201.311902,1190.954959
12,M-1810,item:007923,270558.4,253987.291205
12,M-1810,item:016332,374.683152,372.197485
12,M-1810,item:029313,34.98969,34.782551
12,M-1810,item:039668,22.074955,21.867816
12,M-1810,item:049371,1166.536831,1158.872694
12,M-1810,item:055703,63.410734,62.996457
12,M-1810,item:099439,1163.774668,1153.417725
12,M-1810,item:338928,444156.53534,439054.592977
12,M-1810,item:338929,633429.680364,628327.738001
12,M-1810,item:426331,4943.553302,4887.431936
12,M-1810,item:693055,429628.687456,427557.298857
12,SDC-1450,item:021081,2585048.352124,2584651.282609
13,M-1430,item:038005,977.208682,886.212967
13,M-1430,item:042342,8609361.919149,8295583.519149
13,M-1430,item:333362,386785.179947,381585.179947
13,M-1430,item:344135,212550.88284,207350.88284
13,M-1430,item:708073,1504.965912,1463.729912
13,M-1430,item:730384,82315.211782,81212.811782
13,M-1430,item:734545,1144.364478,1102.764478
13,M-1430,item:773474,662808.664067,612604.130467
13,M-1810,item:001757,2096.983669,2088.697112
13,M-1810,item:001848,1279.283439,1273.068521
13,M-1810,item:001893,7818.992362,7779.631215
13,M-1810,item:002612,1209.566431,1199.208235
13,M-1810,item:007923,253987.291205,237414.176645
13,M-1810,item:016332,374.785068,372.299101
13,M-1810,item:029313,35.183458,34.976294
13,M-1810,item:039668,22.720017,22.512853
13,M-1810,item:049371,1158.872694,1151.207628
13,M-1810,item:055703,64.037249,63.622921
13,M-1810,item:099439,1154.462943,1144.104746
13,M-1810,item:338928,459054.592977,453952.033076
13,M-1810,item:338929,647273.614234,642171.054332
13,M-1810,item:426331,4887.431936,4831.303777
13,M-1810,item:693055,435785.870377,433714.231057
13,SDC-1450,item:021081,2584651.282609,2584239.935299
14,M-1430,item:038005,886.212967,805.940412
14,M-1430,item:042342,8478180.727524,8201378.751665
14,M-1430,item:333362,381585.179947,376997.960832
14,M-1430,item:344135,213108.115266,208520.89615
14,M-1430,item:708073,1463.729912,1427.353264
14,M-1430,item:730384,81397.576064,80425.085611
14,M-1430,item:734545,1102.764478,1066.066725
14,M-1430,item:773474,645641.41087,601353.103907
14,M-1810,item:001757,2088.697112,2077.470079
14,M-1810,item:001848,1279.356914,1270.936639
14,M-1810,item:001893,7838.431254,7785.102847
14,M-1810,item:002612,1214.95413,1200.920339
14,M-1810,item:007923,270558.4,248104.333888
14,M-1810,item:016332,377.758763,374.390653
14,M-1810,item:029313,34.976294,34.695618
14,M-1810,item:039668,22.512853,22.232177
14,M-1810,item:049371,1151.207628,1140.822623
14,M-1810,item:055703,64.276909,63.715558
14,M-1810,item:099439,1187.595694,1173.561903
14,M-1810,item:338928,453952.033076,447038.835381
14,M-1810,item:338929,642171.054332,635257.856638
14,M-1810,item:426331,4931.486255,4855.441081
14,M-1810,item:693055,433714.231057,430907.472793
14,SDC-1450,item:021081,2584548.566095,2584126.866982
15,M-1430,item:038005,805.940412,736.404187
15,M-1430,item:042342,8260258.51313,8020478.369739
15,M-1430,item:333362,376997.960832,373024.275117
15,M-1430,item:344135,208520.89615,204547.210436
15,M-1430,item:708073,1427.353264,1395.841936
15,M-1430,item:730384,81063.246302,80220.82493
15,M-1430,item:734545,1112.18275,1080.393264
15,M-1430,item:773474,601353.103907,562988.288912
15,M-1810,item:001757,2077.470079,2065.65495
15,M-1810,item:001848,1278.687013,1269.825667
15,M-1810,item:001893,7809.199257,7753.077398
15,M-1810,item:002612,1214.360034,1199.591123
15,M-1810,item:007923,270558.4,246928.143577
15,M-1810,item:016332,378.819373,375.274835
15,M-1810,item:029313,35.868226,35.572847
15,M-1810,item:039668,22.232177,21.936799
15,M-1810,item:049371,1461.355663,1450.426669
15,M-1810,item:055703,63.84493,63.254173
