day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.661589,2734.661589,5200.0,76775.094865,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,73372.141747,none,,0.0
0,SDC-1450,item:773474,28147.964758,28147.964758,2000000.0,308944153.061835,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,74040.433275,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,83300.0,none,,0.0
1,SDC-1450,item:773474,28092.305137,28092.305137,2000000.0,308916005.097077,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,74472.422788,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,27477.793723,27477.793723,2000000.0,308887912.791939,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,83158.699491,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,82481.11433,none,,0.0
3,SDC-1450,item:773474,26821.335081,26821.335081,2000000.0,308880569.226404,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,87102.091493,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,82785.11433,none,,0.0
4,SDC-1450,item:773474,26277.162892,26277.162892,2000000.0,308853747.891323,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,84538.959463,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,82948.891464,none,,0.0
5,SDC-1450,item:773474,25862.159266,25862.159266,2000000.0,308827470.728431,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,84710.708932,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83051.868598,none,,0.0
6,SDC-1450,item:773474,25555.565443,25555.565443,2000000.0,308821742.797353,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,82147.840793,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,83300.0,none,,0.0
7,SDC-1450,item:773474,25331.88742,25331.88742,2000000.0,308860927.880399,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,76947.840793,capacity,,908.96044
8,M-1810,item:268091,4620.262397,4620.262397,11900.0,80609.545157,none,,0.0
8,SDC-1450,item:773474,30261.681051,30261.681051,2000000.0,308837679.953284,none,,0.0
9,M-1430,item:268967,6227.163517,5200.0,5200.0,77322.260983,capacity,,1027.163517
9,M-1810,item:268091,5006.223908,5006.223908,11900.0,83300.0,none,,0.0
9,SDC-1450,item:773474,35236.210287,35236.210287,2000000.0,308812950.385352,none,,0.0
10,M-1430,item:268967,6250.804132,5200.0,5200.0,78141.35839,capacity,,1050.804132
10,M-1810,item:268091,5083.41621,5083.41621,11900.0,83300.0,none,,0.0
