day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,521.429726,521.066618
0,M-1430,item:042342,136225.0821,134972.9856
0,M-1430,item:333362,5917.359091,5896.609091
0,M-1430,item:344135,2467.55,2446.8
0,M-1430,item:708073,49.929262,49.764715
0,M-1430,item:730384,2559.105,2554.706
0,M-1430,item:734545,37.8,37.634
0,M-1430,item:773474,23038.570827,22838.235429
0,M-1810,item:001757,21.85498,21.821282
0,M-1810,item:001848,11.796482,11.771209
0,M-1810,item:001893,74.711054,74.550989
0,M-1810,item:002612,11.543722,11.501599
0,M-1810,item:007923,2273.6,2206.204
0,M-1810,item:016332,3.843399,3.83329
0,M-1810,item:029313,0.368242,0.3674
0,M-1810,item:039668,0.22533,0.224488
0,M-1810,item:049371,35.836859,35.805688
0,M-1810,item:055703,0.582255,0.58057
0,M-1810,item:099439,11.6522,11.610078
0,M-1810,item:338928,2319.5,2298.75
0,M-1810,item:338929,6731.25,6710.5
0,M-1810,item:426331,50.72375,50.4955
0,M-1810,item:693055,3364.288478,3355.863978
0,SDC-1450,item:021081,3347042.635505,3347040.585379
1,M-1430,item:038005,521.476099,521.070993
1,M-1430,item:042342,140630.0481,139233.1308
1,M-1430,item:333362,5896.609091,5873.459091
1,M-1430,item:344135,2446.8,2423.65
1,M-1430,item:708073,49.953052,49.769473
1,M-1430,item:730384,2564.776,2559.8682
1,M-1430,item:734545,37.634,37.4488
1,M-1430,item:773474,23296.834534,23073.327812
1,M-1810,item:001757,21.898422,21.860826
1,M-1810,item:001848,11.800136,11.77194
1,M-1810,item:001893,74.624272,74.445693
1,M-1810,item:002612,11.540169,11.493175
1,M-1810,item:007923,2273.6,2198.4088
1,M-1810,item:016332,3.856432,3.845153
1,M-1810,item:029313,0.369328,0.368388
1,M-1810,item:039668,0.226416,0.225476
1,M-1810,item:049371,35.868405,35.833629
1,M-1810,item:055703,0.585198,0.583318
1,M-1810,item:099439,11.610078,11.563083
1,M-1810,item:338928,2361.25,2338.1
1,M-1810,item:338929,6781.75,6758.6
1,M-1810,item:426331,50.4955,50.24085
1,M-1810,item:693055,3355.863978,3346.465078
1,SDC-1450,item:021081,3352628.786674,3352626.788388
2,M-1430,item:038005,522.72729,522.278786
2,M-1430,item:042342,144890.1933,143343.62784
2,M-1430,item:333362,5918.913636,5893.283636
2,M-1430,item:344135,2454.9,2429.27
2,M-1430,item:708073,49.95781,49.754565
2,M-1430,item:730384,2564.9032,2559.46964
2,M-1430,item:734545,37.8288,37.62376
2,M-1430,item:773474,23073.327812,22825.87739
2,M-1810,item:001757,21.899396,21.857773
2,M-1810,item:001848,11.821116,11.789899
2,M-1810,item:001893,74.610579,74.41287
2,M-1810,item:002612,11.505228,11.453199
2,M-1810,item:007923,2273.6,2190.35376
2,M-1810,item:016332,3.856724,3.844237
2,M-1810,item:029313,0.369352,0.368312
2,M-1810,item:039668,0.22644,0.2254
2,M-1810,item:049371,35.896346,35.857844
2,M-1810,item:055703,0.585247,0.583166
2,M-1810,item:099439,11.611296,11.559267
2,M-1810,item:338928,2400.6,2374.97
