day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,0.0,0.0
0,M-1810,item:268091,16.0,16.0
0,SDC-1450,item:773474,17.565644,17.565644
1,M-1430,item:268967,23.149996,23.149996
1,M-1810,item:268091,14.31536,30.31536
1,SDC-1450,item:773474,12.71272,30.278363
2,M-1430,item:268967,8.100004,31.25
2,M-1810,item:268091,23.863072,54.178432
2,SDC-1450,item:773474,53.900928,84.179291
3,M-1430,item:268967,0.0,31.25
3,M-1810,item:268091,24.0,78.178432
3,SDC-1450,item:773474,51.358384,135.537675
4,M-1430,item:268967,0.0,31.25
4,M-1810,item:268091,17.227386,95.405818
4,SDC-1450,item:773474,40.578198,176.115874
5,M-1430,item:268967,0.0,31.25
5,M-1810,item:268091,15.304988,110.710805
5,SDC-1450,item:773474,45.947172,222.063046
6,M-1430,item:268967,0.0,31.25
6,M-1810,item:268091,0.0,110.710805
6,SDC-1450,item:773474,37.831532,259.894578
7,M-1430,item:268967,0.0,31.25
7,M-1810,item:268091,0.0,110.710805
7,SDC-1450,item:773474,28.642098,288.536676
8,M-1430,item:268967,23.12141,54.37141
8,M-1810,item:268091,22.372924,133.08373
8,SDC-1450,item:773474,21.075791,309.612467
9,M-1430,item:268967,21.0,75.37141
9,M-1810,item:268091,21.0,154.08373
9,SDC-1450,item:773474,15.347372,324.959839
10,M-1430,item:268967,18.37859,93.75
10,M-1810,item:268091,19.127076,173.210805
10,SDC-1450,item:773474,11.132214,336.092053
11,M-1430,item:268967,0.0,93.75
11,M-1810,item:268091,25.905083,199.115888
11,SDC-1450,item:773474,128.746714,464.838767
12,M-1430,item:268967,0.0,93.75
12,M-1810,item:268091,5.344917,204.460805
12,SDC-1450,item:773474,126.520271,591.359038
13,M-1430,item:268967,23.035006,116.785006
13,M-1810,item:268091,0.0,204.460805
13,SDC-1450,item:773474,100.770929,692.129967
14,M-1430,item:268967,20.607001,137.392007
14,M-1810,item:268091,0.0,204.460805
14,SDC-1450,item:773474,119.946171,812.076138
15,M-1430,item:268967,19.0,156.392007
15,M-1810,item:268091,0.0,204.460805
15,SDC-1450,item:773474,99.791986,911.868124
16,M-1430,item:268967,16.8786,173.270607
16,M-1810,item:268091,0.0,204.460805
16,SDC-1450,item:773474,75.802751,987.670875
17,M-1430,item:268967,14.229393,187.5
17,M-1810,item:268091,0.0,204.460805
17,SDC-1450,item:773474,164.914864,1152.585739
18,M-1430,item:268967,0.0,187.5
18,M-1810,item:268091,0.0,204.460805
18,SDC-1450,item:773474,149.754314,1302.340052
19,M-1430,item:268967,22.079974,209.579974
19,M-1810,item:268091,0.0,204.460805
19,SDC-1450,item:773474,116.771341,1419.111393
20,M-1430,item:268967,22.415995,231.995969
20,M-1810,item:268091,0.0,204.460805
20,SDC-1450,item:773474,156.931819,1576.043212
21,M-1430,item:268967,16.0,247.995969
21,M-1810,item:268091,0.0,204.460805
21,SDC-1450,item:773474,133.577551,1709.620763
22,M-1430,item:268967,14.516801,262.51277
22,M-1810,item:268091,23.124516,227.585322
22,SDC-1450,item:773474,102.191187,1811.811951
23,M-1430,item:268967,23.90336,286.416131
23,M-1810,item:268091,25.624903,253.210225
23,SDC-1450,item:773474,177.685921,1989.497871
24,M-1430,item:268967,24.0,310.416131
24,M-1810,item:268091,13.750581,266.960805
24,SDC-1450,item:773474,157.247683,2146.745554
25,M-1430,item:268967,2.083869,312.5
25,M-1810,item:268091,0.0,266.960805
25,SDC-1450,item:773474,121.710499,2268.456053
26,M-1430,item:268967,0.0,312.5
26,M-1810,item:268091,0.0,266.960805
26,SDC-1450,item:773474,186.783484,2455.239537
27,M-1430,item:268967,0.0,312.5
27,M-1810,item:268091,0.0,266.960805
27,SDC-1450,item:773474,162.441384,2617.680921
28,M-1430,item:268967,0.0,312.5
28,M-1810,item:268091,0.0,266.960805
28,SDC-1450,item:773474,125.084687,2742.765608
29,M-1430,item:268967,0.0,312.5
29,M-1810,item:268091,23.11028,290.071085
29,SDC-1450,item:773474,92.59641,2835.362018
30,M-1430,item:268967,23.62151,336.12151
30,M-1810,item:268091,8.13972,298.210805
