day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,558.5439,1053719.8929,41800.6649,269.8735,42.6193,1026.84,0.0,0.0
1,47.5,0.0,87.5,64.96,79.0,254.9111,1052033.0964,41745.0299,169.8049,68.9612,2233.68,0.0,0.0
2,52.5,0.0,140.0,20.0,88.2,295.539,1050258.484,41689.0622,198.0235,74.646,2413.68,0.0,1026.84
3,60.0,0.0,200.0,175.904,89.64,296.9919,1048639.75,41633.0996,198.8523,74.8162,2413.68,0.0,2233.68
4,55.0,0.0,255.0,144.2,89.928,1367.1224,1046946.3067,41577.1339,706.5164,85.5486,2413.68,1026.84,2413.68
5,50.0,40.0,265.0,171.2,89.9856,2561.0205,1045252.8625,41521.1681,1258.8067,97.4938,2413.68,2233.68,1386.84
6,45.0,43.0,267.0,189.2,88.1101,2743.4234,1043580.8615,41465.509,1350.1732,98.4697,2413.68,2413.68,180.0
7,40.0,0.0,307.0,205.002,85.622,2673.3146,1042049.4329,41410.7975,1270.9777,78.6514,1400.3111,2413.68,0.0
8,47.5,70.0,284.5,136.9822,88.1244,2632.2544,1040409.3317,41356.9858,1193.4755,66.2229,239.7201,2413.68,0.0
9,52.5,25.0,312.0,143.1839,90.0,1617.308,1039826.5981,41345.6934,729.2417,73.1358,140.0,2413.68,9.7201
10,60.0,25.0,347.0,180.891,90.0,1474.8177,1039424.062,41341.6074,673.2192,83.0393,180.0,2413.68,59.7201
11,55.0,40.0,362.0,191.1971,90.0,1432.6662,1038045.6146,41296.4434,641.6696,84.8888,180.0,1400.3111,136.249
12,50.0,88.7356,323.2644,259.7298,90.0,1473.9152,1035485.1244,41204.012,662.7285,93.0979,180.0,239.7201,166.5289
13,45.0,60.0,308.2644,1191.3265,88.113,1548.4851,1033719.5109,41144.6083,698.9234,105.685,180.0,140.0,112.7549
14,40.0,20.0,328.2644,216.2314,85.6226,546.8611,1032072.0857,41086.2132,271.5976,111.9023,1180.8401,180.0,40.0
15,47.5,23.1245,352.6399,2819.5342,88.1245,408.5745,1033151.412,41137.9339,255.9234,115.7412,2333.9291,180.0,0.0
16,52.5,50.0,355.1399,215.7848,90.0,383.2268,1031616.6805,41086.7619,242.6703,95.7236,2453.68,180.0,1026.84
17,60.0,65.6226,349.5173,230.2455,90.0,400.4796,1030063.5344,41036.408,256.4172,81.1541,2413.68,180.0,2233.68
18,55.0,0.0,404.5173,111.6302,90.0,1368.9097,1028489.8056,40986.6135,709.7833,85.6422,2417.0784,1180.8401,2413.68
19,50.0,83.1245,371.3928,1692.5523,90.0,2540.8851,1028394.988,40990.9425,1251.0033,97.565,2427.2284,2333.9291,1386.84
20,45.0,20.0,396.3928,155.55,88.113,2714.0427,1026781.7204,40936.9061,1335.7817,98.5822,2433.98,2453.68,182.6323
21,40.0,48.113,388.2798,2748.3191,85.6226,2679.9424,1027738.8686,40978.7549,1281.0735,79.1238,1420.6111,2413.68,11.0051
22,47.5,45.0,390.7798,225.3901,88.1245,2649.3774,1026198.4509,40924.9619,1209.5431,66.8001,260.0201,2417.0784,16.9952
23,52.5,80.0,363.2798,150.3785,83.4112,1241.806,1026426.3628,40946.1476,559.7498,65.32,147.1224,2427.2284,23.317
24,60.0,23.113,400.1668,1569.4996,79.3219,789.8309,1028880.3423,41044.9558,341.738,65.6243,165.7661,2433.98,63.167
25,55.0,70.0,385.1668,223.6925,74.6609,495.8556,1029554.2888,41075.564,201.1401,66.9417,168.3848,1420.6111,96.249
26,50.0,23.1245,412.0423,118.4737,74.6594,569.5632,1028935.6998,41057.7155,244.7684,77.9115,167.5537,260.0201,86.5289
27,45.0,20.0,437.0423,228.9151,68.113,328.8812,1028899.2441,41055.844,134.9316,77.4269,137.2845,147.1224,32.7549
28,40.0,27.394,449.6483,162.4526,70.2835,624.4736,1028191.5878,41032.7489,274.3343,63.5524,75.1403,165.7661,0.0
29,47.5,70.6226,426.5257,3888.0985,72.7855,560.5033,1031221.2243,41154.4676,233.124,39.068,20.2491,168.3848,0.0
