day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,123.80667,123.456687
0,M-1430,item:042342,60342.0,59135.16
0,M-1430,item:333362,2775.0,2755.0
0,M-1430,item:344135,1625.0,1605.0
0,M-1430,item:708073,10.50725,10.34865
0,M-1430,item:730384,551.2,546.96
0,M-1430,item:734545,8.0,7.84
0,M-1430,item:773474,4827.359,4634.26464
0,M-1810,item:001757,11.3274,11.29492
0,M-1810,item:001848,5.70024,5.67588
0,M-1810,item:001893,36.10152,35.94724
0,M-1810,item:002612,5.93775,5.89715
0,M-1810,item:007923,1023.12,958.16
0,M-1810,item:016332,1.995084,1.98534
0,M-1810,item:029313,0.190008,0.189196
0,M-1810,item:039668,0.118755,0.117943
0,M-1810,item:049371,18.25173,18.221686
0,M-1810,item:055703,0.285012,0.283388
0,M-1810,item:099439,5.93775,5.89715
0,M-1810,item:338928,5805.0,5785.0
0,M-1810,item:338929,3510.0,3490.0
0,M-1810,item:426331,26.235,26.015
0,M-1810,item:693055,2356.83,2348.71
0,SDC-1450,item:021081,983400.0,983400.0
1,M-1430,item:038005,123.456687,123.054206
1,M-1430,item:042342,59135.16,57747.294
1,M-1430,item:333362,2755.0,2732.0
1,M-1430,item:344135,1605.0,1582.0
1,M-1430,item:708073,10.34865,10.16626
1,M-1430,item:730384,546.96,542.084
1,M-1430,item:734545,7.84,7.656
1,M-1430,item:773474,4634.26464,4412.206126
1,M-1810,item:001757,11.29492,11.257568
1,M-1810,item:001848,5.67588,5.647866
1,M-1810,item:001893,35.94724,35.769818
1,M-1810,item:002612,5.89715,5.85046
1,M-1810,item:007923,1023.12,948.416
1,M-1810,item:016332,1.98534,1.974134
1,M-1810,item:029313,0.189196,0.188262
1,M-1810,item:039668,0.117943,0.117009
1,M-1810,item:049371,18.221686,18.187135
1,M-1810,item:055703,0.283388,0.28152
1,M-1810,item:099439,5.89715,5.85046
1,M-1810,item:338928,5785.0,5762.0
1,M-1810,item:338929,3490.0,3467.0
1,M-1810,item:426331,26.015,25.762
1,M-1810,item:693055,2348.71,2339.372
1,SDC-1450,item:021081,983400.0,983399.67816
2,M-1430,item:038005,123.054206,122.616726
2,M-1430,item:042342,57747.294,56238.744
2,M-1430,item:333362,2732.0,2707.0
2,M-1430,item:344135,1582.0,1557.0
2,M-1430,item:708073,10.16626,9.96801
2,M-1430,item:730384,542.084,536.784
2,M-1430,item:734545,7.656,7.456
2,M-1430,item:773474,4412.206126,4170.838176
2,M-1810,item:001757,11.257568,11.215994
2,M-1810,item:001848,5.647866,5.616685
