day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,0.0,127.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,5.0,122.5,5.0
5,C-XXXXX,item:268967,25.0,152.5,20.0,132.5,20.0
5,C-XXXXX,item:268091,25.0,147.5,5.0,142.5,5.0
6,C-XXXXX,item:268967,22.5,155.0,23.0,132.0,23.0
6,C-XXXXX,item:268091,22.5,165.0,5.0,160.0,5.0
7,C-XXXXX,item:268967,20.0,152.0,0.0,152.0,0.0
7,C-XXXXX,item:268091,20.0,180.0,5.0,175.0,5.0
8,C-XXXXX,item:268967,23.75,175.75,50.0,125.75,50.0
8,C-XXXXX,item:268091,23.75,198.75,0.0,198.75,0.0
9,C-XXXXX,item:268967,26.25,152.0,0.0,152.0,0.0
9,C-XXXXX,item:268091,26.25,225.0,5.0,220.0,5.0
10,C-XXXXX,item:268967,30.0,182.0,50.0,132.0,50.0
10,C-XXXXX,item:268091,30.0,250.0,0.0,250.0,0.0
11,C-XXXXX,item:268967,27.5,159.5,23.11296,136.38704,23.11296
11,C-XXXXX,item:268091,27.5,277.5,0.0,277.5,0.0
12,C-XXXXX,item:268967,25.0,161.38704,0.0,161.38704,0.0
12,C-XXXXX,item:268091,25.0,302.5,10.0,292.5,10.0
13,C-XXXXX,item:268967,22.5,183.88704,43.74711,140.13993,43.74711
13,C-XXXXX,item:268091,22.5,315.0,15.0,300.0,15.0
14,C-XXXXX,item:268967,20.0,160.13993,75.0,85.13993,75.0
14,C-XXXXX,item:268091,20.0,320.0,0.0,320.0,0.0
15,C-XXXXX,item:268967,23.75,108.88993,0.0,108.88993,0.0
15,C-XXXXX,item:268091,23.75,343.75,0.0,343.75,0.0
16,C-XXXXX,item:268967,26.25,135.13993,0.0,135.13993,0.0
16,C-XXXXX,item:268091,26.25,370.0,10.0,360.0,10.0
17,C-XXXXX,item:268967,30.0,165.13993,0.0,165.13993,0.0
17,C-XXXXX,item:268091,30.0,390.0,0.0,390.0,0.0
18,C-XXXXX,item:268967,27.5,192.63993,0.0,192.63993,0.0
18,C-XXXXX,item:268091,27.5,417.5,5.0,412.5,5.0
19,C-XXXXX,item:268967,25.0,217.63993,48.113,169.52693,48.113
19,C-XXXXX,item:268091,25.0,437.5,10.0,427.5,10.0
20,C-XXXXX,item:268967,22.5,192.02693,0.0,192.02693,0.0
20,C-XXXXX,item:268091,22.5,450.0,0.0,450.0,0.0
21,C-XXXXX,item:268967,20.0,212.02693,0.0,212.02693,0.0
21,C-XXXXX,item:268091,20.0,470.0,5.0,465.0,5.0
22,C-XXXXX,item:268967,23.75,235.77693,93.74712,142.02981,93.74712
22,C-XXXXX,item:268091,23.75,488.75,10.0,478.75,10.0
23,C-XXXXX,item:268967,26.25,168.27981,0.0,168.27981,0.0
23,C-XXXXX,item:268091,26.25,505.0,10.0,495.0,10.0
24,C-XXXXX,item:268967,30.0,198.27981,0.0,198.27981,0.0
24,C-XXXXX,item:268091,30.0,525.0,0.0,525.0,0.0
25,C-XXXXX,item:268967,27.5,225.77981,48.113,177.66681,48.113
25,C-XXXXX,item:268091,27.5,552.5,0.0,552.5,0.0
26,C-XXXXX,item:268967,25.0,202.66681,25.0,177.66681,25.0
26,C-XXXXX,item:268091,25.0,577.5,0.0,577.5,0.0
27,C-XXXXX,item:268967,22.5,200.16681,68.74712,131.41969,68.74712
27,C-XXXXX,item:268091,22.5,600.0,5.0,595.0,5.0
28,C-XXXXX,item:268967,20.0,151.41969,0.0,151.41969,0.0
28,C-XXXXX,item:268091,20.0,615.0,0.0,615.0,0.0
29,C-XXXXX,item:268967,23.75,175.16969,23.47313,151.69656,23.47313
29,C-XXXXX,item:268091,23.75,638.75,20.0,618.75,20.0
