day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,123.80667,123.456687
0,M-1430,item:042342,60342.0,59135.16
0,M-1430,item:333362,2775.0,2755.0
0,M-1430,item:344135,1625.0,1605.0
0,M-1430,item:708073,10.50725,10.34865
0,M-1430,item:730384,551.2,546.96
0,M-1430,item:734545,8.0,7.84
0,M-1430,item:773474,4827.359,4634.26464
0,M-1810,item:001757,1.2586,1.25048
0,M-1810,item:001848,0.63336,0.62727
0,M-1810,item:001893,4.01128,3.97271
0,M-1810,item:002612,0.65975,0.6496
0,M-1810,item:007923,700.0,683.76
0,M-1810,item:016332,0.221676,0.21924
0,M-1810,item:029313,0.021112,0.020909
0,M-1810,item:039668,0.013195,0.012992
0,M-1810,item:049371,2.02797,2.020459
0,M-1810,item:055703,0.031668,0.031262
0,M-1810,item:099439,0.65975,0.6496
0,M-1810,item:338928,645.0,640.0
0,M-1810,item:338929,390.0,385.0
0,M-1810,item:426331,2.915,2.86
0,M-1810,item:693055,261.87,259.84
0,SDC-1450,item:021081,983400.0,983400.0
1,M-1430,item:038005,123.456687,123.054206
1,M-1430,item:042342,59135.16,57747.294
1,M-1430,item:333362,2755.0,2732.0
1,M-1430,item:344135,1605.0,1582.0
1,M-1430,item:708073,10.34865,10.16626
1,M-1430,item:730384,546.96,542.084
1,M-1430,item:734545,7.84,7.656
1,M-1430,item:773474,4634.26464,4412.206126
1,M-1810,item:001757,1.25048,1.24236
1,M-1810,item:001848,0.62727,0.62118
1,M-1810,item:001893,3.97271,3.93414
1,M-1810,item:002612,0.6496,0.63945
1,M-1810,item:007923,683.76,667.52
1,M-1810,item:016332,0.21924,0.216804
1,M-1810,item:029313,0.020909,0.020706
1,M-1810,item:039668,0.012992,0.012789
1,M-1810,item:049371,2.020459,2.012948
1,M-1810,item:055703,0.031262,0.030856
1,M-1810,item:099439,0.6496,0.63945
1,M-1810,item:338928,640.0,635.0
1,M-1810,item:338929,385.0,380.0
1,M-1810,item:426331,2.86,2.805
1,M-1810,item:693055,259.84,257.81
1,SDC-1450,item:021081,983400.0,983399.67816
2,M-1430,item:038005,123.054206,122.616726
2,M-1430,item:042342,57747.294,56238.744
2,M-1430,item:333362,2732.0,2707.0
2,M-1430,item:344135,1582.0,1557.0
2,M-1430,item:708073,10.16626,9.96801
2,M-1430,item:730384,542.084,536.784
2,M-1430,item:734545,7.656,7.456
2,M-1430,item:773474,4412.206126,4170.838176
2,M-1810,item:001757,1.24236,1.23424
2,M-1810,item:001848,0.62118,0.61509
