day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,20.0,20.0
0,M-1810,item:268091,25.0,25.0
1,M-1430,item:268967,21.6,41.6
1,M-1810,item:268091,25.0,50.0
2,M-1430,item:268967,23.52,65.12
2,M-1810,item:268091,24.576,74.576
3,M-1430,item:268967,25.0,90.12
3,M-1810,item:268091,25.0,99.576
4,M-1430,item:268967,25.0,115.12
4,M-1810,item:268091,25.0,124.576
5,M-1430,item:268967,25.0,140.12
5,M-1810,item:268091,25.0,149.576
6,M-1430,item:268967,25.0,165.12
6,M-1810,item:268091,25.0,174.576
7,M-1430,item:268967,25.0,190.12
7,M-1810,item:268091,25.0,199.576
8,M-1430,item:268967,24.492001,214.612001
8,M-1810,item:268091,25.0,224.576
9,M-1430,item:268967,22.4984,237.110402
9,M-1810,item:268091,25.0,249.576
10,M-1430,item:268967,20.49968,257.610082
10,M-1810,item:268091,25.0,274.576
11,M-1430,item:268967,21.699936,279.310018
11,M-1810,item:268091,25.0,299.576
12,M-1430,item:268967,23.539987,302.850005
12,M-1810,item:268091,24.599616,324.175616
13,M-1430,item:268967,25.0,327.850005
13,M-1810,item:268091,25.0,349.175616
14,M-1430,item:268967,25.0,352.850005
14,M-1810,item:268091,25.0,374.175616
15,M-1430,item:268967,25.0,377.850005
15,M-1810,item:268091,25.0,399.175616
16,M-1430,item:268967,25.0,402.850005
16,M-1810,item:268091,25.0,424.175616
17,M-1430,item:268967,25.0,427.850005
17,M-1810,item:268091,25.0,449.175616
18,M-1430,item:268967,24.492003,452.342007
18,M-1810,item:268091,25.0,474.175616
19,M-1430,item:268967,22.498401,474.840408
19,M-1810,item:268091,25.0,499.175616
20,M-1430,item:268967,20.49968,495.340088
20,M-1810,item:268091,25.0,524.175616
21,M-1430,item:268967,21.699936,517.040024
21,M-1810,item:268091,25.0,549.175616
22,M-1430,item:268967,23.539987,540.580011
22,M-1810,item:268091,24.599616,573.775232
23,M-1430,item:268967,25.0,565.580011
23,M-1810,item:268091,25.0,598.775232
24,M-1430,item:268967,25.0,590.580011
24,M-1810,item:268091,25.0,623.775232
25,M-1430,item:268967,25.0,615.580011
25,M-1810,item:268091,25.0,648.775232
26,M-1430,item:268967,25.0,640.580011
26,M-1810,item:268091,25.0,673.775232
27,M-1430,item:268967,25.0,665.580011
27,M-1810,item:268091,25.0,698.775232
28,M-1430,item:268967,24.492003,690.072014
28,M-1810,item:268091,25.0,723.775232
29,M-1430,item:268967,22.498401,712.570414
29,M-1810,item:268091,25.0,748.775232
