day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,123.456687,59135.16,2755.0,1605.0,10.34865,546.96,7.84,4634.26464,6.267016,3.147312,19.932976,3.26627,648.032,1.100585,0.10491,0.065325,10.115815,0.157041,3.26627,3209.0,1934.0,14.399,1302.854,983400.0
1,123.054206,57747.294,2732.0,1582.0,10.16626,542.084,7.656,4412.206126,6.237134,3.124901,19.791038,3.228918,640.2368,1.09162,0.104163,0.064578,10.088174,0.155547,3.228918,3190.6,1915.6,14.1966,1295.3836,983399.67816
2,122.616726,56238.744,2707.0,1557.0,9.96801,536.784,7.456,4170.838176,6.203875,3.099956,19.633056,3.187344,573.71776,1.081642,0.103332,0.063747,10.057409,0.153884,3.187344,3170.12,1895.12,13.97132,1287.06872,983399.291952
3,122.179247,54730.194,2682.0,1532.0,9.76976,531.484,7.256,3929.470226,6.166042,3.071582,19.45335,3.140053,624.334592,1.070293,0.102386,0.062801,10.022414,0.151992,3.140053,3146.824,1871.824,13.715064,1277.610544,983398.89287
4,121.741767,53221.644,2657.0,1507.0,9.57151,526.184,7.056,3688.102276,6.129893,3.04447,19.281643,3.094867,627.702118,1.059448,0.101482,0.061897,9.988976,0.150185,3.094867,3124.5648,1849.5648,13.470213,1268.573309,983398.491214
5,121.304288,51713.094,2632.0,1482.0,9.37326,520.884,6.856,3446.734326,6.096679,3.01956,19.123877,3.053349,633.572424,1.049484,0.100652,0.061067,9.958253,0.148524,3.053349,3104.11296,1829.11296,13.245243,1260.269862,983398.089043
6,120.89983,50318.411768,2608.88704,1458.88704,9.189974,515.984052,6.671096,3223.585215,6.066651,2.997038,18.981243,3.015814,639.943285,1.040475,0.099901,0.060316,9.930477,0.147023,3.015814,3085.622592,1810.622592,13.041849,1252.762772,983397.686769
7,120.538952,49074.003321,2588.264448,1438.264448,9.026437,511.612063,6.506116,3204.479905,6.039858,2.976944,18.853977,2.982323,586.357542,1.032437,0.099231,0.059646,9.905694,0.14749,2.982323,3069.124518,1794.124518,12.86037,1246.064554,983397.284474
8,120.134292,47678.623632,2565.13993,1415.13993,8.84306,506.709665,6.321119,2981.219201,6.009815,2.954411,18.711271,2.944769,579.856536,1.023424,0.09848,0.058895,9.877904,0.145988,2.944769,3050.624904,1775.624904,12.656874,1238.553711,983396.882175
9,119.696812,46170.073632,2540.13993,1390.13993,8.64481,501.409665,6.121119,2739.851251,5.976523,2.929442,18.553134,2.903154,573.329502,1.013437,0.097648,0.058063,9.847109,0.144324,2.903154,3030.124981,1755.124981,12.431375,1230.230742,983396.479875
10,119.259333,44661.523632,2515.13993,1365.13993,8.44656,496.109665,6.121119,2498.483301,5.938684,2.901063,18.373398,2.855855,624.32165,1.002085,0.096702,0.057117,9.812108,0.142432,2.855855,3006.824996,1731.824996,12.175075,1220.770948,983396.077575
11,118.821854,43152.973632,2490.13993,1340.13993,8.24831,490.809665,5.921119,2302.112471,5.902534,2.87395,18.201684,2.810667,552.02118,0.99124,0.095798,0.056213,9.778669,0.140624,2.810667,2984.564999,1709.564999,11.930215,1211.73339,983395.675275
12,118.384374,41644.423632,2465.13993,1315.13993,8.05006,485.509665,5.721119,2105.384521,5.86932,2.84904,18.167342,2.769149,633.571906,0.981276,0.094968,0.055383,9.747946,0.138963,2.769149,2984.56484,1689.113,11.705243,1203.429878,983395.272975
