day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,48.0,48.0,0.0,0.0,48.0,598.2527,36729.9393,1169.6102,73.083,52.1775,1319.9212,0.0,0.0
1,48.4,48.4,0.0,77.952,47.4,230.8073,34642.7587,1099.1945,130.9127,83.1559,3069.8392,0.0,0.0
2,48.8,48.8,0.0,0.0,45.48,217.9783,32499.0441,1029.0717,147.6054,90.7633,3499.8359,0.0,1319.9212
3,53.2,53.2,0.0,144.3641,46.696,226.1034,30481.4755,958.7844,147.9266,91.3919,3499.8359,0.0,3069.8392
4,57.6,57.6,0.0,97.2188,48.5392,1582.3404,28367.4163,890.7412,191.4648,105.784,3499.8359,1319.9212,3499.8359
5,62.0,62.0,0.0,341.1808,50.0,3362.1151,26456.2233,821.2305,248.7838,124.2392,3499.8359,3069.8392,2179.9147
6,61.6,61.6,0.0,328.1603,50.0,3818.4958,24506.0258,757.1132,264.1321,128.8031,3499.8359,3499.8359,429.9967
7,61.2,44.4,16.8,249.569,50.0,3719.7854,22593.1474,690.665,209.8102,109.8621,2232.1451,3499.8359,0.0
8,56.8,28.0,45.6,154.2457,50.0,3673.0158,20648.1152,629.4772,142.2926,98.8052,582.2271,3499.8359,0.0
9,52.4,50.48,47.52,250.7009,50.0,2401.6338,20048.4404,617.1247,87.4643,93.6655,200.0,3499.8359,52.2304
10,48.0,44.096,51.424,423.3143,49.0916,1917.1953,20143.1039,618.8353,71.2429,88.719,200.0,3499.8359,150.4136
11,48.4,24.0,75.824,3444.5891,47.4984,1938.6164,21970.8358,685.6909,70.7182,96.1526,200.0,2232.1451,193.18
12,48.8,73.424,51.2,3820.924,45.4997,2129.2588,22294.2756,696.2787,78.1105,112.8425,200.0,582.2271,131.949
13,53.2,22.0,82.4,3522.1706,46.6999,2107.2474,22004.5512,685.446,76.2589,120.3673,200.0,200.0,25.3489
14,57.6,24.0,116.0,1389.0061,48.54,824.3668,20853.9281,660.0696,84.2102,108.7483,1414.3245,200.0,0.0
15,62.0,101.0,77.0,3229.2472,50.0,373.1799,21910.8975,719.2942,135.5192,107.3812,3064.2425,200.0,0.0
16,61.6,77.5996,61.0004,2047.8317,50.0,370.1008,21812.9309,719.2236,154.2745,97.6861,3499.8359,200.0,1291.8957
17,61.2,0.1152,122.0852,707.8638,50.0,273.1799,20549.4017,659.4429,150.0098,93.3499,3499.8359,200.0,3041.8136
18,56.8,75.0,103.8852,5045.2762,50.0,1583.4768,23452.4277,789.1596,192.0742,106.5056,3502.4731,1414.3245,3499.8359
19,52.4,74.492,81.7932,360.2582,50.0,3351.5435,21552.795,725.7315,249.5326,124.3893,3512.6231,3064.2425,2207.9402
20,48.0,0.0,129.7932,258.3976,49.0916,3758.3783,19685.4549,664.0388,262.3738,128.2292,3520.1359,3499.8359,432.4276
21,48.4,0.0,178.1932,256.0854,47.4984,3721.9149,17833.0754,601.0867,212.0966,112.656,2270.9659,3499.8359,11.5653
22,48.8,46.0384,180.9548,1077.7979,45.4997,3696.2607,16794.0189,542.717,144.9314,102.3355,612.0473,3502.4731,17.251
23,53.2,151.3544,82.8004,2476.3564,46.6999,2341.2211,18407.7751,593.8076,85.3549,93.0945,220.3,3512.6231,68.4244
24,57.6,24.0,116.4004,650.4343,48.54,1927.0052,18736.0777,590.7314,71.7908,89.1602,220.3,3520.1359,154.7616
25,62.0,41.4448,136.9556,241.6757,50.0,2071.1987,17237.9779,538.6812,77.0453,101.1369,212.6812,2270.9659,181.4792
26,61.6,25.0,173.5556,869.6168,50.0,2069.9984,14726.5456,438.9735,74.7809,114.4138,202.5312,612.0473,119.7287
27,61.2,75.0,159.7556,277.9354,50.0,2173.1275,11078.5557,318.9347,79.26,121.3989,200.0,220.3,19.7287
28,56.8,67.1996,149.3559,3429.9434,50.0,827.6686,11935.833,369.8331,85.7922,108.4831,1439.6499,220.3,0.0
29,52.4,0.0,201.7559,3121.1558,50.0,348.1799,13023.3921,427.8625,135.3218,106.6681,3089.5678,212.6812,0.0
