day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,558.5439,543961.5125,21484.513,269.8735,42.6193,1026.84,0.0,0.0,0.0
1,47.5,0.0,87.5,84.96,82.0,284.6474,542051.2532,21421.0969,194.8132,74.0033,2414.706,0.0,0.0,0.0
2,52.5,0.0,140.0,117.704,93.2,334.7661,539978.907,21352.1637,244.5836,88.9803,3017.1,0.0,906.156,0.0
3,60.0,63.0,137.0,167.2,94.64,316.219,537913.0311,21283.2296,231.4983,88.9505,3017.1,0.0,2414.706,0.0
4,55.0,23.0,169.0,359.2,94.928,1395.3496,536027.1499,21214.3026,745.4237,99.7729,3017.1,1026.84,2896.416,0.0
5,50.0,25.0,194.0,75.0,94.9856,2229.2552,534409.0863,21166.5258,1127.5144,108.1182,3017.1,2414.706,1990.26,529.0185
6,45.0,100.0,139.0,125.1583,91.223,2185.5338,533555.5793,21148.0522,1104.911,106.1257,3017.1,3017.1,367.8422,1660.431
7,40.0,0.0,179.0,294.3999,86.2446,2158.8715,533187.0568,21137.5237,1048.6289,80.2908,1639.1929,3017.1,0.0,2791.8435
8,47.5,75.0,151.5,2397.2458,91.2489,2091.2662,534724.0301,21205.5334,947.646,69.2106,119.4403,3017.1,0.0,3913.7864
9,52.5,0.0,204.0,87.6656,95.0,2166.7524,533808.5431,21185.8597,997.5853,96.1805,200.0,3017.1,19.4403,3536.6489
10,60.0,23.113,240.887,233.3893,95.0,2104.2697,533078.1495,21166.9925,954.1162,95.5556,200.0,3017.1,119.4403,3159.5114
11,55.0,87.4827,208.4044,217.2021,95.0,2154.3364,530839.2252,21091.1366,981.8779,100.1001,200.0,1639.1929,192.4981,2782.3739
12,50.0,73.1245,185.2799,286.1151,95.0,2248.71,527069.4459,20950.8016,1023.2621,114.9271,200.0,119.4403,173.0578,2405.2364
13,45.0,50.0,180.2799,231.7166,83.3583,2252.0365,524049.4043,20837.5884,1025.4149,119.4291,200.0,200.0,49.7744,1495.7323
14,40.0,25.0,195.2799,2030.2255,70.2835,2052.4814,523818.1452,20834.3604,930.3943,85.8248,100.3414,200.0,0.0,112.5
15,47.5,25.0,217.7799,2131.1715,77.4461,731.7188,524664.8433,20871.9814,315.1422,42.3603,162.1908,200.0,0.0,141.2422
16,52.5,69.9062,200.3737,2096.8287,70.0,306.7574,526512.562,20950.5143,121.4803,24.1307,141.9416,200.0,0.0,120.2491
17,60.0,53.0687,207.305,2256.9209,79.3219,303.313,527876.5449,21006.1282,143.1647,38.8394,704.4417,200.0,0.0,107.7491
18,55.0,48.113,214.192,2019.9526,74.6609,236.6748,529307.5497,21070.1277,114.6241,42.1194,989.0902,100.3414,0.0,95.2491
19,50.0,0.0,264.192,116.5856,70.0,391.06,529122.8196,21066.3888,192.3316,39.2808,857.2986,162.1908,0.0,82.7491
20,45.0,25.0,284.192,118.1926,68.113,353.3307,528941.0112,21062.2464,165.6029,35.9866,722.1085,141.9416,2.6323,66.4751
21,40.0,13.9828,310.2092,433.3536,79.6054,1019.0147,527997.6917,21023.9568,498.0097,55.1993,874.8881,704.4417,11.0051,31.7492
22,47.5,73.113,284.5962,1858.4879,68.1245,1055.1474,529653.3436,21096.5607,470.0952,45.1155,80.0201,989.0902,16.9952,0.0
23,52.5,0.0,337.0962,161.4396,74.6609,462.2217,529805.3586,21106.8598,178.4578,50.1788,120.3,857.2986,23.317,0.0
24,60.0,34.6054,362.4908,4153.4527,83.9828,1109.8514,532467.8518,21216.2291,486.4591,60.1483,120.3,722.1085,63.167,0.0
25,55.0,48.1245,369.3663,279.1694,74.6609,512.1053,532657.178,21227.6959,206.9009,52.8145,113.5968,874.8881,96.249,0.0
26,50.0,4.6609,414.7053,2795.2815,70.0,246.2994,535209.0728,21330.1773,83.329,56.0036,103.4468,80.0201,86.5289,0.0
27,45.0,38.9828,420.7225,1191.7487,72.7739,545.5965,535540.8752,21349.5256,230.6556,60.9296,100.0,120.3,32.7549,37.5
28,40.0,25.0,435.7225,234.607,65.6226,257.2265,535561.6033,21349.3213,107.3806,46.7319,74.0001,120.3,0.0,75.0
29,47.5,4.6609,478.5616,690.289,72.7855,512.5427,535452.5645,21350.845,206.361,32.1166,20.2491,113.5968,0.0,112.5
