day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,551.531,1067779.4805,42324.4681,267.3758,41.1169,1026.84,0.0,0.0,7.013
1,47.5,0.0,87.5,0.0,82.0,254.6344,1065814.2742,42261.45,177.3228,71.7025,2414.706,0.0,0.0,17.026
2,52.5,0.0,140.0,179.664,93.2,319.7531,1063818.901,42192.9998,238.201,86.4284,3017.1,0.0,906.156,29.039
3,60.0,0.0,200.0,104.2,94.64,304.206,1061765.038,42124.5463,227.2028,86.4304,3017.1,0.0,2414.706,41.0519
4,55.0,20.0,235.0,149.2,94.928,1356.3366,1059711.1699,42056.0926,722.3443,96.9833,3017.1,1026.84,2896.416,53.0649
5,50.0,43.0,242.0,210.2,94.9856,2217.2422,1058222.3192,42008.801,1123.2188,105.5986,3017.1,2414.706,1990.26,594.0964
6,45.0,48.0,239.0,73.0,91.223,2175.4079,1057378.7798,41990.7261,1101.294,104.0124,3017.1,3017.1,367.8422,1735.6349
7,40.0,25.0,254.0,386.2709,86.2446,2132.9715,1057103.0284,41980.2373,1030.9491,79.9175,1639.1929,3017.1,0.0,2867.9474
8,47.5,50.0,251.5,125.0101,91.2489,2156.1403,1056327.8919,41964.9063,988.4798,72.6051,119.4403,3017.1,0.0,3976.9033
9,52.5,25.0,279.0,213.3165,95.0,2138.4826,1055541.3256,41944.7115,973.6225,98.6446,200.0,3017.1,19.4403,3586.7787
10,60.0,25.0,314.0,48.1245,95.0,2115.3813,1054612.6687,41924.5109,957.5509,98.4136,200.0,3017.1,119.4403,3196.6542
11,55.0,73.113,295.887,288.6107,95.0,2201.8331,1052412.026,41848.3909,1012.8775,101.9354,200.0,1639.1929,192.4981,2813.2653
12,50.0,91.8601,254.027,198.1007,95.0,2206.8369,1048577.3698,41708.7057,999.8177,111.1085,200.0,119.4403,173.0578,2453.0008
13,45.0,0.0,299.027,212.4213,91.226,2239.0267,1045040.5327,41576.4094,1022.097,115.2929,200.0,200.0,65.5098,2041.0564
14,40.0,68.7471,270.2799,188.8721,86.2452,2249.2656,1041590.2413,41450.5781,1075.5305,118.5327,1165.3734,200.0,0.0,461.463
15,47.5,50.0,267.7799,446.3505,91.249,583.9891,1039891.4963,41390.8288,336.6842,95.9301,2453.2513,200.0,0.0,284.9398
16,52.5,25.0,295.2799,167.9976,95.0,337.6368,1038043.3569,41329.0638,240.9927,93.0087,3017.1,200.0,904.203,304.4965
17,60.0,0.0,355.2799,107.6132,95.0,361.7338,1036135.7362,41267.9785,263.7349,88.7361,3017.1,200.0,2412.753,300.7031
18,55.0,98.113,312.1669,227.8757,95.0,1356.1686,1034221.2035,41204.9624,724.1421,97.8781,3020.4984,1165.3734,2903.9298,300.2161
19,50.0,0.0,362.1669,192.6668,95.0,2217.7313,1032795.8902,41159.447,1127.472,106.6967,3030.6484,2453.2513,1999.7267,826.7946
20,45.0,64.3582,342.8087,2280.6623,91.226,2232.3012,1034086.7613,41218.086,1143.9395,106.0561,3037.4,3017.1,379.9437,1952.0591
21,40.0,96.249,286.5596,3079.3996,86.2452,2159.3253,1036406.5358,41322.7228,1048.7799,83.0564,1668.9625,3017.1,11.0051,3049.6457
22,47.5,75.0,259.0596,371.5061,91.249,2203.1255,1035809.3084,41306.6584,1019.5013,75.5654,139.7404,3020.4984,16.9952,4136.322
23,52.5,96.226,215.3336,2123.207,95.0,2116.2777,1036897.1599,41361.9131,957.0899,98.8285,220.3,3030.6484,33.0371,3746.1976
24,60.0,0.0,275.3336,160.0314,84.1513,2088.8954,1036925.0831,41369.9901,937.0288,97.3449,220.3,3037.4,101.1896,2701.4385
25,55.0,45.6226,284.711,195.5632,74.6609,2120.407,1036219.0778,41345.4003,956.277,99.1249,213.5968,1668.9625,130.1225,1090.7496
26,50.0,0.0,334.711,301.2073,74.6609,1563.9219,1034691.6022,41284.7068,712.1309,97.8002,186.922,139.7404,86.5289,199.6665
27,45.0,48.1245,331.5865,405.0767,77.4349,852.1102,1033689.0224,41250.6798,360.0119,72.1649,102.1189,220.3,32.7549,278.725
28,40.0,0.0,371.5865,1974.8489,70.2835,551.7929,1034948.371,41306.265,239.7632,49.2109,74.0001,220.3,0.0,311.1925
29,47.5,68.7471,350.3394,328.6647,72.7855,553.6016,1034472.5629,41287.7659,241.0735,28.8401,20.2491,213.5968,0.0,366.9555
