day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,558.5439,1069101.1072,42324.2408,269.8735,42.6193,1026.84,0.0,0.0,0.0
1,47.5,0.0,87.5,64.96,82.0,264.6474,1067190.848,42260.8247,180.8992,73.8033,2414.706,0.0,0.0,0.0
2,52.5,0.0,140.0,20.0,93.2,311.7661,1065043.7978,42191.8884,228.5825,88.7503,3017.1,0.0,906.156,0.0
3,60.0,0.0,200.0,23.0,94.64,316.219,1062896.7218,42122.9511,231.4983,88.9505,3017.1,0.0,2414.706,0.0
4,55.0,0.0,255.0,223.904,94.928,1388.3496,1060905.5447,42054.0199,740.5538,99.7029,3017.1,1026.84,2896.416,0.0
5,50.0,43.0,262.0,174.2,94.9856,2229.2552,1059368.6811,42006.2463,1127.5144,108.1182,3017.1,2414.706,1990.26,529.0185
6,45.0,43.0,264.0,199.2,91.223,2235.5338,1058596.2157,41987.7696,1139.696,106.6257,3017.1,3017.1,367.8422,1660.431
7,40.0,0.0,304.0,106.202,86.2446,2133.8715,1058064.4954,41977.2347,1031.2364,80.0408,1639.1929,3017.1,0.0,2791.8435
8,47.5,75.0,276.5,141.9822,91.2489,2068.1533,1057369.3179,41962.4255,931.5663,68.9794,119.4403,3017.1,0.0,3913.7864
9,52.5,25.0,304.0,73.113,95.0,2127.3827,1056453.648,41942.7444,970.1958,95.7868,200.0,3017.1,19.4403,3536.6489
10,60.0,48.113,315.887,135.7956,95.0,2166.7524,1055538.1781,41923.0714,997.5853,96.1805,200.0,3017.1,119.4403,3159.5114
11,55.0,75.0,295.887,250.1793,95.0,2131.2119,1053367.8382,41847.2024,965.7902,99.8689,200.0,1639.1929,192.4981,2782.3739
12,50.0,25.0,320.887,417.5543,95.0,2223.71,1049802.6226,41707.8572,1005.8696,114.6771,200.0,119.4403,173.0578,2405.2364
13,45.0,0.0,365.887,1099.9645,91.226,2299.1642,1047093.1912,41615.1467,1051.5187,123.441,200.0,200.0,65.5098,1956.279
14,40.0,160.6072,245.2799,418.4642,86.2452,2236.2786,1043793.6189,41488.8548,1054.0841,125.951,1165.3734,200.0,0.0,339.6726
15,47.5,0.0,292.7799,2140.8576,91.249,666.6247,1043756.7454,41503.0544,381.7579,104.3032,2453.2513,200.0,0.0,126.1364
16,52.5,25.0,320.2799,198.3463,95.0,359.7743,1041916.8171,41440.4018,248.9473,97.7136,3017.1,200.0,904.203,123.5555
17,60.0,48.113,332.1669,242.8311,95.0,355.6261,1040102.409,41378.8499,255.4239,91.0744,3017.1,200.0,2412.753,107.7491
18,55.0,0.0,387.1669,138.7093,95.0,1413.8042,1038139.1873,41315.3472,760.1773,100.8539,3020.4984,1165.3734,2903.9298,95.2491
19,50.0,70.6226,366.5443,267.0054,95.0,2231.6197,1036703.7015,41269.425,1133.0723,109.235,3030.6484,2453.2513,1999.7267,609.8147
20,45.0,25.0,386.5443,201.4768,91.226,2217.4272,1035969.6193,41250.3104,1130.1641,107.9194,3037.4,3017.1,379.9437,1724.9532
21,40.0,114.9846,311.5596,2100.7432,86.2452,2160.2253,1037291.1017,41313.8139,1049.0673,83.1797,1668.9625,3017.1,11.0051,2821.6398
22,47.5,100.0,259.0596,252.6729,91.249,2165.1385,1036588.0282,41297.7456,997.3727,72.4398,139.7404,3020.4984,16.9952,3921.303
23,52.5,25.0,286.5596,115.6649,95.0,2105.7926,1035750.0486,41278.0899,954.091,95.9769,220.3,3030.6484,33.0371,3544.1656
24,60.0,23.1245,323.4351,351.0972,95.0,2135.0423,1035126.8788,41258.4223,970.6719,96.2694,220.3,3037.4,122.8871,3167.0281
25,55.0,93.7356,284.6995,143.3891,95.0,2160.1091,1032831.8855,41183.1627,980.7731,100.4298,213.5968,1668.9625,192.4981,2789.8906
26,50.0,23.113,311.5865,274.0344,95.0,2258.86,1029110.1872,41044.0657,1024.7966,115.0976,203.4468,139.7404,173.0578,2412.7531
27,45.0,43.7471,312.8394,257.3579,91.226,2279.4865,1025554.3798,40910.3371,1035.9053,123.2442,200.0,220.3,65.5098,1963.7957
28,40.0,50.0,302.8394,2151.8225,86.2452,2286.2786,1024069.0729,40860.4988,1088.8691,126.451,1165.3734,220.3,0.0,347.1894
29,47.5,25.0,325.3394,1979.5144,79.2183,611.6485,1024771.5237,40897.2889,314.9864,82.1579,1707.0444,213.5968,0.0,122.3241
