day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,2675.2
0,SDC-1450,item:021081,983400.0
0,SDC-1450,item:693055,154.285714
0,SDC-1450,item:773474,0.0
0,SDC-VD0500655A,item:002612,179.98985
0,SDC-VD0505677A,item:099439,179.797
0,SDC-VD0508918A,item:730384,158.8
0,SDC-VD0514881A,item:016332,179.95128
0,SDC-VD0518684A,item:001893,179.92286
0,SDC-VD0519670A,item:001848,179.91474
0,SDC-VD0519670A,item:029313,179.99594
0,SDC-VD0520115A,item:708073,179.207
0,SDC-VD0520132A,item:038005,178.250082
0,SDC-VD0520132A,item:049371,179.84978
0,SDC-VD0525412A,item:333362,134.545455
0,SDC-VD0901566A,item:338928,148.75
0,SDC-VD0910216A,item:001893,179.46002
0,SDC-VD0910216A,item:002612,179.8579
0,SDC-VD0914320A,item:055703,179.994316
0,SDC-VD0914360C,item:338929,115.064935
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0949099A,item:021081,180.0
0,SDC-VD0951020A,item:001757,179.8376
0,SDC-VD0951020A,item:001848,179.96346
0,SDC-VD0960508A,item:021081,180.0
0,SDC-VD0964290A,item:055703,179.997564
0,SDC-VD0972460A,item:021081,180.0
0,SDC-VD0975221A,item:021081,180.0
0,SDC-VD0989480A,item:426331,178.9
0,SDC-VD0990780A,item:002612,179.9594
0,SDC-VD0993480A,item:344135,148.75
0,SDC-VD1091642A,item:001893,179.84572
0,SDC-VD1091642A,item:002612,179.98985
0,SDC-VD1095770A,item:734545,179.2
0,SDC-VD1096202A,item:039668,179.99594
1,SDC-1450,item:007923,2301.68
1,SDC-1450,item:021081,983399.67816
1,SDC-1450,item:693055,128.571429
1,SDC-1450,item:773474,0.0
1,SDC-VD0500655A,item:002612,179.978177
1,SDC-VD0505677A,item:099439,179.56355
1,SDC-VD0508918A,item:730384,134.42
1,SDC-VD0514881A,item:016332,179.895252
1,SDC-VD0518684A,item:001893,179.834149
1,SDC-VD0519670A,item:001848,179.816691
1,SDC-VD0519670A,item:029313,179.991271
1,SDC-VD0520115A,item:708073,178.29505
1,SDC-VD0520132A,item:038005,176.237677
1,SDC-VD0520132A,item:049371,179.677027
1,SDC-VD0525412A,item:333362,89.090909
1,SDC-VD0901566A,item:338928,117.5
1,SDC-VD0910216A,item:001893,178.839043
1,SDC-VD0910216A,item:002612,179.694485
1,SDC-VD0914320A,item:055703,179.987779
1,SDC-VD0914360C,item:338929,50.12987
1,SDC-VD0914690A,item:042342,0.0
1,SDC-VD0949099A,item:021081,178.87356
1,SDC-VD0951020A,item:001757,179.65084
1,SDC-VD0951020A,item:001848,179.921439
1,SDC-VD0960508A,item:021081,179.67816
1,SDC-VD0964290A,item:055703,179.994763
1,SDC-VD0972460A,item:021081,179.91954
1,SDC-VD0975221A,item:021081,179.91954
1,SDC-VD0989480A,item:426331,177.635
1,SDC-VD0990780A,item:002612,179.91271
1,SDC-VD0993480A,item:344135,117.5
1,SDC-VD1091642A,item:001893,179.668298
1,SDC-VD1091642A,item:002612,179.978177
1,SDC-VD1095770A,item:734545,178.28
1,SDC-VD1096202A,item:039668,179.991271
2,SDC-1450,item:007923,1895.68
2,SDC-1450,item:021081,983399.291952
2,SDC-1450,item:693055,102.857143
2,SDC-1450,item:773474,0.0
2,SDC-VD0500655A,item:002612,179.96549
2,SDC-VD0505677A,item:099439,179.3098
2,SDC-VD0508918A,item:730384,108.705714
2,SDC-VD0514881A,item:016332,179.834352
2,SDC-VD0518684A,item:001893,179.737724
2,SDC-VD0519670A,item:001848,179.710116
2,SDC-VD0519670A,item:029313,179.986196
2,SDC-VD0520115A,item:708073,177.3038
2,SDC-VD0520132A,item:038005,174.05028
2,SDC-VD0520132A,item:049371,179.489252
2,SDC-VD0525412A,item:333362,43.636364
2,SDC-VD0901566A,item:338928,86.25
2,SDC-VD0910216A,item:001893,178.164068
2,SDC-VD0910216A,item:002612,179.51686
2,SDC-VD0914320A,item:055703,179.980674
2,SDC-VD0914360C,item:338929,0.0
2,SDC-VD0914690A,item:042342,0.0
2,SDC-VD0949099A,item:021081,177.521832
2,SDC-VD0951020A,item:001757,179.44784
2,SDC-VD0951020A,item:001848,179.875764
2,SDC-VD0960508A,item:021081,179.291952
2,SDC-VD0964290A,item:055703,179.991718
2,SDC-VD0972460A,item:021081,179.822988
2,SDC-VD0975221A,item:021081,179.822988
2,SDC-VD0989480A,item:426331,176.26
2,SDC-VD0990780A,item:002612,179.86196
2,SDC-VD0993480A,item:344135,86.25
2,SDC-VD1091642A,item:001893,179.475448
2,SDC-VD1091642A,item:002612,179.96549
2,SDC-VD1095770A,item:734545,177.28
2,SDC-VD1096202A,item:039668,179.986196
3,SDC-1450,item:007923,1489.68
3,SDC-1450,item:021081,983398.89287
3,SDC-1450,item:693055,77.142857
3,SDC-1450,item:773474,0.0
3,SDC-VD0500655A,item:002612,179.952802
3,SDC-VD0505677A,item:099439,179.05605
3,SDC-VD0508918A,item:730384,82.991429
3,SDC-VD0514881A,item:016332,179.773452
3,SDC-VD0518684A,item:001893,179.641299
3,SDC-VD0519670A,item:001848,179.603541
3,SDC-VD0519670A,item:029313,179.981121
3,SDC-VD0520115A,item:708073,176.31255
3,SDC-VD0520132A,item:038005,171.862883
3,SDC-VD0520132A,item:049371,179.301477
3,SDC-VD0525412A,item:333362,0.0
3,SDC-VD0901566A,item:338928,55.0
3,SDC-VD0910216A,item:001893,177.489093
3,SDC-VD0910216A,item:002612,179.339235
3,SDC-VD0914320A,item:055703,179.973569
3,SDC-VD0914360C,item:338929,0.0
3,SDC-VD0914690A,item:042342,0.0
3,SDC-VD0949099A,item:021081,176.125046
3,SDC-VD0951020A,item:001757,179.24484
3,SDC-VD0951020A,item:001848,179.830089
3,SDC-VD0960508A,item:021081,178.89287
3,SDC-VD0964290A,item:055703,179.988673
3,SDC-VD0972460A,item:021081,179.723218
3,SDC-VD0975221A,item:021081,179.723218
