day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,0.0,127.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,25.0,152.5,43.0,109.5,43.0
5,C-XXXXX,item:268091,25.0,152.5,0.0,152.5,0.0
6,C-XXXXX,item:268967,22.5,132.0,0.0,132.0,0.0
6,C-XXXXX,item:268091,22.5,175.0,43.0,132.0,43.0
7,C-XXXXX,item:268967,20.0,152.0,0.0,152.0,0.0
7,C-XXXXX,item:268091,20.0,152.0,0.0,152.0,0.0
8,C-XXXXX,item:268967,23.75,175.75,25.0,150.75,25.0
8,C-XXXXX,item:268091,23.75,175.75,50.0,125.75,50.0
9,C-XXXXX,item:268967,26.25,177.0,0.0,177.0,0.0
9,C-XXXXX,item:268091,26.25,152.0,25.0,127.0,25.0
10,C-XXXXX,item:268967,30.0,207.0,0.0,207.0,0.0
10,C-XXXXX,item:268091,30.0,157.0,25.0,132.0,25.0
11,C-XXXXX,item:268967,27.5,234.5,50.0,184.5,50.0
11,C-XXXXX,item:268091,27.5,159.5,0.0,159.5,0.0
12,C-XXXXX,item:268967,25.0,209.5,68.735552,140.764448,68.735552
12,C-XXXXX,item:268091,25.0,184.5,23.11296,161.38704,23.11296
13,C-XXXXX,item:268967,22.5,163.264448,0.0,163.264448,0.0
13,C-XXXXX,item:268091,22.5,183.88704,68.74711,115.13993,68.74711
14,C-XXXXX,item:268967,20.0,183.264448,23.124518,160.13993,23.124518
14,C-XXXXX,item:268091,20.0,135.13993,0.0,135.13993,0.0
15,C-XXXXX,item:268967,23.75,183.88993,25.0,158.88993,25.0
15,C-XXXXX,item:268091,23.75,158.88993,0.0,158.88993,0.0
16,C-XXXXX,item:268967,26.25,185.13993,0.0,185.13993,0.0
16,C-XXXXX,item:268091,26.25,185.13993,0.0,185.13993,0.0
17,C-XXXXX,item:268967,30.0,215.13993,75.0,140.13993,75.0
17,C-XXXXX,item:268091,30.0,215.13993,50.0,165.13993,50.0
18,C-XXXXX,item:268967,27.5,167.63993,20.6226,147.01733,20.6226
18,C-XXXXX,item:268091,27.5,192.63993,25.0,167.63993,25.0
19,C-XXXXX,item:268967,25.0,172.01733,25.0,147.01733,25.0
19,C-XXXXX,item:268091,25.0,192.63993,66.86012,125.77981,66.86012
20,C-XXXXX,item:268967,22.5,169.51733,0.0,169.51733,0.0
20,C-XXXXX,item:268091,22.5,148.27981,25.0,123.27981,25.0
21,C-XXXXX,item:268967,20.0,189.51733,0.0,189.51733,0.0
21,C-XXXXX,item:268091,20.0,143.27981,0.0,143.27981,0.0
22,C-XXXXX,item:268967,23.75,213.26733,46.23752,167.02981,46.23752
22,C-XXXXX,item:268091,23.75,167.02981,0.0,167.02981,0.0
23,C-XXXXX,item:268967,26.25,193.27981,0.0,193.27981,0.0
23,C-XXXXX,item:268091,26.25,193.27981,0.0,193.27981,0.0
24,C-XXXXX,item:268967,30.0,223.27981,0.0,223.27981,0.0
24,C-XXXXX,item:268091,30.0,223.27981,25.0,198.27981,25.0
25,C-XXXXX,item:268967,27.5,250.77981,25.0,225.77981,25.0
25,C-XXXXX,item:268091,27.5,225.77981,96.23752,129.54229,96.23752
26,C-XXXXX,item:268967,25.0,250.77981,135.673807,115.106003,135.673807
26,C-XXXXX,item:268091,25.0,154.54229,0.0,154.54229,0.0
27,C-XXXXX,item:268967,22.5,137.606003,0.0,137.606003,0.0
27,C-XXXXX,item:268091,22.5,177.04229,45.6226,131.41969,45.6226
28,C-XXXXX,item:268967,20.0,157.606003,0.0,157.606003,0.0
28,C-XXXXX,item:268091,20.0,151.41969,0.0,151.41969,0.0
29,C-XXXXX,item:268967,23.75,181.356003,0.0,181.356003,0.0
29,C-XXXXX,item:268091,23.75,175.16969,50.0,125.16969,50.0
