day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,702.5439,1067772.4675,42324.1876,331.0879,41.1793,882.84,0.0,0.0
1,47.5,0.0,87.5,64.96,82.0,264.6474,1065862.2082,42260.7715,175.1392,70.9233,2270.706,0.0,0.0
2,52.5,0.0,140.0,20.0,93.2,311.7661,1063715.158,42191.8353,228.5825,88.7503,3017.1,0.0,762.156
3,60.0,0.0,200.0,178.904,94.64,316.219,1061723.9861,42122.9042,231.4983,88.9505,3017.1,0.0,2270.706
4,55.0,0.0,255.0,149.2,94.928,1244.3496,1059658.1049,42053.97,673.5794,98.2629,3017.1,882.84,2896.416
5,50.0,43.0,262.0,174.2,94.9856,2614.2737,1057592.2228,41985.0357,1306.5865,111.9684,3017.1,2270.706,2134.26
6,45.0,43.0,264.0,199.2,91.223,3366.9463,1055688.3449,41921.3025,1665.916,117.9398,3017.1,3017.1,511.8422
7,40.0,0.0,304.0,205.002,86.2446,3265.284,1054124.0121,41865.515,1563.2164,94.2349,1783.1929,3017.1,0.0
8,47.5,75.0,276.5,141.9822,91.2489,3199.5658,1052297.4222,41805.4493,1463.1674,82.9842,253.9706,3017.1,0.0
9,52.5,25.0,304.0,148.1839,95.0,1884.7755,1051699.4303,41795.4755,857.3592,93.3607,200.0,3017.1,19.4403
10,60.0,48.113,315.887,210.9041,95.0,1789.6149,1051236.2063,41790.891,822.1787,92.4091,200.0,3017.1,119.4403
11,55.0,75.0,295.887,307.3971,95.0,1754.0744,1049644.2217,41735.8698,790.3836,96.0975,200.0,1783.1929,192.4981
12,50.0,25.0,320.887,119.7943,95.0,1846.5725,1046292.914,41616.9794,830.463,110.9058,200.0,253.9706,173.0578
13,45.0,0.0,365.887,1118.3645,91.226,1850.2068,1044050.84,41536.4737,843.9441,122.6099,200.0,200.0,65.5098
14,40.0,160.6072,245.2799,292.0665,86.2452,754.2026,1042106.946,41469.4598,360.6249,112.0981,1030.8431,200.0,0.0
15,47.5,0.0,292.7799,3536.341,91.249,453.0885,1043679.0921,41543.2221,278.2965,103.1357,2318.7209,200.0,0.0
16,52.5,25.0,320.2799,213.382,95.0,380.318,1041833.6559,41480.6724,265.4197,95.7089,3017.1,200.0,769.6727
17,60.0,95.6226,284.6573,225.234,95.0,341.6952,1039968.0719,41419.7501,249.1766,89.2441,3017.1,200.0,2278.2227
18,55.0,71.2375,268.4197,264.7068,95.0,1241.7738,1038097.1102,41356.7506,673.8103,98.3129,3020.4984,1030.8431,2903.9298
19,50.0,0.0,318.4197,171.3834,95.0,2586.6549,1036147.0595,41290.2457,1291.8436,111.9647,3030.6484,2318.7209,2134.2571
20,45.0,48.1245,315.2952,213.3995,91.226,3357.5657,1034261.637,41226.5241,1665.4385,118.2523,3037.4,3017.1,514.474
21,40.0,43.7356,311.5596,3287.1066,86.2452,3256.9119,1035744.0453,41291.4217,1562.8766,94.5573,1803.4929,3017.1,11.0051
22,47.5,100.0,259.0596,193.3349,91.249,3241.6887,1033905.0834,41231.3673,1496.6275,83.8114,274.2708,3020.4984,16.9952
23,52.5,25.0,286.5596,160.6533,95.0,1863.1741,1033354.7109,41221.4177,841.2465,93.5507,220.3,3030.6484,33.0371
24,60.0,48.113,298.4466,237.0102,79.4918,825.9204,1035006.4235,41293.2438,366.6188,81.4487,220.3,3037.4,91.8707
25,55.0,23.113,330.3336,352.0419,79.3219,844.2711,1035558.0179,41315.7131,374.4557,85.523,213.5968,1803.4929,130.1255
26,50.0,70.6226,309.711,281.5105,74.6594,613.4917,1035025.2898,41298.0543,254.6257,91.6956,186.922,274.2708,86.5289
27,45.0,23.1245,331.5865,173.688,72.7739,660.0353,1034340.4511,41273.4922,274.0557,79.3815,100.0,220.3,32.7549
28,40.0,78.2389,293.3476,1627.8485,70.2835,597.6512,1035128.702,41310.2334,268.6277,58.2045,74.0001,220.3,0.0
29,47.5,25.0,315.8476,1731.0095,72.7855,559.3631,1036093.2243,41349.3476,232.7408,38.9065,20.2491,213.5968,0.0
