day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,40.0,0.0,40.0,0.0,40.0,594.5439,1068852.4675,42367.3876,285.1771,42.2593,990.84,0.0,0.0
1,47.5,0.0,87.5,64.96,82.0,264.6474,1066942.2082,42303.9715,179.4592,73.0833,2378.706,0.0,0.0
2,52.5,0.0,140.0,20.0,93.2,311.7661,1064795.158,42235.0353,228.5825,88.7503,3017.1,0.0,870.156
3,60.0,0.0,200.0,178.904,94.64,316.219,1062803.9861,42166.1042,231.4983,88.9505,3017.1,0.0,2378.706
4,55.0,0.0,255.0,149.2,94.928,1352.3496,1060738.1049,42097.17,723.8102,99.3429,3017.1,990.84,2896.416
5,50.0,43.0,262.0,174.2,94.9856,2722.2737,1058672.2228,42028.2357,1356.8173,113.0484,3017.1,2378.706,2026.26
6,45.0,43.0,264.0,199.2,91.223,3366.9463,1056768.3449,41964.5025,1665.916,117.9398,3017.1,3017.1,403.8422
7,40.0,0.0,304.0,205.002,86.2446,3292.2263,1055177.0699,41907.6373,1569.4927,87.7617,1648.2507,3017.1,0.0
8,47.5,75.0,276.5,141.9822,91.2489,3292.0638,1053257.9819,41843.8717,1494.1492,57.3894,26.5304,3017.1,0.0
9,52.5,25.0,304.0,223.2923,95.0,1801.3352,1052818.5387,41837.2386,812.7878,56.3304,75.4403,3017.1,0.0
10,60.0,25.0,339.0,170.7581,95.0,1766.4904,1052361.4063,41832.6543,805.1086,84.3142,175.4403,3017.1,0.0
11,55.0,75.0,319.0,191.2462,95.0,1773.3813,1050499.0217,41773.3065,810.885,92.2467,200.0,1648.2507,75.4403
12,50.0,66.8485,302.1515,324.0428,95.0,1727.1322,1047202.114,41650.1027,778.7095,91.7843,200.0,26.5304,175.4403
13,45.0,43.7471,303.4044,1059.7721,91.226,1677.5225,1044905.825,41573.9178,756.4922,102.1876,200.0,75.4403,192.452
14,40.0,73.1245,270.2799,433.6929,86.2452,694.7558,1043225.927,41511.2192,357.017,126.627,1190.8429,175.4403,99.5021
15,47.5,0.0,317.7799,3283.2701,91.249,428.0885,1044570.0022,41580.6567,271.284,153.5543,2578.2229,200.0,0.0
16,52.5,25.0,345.2799,167.1444,95.0,393.5822,1042665.0642,41515.727,262.7144,134.2293,3109.1002,200.0,877.6727
17,60.0,118.7356,286.5443,337.0941,95.0,477.4425,1040752.4801,41451.1264,319.4752,104.4102,3017.1,200.0,2386.2227
18,55.0,0.0,341.5443,219.7343,95.0,1331.0267,1038978.5304,41390.2092,710.9987,99.2054,3020.4984,1190.8429,2903.9298
19,50.0,25.0,366.5443,115.2115,95.0,2694.6549,1037098.8097,41329.7623,1342.0744,113.0447,3030.6484,2578.2229,2026.2571
20,45.0,70.6226,340.9217,200.7721,91.226,3330.6902,1035297.1375,41269.7424,1646.7413,117.9836,3037.4,3109.1002,406.474
21,40.0,46.2375,334.6841,3259.5793,86.2452,3283.8541,1036722.5742,41333.5627,1569.153,88.084,1668.5507,3017.1,11.0051
22,47.5,75.0,307.1841,316.7872,91.249,3407.2998,1034866.4537,41269.8221,1578.474,58.9478,46.8305,3020.4984,16.9952
23,52.5,0.0,359.6841,1575.8597,95.0,1756.6208,1035862.8407,41323.5411,780.5953,56.2892,95.7403,3030.6484,13.5968
24,60.0,144.3505,275.3336,269.8555,70.17,226.8106,1038714.3808,41441.3186,78.9307,52.4902,146.0802,3037.4,3.4468
25,55.0,25.0,305.3336,216.4156,79.3219,767.3289,1039070.4618,41459.4556,326.2648,68.4479,170.3006,1668.5507,37.7201
26,50.0,43.7471,311.5865,299.7063,74.6594,507.6841,1038461.1722,41435.4896,211.6584,67.7677,169.4695,46.8305,87.7201
27,45.0,0.0,356.5865,121.1663,72.7739,594.724,1037687.6879,41410.6265,260.2175,71.6365,137.6244,95.7403,96.226
28,40.0,48.1245,348.462,304.0985,70.2835,564.1095,1037141.6251,41387.7505,238.3805,71.3838,108.8862,146.0802,49.7511
29,47.5,20.7926,375.1694,113.3147,68.1245,287.5521,1037053.2297,41387.7478,112.8693,62.6665,96.0001,170.3006,0.0
