day,node_id,item_id,stock_before_production,stock_end_of_day
0,M-1430,item:038005,0.0,0.0
0,M-1430,item:042342,12871781.402949,12871781.402949
0,M-1430,item:333362,618913.801381,618913.801381
0,M-1430,item:344135,358913.801381,358913.801381
0,M-1430,item:708073,2268.882445,2268.882445
0,M-1430,item:730384,122390.525893,122390.525893
0,M-1430,item:734545,1706.510411,1706.510411
0,M-1430,item:773474,1155802.993044,1155802.993044
0,M-1810,item:001757,2105.856819,2100.163771
0,M-1810,item:001848,1276.589095,1272.319309
0,M-1810,item:001893,7775.913805,7748.871826
0,M-1810,item:002612,1059.087587,1051.971277
0,M-1810,item:007923,208787.914355,197401.817634
0,M-1810,item:016332,407.417921,405.710007
0,M-1810,item:029313,40.042648,39.900322
0,M-1810,item:039668,21.466553,21.324226
0,M-1810,item:049371,766.851478,761.585408
0,M-1810,item:055703,59.731394,59.446742
0,M-1810,item:099439,1026.348425,1019.232114
0,M-1810,item:338928,918577.514985,915071.943335
0,M-1810,item:338929,666608.979594,663103.407944
0,M-1810,item:426331,3980.54219,3941.980901
0,M-1810,item:693055,529365.171375,527941.909285
0,SDC-1450,item:021081,1613678.259296,1613590.412308
1,M-1430,item:038005,0.0,0.0
1,M-1430,item:042342,12871781.402949,12871781.402949
1,M-1430,item:333362,618913.801381,618913.801381
1,M-1430,item:344135,358913.801381,358913.801381
1,M-1430,item:708073,2268.882445,2268.882445
1,M-1430,item:730384,122390.525893,122390.525893
1,M-1430,item:734545,1706.510411,1706.510411
1,M-1430,item:773474,1155802.993044,1155802.993044
1,M-1810,item:001757,2100.163771,2097.695291
1,M-1810,item:001848,1276.841065,1274.989705
1,M-1810,item:001893,7761.114802,7749.389522
1,M-1810,item:002612,1051.971277,1048.885677
1,M-1810,item:007923,226926.619672,221989.659672
1,M-1810,item:016332,405.710007,404.969463
1,M-1810,item:029313,39.900322,39.83861
1,M-1810,item:039668,21.324226,21.262514
1,M-1810,item:049371,761.585408,759.302064
1,M-1810,item:055703,59.446742,59.323318
