day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,320265.858141
0,SDC-1450,item:021081,1613590.412308
0,SDC-1450,item:693055,49352.562572
0,SDC-1450,item:773474,178629.330534
0,SDC-VD0500655A,item:002612,158.518341
0,SDC-VD0505677A,item:099439,246.762813
0,SDC-VD0508918A,item:730384,28686.525893
0,SDC-VD0514881A,item:016332,76.888035
0,SDC-VD0518684A,item:001893,693.507656
0,SDC-VD0519670A,item:001848,71.368958
0,SDC-VD0519670A,item:029313,171.407336
0,SDC-VD0520115A,item:708073,1073.038445
0,SDC-VD0520132A,item:038005,0.0
0,SDC-VD0520132A,item:049371,0.0
0,SDC-VD0525412A,item:333362,135313.801381
0,SDC-VD0901566A,item:338928,121474.322097
0,SDC-VD0910216A,item:001893,35.520652
0,SDC-VD0910216A,item:002612,9.34754
0,SDC-VD0914320A,item:055703,167.970271
0,SDC-VD0914360C,item:338929,121558.035893
0,SDC-VD0914690A,item:042342,8165105.402949
0,SDC-VD0949099A,item:021081,124702.507781
0,SDC-VD0951020A,item:001757,197.41025
0,SDC-VD0951020A,item:001848,102.666026
0,SDC-VD0960508A,item:021081,125029.287937
0,SDC-VD0964290A,item:055703,174.844402
0,SDC-VD0972460A,item:021081,125127.321984
0,SDC-VD0975221A,item:021081,125127.321984
0,SDC-VD0989480A,item:426331,1337.138395
0,SDC-VD0990780A,item:002612,2.670726
0,SDC-VD0993480A,item:344135,135313.801381
0,SDC-VD1091642A,item:001893,208.670381
0,SDC-VD1091642A,item:002612,119.830207
0,SDC-VD1095770A,item:734545,1082.510411
0,SDC-VD1096202A,item:039668,171.407336
1,SDC-1450,item:007923,344910.051775
1,SDC-1450,item:021081,1613525.988073
1,SDC-1450,item:693055,53216.963333
1,SDC-1450,item:773474,185835.620857
1,SDC-VD0500655A,item:002612,159.484441
1,SDC-VD0505677A,item:099439,266.084817
1,SDC-VD0508918A,item:730384,28686.525893
1,SDC-VD0514881A,item:016332,81.525316
1,SDC-VD0518684A,item:001893,700.850017
1,SDC-VD0519670A,item:001848,79.4842
1,SDC-VD0519670A,item:029313,171.793776
1,SDC-VD0520115A,item:708073,1073.038445
1,SDC-VD0520132A,item:038005,0.0
1,SDC-VD0520132A,item:049371,0.0
1,SDC-VD0525412A,item:333362,135313.801381
1,SDC-VD0901566A,item:338928,129954.322097
1,SDC-VD0910216A,item:001893,86.917182
1,SDC-VD0910216A,item:002612,22.872943
1,SDC-VD0914320A,item:055703,168.511287
1,SDC-VD0914360C,item:338929,131076.264366
1,SDC-VD0914690A,item:042342,8165105.402949
1,SDC-VD0949099A,item:021081,124657.410816
1,SDC-VD0951020A,item:001757,212.867853
1,SDC-VD0951020A,item:001848,106.143987
1,SDC-VD0960508A,item:021081,125016.40309
1,SDC-VD0964290A,item:055703,175.076266
1,SDC-VD0972460A,item:021081,125124.100773
1,SDC-VD0975221A,item:021081,125124.100773
1,SDC-VD0989480A,item:426331,1441.838908
1,SDC-VD0990780A,item:002612,6.535126
1,SDC-VD0993480A,item:344135,135313.801381
1,SDC-VD1091642A,item:001893,223.355104
1,SDC-VD1091642A,item:002612,120.796307
1,SDC-VD1095770A,item:734545,1082.510411
1,SDC-VD1096202A,item:039668,171.793776
2,SDC-1450,item:007923,371786.369046
2,SDC-1450,item:021081,1613479.133235
2,SDC-1450,item:693055,57443.523103
2,SDC-1450,item:773474,191076.654168
2,SDC-VD0500655A,item:002612,160.541081
2,SDC-VD0505677A,item:099439,287.217616
2,SDC-VD0508918A,item:730384,28686.525893
2,SDC-VD0514881A,item:016332,86.597188
2,SDC-VD0518684A,item:001893,708.880481
2,SDC-VD0519670A,item:001848,88.359975
2,SDC-VD0519670A,item:029313,172.216432
2,SDC-VD0520115A,item:708073,1073.038445
2,SDC-VD0520132A,item:038005,0.0
2,SDC-VD0520132A,item:049371,0.0
2,SDC-VD0525412A,item:333362,135313.801381
2,SDC-VD0901566A,item:338928,139135.436427
2,SDC-VD0910216A,item:001893,143.130427
2,SDC-VD0910216A,item:002612,37.665902
2,SDC-VD0914320A,item:055703,169.103005
2,SDC-VD0914360C,item:338929,141486.510106
2,SDC-VD0914690A,item:042342,8165105.402949
2,SDC-VD0949099A,item:021081,124624.61243
2,SDC-VD0951020A,item:001757,229.774092
2,SDC-VD0951020A,item:001848,109.947891
2,SDC-VD0960508A,item:021081,125007.032123
2,SDC-VD0964290A,item:055703,175.329859
2,SDC-VD0972460A,item:021081,125121.758031
2,SDC-VD0975221A,item:021081,125121.758031
2,SDC-VD0989480A,item:426331,1556.351611
2,SDC-VD0990780A,item:002612,10.761686
2,SDC-VD0993480A,item:344135,135313.801381
2,SDC-VD1091642A,item:001893,239.416031
2,SDC-VD1091642A,item:002612,121.852947
2,SDC-VD1095770A,item:734545,1082.510411
2,SDC-VD1096202A,item:039668,172.216432
3,SDC-1450,item:007923,399641.059175
3,SDC-1450,item:021081,1613445.163244
3,SDC-1450,item:693055,61809.008191
3,SDC-1450,item:773474,194876.429414
3,SDC-VD0500655A,item:002612,161.632452
3,SDC-VD0505677A,item:099439,309.045041
3,SDC-VD0508918A,item:730384,28686.525893
3,SDC-VD0514881A,item:016332,91.83577
3,SDC-VD0518684A,item:001893,717.174902
3,SDC-VD0519670A,item:001848,97.527494
3,SDC-VD0519670A,item:029313,172.652981
3,SDC-VD0520115A,item:708073,1073.038445
3,SDC-VD0520132A,item:038005,2276.88431
3,SDC-VD0520132A,item:049371,168.622733
3,SDC-VD0525412A,item:333362,135313.801381
3,SDC-VD0901566A,item:338928,148620.550757
3,SDC-VD0910216A,item:001893,201.191379
3,SDC-VD0910216A,item:002612,49.341237
3,SDC-VD0914320A,item:055703,169.714173
3,SDC-VD0914360C,item:338929,152238.936432
3,SDC-VD0914690A,item:042342,8165105.402949
3,SDC-VD0949099A,item:021081,124600.833436
3,SDC-VD0951020A,item:001757,247.236033
3,SDC-VD0951020A,item:001848,113.876827
3,SDC-VD0960508A,item:021081,125000.238125
3,SDC-VD0964290A,item:055703,175.591788
3,SDC-VD0972460A,item:021081,125120.059531
3,SDC-VD0975221A,item:021081,125120.059531
3,SDC-VD0989480A,item:426331,1674.628301
3,SDC-VD0990780A,item:002612,18.731034
3,SDC-VD0993480A,item:344135,135313.801381
3,SDC-VD1091642A,item:001893,256.004875
3,SDC-VD1091642A,item:002612,122.944318
3,SDC-VD1095770A,item:734545,1082.510411
3,SDC-VD1096202A,item:039668,172.652981
4,SDC-1450,item:007923,428025.893607
4,SDC-1450,item:021081,1613420.564221
4,SDC-1450,item:693055,66244.08706
4,SDC-1450,item:773474,197627.997998
4,SDC-VD0500655A,item:002612,162.741222
4,SDC-VD0505677A,item:099439,331.220435
4,SDC-VD0508918A,item:730384,28686.525893
4,SDC-VD0514881A,item:016332,97.157864
4,SDC-VD0518684A,item:001893,725.601552
4,SDC-VD0519670A,item:001848,106.84116
4,SDC-VD0519670A,item:029313,173.096489
4,SDC-VD0520115A,item:708073,1073.038445
4,SDC-VD0520132A,item:038005,2367.880026
4,SDC-VD0520132A,item:049371,245.103122
4,SDC-VD0525412A,item:333362,135313.801381
4,SDC-VD0901566A,item:338928,158269.442221
4,SDC-VD0910216A,item:001893,260.177928
4,SDC-VD0910216A,item:002612,51.111742
4,SDC-VD0914320A,item:055703,170.335084
4,SDC-VD0914360C,item:338929,163162.77601
4,SDC-VD0914690A,item:042342,8165105.402949
4,SDC-VD0949099A,item:021081,124583.61412
4,SDC-VD0951020A,item:001757,264.976348
4,SDC-VD0951020A,item:001848,117.868398
4,SDC-VD0960508A,item:021081,124995.31832
4,SDC-VD0964290A,item:055703,175.857893
4,SDC-VD0972460A,item:021081,125118.82958
4,SDC-VD0975221A,item:021081,125118.82958
4,SDC-VD0989480A,item:426331,1794.790536
4,SDC-VD0990780A,item:002612,36.918384
4,SDC-VD0993480A,item:344135,135313.801381
4,SDC-VD1091642A,item:001893,272.858174
4,SDC-VD1091642A,item:002612,124.053088
4,SDC-VD1095770A,item:734545,1082.510411
4,SDC-VD1096202A,item:039668,173.096489
5,SDC-1450,item:007923,456744.837005
5,SDC-1450,item:021081,1697552.025704
5,SDC-1450,item:693055,70721.594698
5,SDC-1450,item:773474,199619.611533
5,SDC-VD0500655A,item:002612,163.860599
5,SDC-VD0505677A,item:099439,353.607973
5,SDC-VD0508918A,item:730384,28686.525893
5,SDC-VD0514881A,item:016332,102.530874
5,SDC-VD0518684A,item:001893,734.108817
5,SDC-VD0519670A,item:001848,116.243926
5,SDC-VD0519670A,item:029313,173.544239
5,SDC-VD0520115A,item:708073,1073.038445
5,SDC-VD0520132A,item:038005,2367.880026
5,SDC-VD0520132A,item:049371,261.6699
5,SDC-VD0525412A,item:333362,135313.801381
5,SDC-VD0901566A,item:338928,168021.310819
