day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,2562.857143,2562.857143,0.0,2562.857143,0.0
0,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,9093.613894
1,C-XXXXX,item:268967,2562.857143,5125.714286,0.0,5125.714286,0.0
1,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,34482.230697
2,C-XXXXX,item:268967,2562.857143,7688.571429,7688.571429,0.0,9085.84823
2,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,32582.230697
3,C-XXXXX,item:268967,2562.857143,2562.857143,1397.276801,1165.580342,1397.276801
3,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,30682.230697
4,C-XXXXX,item:268967,2562.857143,3728.437485,3728.437485,0.0,6156.540965
4,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,28782.230697
5,C-XXXXX,item:268967,2562.857143,2562.857143,2428.10348,134.753663,2428.10348
5,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,26882.230697
6,C-XXXXX,item:268967,2562.857143,2697.610806,2697.610806,0.0,5166.947353
6,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,24982.230697
7,C-XXXXX,item:268967,6256.714286,6256.714286,5032.468578,1224.245708,5032.468578
7,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,23082.230697
8,C-XXXXX,item:268967,6256.714286,7480.959994,0.0,7480.959994,0.0
8,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,35719.000002
9,C-XXXXX,item:268967,6256.714286,13737.67428,5593.439256,8144.235024,5593.439256
9,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,30616.285716
10,C-XXXXX,item:268967,6256.714286,14400.94931,0.0,14400.94931,0.0
10,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,25513.57143
11,C-XXXXX,item:268967,6256.714286,20657.663596,2562.91212,18094.751476,2562.91212
11,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,35719.000002
12,C-XXXXX,item:268967,6256.714286,24351.465762,7762.868138,16588.597623,7762.868138
12,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,30616.285716
13,C-XXXXX,item:268967,6256.714286,22845.311909,0.0,22845.311909,0.0
13,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,25513.57143
14,C-XXXXX,item:268967,4169.857143,27015.169052,10400.0,16615.169052,10400.0
14,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,20410.857144
15,C-XXXXX,item:268967,4169.857143,20785.026195,0.0,20785.026195,0.0
15,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,18147.714287
16,C-XXXXX,item:268967,4169.857143,24954.883338,10400.0,14554.883338,10400.0
16,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,15884.57143
17,C-XXXXX,item:268967,4169.857143,18724.740481,4587.219115,14137.521366,4587.219115
17,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,28883.361643
18,C-XXXXX,item:268967,4169.857143,18307.378509,0.0,18307.378509,0.0
18,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,21517.5045
19,C-XXXXX,item:268967,4169.857143,22477.235652,14653.329537,7823.906114,14653.329537
19,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,24841.502784
20,C-XXXXX,item:268967,4169.857143,11993.763257,0.0,11993.763257,0.0
20,C-XXXXX,item:268091,7365.857143,7365.857143,7365.857143,0.0,24750.965221
21,C-XXXXX,item:268967,3908.571429,15902.334686,0.0,15902.334686,0.0
21,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,17385.108078
22,C-XXXXX,item:268967,3908.571429,19810.906115,0.0,19810.906115,0.0
22,C-XXXXX,item:268091,11671.714286,11671.714286,5713.393792,5958.320494,5713.393792
23,C-XXXXX,item:268967,3908.571429,23719.477544,8343.720961,15375.756584,8343.720961
23,C-XXXXX,item:268091,11671.714286,17630.03478,17630.03478,0.0,36806.658567
24,C-XXXXX,item:268967,3908.571429,19284.328013,8356.542321,10927.785692,8356.542321
24,C-XXXXX,item:268091,11671.714286,11671.714286,11671.714286,0.0,19176.623788
25,C-XXXXX,item:268967,3908.571429,14836.357121,0.0,14836.357121,0.0
25,C-XXXXX,item:268091,11671.714286,11671.714286,7504.909502,4166.804784,7504.909502
26,C-XXXXX,item:268967,3908.571429,18744.92855,4169.883854,14575.044696,4169.883854
26,C-XXXXX,item:268091,11671.714286,15838.51907,15838.51907,0.0,22310.015904
27,C-XXXXX,item:268967,3908.571429,18483.616125,0.0,18483.616125,0.0
27,C-XXXXX,item:268091,11671.714286,11671.714286,6471.496834,5200.217452,6471.496834
28,C-XXXXX,item:268967,4922.285714,23405.901839,3919.023926,19486.877913,3919.023926
28,C-XXXXX,item:268091,10335.428571,15535.646023,15535.646023,0.0,23302.092065
29,C-XXXXX,item:268967,4922.285714,24409.163627,7869.488963,16539.674664,7869.488963
29,C-XXXXX,item:268091,10335.428571,10335.428571,10335.428571,0.0,31108.221154
30,C-XXXXX,item:268967,4922.285714,21461.960378,11728.23961,9733.720767,11728.23961
30,C-XXXXX,item:268091,10335.428571,10335.428571,10335.428571,0.0,20772.792583
31,C-XXXXX,item:268967,4922.285714,14656.006481,0.0,14656.006481,0.0
31,C-XXXXX,item:268091,10335.428571,10335.428571,10335.428571,0.0,10437.364012
32,C-XXXXX,item:268967,4922.285714,19578.292195,4719.543526,14858.748669,4719.543526
32,C-XXXXX,item:268091,10335.428571,10335.428571,10335.428571,0.0,10704.610132
33,C-XXXXX,item:268967,4922.285714,19781.034383,9795.913303,9985.121081,9795.913303
33,C-XXXXX,item:268091,10335.428571,10335.428571,369.181561,9966.24701,369.181561
34,C-XXXXX,item:268967,4922.285714,14907.406795,0.0,14907.406795,0.0
34,C-XXXXX,item:268091,10335.428571,20301.675581,20301.675581,0.0,22017.777586
35,C-XXXXX,item:268967,3834.857143,18742.263938,3908.574774,14833.689164,3908.574774
35,C-XXXXX,item:268091,9444.571429,9444.571429,1716.102005,7728.469424,1716.102005
36,C-XXXXX,item:268967,3834.857143,18668.546307,9842.625103,8825.921204,9842.625103
36,C-XXXXX,item:268091,9444.571429,17173.040853,17173.040853,0.0,31061.958425
37,C-XXXXX,item:268967,3834.857143,12660.778347,4922.220836,7738.55751,4922.220836
37,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,24224.773737
38,C-XXXXX,item:268967,3834.857143,11573.414653,0.0,11573.414653,0.0
38,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,25115.647983
39,C-XXXXX,item:268967,3834.857143,15408.271796,0.0,15408.271796,0.0
39,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,25293.822832
40,C-XXXXX,item:268967,3834.857143,19243.128939,7930.694029,11312.43491,7930.694029
40,C-XXXXX,item:268091,9444.571429,9444.571429,9444.571429,0.0,15849.251403
41,C-XXXXX,item:268967,3834.857143,15147.292053,0.0,15147.292053,0.0
41,C-XXXXX,item:268091,9444.571429,9444.571429,6404.679974,3039.891455,6404.679974
42,C-XXXXX,item:268967,6852.142857,21999.43491,8765.829206,13233.605704,8765.829206
42,C-XXXXX,item:268091,7060.285714,10100.177169,0.0,10100.177169,0.0
43,C-XXXXX,item:268967,6852.142857,20085.748561,0.0,20085.748561,0.0
43,C-XXXXX,item:268091,7060.285714,17160.462883,17160.462883,0.0,37822.758158
44,C-XXXXX,item:268967,6852.142857,26937.891418,3836.597008,23101.29441,3836.597008
44,C-XXXXX,item:268091,7060.285714,7060.285714,7060.285714,0.0,20662.295275
45,C-XXXXX,item:268967,6852.142857,29953.437267,7670.131854,22283.305414,7670.131854
