day,node_id,item_id,produced_qty,cum_produced_qty
0,M-1430,item:268967,2734.661589,2734.661589
0,M-1810,item:268091,3505.571651,3505.571651
0,SDC-1450,item:773474,28126.160728,28126.160728
1,M-1430,item:268967,2597.218032,5331.879622
1,M-1810,item:268091,1520.0,5025.571651
1,SDC-1450,item:773474,28076.527579,56202.688308
2,M-1430,item:268967,2569.729321,7901.608942
2,M-1810,item:268091,818.88567,5844.457321
2,SDC-1450,item:773474,27466.376971,83669.065279
3,M-1430,item:268967,2564.231579,10465.840521
3,M-1810,item:268091,514.88567,6359.34299
3,SDC-1450,item:773474,26813.073841,110482.13912
4,M-1430,item:268967,2563.13203,13028.972551
4,M-1810,item:268091,351.108536,6710.451526
4,SDC-1450,item:773474,26271.185002,136753.324122
5,M-1430,item:268967,2562.91212,15591.884672
5,M-1810,item:268091,248.131402,6958.582928
5,SDC-1450,item:773474,25857.833624,162611.157746
6,M-1430,item:268967,2562.868138,18154.75281
6,M-1810,item:268091,177.909695,7136.492623
6,SDC-1450,item:773474,25552.435379,188163.593125
7,M-1430,item:268967,5200.0,23354.75281
7,M-1810,item:268091,2690.454843,9826.947466
7,SDC-1450,item:773474,25329.622484,213493.215609
8,M-1430,item:268967,5200.0,28554.75281
8,M-1810,item:268091,4042.090915,13869.038382
8,SDC-1450,item:773474,30260.042128,243753.257738
9,M-1430,item:268967,5200.0,33754.75281
9,M-1810,item:268091,4890.589612,18759.627993
9,SDC-1450,item:773474,35235.024352,278988.28209
10,M-1430,item:268967,5200.0,38954.75281
10,M-1810,item:268091,5060.289351,23819.917345
10,SDC-1450,item:773474,39223.922646,318212.204735
11,M-1430,item:268967,5200.0,44154.75281
11,M-1810,item:268091,5094.229299,28914.146644
11,SDC-1450,item:773474,42217.824496,360430.029231
12,M-1430,item:268967,5200.0,49354.75281
12,M-1810,item:268091,5101.017289,34015.163932
12,SDC-1450,item:773474,44413.946686,404843.975917
13,M-1430,item:268967,5200.0,54554.75281
13,M-1810,item:268091,5102.374887,39117.538819
13,SDC-1450,item:773474,46011.288507,450855.264425
14,M-1430,item:268967,4587.219115,59141.971925
14,M-1810,item:268091,6913.160692,46030.699511
14,SDC-1450,item:773474,47169.40589,498024.670315
15,M-1430,item:268967,4253.329537,63395.301463
15,M-1810,item:268091,7275.317853,53306.017363
15,SDC-1450,item:773474,46824.809581,544849.479896
16,M-1430,item:268967,4186.551622,67581.853085
16,M-1810,item:268091,7347.749285,60653.766648
16,SDC-1450,item:773474,45603.867852,590453.347748
17,M-1430,item:268967,4173.196039,71755.049124
17,M-1810,item:268091,7362.235571,68016.00222
17,SDC-1450,item:773474,44322.900996,634776.248744
18,M-1430,item:268967,4170.524922,75925.574046
18,M-1810,item:268091,7365.132829,75381.135048
18,SDC-1450,item:773474,43260.333609,678036.582353
19,M-1430,item:268967,4169.990699,80095.564745
19,M-1810,item:268091,7365.71228,82746.847328
19,SDC-1450,item:773474,42448.801816,720485.384169
20,M-1430,item:268967,4169.883854,84265.448599
20,M-1810,item:268091,7365.82817,90112.675499
20,SDC-1450,item:773474,41848.751947,762334.136116
21,M-1430,item:268967,3960.833914,88226.282513
21,M-1810,item:268091,10810.537063,100923.212562
21,SDC-1450,item:773474,41410.802124,803744.93824
22,M-1430,item:268967,3919.023926,92145.306439
22,M-1810,item:268091,11499.478841,112422.691403
22,SDC-1450,item:773474,40689.198632,844434.136872
23,M-1430,item:268967,3910.661928,96055.968367
23,M-1810,item:268091,11637.267197,124059.9586
23,SDC-1450,item:773474,39974.452375,884408.589247
24,M-1430,item:268967,3908.989529,99964.957896
24,M-1810,item:268091,11664.824868,135724.783468
24,SDC-1450,item:773474,39387.880271,923796.469519
25,M-1430,item:268967,3908.655049,103873.612945
25,M-1810,item:268091,11670.336402,147395.119871
25,SDC-1450,item:773474,38941.028109,962737.497628
26,M-1430,item:268967,3908.588153,107782.201098
26,M-1810,item:268091,11671.438709,159066.55858
26,SDC-1450,item:773474,38610.844507,1001348.342135
27,M-1430,item:268967,3908.574774,111690.775872
27,M-1810,item:268091,11671.659171,170738.217751
27,SDC-1450,item:773474,38369.902164,1039718.244299
28,M-1430,item:268967,4719.543526,116410.319398
28,M-1810,item:268091,10602.674691,181340.892442
28,SDC-1450,item:773474,38194.970707,1077913.215006
29,M-1430,item:268967,4881.737276,121292.056674
29,M-1810,item:268091,10388.877795,191729.770237
29,SDC-1450,item:773474,39634.162641,1117547.377646
30,M-1430,item:268967,4914.176026,126206.232701
30,M-1810,item:268091,10346.118416,202075.888652
30,SDC-1450,item:773474,41421.52785,1158968.905496
31,M-1430,item:268967,4920.663776,131126.896477
31,M-1810,item:268091,10337.56654,212413.455192
31,SDC-1450,item:773474,42983.692069,1201952.597566
32,M-1430,item:268967,4921.961326,136048.857804
32,M-1810,item:268091,10335.856165,222749.311357
32,SDC-1450,item:773474,44200.910726,1246153.508292
33,M-1430,item:268967,4922.220836,140971.07864
33,M-1810,item:268091,10335.51409,233084.825447
33,SDC-1450,item:773474,45108.202035,1291261.710328
34,M-1430,item:268967,4922.272738,145893.351379
34,M-1810,item:268091,10335.445675,243420.271122
34,SDC-1450,item:773474,45772.550712,1337034.26104
35,M-1430,item:268967,4052.340262,149945.691641
35,M-1810,item:268091,9622.746278,253043.0174
35,SDC-1450,item:773474,46255.541347,1383289.802387
36,M-1430,item:268967,3878.353767,153824.045408
36,M-1810,item:268091,9480.206399,262523.223799
36,SDC-1450,item:773474,44925.871699,1428215.674085
37,M-1430,item:268967,3843.556468,157667.601875
37,M-1810,item:268091,9451.698423,271974.922222
37,SDC-1450,item:773474,43163.645814,1471379.319899
38,M-1430,item:268967,3836.597008,161504.198883
38,M-1810,item:268091,9445.996828,281420.919049
38,SDC-1450,item:773474,41600.162237,1512979.482136
39,M-1430,item:268967,3835.205116,165339.403999
39,M-1810,item:268091,9444.856509,290865.775558
39,SDC-1450,item:773474,40375.685512,1553355.167648
40,M-1430,item:268967,3834.926738,169174.330737
40,M-1810,item:268091,9444.628445,300310.404003
40,SDC-1450,item:773474,39461.217838,1592816.385486
41,M-1430,item:268967,3834.871062,173009.201799
41,M-1810,item:268091,9444.582832,309754.986835
41,SDC-1450,item:773474,38791.107976,1631607.493463
42,M-1430,item:268967,5200.0,178209.201799
42,M-1810,item:268091,7537.145138,317292.131973
42,SDC-1450,item:773474,38303.784142,1669911.277605
43,M-1430,item:268967,5200.0,183409.201799
