day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.66159,2734.66159,5200.0,76881.046929,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,73372.141747,none,,0.0
0,SDC-1450,item:773474,28169.929793,28169.929793,2000000.0,328558017.674278,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,74703.100311,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,83300.0,none,,0.0
1,SDC-1450,item:773474,28108.19928,28108.19928,2000000.0,328544822.509057,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,80957.22349,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,27489.294859,27489.294859,2000000.0,328516714.309777,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,78387.49417,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,82481.11433,none,,0.0
3,SDC-1450,item:773474,26829.657388,26829.657388,2000000.0,328489634.407214,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,78853.104125,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,83300.0,none,,0.0
4,SDC-1450,item:773474,26283.184972,26283.184972,2000000.0,328497777.607893,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,79319.940402,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,83300.0,none,,0.0
5,SDC-1450,item:773474,25866.516884,25866.516884,2000000.0,328475189.700156,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,79321.25986,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83300.0,none,,0.0
6,SDC-1450,item:773474,25558.718646,25558.718646,2000000.0,328454016.149717,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,81958.391722,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,83122.090305,none,,0.0
7,SDC-1450,item:773474,25334.169099,25334.169099,2000000.0,328438322.144551,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,84954.546746,capacity,,908.96044
8,M-1810,item:268091,4025.42994,4025.42994,11900.0,80431.635462,none,,0.0
8,SDC-1450,item:773474,30263.33209,30263.33209,2000000.0,328425506.065953,none,,0.0
9,M-1430,item:268967,6227.163517,5200.0,5200.0,79754.546746,capacity,,1027.163517
9,M-1810,item:268091,4887.257417,4887.257417,11900.0,83300.0,none,,0.0
9,SDC-1450,item:773474,35237.40499,35237.40499,2000000.0,328410512.795364,none,,0.0
10,M-1430,item:268967,6250.804132,5200.0,5200.0,74554.546746,capacity,,1050.804132
10,M-1810,item:268091,5059.622912,5059.622912,11900.0,83300.0,none,,0.0
