day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.66159,2734.66159,5200.0,76767.380894,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,73372.141747,none,,0.0
0,SDC-1450,item:773474,28174.094368,28174.094368,2000000.0,264692713.213186,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,77058.757692,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,83300.0,none,,0.0
1,SDC-1450,item:773474,28111.212801,28111.212801,2000000.0,264690061.309129,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,75016.071859,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,27491.475465,27491.475465,2000000.0,264661950.096327,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,72446.342538,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,83300.0,none,,0.0
3,SDC-1450,item:773474,26831.235291,26831.235291,2000000.0,264634999.416102,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,72912.079266,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,82785.11433,none,,0.0
4,SDC-1450,item:773474,26284.326753,26284.326753,2000000.0,267703865.987364,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,82000.668148,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,82948.891464,none,,0.0
5,SDC-1450,item:773474,25867.343085,25867.343085,2000000.0,267677865.097973,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,79437.756027,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83300.0,none,,0.0
6,SDC-1450,item:773474,25559.31649,25559.31649,2000000.0,281301971.429739,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,76874.887889,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,83300.0,none,,0.0
7,SDC-1450,item:773474,25334.601703,25334.601703,2000000.0,281299978.575641,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,74685.079826,capacity,,908.96044
8,M-1810,item:268091,4620.262397,4620.262397,11900.0,83300.0,none,,0.0
8,SDC-1450,item:773474,30263.645125,30263.645125,2000000.0,294925547.055771,none,,0.0
9,M-1430,item:268967,6227.163517,5200.0,5200.0,69485.079826,capacity,,1027.163517
9,M-1810,item:268091,5006.223908,5006.223908,11900.0,78679.737603,none,,0.0
9,SDC-1450,item:773474,35237.631504,35237.631504,2000000.0,294895358.602244,none,,0.0
10,M-1430,item:268967,6250.804132,5200.0,5200.0,66882.297858,capacity,,1050.804132
10,M-1810,item:268091,5083.41621,5083.41621,11900.0,83300.0,none,,0.0
10,SDC-1450,item:773474,39225.809199,39225.809199,2000000.0,294861147.790784,none,,0.0
11,M-1430,item:268967,6255.532255,5200.0,5200.0,61682.297858,capacity,,1055.532255
11,M-1810,item:268091,5098.854671,5098.854671,11900.0,78216.58379,none,,0.0
11,SDC-1450,item:773474,42219.189618,42219.189618,2000000.0,294822029.371914,none,,0.0
12,M-1430,item:268967,6256.47788,5200.0,5200.0,56482.297858,capacity,,1056.47788
12,M-1810,item:268091,5101.942363,5101.942363,11900.0,83300.0,none,,0.0
