day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.66159,2734.66159,5200.0,81171.310784,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,73372.141747,none,,0.0
0,SDC-1450,item:773474,28174.098421,28174.098421,2000000.0,287896078.625526,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,81525.439779,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,79794.428349,none,,0.0
1,SDC-1450,item:773474,28111.215734,28111.215734,2000000.0,287871092.049654,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,81954.260134,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,27491.477587,27491.477587,2000000.0,287842980.83392,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,82394.722751,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,83300.0,none,,0.0
3,SDC-1450,item:773474,26831.236826,26831.236826,2000000.0,287836035.390283,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,83252.370548,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,82785.11433,none,,0.0
4,SDC-1450,item:773474,26284.327864,26284.327864,2000000.0,287816846.007558,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,83719.080053,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,82948.891464,none,,0.0
5,SDC-1450,item:773474,25867.343889,25867.343889,2000000.0,287792818.539595,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,81710.700133,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83051.868598,none,,0.0
6,SDC-1450,item:773474,25559.317072,25559.317072,2000000.0,287766951.195706,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,84452.222904,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,82873.958903,none,,0.0
7,SDC-1450,item:773474,25334.602124,25334.602124,2000000.0,301754128.932667,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,79890.462116,capacity,,908.96044
8,M-1810,item:268091,4042.090915,4042.090915,11900.0,83300.0,none,,0.0
