day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,2562.857143,2562.857143,0.0,2562.857143,0.0
0,C-XXXXX,item:268091,1900.0,1900.0,0.0,1900.0,0.0
1,C-XXXXX,item:268967,2562.857143,5125.714286,0.0,5125.714286,0.0
1,C-XXXXX,item:268091,1900.0,3800.0,3800.0,0.0,18180.319036
2,C-XXXXX,item:268967,2562.857143,7688.571429,0.0,7688.571429,0.0
2,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,14380.319036
3,C-XXXXX,item:268967,2562.857143,10251.428572,1237.494314,9013.934258,1237.494314
3,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,12480.319036
4,C-XXXXX,item:268967,2562.857143,11576.791401,0.0,11576.791401,0.0
4,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,11400.0
5,C-XXXXX,item:268967,2562.857143,14139.648544,0.0,14139.648544,0.0
5,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,13300.0
6,C-XXXXX,item:268967,2562.857143,16702.505687,0.0,16702.505687,0.0
6,C-XXXXX,item:268091,1900.0,1900.0,1900.0,0.0,11400.0
7,C-XXXXX,item:268967,6256.714286,22959.219973,0.0,22959.219973,0.0
7,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,9500.0
8,C-XXXXX,item:268967,6256.714286,29215.934259,0.0,29215.934259,0.0
8,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,6297.285714
9,C-XXXXX,item:268967,6256.714286,35472.648545,0.0,35472.648545,0.0
9,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,8794.571428
10,C-XXXXX,item:268967,6256.714286,41729.362831,0.0,41729.362831,0.0
10,C-XXXXX,item:268091,5102.714286,5102.714286,5102.714286,0.0,5591.857142
11,C-XXXXX,item:268967,6256.714286,47986.077117,2562.868138,45423.208978,2562.868138
11,C-XXXXX,item:268091,5102.714286,5102.714286,4289.142856,813.57143,4289.142856
12,C-XXXXX,item:268967,6256.714286,51679.923264,10400.0,41279.923264,10400.0
12,C-XXXXX,item:268091,5102.714286,5916.285716,0.0,5916.285716,0.0
13,C-XXXXX,item:268967,6256.714286,47536.63755,0.0,47536.63755,0.0
13,C-XXXXX,item:268091,5102.714286,11019.000002,5058.977072,5960.02293,5058.977072
14,C-XXXXX,item:268967,4169.857143,51706.494693,5200.0,46506.494693,5200.0
14,C-XXXXX,item:268091,7365.857143,13325.880073,0.0,13325.880073,0.0
15,C-XXXXX,item:268967,4169.857143,50676.351836,0.0,50676.351836,0.0
15,C-XXXXX,item:268091,7365.857143,20691.737216,20691.737216,0.0,20745.954523
16,C-XXXXX,item:268967,4169.857143,54846.208979,10400.0,44446.208979,10400.0
16,C-XXXXX,item:268091,7365.857143,7365.857143,5148.18415,2217.672993,5148.18415
17,C-XXXXX,item:268967,4169.857143,48616.066122,0.0,48616.066122,0.0
17,C-XXXXX,item:268091,7365.857143,9583.530136,0.0,9583.530136,0.0
18,C-XXXXX,item:268967,4169.857143,52785.923265,0.0,52785.923265,0.0
18,C-XXXXX,item:268091,7365.857143,16949.387279,12015.858882,4933.528397,12015.858882
19,C-XXXXX,item:268967,4169.857143,56955.780408,8840.548653,48115.231756,8840.548653
19,C-XXXXX,item:268091,7365.857143,12299.38554,0.0,12299.38554,0.0
20,C-XXXXX,item:268967,4169.857143,52285.088899,14586.551622,37698.537277,14586.551622
20,C-XXXXX,item:268091,7365.857143,19665.242683,0.0,19665.242683,0.0
21,C-XXXXX,item:268967,3908.571429,41607.108706,4173.196039,37433.912667,4173.196039
21,C-XXXXX,item:268091,11671.714286,31336.956969,21985.316072,9351.640896,21985.316072
22,C-XXXXX,item:268967,3908.571429,41342.484096,0.0,41342.484096,0.0
22,C-XXXXX,item:268091,11671.714286,21023.355182,0.0,21023.355182,0.0
23,C-XXXXX,item:268967,3908.571429,45251.055525,0.0,45251.055525,0.0
23,C-XXXXX,item:268091,11671.714286,32695.069468,14730.845212,17964.224256,14730.845212
24,C-XXXXX,item:268967,3908.571429,49159.626954,4169.990699,44989.636255,4169.990699
24,C-XXXXX,item:268091,11671.714286,29635.938542,0.0,29635.938542,0.0
25,C-XXXXX,item:268967,3908.571429,48898.207684,0.0,48898.207684,0.0
25,C-XXXXX,item:268091,11671.714286,41307.652828,0.0,41307.652828,0.0
26,C-XXXXX,item:268967,3908.571429,52806.779113,0.0,52806.779113,0.0
26,C-XXXXX,item:268091,11671.714286,52979.367114,29813.632435,23165.73468,29813.632435
27,C-XXXXX,item:268967,3908.571429,56715.350542,15949.003414,40766.347128,15949.003414
27,C-XXXXX,item:268091,11671.714286,34837.448966,0.0,34837.448966,0.0
28,C-XXXXX,item:268967,4922.285714,45688.632842,7829.685854,37858.946988,7829.685854
28,C-XXXXX,item:268091,10335.428571,45172.877537,0.0,45172.877537,0.0
29,C-XXXXX,item:268967,4922.285714,42781.232702,3908.588153,38872.644549,3908.588153
29,C-XXXXX,item:268091,10335.428571,55508.306108,11499.478842,44008.827266,11499.478842
30,C-XXXXX,item:268967,4922.285714,43794.930263,4169.883854,39625.046408,4169.883854
30,C-XXXXX,item:268091,10335.428571,54344.255837,0.0,54344.255837,0.0
31,C-XXXXX,item:268967,4922.285714,44547.332122,0.0,44547.332122,0.0
31,C-XXXXX,item:268091,10335.428571,64679.684408,23336.263578,41343.420831,23336.263578
32,C-XXXXX,item:268967,4922.285714,49469.617836,9601.280802,39868.337034,9601.280802
32,C-XXXXX,item:268091,10335.428571,51678.849402,44333.548059,7345.301343,44333.548059
33,C-XXXXX,item:268967,4922.285714,44790.622748,4914.176026,39876.446722,4914.176026
33,C-XXXXX,item:268091,10335.428571,17680.729914,0.0,17680.729914,0.0
34,C-XXXXX,item:268967,4922.285714,44798.732436,8829.23855,35969.493885,8829.23855
34,C-XXXXX,item:268091,10335.428571,28016.158485,10346.118416,17670.040069,10346.118416
35,C-XXXXX,item:268967,3834.857143,39804.351028,4921.961326,34882.389702,4921.961326
35,C-XXXXX,item:268091,9444.571429,27114.611498,0.0,27114.611498,0.0
36,C-XXXXX,item:268967,3834.857143,38717.246845,0.0,38717.246845,0.0
36,C-XXXXX,item:268091,9444.571429,36559.182927,0.0,36559.182927,0.0
37,C-XXXXX,item:268967,3834.857143,42552.103988,0.0,42552.103988,0.0
37,C-XXXXX,item:268091,9444.571429,46003.754356,10337.56654,35666.187816,10337.56654
38,C-XXXXX,item:268967,3834.857143,46386.961131,4922.220836,41464.740294,4922.220836
38,C-XXXXX,item:268091,9444.571429,45110.759245,0.0,45110.759245,0.0
39,C-XXXXX,item:268967,3834.857143,45299.597437,0.0,45299.597437,0.0
39,C-XXXXX,item:268091,9444.571429,54555.330674,10335.856165,44219.474509,10335.856165
40,C-XXXXX,item:268967,3834.857143,49134.45458,0.0,49134.45458,0.0
40,C-XXXXX,item:268091,9444.571429,53664.045938,19958.260368,33705.78557,19958.260368
41,C-XXXXX,item:268967,3834.857143,52969.311723,8800.626505,44168.685218,8800.626505
41,C-XXXXX,item:268091,9444.571429,43150.356999,0.0,43150.356999,0.0
42,C-XXXXX,item:268967,6852.142857,51020.828075,7888.93727,43131.890805,7888.93727
42,C-XXXXX,item:268091,7060.285714,50210.642713,38713.347324,11497.295389,38713.347324
43,C-XXXXX,item:268967,6852.142857,49984.033662,7678.761584,42305.272078,7678.761584
43,C-XXXXX,item:268091,7060.285714,18557.581103,0.0,18557.581103,0.0
44,C-XXXXX,item:268967,6852.142857,49157.414935,0.0,49157.414935,0.0
44,C-XXXXX,item:268091,7060.285714,25617.866817,0.0,25617.866817,0.0
45,C-XXXXX,item:268967,6852.142857,56009.557792,0.0,56009.557792,0.0
45,C-XXXXX,item:268091,7060.285714,32678.152531,18889.211277,13788.941254,18889.211277
46,C-XXXXX,item:268967,6852.142857,62861.700649,0.0,62861.700649,0.0
46,C-XXXXX,item:268091,7060.285714,20849.226968,0.0,20849.226968,0.0
47,C-XXXXX,item:268967,6852.142857,69713.843506,12869.7978,56844.045707,12869.7978
47,C-XXXXX,item:268091,7060.285714,27909.512682,0.0,27909.512682,0.0
48,C-XXXXX,item:268967,6852.142857,63696.188564,0.0,63696.188564,0.0
48,C-XXXXX,item:268091,7060.285714,34969.798396,0.0,34969.798396,0.0
49,C-XXXXX,item:268967,4479.857143,68176.045707,15600.0,52576.045707,15600.0
49,C-XXXXX,item:268091,14242.0,49211.798396,31217.019336,17994.77906,31217.019336
50,C-XXXXX,item:268967,4479.857143,57055.90285,0.0,57055.90285,0.0
50,C-XXXXX,item:268091,14242.0,32236.77906,0.0,32236.77906,0.0
51,C-XXXXX,item:268967,4479.857143,61535.759993,10400.0,51135.759993,10400.0
51,C-XXXXX,item:268091,14242.0,46478.77906,7061.048689,39417.73037,7061.048689
52,C-XXXXX,item:268967,4479.857143,55615.617136,0.0,55615.617136,0.0
52,C-XXXXX,item:268091,14242.0,53659.73037,0.0,53659.73037,0.0
53,C-XXXXX,item:268967,4479.857143,60095.474279,10154.306562,49941.167717,10154.306562
53,C-XXXXX,item:268091,14242.0,67901.73037,0.0,67901.73037,0.0
54,C-XXXXX,item:268967,4479.857143,54421.02486,0.0,54421.02486,0.0
54,C-XXXXX,item:268091,14242.0,82143.73037,33084.855131,49058.875239,33084.855131
55,C-XXXXX,item:268967,4479.857143,58900.882003,4574.747027,54326.134976,4574.747027
55,C-XXXXX,item:268091,14242.0,63300.875239,0.0,63300.875239,0.0
56,C-XXXXX,item:268967,6558.714286,60884.849262,0.0,60884.849262,0.0
